#{"env_id": "Ant-v2", "t_start": 1521399318.0485477}
r,l,t
-678.790931,1000,14.462315
-2285.754811,1000,31.385219
225.963779,1000,48.105301
-1157.108189,1000,64.809182
-693.418552,1000,81.745869
-606.536769,1000,98.54622
-93.451133,472,109.595433
75.393292,1000,126.330223
-53.15432,1000,143.025214
396.107199,1000,159.899588
59.526083,1000,176.600307
406.837159,1000,193.287476
455.035132,1000,209.821423
136.662073,201,212.107869
88.051841,141,213.80218
456.169068,1000,230.475339
712.654986,1000,247.245263
563.460103,1000,263.971802
102.721694,1000,283.672511
-184.781154,1000,300.65956
601.950536,1000,316.46139
389.085976,1000,333.142641
49.108219,1000,349.674021
608.243265,1000,366.357815
32.250331,87,367.464132
472.544574,1000,383.5423
68.216845,1000,400.241716
542.556873,1000,416.926299
655.34197,1000,433.239973
252.243429,1000,449.929705
399.315707,1000,465.988474
554.566969,1000,481.714869
237.762762,1000,498.316929
544.798909,1000,514.926177
429.421853,1000,531.575953
183.057135,1000,548.186451
522.48392,1000,563.715975
-55.970753,1000,580.569065
-433.290073,1000,596.230422
-99.58086,1000,612.948888
510.641532,1000,628.687446
140.891315,1000,644.98025
360.266577,888,658.995761
5.356136,96,660.124484
129.486532,666,672.389932
602.645277,1000,685.724704
319.679579,699,698.443951
300.689044,1000,714.210043
482.370817,1000,730.40589
527.828938,1000,746.945651
436.194965,1000,763.584258
499.790791,1000,780.481817
-38.075327,1000,797.080535
304.316414,1000,813.763799
-378.218,1000,830.602484
131.027201,1000,847.389705
231.61137,1000,864.335307
420.265247,1000,881.009895
578.969033,1000,897.616641
359.1735,1000,914.184054
477.664535,768,928.568914
410.868448,1000,945.200656
207.379892,1000,961.892673
-214.832208,1000,978.628871
371.39902,1000,995.33664
288.297494,1000,1012.131883
-623.919633,1000,1029.144772
301.254999,1000,1045.408031
-43.068107,716,1053.555731
-333.901217,1000,1070.521137
265.258129,1000,1086.57313
-283.026769,1000,1102.313357
581.622411,1000,1118.912825
242.478266,1000,1134.753903
550.904708,1000,1151.27354
329.870881,1000,1168.0883
410.799831,1000,1184.7742
-399.116884,1000,1201.37954
-292.493324,1000,1217.967526
65.467665,1000,1234.71074
391.03933,1000,1251.378907
499.562734,1000,1267.952794
182.062777,1000,1284.553849
372.166777,1000,1301.343132
505.326806,1000,1316.693899
212.920811,1000,1333.634267
-626.63643,1000,1350.095726
656.724677,1000,1367.067293
192.628266,1000,1383.946872
651.189364,1000,1401.052122
-340.74838,1000,1417.908448
434.514739,1000,1434.490576
483.606567,1000,1451.14202
-385.094319,1000,1467.82188
-688.387476,1000,1484.426468
