#{"t_start": 1521425771.8048387, "env_id": "Ant-v2"}
r,l,t
-669.217415,1000,14.521272
36.613967,1000,31.161848
-1000.720541,1000,47.850687
-1394.156961,1000,64.650027
-758.27144,630,77.407115
-1024.926396,1000,91.226317
-1094.196223,1000,107.482746
-1428.696575,1000,123.20036
-686.082434,1000,138.823408
-1263.627738,1000,154.359784
-116.751388,804,166.384253
-421.456775,1000,180.726882
-902.980477,1000,195.722533
-136.565011,291,199.131727
24.114045,439,209.217057
-243.218714,1000,225.844554
-47.549806,156,227.561632
-156.505138,1000,242.264998
-30.553307,99,243.400263
-422.43357,1000,260.196235
555.812092,1000,276.924869
642.035176,1000,292.91301
599.191585,1000,309.47055
468.834501,1000,325.160394
663.14983,1000,340.748871
-390.318825,766,354.227246
291.208901,1000,369.499177
77.779299,1000,385.482806
-1106.493552,1000,402.159536
-852.374867,1000,418.803802
-11.485718,1000,435.492811
677.734109,1000,451.994852
807.087679,1000,467.25879
-1106.583665,1000,483.945382
89.402638,1000,500.293389
622.546194,1000,516.92969
142.089693,330,520.88201
536.760856,1000,536.457577
612.53503,1000,551.892762
-317.308771,1000,568.636307
472.931619,1000,583.722936
198.380002,557,595.211699
411.136984,1000,609.958427
16.049591,10,609.97536
425.793703,1000,626.065936
591.707879,1000,642.667464
51.704261,75,643.766066
135.861928,504,649.465545
611.856283,1000,666.280096
55.362413,111,667.442392
211.952326,1000,683.275425
39.731743,313,690.658603
441.587783,1000,707.335748
263.336217,1000,723.106513
386.400154,1000,738.146917
70.99208,222,740.934098
-860.423925,1000,756.695054
-2169.850019,1000,772.729867
255.921255,1000,789.410615
-359.485801,1000,806.093536
463.886433,1000,822.676172
613.436154,1000,838.956132
46.973879,209,841.285492
240.86365,1000,857.987283
69.233242,170,859.721947
365.232775,1000,874.525128
475.488004,1000,886.39955
620.23591,1000,903.093983
-40.425194,1000,920.038861
-1544.078674,1000,935.828511
-18.16775,1000,950.241134
234.936989,493,961.219744
482.571914,1000,975.261395
370.545246,1000,990.093747
277.182197,1000,1005.267696
143.219006,367,1009.268317
44.460113,391,1013.872283
166.223155,1000,1030.612108
-740.106013,1000,1047.355465
66.879583,1000,1063.018883
-160.03862,632,1075.681246
-462.710951,1000,1091.443073
428.432058,1000,1107.727833
195.76479,1000,1124.51188
702.80791,1000,1141.34402
153.929483,1000,1158.186833
146.682676,1000,1174.840031
1.614777,15,1174.863264
407.144348,1000,1190.971771
249.239201,1000,1206.082007
-1771.96274,1000,1222.806314
222.689512,1000,1239.476343
-150.593482,1000,1256.264928
-949.551488,1000,1272.65339
-1485.465465,1000,1286.461472
-532.538522,1000,1303.287827
218.047208,1000,1320.0315
-438.909256,1000,1336.710145
227.231845,1000,1353.374395
363.70107,1000,1370.1869
491.179132,1000,1387.005461
-152.613287,1000,1403.79146
461.064646,1000,1420.027238
582.657397,1000,1436.792948
-1327.338061,1000,1453.433028
527.039699,1000,1470.228223
-1392.097793,1000,1485.157076
30.491648,32,1485.700883
-2035.11175,1000,1499.650218
-146.842569,1000,1516.55089
-48.505628,213,1518.847524
394.723536,1000,1535.55721
424.140745,1000,1552.607821
-196.130169,1000,1569.361181
-405.356244,1000,1585.379685
-1984.030913,1000,1601.386793
569.790923,1000,1617.206971
