#{"t_start": 1521652029.2754717, "env_id": "Ant-v2"}
r,l,t
201.258007,1000,13.795663
-1867.398299,1000,29.016072
692.285601,1000,44.167037
869.935375,1000,59.356132
420.396646,1000,74.452142
-1103.469518,1000,89.518635
884.206858,1000,104.736383
1.421878,15,110.448993
539.118492,1000,125.881355
-3.708504,1000,141.002753
386.763264,1000,156.191321
779.903483,1000,171.663295
716.578349,1000,187.470838
662.635573,1000,203.109786
784.006564,1000,218.661157
824.488221,1000,234.199824
681.804187,1000,249.953092
837.736319,1000,265.761749
631.729418,1000,281.241813
712.608792,1000,297.00309
723.995722,1000,312.426636
679.005792,1000,327.898178
531.542634,1000,343.284978
524.173687,1000,358.603125
444.461716,1000,373.80112
488.125976,1000,389.076442
415.768433,1000,404.196837
861.443498,1000,419.572212
490.411931,1000,434.978204
774.327205,1000,450.328667
381.366825,1000,465.450844
941.585801,1000,480.848402
837.66636,1000,496.087307
660.316606,1000,511.276789
402.830065,1000,526.402928
756.487401,1000,541.672402
620.572646,1000,556.761138
276.80195,1000,571.770037
742.653721,1000,586.970127
752.696507,1000,602.201204
730.597229,1000,617.26981
712.749883,1000,632.309805
817.112511,1000,647.388745
392.892456,1000,662.779136
618.69668,1000,677.812762
274.062596,1000,692.845181
629.12063,1000,707.935986
544.648887,1000,722.898097
468.556716,1000,737.852212
452.830791,1000,752.970105
133.837448,1000,768.072108
220.368616,1000,783.248416
295.97784,1000,798.313025
609.549991,1000,813.325393
412.779667,1000,828.44634
769.822066,1000,843.56117
706.754814,1000,858.492027
339.349869,1000,873.382754
926.36993,1000,888.418405
725.608758,1000,903.291991
642.523664,1000,918.299028
662.020717,1000,933.536423
744.822979,1000,948.786589
837.363012,1000,964.034734
762.259251,1000,979.271534
631.000067,1000,994.644535
636.248336,1000,1009.821097
208.605673,1000,1025.206184
504.284525,1000,1040.56936
591.625419,1000,1055.827742
695.29261,1000,1070.976742
792.877496,1000,1086.503788
807.992391,1000,1101.823974
802.619578,1000,1117.162642
651.316451,1000,1132.487083
482.180532,1000,1147.95857
486.39401,1000,1163.602027
612.810919,1000,1179.121407
628.993345,1000,1194.747097
531.496714,1000,1209.985548
748.236122,1000,1224.950135
534.096083,1000,1240.319124
507.153214,1000,1255.521145
597.266721,1000,1270.57715
476.921254,1000,1285.705119
336.981121,1000,1300.834075
386.841169,1000,1315.85315
725.631266,1000,1330.859432
726.028561,1000,1346.117522
841.945449,1000,1361.407422
755.165716,1000,1376.844395
621.708741,1000,1392.140342
272.970016,1000,1407.471428
804.418015,1000,1422.695062
509.075013,1000,1437.827742
650.178449,1000,1453.255169
164.035878,1000,1468.477277
506.546486,1000,1483.736953
