#{"env_id": "Ant-v2", "t_start": 1521654061.5377614}
r,l,t
-835.325076,1000,13.489972
-1171.285238,1000,28.688931
-902.472772,1000,43.730276
-790.987738,1000,56.830863
-1372.320602,1000,66.866257
-1724.186769,1000,81.036485
-49.226213,32,86.793345
-359.9468,299,89.726608
-2229.091512,1000,104.813858
-1799.60427,1000,120.075446
-2201.997263,1000,134.285392
-786.364711,421,138.668165
-2175.329051,1000,153.801325
-1187.898535,1000,169.136718
-1983.520566,1000,184.272759
-1291.680424,525,193.748109
-276.9592,105,194.731572
-258.31826,98,195.708464
-23.000428,9,195.724626
-2767.329346,1000,210.923922
-2947.190774,1000,224.102253
-2923.033821,1000,238.244954
-2965.518934,1000,250.272442
-2470.342989,1000,265.379455
-2928.477121,1000,279.044293
-2969.428856,1000,294.157523
-2986.011613,1000,309.289668
-2994.322045,1000,324.371922
-2956.842521,1000,339.556472
-2765.371196,1000,352.849107
-2916.0436,1000,367.28623
-2980.271612,1000,381.059853
-2983.753896,1000,396.407766
-2963.370876,1000,409.739832
-118.460406,41,410.21718
-2962.454149,1000,422.007988
-417.197562,133,423.463764
-2969.18943,1000,437.967596
-40.079437,16,437.992851
-688.490445,225,440.432494
-397.492913,136,446.022459
-280.689956,94,447.020417
-95.934896,29,447.498083
-176.839633,59,448.00487
-3036.678671,1000,461.292399
-2547.206638,1000,471.35896
-40.128076,11,471.377298
-301.694201,82,472.333327
-3016.385914,1000,484.10469
-3400.772331,1000,496.126478
-273.667028,82,496.667587
-42.151721,13,497.097845
-383.850223,139,498.131589
-2926.236918,1000,509.088908
-2942.698734,1000,521.095562
-29.133551,11,521.522944
-2998.943148,1000,534.496975
-3018.188647,1000,546.672445
-2933.250942,1000,559.71996
-156.441358,49,560.20498
-2845.933531,1000,571.237785
-2694.488194,1000,582.22811
-129.962119,39,582.287966
-27.206609,9,582.711359
-2910.572469,1000,592.737444
-2982.685669,1000,604.939425
-2040.405311,682,615.784827
-2185.543163,737,624.839605
-373.012489,123,625.884062
-2972.162043,1000,641.308682
-1514.094125,487,646.262781
-2975.091897,1000,658.798342
-221.508801,68,659.748334
-3043.289952,1000,673.158113
-3010.258286,1000,688.558262
-3055.303498,1000,702.744848
-536.486391,202,704.739076
-3009.146289,1000,719.3191
-2994.227972,1000,733.953825
-253.98384,79,738.906825
-465.025056,141,740.392117
-1404.460599,466,744.926218
-3031.106927,1000,757.553517
-3074.942178,1000,771.596391
-2985.621315,1000,786.771003
-187.103645,64,787.69062
-3053.136364,1000,800.941743
-220.769795,75,801.47479
-89.276519,32,801.938457
-138.88974,60,802.448365
-3057.125938,1000,817.005761
-3007.5468,1000,829.151742
-3026.262205,1000,842.383565
-170.735079,64,842.901793
-2999.78692,1000,856.29839
-222.096394,75,861.592841
-3021.160212,1000,875.815519
-3061.126918,1000,889.306604
-2953.089628,1000,904.445144
-2970.406433,1000,917.944375
-3021.109018,1000,931.105661
-942.021283,318,934.091756
-2985.505596,1000,949.23779
-3002.806085,1000,964.606433
-3042.213015,1000,979.963384
-3010.549604,1000,995.275067
-3001.926694,1000,1010.574092
-3045.437402,1000,1025.779504
-3210.259747,1000,1040.91913
-3003.655717,1000,1056.206498
-3168.776711,1000,1071.514031
-3111.046594,1000,1086.880175
-3055.662078,1000,1102.273536
-3149.3336,1000,1117.474505
-3084.003631,1000,1132.735788
-3052.062953,1000,1148.257578
-3025.737173,1000,1164.014029
-3245.390602,1000,1179.477168
-3009.235788,1000,1194.728557
-3006.776565,1000,1210.067266
-3156.593354,1000,1225.467617
-204.201957,49,1225.957269
-76.881693,20,1225.988599
-3006.440566,1000,1236.394435
-3038.216512,1000,1246.77702
-3039.571614,1000,1257.056954
-3120.259001,1000,1268.456827
-3036.525396,1000,1278.88968
-200.466395,55,1279.794738
-3029.228982,1000,1289.927143
-106.002435,28,1289.971265
-188.286405,49,1290.458413
-150.731941,36,1290.92632
-44.770999,11,1290.945043
-142.100222,36,1291.412068
-36.412356,10,1291.428954
-378.579949,107,1292.423533
-136.004798,40,1292.899843
-147.57867,37,1293.368504
-189.054992,55,1293.867334
-403.797989,126,1294.880223
-121.186764,34,1297.619228
-107.471876,27,1297.663679
-151.128787,40,1298.138217
-131.88337,38,1298.604142
-135.055309,32,1299.064054
-45.466383,12,1299.083256
-91.286301,24,1299.120727
-268.188304,68,1300.049759
-40.924788,11,1300.068603
-75.838734,19,1300.099793
-262.428117,83,1301.049492
-98.409903,28,1301.50331
-44.025768,13,1301.526156
-212.326437,56,1302.028414
-35.398341,10,1302.044803
-3026.901955,1000,1313.391365
-102.930071,25,1313.842404
-1789.292598,580,1319.656986
-478.955654,133,1321.175657
-2991.224298,1000,1332.348438
-303.66497,76,1332.883129
-45.076287,13,1333.316617
-387.325892,108,1334.312687
-46.062605,13,1334.333794
-126.576801,38,1334.803265
-40.869809,12,1334.822334
-188.449886,62,1335.33044
-764.274898,195,1337.287116
-46.68406,12,1337.716402
-3048.52976,1000,1349.015065
-70.022388,21,1349.049263
-164.966307,40,1349.524409
-43.168934,11,1349.542434
-416.837075,115,1350.550755
-3022.540832,1000,1364.78185
-215.676785,56,1365.28407
-215.816258,52,1367.328109
-108.841623,37,1367.800858
-115.408369,29,1368.257929
-3011.941572,1000,1379.460252
-3021.683324,1000,1393.821601
-3015.665907,1000,1406.156922
-2440.569384,808,1413.996037
-3056.16274,1000,1425.134392
-98.221593,43,1425.612378
-83.829297,29,1425.657127
-3034.513195,1000,1438.903178
-418.678711,171,1443.322344
-24.031995,11,1443.341052
-428.231754,143,1444.793239
-339.797922,128,1445.812979
-2981.94379,1000,1457.051808
-3008.913339,1000,1470.447071
-2974.93409,1000,1482.74057
-3000.551866,1000,1494.905204
-66.785735,23,1495.351596
-194.894595,76,1495.874411
-2941.873528,1000,1507.202172
-193.008024,79,1508.148702
-3040.373027,1000,1519.402575
-93.142588,48,1519.887681
-3021.279559,1000,1530.149438
-411.876619,164,1531.643642
-147.089575,53,1532.140758
-134.792289,49,1532.62925
-23.004178,9,1532.644149
-171.432321,64,1533.990229
-59.331037,28,1534.038426
-3008.923285,1000,1544.248294
-85.592681,45,1544.731262
-179.127178,71,1545.666083
-306.217858,92,1546.221849
-136.576317,52,1546.71371
-707.067304,241,1549.13935
-240.782348,83,1550.085541
-541.099261,161,1551.566797
-2995.796706,1000,1561.923911
-2956.686166,1000,1573.177384
-32.273381,16,1573.203772
-16.925279,7,1573.629385
-3029.71209,1000,1584.897789
-78.545535,28,1584.944298
-335.739252,93,1585.908472
-179.605998,69,1586.426648
-359.171517,117,1589.279735
-3009.287904,1000,1599.514481
-51.841394,22,1599.550388
-37.115396,16,1599.985786
-193.831466,67,1600.504299
-36.619933,11,1600.523767
-106.483512,40,1601.000454
-19.340667,7,1601.012631
-19.738235,7,1601.024812
-18.634833,9,1601.040045
-185.942517,71,1601.97961
-182.093097,68,1602.500807
-89.830633,28,1602.958297
-19.866963,8,1602.972491
-19.565559,8,1602.987076
-17.941645,7,1603.000371
-43.668641,16,1603.028736
-18.992245,8,1603.454645
-238.252642,67,1603.975567
-19.727333,8,1603.988796
-15.823211,8,1604.00224
-292.022514,82,1604.951717
-58.959747,29,1605.000834
-760.731503,275,1607.901799
-217.361758,75,1608.959687
-345.825404,120,1610.382405
-2992.923769,1000,1620.470948
-205.232878,68,1620.987696
-260.930541,71,1621.925829
-140.473353,56,1622.424863
-155.421029,54,1622.920423
-32.514598,10,1622.938063
-165.56201,50,1623.429841
-2946.349075,1000,1633.540859
-47.648122,20,1633.574429
-3000.481461,1000,1644.701704
-112.434654,38,1645.169594
-36.757715,12,1645.188702
-108.624996,41,1645.663795
-1006.212306,333,1649.053565
-34.212822,14,1649.076323
-3031.133749,1000,1660.810699
-47.314986,13,1660.83302
-46.826663,16,1661.268849
-150.009458,46,1662.225147
-262.422011,84,1662.772054
-18.991052,7,1663.193268
-174.295629,61,1663.701658
-3024.471743,1000,1674.817465
-60.220952,19,1674.850152
-59.915529,24,1675.301451
-57.043606,25,1675.343274
-30.522753,14,1675.366019
-22.283846,8,1675.791506
-20.828623,8,1675.805744
-274.683519,94,1676.779797
-346.900559,135,1677.81277
-23.607618,9,1677.827801
-26.647431,12,1678.257724
-17.195761,7,1678.270701
-358.902541,131,1679.301156
-2978.912826,1000,1689.639499
