#{"env_id": "Ant-v2", "t_start": 1521685068.4140263}
r,l,t
-381.102276,1000,14.353937
-1167.332314,1000,29.826228
-756.992091,1000,45.244197
-820.050231,1000,60.604602
-882.326843,1000,76.09355
-321.536592,257,83.269304
-1666.534552,1000,97.608486
-121.948085,170,99.134663
-907.014649,1000,112.592289
-1044.30119,1000,125.241804
-559.015151,1000,137.680147
-1003.602691,1000,150.028387
-512.447305,1000,161.822432
-17.420128,17,161.850528
-694.21689,1000,173.636571
-44.46475,75,174.597709
-15.090691,33,175.074234
-813.994996,1000,189.388215
-55.656344,71,189.927675
-446.332387,1000,203.83484
4.051663,21,203.867404
-14.682845,31,204.338395
-14.736761,602,212.681764
-384.028287,1000,224.211096
-1884.51684,1000,238.09195
-796.163078,1000,251.696843
-1055.036935,1000,266.059546
-3.080956,223,268.082617
-714.722709,1000,283.425475
-1282.001624,1000,295.879034
-1267.456201,1000,309.960401
-1339.21588,1000,323.558816
100.496519,1000,337.271184
4.619442,43,337.761638
48.480191,1000,353.058236
103.530417,408,357.500551
73.307204,728,368.854269
-1852.002787,1000,384.446838
-0.888037,292,387.433724
-1686.605695,1000,402.096616
-1966.903888,1000,415.852782
-1520.223191,1000,429.427073
-5.802779,148,435.35569
5.373129,431,439.397593
63.118334,199,441.385685
-373.81222,1000,454.759311
-490.30055,1000,466.775835
-10.156355,14,467.223037
-130.874967,1000,479.150245
10.012514,43,479.662051
-2659.593509,1000,491.430827
-250.405176,894,501.19338
10.618921,185,503.203623
-1995.776752,1000,517.360086
-1031.932506,1000,529.765056
-1.759317,53,530.267269
3.330677,22,530.7414
-279.224311,865,540.250554
111.754787,843,550.028684
-35.411903,1000,562.775972
-330.782231,1000,578.030417
-2258.448211,1000,590.290205
3.66178,57,590.803264
28.9573,115,591.817633
213.509937,1000,604.69277
7.261023,56,605.200732
-1441.885981,1000,618.11349
-118.409615,652,626.983916
-308.379138,1000,637.871836
5.064945,457,647.340292
41.430987,42,647.410314
145.503911,1000,658.941275
-476.861144,846,667.4712
-793.615709,1000,681.335283
-4.565102,25,681.798737
-1277.296316,1000,697.152521
-772.325995,1000,710.449915
-790.239774,1000,721.891447
25.799025,141,724.354105
39.568158,318,727.38197
153.921719,991,741.381017
-283.898834,680,751.911513
3.380337,137,753.395495
-19.106693,69,754.344394
83.802256,1000,769.332468
32.441316,1000,783.834424
-119.614636,599,789.809475
-368.005089,1000,805.259497
29.729065,814,818.747034
-637.534055,1000,829.384784
151.471914,412,838.11565
-421.069804,1000,853.472422
-351.870113,1000,866.011017
254.851435,1000,880.24854
17.243915,1000,891.691811
12.23657,45,892.184831
-1662.97264,1000,904.933234
358.592488,1000,917.590215
60.739205,77,918.552471
458.903907,1000,932.878812
237.401591,1000,947.698043
-87.806221,227,949.744452
-1747.454369,1000,964.110292
460.504114,1000,978.51081
7.510605,18,978.539632
-57.688886,1000,991.113435
2.038,1000,1006.606826
-49.627988,105,1008.029217
194.656235,1000,1020.689636
-1826.026325,1000,1034.26506
385.955737,1000,1048.867846
474.94834,1000,1062.687958
166.178372,395,1066.25506
422.879142,1000,1079.898362
-846.306997,1000,1091.58344
-20.23862,377,1097.498687
433.330023,1000,1112.258684
1.097716,18,1112.288374
127.84777,1000,1126.700215
245.378088,1000,1139.771563
-125.666228,1000,1153.254459
486.949645,1000,1168.510055
-1.000292,34,1168.984549
323.337824,790,1181.340164
166.132946,1000,1196.717821
123.055922,1000,1209.304753
-393.750518,1000,1222.724955
126.313272,311,1225.73085
-2011.514448,1000,1241.170377
-367.14147,1000,1255.683794
258.017095,1000,1267.504691
-1172.450277,1000,1281.644672
-133.910425,1000,1294.190129
185.172688,1000,1309.668252
21.330916,258,1312.175452
-645.07907,1000,1326.943937
-341.068386,1000,1342.331309
30.174406,294,1349.687946
11.83326,60,1350.206825
59.362451,51,1350.705459
64.776329,1000,1366.094836
-20.968048,290,1369.072427
59.578282,494,1374.061667
-279.159078,1000,1389.470656
-387.156314,1000,1403.38169
49.903167,145,1408.380531
-48.083913,474,1412.908057
183.146899,901,1424.869507
5.762465,14,1425.309404
218.634,1000,1440.780529
-2025.273245,1000,1455.581025
108.408881,206,1457.585401
-1614.429418,1000,1473.057889
7.738542,1000,1487.550575
258.27765,1000,1500.569587
-337.325448,1000,1515.079905
642.061471,1000,1530.569477
79.67847,1000,1544.198998
32.006853,1000,1558.767724
12.297252,30,1558.814423
280.670184,466,1569.462029
-19.708432,1000,1585.258318
143.868752,189,1586.84938
162.898506,529,1592.410174
181.717451,1000,1606.894634
413.552833,1000,1621.41761
-53.833552,233,1626.255273
-2514.565939,1000,1639.951722
432.092634,1000,1653.675763
189.664138,1000,1667.514985
79.670069,1000,1682.423674
6.491988,205,1684.483448
-2060.226859,1000,1699.843466
-2639.149221,1000,1714.896668
285.012,1000,1730.451504
10.171651,1000,1745.154935
478.007362,1000,1759.731657
-470.450348,1000,1774.222889
-2070.363507,1000,1787.683937
-244.579181,1000,1803.180446
509.629101,1000,1818.467045
-1520.422103,1000,1832.402694
-2125.525869,1000,1847.925795
-12.382392,13,1847.948942
-2399.97274,1000,1861.394562
90.720121,526,1866.888079
-171.27735,1000,1881.576498
343.48741,647,1893.52539
26.717394,62,1894.045225
451.120149,1000,1909.574685
-2372.793131,1000,1923.424491
752.932006,1000,1938.964427
557.54705,1000,1953.421333
-27.117823,132,1954.474244
378.281285,1000,1969.892849
-1102.009561,1000,1985.38538
117.186982,1000,2000.984352
39.162359,132,2002.458298
-1924.215598,1000,2015.136498
82.766597,88,2016.119842
5.593542,133,2021.190475
-627.70357,1000,2036.189734
-7.076772,160,2038.134381
-1522.834354,1000,2053.679842
288.800708,1000,2069.269054
-11.618765,94,2070.251995
-55.145081,167,2071.775375
-1603.154188,1000,2087.130582
-1722.161893,1000,2100.68302
-91.141984,1000,2115.354803
20.058511,71,2115.893074
511.546272,1000,2131.457952
-48.505361,137,2132.946756
-22.093403,1000,2148.58134
-1987.858241,1000,2162.504331
266.120949,1000,2178.17809
-641.846465,1000,2193.320932
286.103246,506,2203.835786
100.575091,1000,2219.372463
446.690438,1000,2233.742308
-711.047537,1000,2248.029719
121.668978,1000,2263.554186
-184.550507,1000,2276.450941
126.795117,1000,2290.535421
-2400.889224,1000,2306.228552
315.671931,1000,2319.784532
-28.568039,609,2325.82356
189.280867,1000,2341.349061
-360.253878,1000,2355.582492
16.821653,1000,2371.109491
-1889.069615,1000,2385.277617
116.930279,442,2394.788709
105.878889,176,2396.737973
-2645.804235,1000,2411.007353
90.734186,1000,2425.381754
-2261.654416,1000,2438.153156
-47.97102,395,2442.160513
1.519637,20,2442.192354
-2360.519868,1000,2455.773281
-0.347187,48,2456.278783
17.150697,35,2456.754762
11.367953,92,2457.324475
211.151687,556,2465.340975
-2441.812418,1000,2480.005758
189.655868,1000,2496.037533
45.273115,626,2505.866194
-2646.326135,1000,2520.879224
-2374.532741,1000,2535.916754
-12.298466,62,2536.436044
283.450321,1000,2551.968311
-2887.078959,1000,2567.584288
134.299455,1000,2583.166421
-124.077484,210,2585.61011
-366.094866,1000,2601.389154
-234.109662,1000,2617.308755
0.646179,1000,2633.504784
-1210.22914,1000,2649.484236
57.306272,110,2650.522512
157.296025,1000,2664.621793
338.393723,1000,2680.236779
-450.197902,1000,2695.668041
245.490877,1000,2709.385415
64.622972,256,2711.894734
-631.065579,1000,2725.06405
103.420047,1000,2738.950442
169.349508,949,2751.286486
-10.339694,201,2753.299983
-2076.018759,1000,2768.232554
174.219741,1000,2783.903994
-32.082701,107,2789.977613
-15.604542,224,2792.489675
-338.117937,1000,2804.438347
285.294666,1000,2816.518781
-24.278106,110,2817.566805
-25.505594,147,2819.115355
269.540241,1000,2833.916668
-843.793746,1000,2847.202279
1.40983,19,2847.23221
-8.344017,87,2848.230837
151.752279,327,2851.334501
388.648379,1000,2864.921369
152.965288,314,2873.174931
-1788.698452,1000,2888.679289
-212.014259,495,2893.323036
-120.7579,592,2903.190178
122.804704,1000,2914.939882
-153.825042,537,2920.46264
196.946937,427,2930.457317
-1195.634374,1000,2944.189459
327.919572,1000,2959.749653
238.343259,1000,2974.363816
286.769942,911,2985.41256
159.129991,770,2997.472274
105.323001,1000,3013.050958
167.806051,1000,3028.47096
168.727945,489,3033.437647
88.417324,281,3036.413739
46.688381,51,3036.920557
-1014.147445,1000,3051.082047
9.006945,23,3051.121015
402.967616,1000,3065.433738
-563.034281,1000,3080.393783
197.262953,331,3088.507437
338.289972,1000,3103.169503
-0.914819,17,3103.198018
317.974033,450,3107.699611
646.847577,1000,3122.41468
372.294621,719,3132.290373
-4.932749,16,3132.741231
4.823923,44,3133.243701
-5.096691,14,3133.268159
54.041841,79,3134.240087
15.023893,27,3134.282728
-1109.471358,1000,3147.098461
170.192454,1000,3161.749145
6.165746,115,3162.772332
-2239.322115,1000,3175.670391
-19.613647,31,3176.139789
382.707968,1000,3190.715779
77.378883,150,3192.212427
53.864598,186,3199.238188
9.644829,102,3200.239718
423.090252,1000,3212.777411
138.567797,936,3226.460447
189.868784,1000,3241.22026
-1322.655754,1000,3256.528433
66.32191,351,3260.042691
437.881203,1000,3273.076497
414.704844,1000,3287.753912
186.135524,338,3291.235663
-1349.31261,1000,3303.82574
521.99686,1000,3318.160524
-52.327965,223,3325.943902
326.2371,1000,3339.550581
-1700.504086,1000,3354.103195
319.223632,1000,3368.916146
547.007528,1000,3384.493954
612.374505,1000,3397.737208
312.290538,1000,3410.408736
-2.236072,61,3410.934025
11.848329,44,3411.425716
295.405168,1000,3425.239121
-748.091311,1000,3441.173038
102.799675,140,3442.65748
-9.051588,1000,3455.772237
216.284795,1000,3467.838939
76.412106,133,3468.901423
356.697018,1000,3481.544693
-4.508828,63,3482.488927
358.430598,727,3495.228661
23.003086,222,3497.276129
303.3166,1000,3511.648497
-23.014104,39,3512.134048
62.290019,117,3513.57943
38.926141,1000,3527.846077
-1171.034313,1000,3543.384639
-22.092571,639,3553.832071
124.596017,1000,3568.469382
-128.233749,1000,3583.763386
432.223713,1000,3599.412396
184.455166,1000,3612.724309
341.123289,1000,3628.515301
77.818985,209,3630.953752
522.042954,1000,3646.677789
56.553999,203,3648.687626
-36.192672,1000,3663.32952
203.046751,1000,3678.9025
76.292575,1000,3693.509505
223.720033,1000,3708.241769
