#{"t_start": 1521663188.5337338, "env_id": "Ant-v2"}
r,l,t
-620.784002,1000,13.036878
330.300004,1000,28.389794
-1907.474795,1000,43.850643
-633.093939,1000,59.099745
-70.170991,404,68.938651
-1389.206412,1000,83.997412
-642.530414,1000,99.325106
-1128.578846,1000,114.492409
-635.174808,1000,125.815463
-804.671017,1000,140.921126
-233.810045,1000,155.116132
-408.80406,1000,170.133855
-266.516847,1000,185.251105
-174.698039,1000,199.209183
-9.609226,56,199.710799
-25.813729,55,200.208967
-71.012272,75,200.740097
-422.847254,1000,213.0036
52.238322,189,214.9614
-186.674009,1000,229.084276
-7.014721,148,230.557074
-1.787907,227,236.903998
-258.596731,1000,250.586112
-0.328917,1000,264.896374
-0.552941,78,265.432414
110.320896,620,271.775495
2.231437,1000,285.869171
140.96087,1000,300.105156
92.300713,339,306.874784
-613.704047,1000,319.443483
-231.467849,1000,332.292153
-439.843904,1000,346.914998
13.806864,83,347.872823
40.977344,234,350.294296
32.421764,113,351.298941
-178.637245,1000,366.32316
4.588786,57,366.829963
-322.068171,1000,380.501667
-300.178748,1000,395.796715
124.838693,1000,409.20732
333.893252,1000,422.590198
-278.782652,1000,434.84029
207.599696,1000,449.702084
544.175834,1000,464.704221
370.204251,1000,479.115674
263.128379,1000,494.16186
-225.644279,1000,509.013763
25.112034,46,509.499134
327.521709,1000,524.575072
619.038282,1000,539.751442
437.454506,1000,554.824227
93.765095,161,556.314495
552.720241,1000,571.373669
595.839502,1000,586.42982
-742.858212,1000,601.604092
350.350442,1000,618.630019
253.741125,1000,633.849895
-622.205773,1000,648.986943
-156.209892,1000,663.019907
100.269315,237,668.242638
506.664472,1000,682.721772
32.939166,46,683.209144
612.674819,1000,697.491608
522.615823,896,711.498911
364.757037,1000,726.664112
388.78865,1000,741.481132
-533.604296,1000,754.690648
-111.764293,1000,768.963661
55.658165,1000,783.873652
30.570229,23,783.908123
194.495834,1000,799.149686
393.188565,1000,814.441738
59.071367,1000,828.486666
661.230365,809,836.537631
737.931546,1000,851.927462
78.320149,1000,867.313327
389.73537,1000,882.653746
408.808102,1000,898.004158
577.934286,1000,913.496153
753.232309,1000,928.573414
604.104945,1000,943.610056
704.689738,1000,958.302116
606.481936,1000,973.378177
410.140211,1000,988.715268
458.886092,1000,1003.615897
495.244715,1000,1018.967732
-478.151404,1000,1033.28157
-66.093907,1000,1048.524303
412.851206,1000,1062.385132
-1128.532725,1000,1077.272125
-701.810068,1000,1091.655688
67.500383,268,1098.981516
372.836597,1000,1114.065822
123.596259,220,1116.062127
87.375602,141,1117.52167
-268.73357,1000,1131.293281
-703.095349,1000,1145.876637
-239.538896,1000,1161.030118
749.871334,1000,1175.642638
98.580553,564,1186.398276
479.713808,1000,1201.665573
112.383153,1000,1215.880219
338.881116,821,1224.193704
145.600552,1000,1239.327237
325.432255,1000,1254.441453
558.790732,1000,1269.555707
382.832156,1000,1284.695936
477.102322,1000,1298.521035
-144.797065,560,1309.166974
259.25336,477,1313.646406
-76.083368,1000,1327.795139
232.555466,1000,1342.937426
773.280409,1000,1357.716311
275.910832,1000,1372.825077
709.225752,1000,1388.019983
-1141.334946,1000,1403.094219
532.333233,1000,1418.07711
127.411721,231,1425.782644
244.86878,1000,1440.817505
184.551882,1000,1455.862384
410.135751,935,1469.60987
546.170432,1000,1483.898573
353.191624,1000,1499.207304
163.295131,1000,1514.400469
43.879837,90,1515.369724
241.49786,1000,1530.783862
727.451508,1000,1545.016915
239.045231,1000,1560.370661
225.664965,1000,1575.130885
-38.158066,1000,1590.119547
-991.667171,1000,1605.193237
-1137.205996,1000,1620.422936
371.559478,1000,1634.674717
313.244378,1000,1649.890731
351.222372,1000,1664.387077
461.830057,1000,1679.568735
-1391.735832,1000,1692.956867
344.683146,1000,1707.212922
-845.191551,1000,1721.49399
408.307694,1000,1736.698219
457.504695,1000,1751.235863
436.455911,1000,1766.421508
96.231435,253,1768.872833
132.266382,166,1770.357542
-574.47489,1000,1783.399276
21.172313,555,1793.312834
213.617891,667,1799.713097
9.017226,588,1810.582028
253.559924,461,1815.013942
367.326564,1000,1830.281414
0.207409,701,1841.739828
355.606798,1000,1856.007521
413.61675,1000,1870.645956
-454.521004,1000,1885.973297
442.424272,1000,1901.137892
