#{"env_id": "Ant-v2", "t_start": 1521652014.0291367}
r,l,t
359.330626,1000,15.016084
-1686.774671,1000,33.053949
-746.710396,1000,53.504165
-584.989895,1000,71.526335
-80.492058,183,78.452074
-678.426934,1000,95.486281
-242.840371,301,98.99129
-31.458892,19,99.503051
-125.606315,78,100.115629
-83.554717,46,100.684959
-207.993162,192,103.057308
-1017.683647,1000,120.818967
-400.387157,1000,137.825638
-1137.139828,1000,154.055635
-900.839475,1000,168.309587
-238.114223,466,177.570924
1.234777,233,180.44346
-455.982015,1000,194.823134
-3.758154,65,195.453149
-8.454698,705,207.244186
370.208472,1000,225.379106
653.02956,1000,241.834374
-62.360186,1000,259.849748
206.970206,379,264.825211
313.30868,1000,283.139968
314.674622,1000,307.320461
416.496905,1000,328.957543
382.723481,1000,345.848148
600.529384,1000,360.52702
-1385.102455,1000,377.011977
394.784286,1000,393.442756
276.477111,1000,410.22637
194.919857,431,420.463794
-1079.326528,1000,438.262707
380.461985,1000,458.176998
386.320472,1000,475.221339
476.240976,1000,490.233381
62.544787,149,491.843076
-2281.50814,1000,507.406945
198.847901,1000,523.784547
51.337828,117,525.372058
621.531278,1000,542.699506
-18.766604,49,543.377767
365.465696,579,549.900789
455.375909,1000,567.000966
-224.880349,1000,582.772767
411.193668,1000,598.672242
322.558533,1000,615.772081
-1198.403648,1000,632.699373
428.64099,1000,647.822077
-9.040576,75,653.199593
605.47542,759,660.88892
-1059.822586,1000,676.523697
496.657038,1000,692.006038
350.87272,1000,707.687885
-31.886593,1000,721.211153
388.929835,1000,736.793032
-0.175437,21,736.825818
-1.279892,52,737.340394
-2211.169823,1000,752.864259
-1666.751791,1000,768.116797
-1250.976661,1000,783.614761
59.297328,1000,798.128328
562.439861,575,809.555985
564.945589,1000,824.130107
-1456.529371,1000,837.128065
-766.364145,1000,852.140785
4.263767,35,852.635275
-445.709465,1000,866.569398
21.196268,678,878.37042
410.509405,1000,890.494906
-585.917185,1000,906.75733
55.811864,207,908.960104
91.294282,206,911.25614
5.840769,17,911.752324
-84.931211,1000,927.322205
361.165279,1000,942.559739
-225.832238,1000,957.584173
70.70317,478,967.081702
422.932948,818,975.847562
-1258.551496,1000,990.921771
-591.219009,1000,1007.343396
-316.278597,1000,1024.892371
81.46969,185,1031.311626
63.162118,1000,1047.084884
-437.42447,1000,1062.860883
-1090.759818,1000,1077.778201
64.741826,159,1079.74235
333.958975,890,1093.595759
-18.271823,96,1094.636364
9.844056,96,1095.650372
64.046331,845,1110.277952
350.662186,1000,1123.07938
156.985424,1000,1138.610342
218.364312,1000,1153.953272
-2759.622294,1000,1167.966709
35.996577,42,1168.605802
105.868662,743,1177.96963
225.383864,656,1189.378857
-412.221636,1000,1206.164053
1.360937,55,1206.824075
-2638.842842,1000,1224.609045
321.65826,813,1240.264795
-2792.620881,1000,1256.210188
496.473478,1000,1272.793377
225.640769,1000,1288.720968
445.612162,1000,1304.415267
308.212543,1000,1320.295586
140.241354,461,1325.360267
-2028.011153,1000,1338.940346
229.953431,582,1349.966655
57.640317,924,1365.102934
375.685042,1000,1378.747174
532.462606,1000,1394.519259
45.139998,72,1395.06454
191.581631,1000,1410.811027
53.282926,201,1412.829912
-1809.60221,1000,1428.637107
110.474893,254,1431.178131
393.188857,707,1443.638514
43.622438,89,1444.643219
67.048492,178,1446.660132
95.465873,229,1452.717819
-896.255406,1000,1466.020451
138.538106,1000,1481.651457
270.433071,1000,1496.307024
482.035544,1000,1511.391866
481.491183,1000,1526.933063
340.959808,1000,1541.572135
124.559746,1000,1556.241419
194.275562,1000,1571.953396
239.282106,1000,1584.585438
15.25944,17,1585.050445
65.415791,535,1590.336722
227.333978,1000,1607.583934
87.190818,187,1610.296959
-230.801615,384,1619.093241
82.839512,284,1621.996678
100.321358,1000,1641.287642
470.777375,1000,1660.451398
113.492825,454,1672.317999
-0.663337,29,1672.382445
-1540.295076,1000,1692.34674
21.90732,54,1692.894835
191.580396,1000,1707.756325
187.335035,649,1715.780252
-303.181664,1000,1731.759411
327.261887,1000,1748.257534
346.274729,1000,1764.968067
209.617013,1000,1781.249819
442.860261,1000,1798.050602
-789.961731,1000,1815.599239
254.604277,894,1831.281314
373.163499,1000,1846.980758
43.898063,1000,1864.28418
383.531438,1000,1880.058506
-140.699275,465,1890.638983
-2230.848737,1000,1908.657968
226.778397,1000,1925.778648
402.815875,1000,1943.522675
-317.662161,1000,1960.777133
67.467563,1000,1979.560999
278.801183,653,1987.399334
-1414.590231,1000,2006.226547
-1150.035646,1000,2022.358995
55.159241,174,2024.52346
206.587079,1000,2040.660463
490.135623,1000,2058.083625
-4.807531,140,2065.072391
-1881.47886,1000,2080.932981
94.495513,1000,2097.572373
401.505372,1000,2113.363592
64.488585,239,2115.725507
-0.89431,80,2116.7794
3.476264,169,2118.538005
184.443112,1000,2135.665778
397.130747,1000,2152.798146
406.211914,1000,2169.400443
-1968.223465,1000,2185.046045
-11.970198,438,2195.966565
-8.468928,25,2196.508218
137.0922,1000,2212.593236
333.75234,1000,2229.039819
204.508968,1000,2246.183762
100.690023,259,2249.178875
