#{"t_start": 1521652069.8343947, "env_id": "Ant-v2"}
r,l,t
-224.656775,1000,13.339614
348.859667,1000,29.048258
-1536.936741,1000,44.531233
-1323.673111,1000,60.050134
-1453.37007,1000,75.511191
-1518.080066,1000,90.135484
-1097.794396,1000,105.829345
-1400.532015,1000,119.29645
-1387.688449,1000,134.628078
-2045.473672,1000,150.17658
-14.401202,28,153.121794
-889.406874,1000,167.249452
-23.799142,77,168.227452
-424.223329,533,173.311463
-1223.014324,1000,188.749585
-1074.528497,1000,204.414389
-1042.022367,1000,218.556413
-1012.52858,1000,231.505529
-2559.195829,1000,245.384943
-79.75049,168,247.350514
-12.503563,120,248.389433
23.856103,380,257.883815
-169.372986,681,264.479716
-1134.737457,1000,277.327988
-42.172544,244,283.545292
-1464.0052,1000,297.153639
-72.50731,187,299.138337
18.085844,284,302.129616
-1995.569317,1000,316.719034
-126.526508,333,323.720861
-895.38013,1000,337.120497
-1720.798088,1000,352.492406
527.533664,1000,367.9649
32.559165,1000,383.315848
26.931067,1000,398.866729
-1573.16521,1000,414.331531
-1139.244251,1000,429.71076
628.177846,1000,445.144524
-341.672803,1000,459.903473
-182.861432,356,463.448329
329.623978,1000,478.733098
348.64474,1000,497.950511
-2098.204211,1000,521.236566
-287.756906,569,529.80689
-395.621632,1000,547.120269
-1945.411636,1000,564.776232
-922.812425,1000,582.916959
-104.964337,1000,600.431176
503.471634,1000,616.475908
282.126509,579,627.69447
-86.75481,1000,644.566616
-2213.237458,1000,662.383668
186.866657,1000,682.173576
-24.048045,54,682.711708
171.826206,1000,698.505109
-175.988977,1000,715.740394
-553.104608,1000,734.777379
124.942817,1000,752.177395
647.964094,1000,769.250459
486.527848,1000,785.316613
578.820703,1000,803.500601
237.118061,1000,821.768134
451.599297,1000,839.92243
609.947617,1000,857.690376
-567.557846,1000,875.781429
610.594263,1000,894.15317
-465.55844,443,902.543047
41.958824,1000,917.981472
-1604.650203,1000,934.606903
90.766312,709,943.115851
283.754017,1000,959.29873
-1923.382008,1000,977.396466
339.999799,1000,993.459507
-356.644608,1000,1009.336769
25.850378,70,1010.40476
195.688786,1000,1028.273004
839.410477,1000,1046.086537
420.382524,1000,1063.122003
-2467.989237,1000,1080.795206
335.216568,1000,1099.206991
45.80608,1000,1116.015081
41.080173,1000,1132.627954
176.956135,1000,1150.67007
-110.586078,1000,1169.491302
89.40743,1000,1187.071021
282.634347,1000,1204.208227
-294.02896,723,1218.484379
93.861851,605,1229.396975
424.699622,982,1243.574536
673.110162,1000,1259.690839
-545.714691,1000,1280.342808
45.254931,761,1289.514675
36.179165,230,1296.522667
16.481297,54,1297.04887
268.938037,1000,1312.455431
38.06252,44,1313.007782
225.417069,487,1318.374455
388.470612,1000,1331.658321
785.047015,1000,1347.238024
639.887266,1000,1362.331809
605.787085,1000,1379.81189
131.610598,211,1382.411426
623.985033,1000,1396.755803
-960.096245,1000,1411.053721
653.948877,1000,1427.801251
-2361.95926,1000,1440.736312
534.945678,1000,1455.85091
-804.68714,1000,1470.45112
-57.692046,1000,1486.757725
577.444351,1000,1502.264004
588.616786,1000,1520.837989
198.462245,219,1527.075491
501.990348,1000,1543.328839
554.685854,1000,1558.466538
302.373139,541,1564.211975
180.364403,265,1567.004194
376.796307,1000,1582.433203
406.720798,1000,1597.600235
-172.618279,1000,1613.493067
-2127.225239,1000,1629.749672
-453.963487,1000,1649.405819
277.931798,1000,1663.373308
-208.391876,1000,1677.74127
-7.117907,29,1678.223595
169.829789,1000,1694.529943
366.570925,1000,1710.754392
-2354.332313,1000,1726.462902
362.892762,1000,1741.988319
751.521551,1000,1758.054766
802.999117,1000,1773.47304
398.6174,724,1786.920517
657.525935,1000,1802.869456
315.630935,1000,1819.373915
-1028.175925,1000,1834.697661
686.622793,1000,1851.722746
373.984959,719,1864.260397
587.726041,1000,1880.137397
81.878724,99,1881.236666
342.467156,1000,1896.222075
19.845009,1000,1912.387449
-532.063699,1000,1928.576535
-785.499658,1000,1943.677769
775.697551,1000,1959.798254
465.153475,1000,1975.93889
43.633249,1000,1992.285036
287.813676,1000,2008.40231
437.843862,1000,2024.09559
-832.755911,1000,2041.505272
265.19424,452,2046.730756
334.23771,1000,2061.373698
852.399112,1000,2079.460859
791.793516,816,2094.47275
576.4754,1000,2111.275264
173.326305,317,2121.245384
-2200.012177,1000,2137.382995
54.663209,606,2144.463808
654.914095,1000,2161.124154
50.102239,172,2163.532156
-1567.338725,1000,2180.889028
513.067088,1000,2200.187829
557.23503,1000,2217.298681
282.798788,1000,2233.111515
484.096009,1000,2246.288415
98.970462,1000,2261.945785
-9.264224,19,2261.978416
-1205.57239,1000,2277.390034
490.463123,1000,2291.947349
448.207217,1000,2307.342719
594.753235,1000,2324.317594
50.074377,89,2325.399163
226.176364,1000,2342.017428
169.9462,850,2355.814581
328.511233,1000,2371.568678
515.308775,1000,2386.840901
536.214286,1000,2402.09345
461.830836,1000,2416.496356
494.450524,1000,2430.981302
-2718.966909,1000,2447.441868
229.163632,1000,2460.400837
-19.044271,21,2460.434532
169.914524,1000,2472.707655
132.770716,1000,2487.286504
213.289167,1000,2500.725204
39.066897,59,2501.71677
18.706443,99,2506.082737
-2034.256825,1000,2520.71658
13.489679,16,2520.744399
281.84965,1000,2533.735012
414.031944,1000,2547.759254
119.1183,347,2551.442372
664.866623,1000,2564.548618
-2731.034736,1000,2579.123105
187.348652,1000,2595.564192
-379.453193,1000,2609.646479
328.033862,1000,2625.636166
-2910.419082,1000,2641.561768
228.405297,1000,2660.153572
-9.335023,34,2661.018118
-6.492849,19,2661.061607
8.148194,38,2661.681851
-1012.906253,1000,2678.720534
165.299125,1000,2694.77058
118.963942,832,2707.838859
32.373714,101,2708.974741
-530.469734,1000,2723.827335
1.647624,1000,2738.44442
-2.798435,66,2739.414793
1.557666,12,2739.435386
168.544136,226,2741.507114
107.331,594,2751.59989
1.579075,60,2752.546777
-148.33984,1000,2767.222448
227.723273,1000,2781.131469
-2347.281212,1000,2794.888647
15.362929,22,2794.924372
274.950532,987,2809.720322
640.1369,1000,2822.353797
-257.33252,1000,2837.01172
46.0095,99,2838.025324
538.820192,1000,2853.743544
256.765005,479,2858.322152
303.704847,1000,2871.963197
226.120541,421,2882.046302
-555.78131,1000,2896.027208
628.544458,1000,2911.675221
439.765886,1000,2926.592089
19.542638,20,2926.623335
92.382201,176,2928.602318
355.137927,1000,2943.107415
423.594226,1000,2957.850348
423.630089,1000,2972.362735
367.149429,1000,2986.32736
304.812927,1000,3002.113179
310.561971,725,3014.222995
35.781464,53,3014.739678
138.576854,1000,3027.301275
27.702528,1000,3042.554831
91.458617,208,3044.58493
564.623581,1000,3059.486073
593.193238,1000,3074.309397
549.608779,1000,3089.699806
402.617353,1000,3105.716488
801.970172,1000,3120.591292
97.32578,1000,3136.502564
358.611513,1000,3152.328516
492.883678,1000,3167.080183
230.035351,1000,3181.06672
379.400454,1000,3196.842981
160.316394,890,3209.293172
57.151758,120,3210.765381
55.67232,58,3211.284099
43.558284,44,3211.781268
332.515131,696,3223.466248
193.603895,813,3236.109891
-669.693865,1000,3251.796015
698.065168,1000,3266.524471
665.494086,1000,3282.29266
11.036832,1000,3298.217706
646.017331,1000,3313.227758
431.073478,1000,3328.997635
105.972514,161,3330.542285
496.313928,1000,3345.363093
-532.325544,1000,3361.200266
371.719203,1000,3377.039283
272.439467,396,3381.074113
361.791449,1000,3395.92217
338.644999,1000,3411.718596
175.035688,217,3413.768476
17.452764,66,3419.312405
648.102156,1000,3435.05062
520.056721,1000,3450.024954
322.286927,1000,3465.820898
4.016342,34,3465.876872
273.686527,1000,3480.057912
412.263517,1000,3493.942131
-1919.455012,1000,3507.146114
728.397852,1000,3523.00286
423.349095,1000,3536.572533
72.93602,119,3538.041428
10.069005,15,3538.067292
-673.121549,1000,3552.983181
-1153.795367,1000,3567.776807
52.86066,61,3568.29645
-146.956149,1000,3583.25995
326.837681,1000,3599.021138
275.723437,1000,3614.857594
-471.312427,1000,3629.774221
117.030623,262,3632.322935
323.855681,1000,3646.784734
379.296678,1000,3661.513494
300.803782,437,3666.067401
578.42297,1000,3681.095933
391.324647,1000,3697.19788
57.408261,172,3704.932523
340.738828,875,3713.804876
392.620018,1000,3729.93171
491.537974,820,3743.28592
6.848168,38,3743.773803
255.57855,1000,3759.842422
168.479213,619,3770.27112
550.912202,1000,3786.069142
-1549.799898,1000,3801.95585
387.341616,1000,3816.685637
663.16847,1000,3831.540308
-590.993453,1000,3846.56114
378.626167,1000,3862.546903
-8.077668,1000,3878.612404
-45.259124,1000,3894.747976
-148.980695,1000,3910.289535
507.180376,1000,3925.068704
183.873851,1000,3940.590937
453.725533,1000,3954.713238
20.511425,54,3955.224768
346.184512,1000,3969.513903
263.258872,1000,3985.112708
