eval/episodes,rollout/episode_steps,total/steps_per_second,total/episodes,reference_actor_Q_mean,train/param_noise_distance,total/steps,obs_rms_std,train/loss_critic,reference_Q_std,param_noise_stddev,reference_actor_Q_std,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,rollout/return,eval/return_history,train/loss_actor,total/epochs,reference_action_std,obs_rms_mean,rollout/actions_mean,eval/return,reference_Q_mean,rollout/Q_mean,rollout/actions_std,reference_perturbed_action_mean,total/duration,eval/Q,reference_perturbed_action_std,rollout/return_history
1.0,131.0,68.02614265702499,3.0,0.01229904592037201,0.31406882405281067,1000,0.3668740391731262,0.15770626068115234,1.9108561277389526,0.16720346283821505,1.7825345993041992,0.0,0.17342546582221985,3.0,1.0,-62.88758426745408,-875.1200207425996,-0.11320068687200546,1,0.6562539935112,0.03921879455447197,0.2092774361371994,-875.1200207425996,-0.5158262252807617,-0.5555858612060547,0.4762541949748993,0.33507591485977173,14.700230836868286,1.930854320526123,0.38460731506347656,-62.88758426745408
2.0,348.25,70.44912530077909,4.0,2.3190555572509766,0.7164314985275269,2000,0.32788920402526855,0.17897114157676697,2.568849563598633,0.15440959267203633,2.231733560562134,0.0,0.44884270429611206,4.0,1.0,7.797240880879492,-1055.455638836715,-1.170597791671753,2,0.6622783541679382,0.04008299484848976,0.22213691473007202,-1235.7912569308303,1.7939295768737793,-0.3709225356578827,0.5718046426773071,0.14868927001953125,28.389280796051025,2.8176205158233643,0.8013945817947388,7.797240880879492
3.0,478.6,73.70197629280837,5.0,4.553398132324219,0.4618540108203888,3000,0.3004271388053894,0.20852777361869812,2.8323850631713867,0.12654552784140155,2.652265787124634,0.0,0.11764280498027802,5.0,1.0,-305.2990124655018,-788.9995422345529,-0.6171994209289551,3,0.6222271919250488,0.04191165417432785,0.2659846246242523,-256.08734903022895,3.817044734954834,-0.2212638407945633,0.6190512776374817,0.5309628844261169,40.704471588134766,3.877977132797241,0.6096091866493225,-305.2990124655018
4.0,565.5,75.30101977192518,6.0,7.97562313079834,0.6391074657440186,4000,0.3107789158821106,0.47549721598625183,3.038853883743286,0.10370968758833489,2.7678744792938232,0.0,0.028073854744434357,6.0,1.0,-475.7111035741216,-681.433923615291,-4.346540927886963,4,0.6743636131286621,0.04009408876299858,0.263340026140213,-358.7370677575051,7.38369607925415,0.8770380616188049,0.6160086989402771,0.17051361501216888,53.12013053894043,6.572510242462158,0.5389323830604553,-475.7111035741216
5.0,627.5714285714286,77.34422643685946,7.0,12.24888801574707,0.3316987454891205,5000,0.31759005784988403,0.3995092809200287,3.2997913360595703,0.0849947009834283,2.9866690635681152,0.0,-0.020811762660741806,7.0,1.0,-460.52039678495566,-636.2175592049437,-10.73067855834961,5,0.6927106976509094,0.03790264204144478,0.1788976639509201,-455.3521015635541,11.3250093460083,2.5193772315979004,0.6329636573791504,-0.10454259812831879,64.64606642723083,12.619307518005371,0.616818368434906,-460.52039678495566
6.0,674.125,79.57289237471285,8.0,14.93719482421875,0.3632318675518036,6000,0.3263852298259735,0.6223500370979309,3.8117516040802,0.06965693719894053,3.2837822437286377,0.0,0.08915886282920837,8.0,1.0,-478.8223617793429,-566.269492436577,-14.546099662780762,6,0.6645159125328064,0.03799489513039589,0.16179630160331726,-216.52915859474442,14.21572494506836,4.396408557891846,0.6324601173400879,0.2650965452194214,75.40256261825562,14.559775352478027,0.532687783241272,-478.8223617793429
7.0,704.6666666666666,80.16529990932541,9.0,17.26926040649414,0.39754369854927063,7000,0.33123481273651123,0.6866179704666138,3.6455299854278564,0.057086957702023974,3.2132115364074707,0.0,0.141209214925766,9.0,1.0,-473.6222453898665,-510.4374345458091,-16.820659637451172,7,0.5856767296791077,0.03787394240498543,0.17573021352291107,-175.44508720120135,16.65626335144043,5.740818500518799,0.6323158740997314,0.2845674157142639,87.31957602500916,14.884217262268066,0.6412786841392517,-473.6222453898665
8.0,734.2,78.7103753698594,10.0,19.64877700805664,0.3044545352458954,8000,0.3382745683193207,0.7475214600563049,4.358042240142822,0.046785300513072836,3.9600284099578857,0.0,0.12312325090169907,10.0,1.0,-514.3483336572588,-450.2429645635375,-19.111412048339844,8,0.47754842042922974,0.035635821521282196,0.17307767271995544,-28.881674687636394,18.93429183959961,7.2562689781188965,0.6241306662559509,0.22342009842395782,101.63844299316406,19.32370376586914,0.4985153079032898,-514.3483336572588
9.0,651.8461538461538,78.1687714156085,13.0,22.50489044189453,0.22019359469413757,9000,0.3465737998485565,0.8546134829521179,4.812168598175049,0.040701478966889394,4.477940082550049,0.0,0.11650477349758148,13.0,1.0,-398.74183287143455,-396.2728193571093,-21.11511993408203,9,0.4097941219806671,0.03290428966283798,0.13806326687335968,35.48834229431621,21.74129867553711,8.576608657836914,0.6192556023597717,-0.011647865176200867,115.13549256324768,20.399921417236328,0.425660640001297,-398.74183287143455
10.0,676.7142857142857,77.87337197639697,14.0,25.742036819458008,0.23036080598831177,10000,0.34996968507766724,1.6895315647125244,5.274520397186279,0.03834263432855746,4.673604488372803,0.0,0.11639685183763504,14.0,1.0,-393.672395435586,-350.00761704195713,-23.91143226623535,10,0.43521443009376526,0.031008582562208176,0.09997887909412384,66.37920379441209,24.830596923828125,9.896349906921387,0.616248369216919,-0.023166820406913757,128.41359949111938,25.098878860473633,0.4584599733352661,-393.672395435586
11.0,629.3529411764706,78.15519686368415,17.0,29.078710556030273,0.21143420040607452,11000,0.36021989583969116,1.1613147258758545,4.223542213439941,0.037587132956139066,3.196723222732544,0.0,0.14308898150920868,17.0,1.0,-306.7142022258273,-315.07646317779967,-26.913602828979492,11,0.45363929867744446,0.029331644997000694,0.08440873771905899,34.23507546377486,28.133960723876953,11.411548614501953,0.6079652905464172,-0.06370919942855835,140.74559903144836,27.370891571044922,0.5330445170402527,-306.7142022258273
12.0,649.9444444444445,77.3646439699514,18.0,31.705312728881836,0.2180977314710617,12000,0.3639417886734009,1.2332701683044434,4.637953281402588,0.03612049597631192,3.6744914054870605,0.0,0.22541601955890656,18.0,1.0,-312.3035674752429,-261.5714205778474,-29.32149887084961,12,0.36384275555610657,0.027015894651412964,0.06156669184565544,326.9840480216277,30.754425048828125,12.71603012084961,0.6076360940933228,0.05168789625167847,155.10961318016052,31.624488830566406,0.5105868577957153,-312.3035674752429
13.0,668.3684210526316,77.04354284564661,19.0,34.445899963378906,0.1774337887763977,13000,0.3684186637401581,1.6053314208984375,6.2207746505737305,0.03612049597631192,4.8406500816345215,0.0,0.12816184759140015,19.0,1.0,-296.0034058825593,-217.57913785126013,-31.52346420288086,13,0.3608156144618988,0.026599448174238205,0.06826962530612946,310.328254867787,33.347774505615234,14.032173156738281,0.5997415781021118,0.27170810103416443,168.73575019836426,33.29619598388672,0.3584945797920227,-296.0034058825593
14.0,684.95,76.41906278588985,20.0,38.011138916015625,0.20425985753536224,14000,0.37016183137893677,2.286383867263794,6.5243048667907715,0.03335667202186392,4.907284259796143,0.0,0.15920501947402954,20.0,1.0,-262.3425318674744,-177.36945855502992,-34.407005310058594,14,0.3864319622516632,0.02717733010649681,0.07904791831970215,345.35637229596284,36.71234130859375,15.712615966796875,0.5883605480194092,0.16309593617916107,183.20036244392395,35.460853576660156,0.3888309895992279,-262.3425318674744
15.0,699.952380952381,76.07974620736518,21.0,42.236968994140625,0.21458561718463898,15000,0.3712311089038849,3.0237882137298584,5.13562536239624,0.03612049597631192,3.6101796627044678,0.0,0.08289167284965515,21.0,1.0,-249.4818236975349,-158.4460107977882,-37.24044418334961,15,0.4119010865688324,0.026177411898970604,0.07592666149139404,106.48225780359603,40.868064880371094,16.947484970092773,0.5828657746315002,-0.07201448082923889,197.16154098510742,35.295379638671875,0.40521955490112305,-249.4818236975349
16.0,713.5909090909091,75.6317671502736,22.0,45.20191955566406,0.16956102848052979,16000,0.3737872838973999,3.5541927814483643,7.129146099090576,0.03758713295613906,5.323062419891357,0.0,0.15055207908153534,22.0,1.0,-224.90845652951512,-138.62869752940765,-40.18318176269531,16,0.4074547588825226,0.02465358003973961,0.06798364222049713,158.63100149630105,43.749488830566406,18.30829429626465,0.5771493315696716,0.08774370700120926,211.55131769180298,43.04049301147461,0.37992891669273376,-224.90845652951512
17.0,726.0434782608696,75.2021657379582,23.0,48.16473388671875,0.18587706983089447,17000,0.37376508116722107,2.7255783081054688,8.95571231842041,0.03834263432855745,7.065193176269531,0.0,0.20556291937828064,23.0,1.0,-206.70382147857003,-140.7705326171567,-42.705055236816406,17,0.3903045058250427,0.02503178082406521,0.0712398961186409,-175.03989402114186,46.69655990600586,19.94742202758789,0.5702354907989502,0.2202635407447815,226.0573194026947,47.60529327392578,0.4064600467681885,-206.70382147857003
18.0,717.7083333333334,75.08147609909568,24.0,51.051448822021484,0.15258727967739105,18000,0.3716210722923279,3.4528582096099854,8.844070434570312,0.03612049597631192,7.101063251495361,0.0,0.15727131068706512,24.0,1.0,-194.23830301410976,-123.06742600973907,-45.34550857543945,18,0.3714006543159485,0.02608296647667885,0.08565562963485718,177.8853863163609,49.690147399902344,21.54305648803711,0.5685095191001892,0.30091533064842224,239.73955941200256,50.45375442504883,0.36977246403694153,-194.23830301410976
19.0,729.0,75.45480132496701,25.0,54.06584167480469,0.24177680909633636,19000,0.3701109290122986,3.066687822341919,8.229429244995117,0.036846517945435794,6.147895336151123,0.0,0.09989966452121735,25.0,1.0,-207.8285036276216,-104.7812389681939,-47.588165283203125,19,0.3737470507621765,0.02669147588312626,0.09467919915914536,224.370127779619,52.83586502075195,22.491680145263672,0.566399097442627,0.11324621737003326,251.80637502670288,53.020965576171875,0.3801226019859314,-207.8285036276216
20.0,739.4230769230769,75.48755661130528,26.0,57.47477340698242,0.21213464438915253,20000,0.3699039816856384,3.735793352127075,8.706944465637207,0.034027141129503384,6.1642279624938965,0.0,0.1364935338497162,26.0,1.0,-207.18732230124334,-84.41468792713879,-49.428672790527344,20,0.3903813362121582,0.027023231610655785,0.0984039232134819,302.5497818529085,55.829437255859375,23.925289154052734,0.5606619119644165,0.1318841576576233,264.94432854652405,55.20537567138672,0.4247261583805084,-207.18732230124334
21.0,746.5555555555555,75.46216590452939,27.0,60.64435577392578,0.17476332187652588,21000,0.37076470255851746,3.207373857498169,8.136460304260254,0.03612049597631192,5.581233501434326,0.0,0.1109873503446579,27.0,1.0,-186.09196852722783,-66.5631835477966,-52.1424674987793,21,0.3893827795982361,0.027239494025707245,0.10943885147571564,290.46690403904734,59.06153869628906,25.507036209106445,0.5562260150909424,0.3110714852809906,278.28514790534973,57.861419677734375,0.4012027978897095,-186.09196852722783
22.0,740.9310344827586,75.72409918040324,29.0,61.56098175048828,0.1986236423254013,22000,0.3728153109550476,4.376859188079834,11.318680763244629,0.03612049597631192,8.877016067504883,0.0,0.11464598774909973,29.0,1.0,-171.59054432166408,-56.38154423795433,-54.390987396240234,22,0.37625956535339355,0.026648547500371933,0.10518480092287064,157.43288126873327,60.05470275878906,26.760881423950195,0.5557026863098145,0.061480432748794556,290.5283818244934,60.22344970703125,0.4630505442619324,-171.59054432166408
