#{"env_id": "Ant-v2", "t_start": 1521382421.6178863}
r,l,t
-339.417471,1000,12.791469
-20.385292,1000,29.115512
-282.238445,268,36.474168
-927.864976,1000,52.207102
-393.586616,395,56.054199
-61.062992,61,56.547728
-987.346346,1000,69.010361
-117.003371,152,70.451712
-27.809205,48,70.950162
-794.841863,1000,82.345659
-138.158923,138,88.082098
-1230.727703,1000,99.756945
-1019.382363,1000,111.24666
-59.111783,162,112.687689
-35.717689,79,113.617671
-52.502686,99,114.60822
-1814.903774,1000,126.212576
-40.337565,85,126.757997
-753.589983,1000,139.558522
-15.630083,82,140.516694
-917.189028,1000,151.585605
-10.379301,19,151.620732
-25.506388,48,152.155971
-1.72523,10,152.175281
-1369.35334,1000,164.831645
-1465.000766,1000,178.501362
-691.954372,554,187.107745
-1062.843388,1000,201.109643
-15.846593,82,202.035328
-1149.671807,1000,215.093155
-11.162039,23,215.544528
-1576.681316,1000,228.928139
26.463342,66,229.449072
-1237.261594,1000,241.576238
-24.617123,191,243.494362
-262.234399,395,247.343973
12.640213,38,247.423211
-1640.767761,1000,258.332945
-1135.194176,1000,270.192437
-5.499256,52,272.371258
-619.05882,656,279.44541
-14.495298,79,279.973388
-2054.470766,1000,292.971869
-1764.223353,1000,304.08938
-32.578599,164,305.566219
-13.553095,263,308.950211
-45.756944,86,309.509486
-2695.982293,1000,322.899588
4.535337,123,324.357422
-2345.652402,1000,336.398078
-1769.825139,1000,349.108567
-2274.815307,1000,361.956343
-375.877873,1000,375.590926
-51.294465,252,378.016565
-8.348928,80,378.544596
-2643.248764,1000,394.013217
-22.048026,402,402.880144
-968.140486,1000,416.634539
-184.956845,500,421.725859
-239.266303,676,430.267745
-16.155043,177,432.190787
-1113.819326,1000,445.050103
-80.443457,398,448.845523
-187.464303,1000,462.11607
-32.931375,130,467.340793
-6.702237,945,476.731477
-600.38274,520,485.681296
-1793.244111,1000,499.412228
70.275938,560,509.475629
-10.783964,171,510.936124
-1962.215731,1000,523.454521
56.32034,434,527.794715
-775.158935,1000,541.245864
33.970289,204,543.131935
-13.496347,88,544.047593
-3.103614,271,550.825782
-1819.244062,1000,561.026343
-31.06762,179,562.948387
-14.987979,85,563.486113
-6.951577,100,564.470509
-2315.49447,1000,578.158959
-10.857229,203,580.061795
60.220117,303,583.625631
-2365.195915,1000,597.030218
6.454875,20,597.526826
-45.833668,82,598.077983
-104.604174,152,599.707655
-14.176664,28,600.223227
-10.687002,70,600.813799
-3.44724,153,602.934422
-39.148253,172,604.470409
-4.214319,17,604.500618
25.843385,39,604.975569
-113.548896,165,606.450529
-2508.325268,1000,617.817987
-2180.945219,1000,629.35516
-156.185328,208,633.126888
-2362.797264,1000,648.269786
-1872.685053,1000,663.47716
-23.344808,121,664.50199
-177.375542,1000,676.696831
-348.040078,435,681.116556
-2419.198376,1000,697.334489
-1470.390687,1000,710.194775
-96.582966,156,711.685088
-2591.175295,1000,723.288072
-236.798453,194,725.886297
-15.920251,12,725.906586
-1.137998,16,725.932564
-179.729775,241,728.337317
-27.494929,62,728.835157
-122.645859,131,730.251467
-37.125634,70,730.764774
-105.260903,88,731.713734
-1717.321449,1000,742.830541
-45.265066,86,743.763369
-0.745198,17,743.789926
-2268.802511,1000,755.853506
-339.502392,302,762.431685
-277.179032,356,765.931599
-515.239859,543,775.960377
-2213.8623,1000,789.887038
-174.913386,99,790.975001
-197.18117,133,792.522239
-16.466928,20,792.556761
-2238.046608,1000,804.062178
-1385.868368,1000,816.427164
-164.061102,161,817.880618
-237.836652,212,820.276139
-46.079159,35,820.331927
-79.388522,65,821.250689
-31.489239,59,821.760099
-5.572965,14,821.783239
-1.71583,23,822.220637
-1220.134055,530,828.161576
-31.245811,17,828.188386
-2472.425445,1000,839.298175
-1916.716975,1000,851.522901
-407.340993,210,853.841603
-162.889666,109,854.813233
-35.15284,23,854.849658
-1786.793268,1000,868.065917
-65.040134,29,868.512033
-5.510132,10,868.528089
-291.96114,198,870.441669
-188.734537,128,875.172014
-2503.037045,1000,886.180703
-133.275057,75,886.689475
-138.690389,81,887.619068
-419.246472,234,889.576652
-146.421926,78,890.495171
-1601.054512,604,896.72084
-172.85248,91,897.673734
-308.619612,147,899.117594
-59.737446,27,899.158687
-129.63129,52,899.644537
-144.402345,96,900.61593
-188.181142,121,902.016269
-61.900049,36,902.073
-203.179783,109,903.445023
-48.061151,41,903.508981
-605.693074,288,907.037986
-104.144506,49,907.528224
-173.449998,101,908.499654
-2475.682457,1000,919.902792
