#{"t_start": 1521424463.7325015, "env_id": "Ant-v2"}
r,l,t
-559.237113,1000,12.289287
-174.754185,1000,27.07654
-641.046376,595,37.87292
62.513389,76,38.777191
62.955394,1000,53.428218
21.255035,1000,68.093867
-33.404267,171,69.535894
114.025138,1000,84.214487
18.179656,1000,97.496565
476.649541,1000,111.176691
228.909216,1000,125.70499
343.614579,1000,139.873396
438.705974,1000,154.298109
206.654952,1000,168.447844
469.900194,1000,180.783789
580.253492,1000,195.31078
374.267645,1000,208.495724
192.208516,1000,222.987761
743.584343,949,235.588272
473.828023,1000,249.167505
334.217385,1000,262.442765
186.710735,1000,276.076907
169.616516,173,277.925197
-22.167633,1000,290.239883
133.370472,1000,304.082705
460.502311,1000,317.019873
185.552809,867,330.147815
63.72417,65,330.644949
393.248414,1000,344.07738
118.383599,1000,357.94076
1030.515364,1000,372.384117
48.11275,108,376.948868
379.539888,971,385.869053
811.405946,1000,399.472963
-31.544691,424,408.625475
-104.311416,1000,422.83719
412.456074,1000,437.736298
-205.56073,1000,451.908186
357.226968,685,463.48215
-6.108181,1000,477.505385
56.769929,1000,492.427048
249.343216,1000,506.445195
-116.256281,1000,517.815685
314.753569,1000,531.561394
-323.036984,1000,543.92734
314.446855,1000,554.808401
474.764053,1000,568.863182
-32.951097,1000,582.492591
30.030663,65,582.988112
130.937111,1000,597.580766
88.102775,115,598.936955
468.908325,795,611.681736
483.393804,1000,625.72859
-596.226306,1000,639.662997
418.527819,1000,654.443442
-122.972497,1000,668.495255
559.715191,1000,681.527594
12.812594,1000,696.134846
307.222098,1000,710.638084
728.960091,1000,723.896111
622.334457,1000,737.522789
-13.19226,1000,752.119799
414.301047,1000,765.75805
546.71491,1000,779.536861
509.971441,1000,790.437282
9.982333,20,790.467253
502.2234,1000,804.41888
743.647632,1000,818.931405
817.324688,1000,832.987785
814.203453,1000,847.700705
477.2552,1000,862.443344
379.354552,1000,877.188434
194.544632,1000,892.051505
-102.062587,1000,906.764975
-590.878585,1000,921.422949
497.984892,1000,933.435547
369.269725,1000,948.083094
295.02754,1000,961.907386
50.087959,160,963.329817
75.567175,123,964.69831
6.513904,18,964.726203
-155.196946,1000,976.357008
43.144619,1000,989.967932
95.465172,122,991.336307
128.378389,201,993.209447
83.613468,183,994.673187
375.009603,1000,1008.158964
299.530336,1000,1022.54466
544.54999,1000,1035.254716
103.64083,1000,1047.979036
301.228564,1000,1062.70323
462.285824,1000,1075.438824
352.936421,1000,1088.918261
33.800969,57,1089.393315
386.084233,1000,1103.434505
35.022296,41,1103.887633
20.652869,65,1107.646926
419.500826,1000,1120.070087
169.351262,1000,1133.718493
474.622822,1000,1147.479443
193.219169,333,1150.733795
263.37529,371,1154.426483
372.747922,1000,1167.290581
559.896649,891,1178.639386
554.045594,1000,1191.659446
702.598391,1000,1206.23079
418.062993,1000,1219.887426
238.087125,357,1228.323204
274.069672,959,1237.245575
601.680452,1000,1251.517936
408.339933,1000,1266.277264
281.715689,985,1280.480736
20.703898,59,1285.620449
392.910304,1000,1297.593313
59.291539,1000,1309.868739
9.522121,46,1309.941028
458.548853,1000,1324.028223
510.404794,1000,1338.97308
463.995481,1000,1353.924944
42.546875,50,1354.410356
799.471729,1000,1369.24928
-176.417377,1000,1383.4249
361.615867,1000,1398.376292
324.665906,1000,1413.233318
424.65129,1000,1428.226989
178.20895,1000,1442.907175
403.781008,1000,1457.561399
588.277386,1000,1472.210181
530.978145,1000,1486.852442
322.192241,1000,1501.59349
287.951066,1000,1516.271167
424.890354,1000,1530.252097
693.910841,1000,1544.416398
444.148779,1000,1556.839253
402.176786,1000,1570.178498
565.31746,1000,1583.820138
161.650607,1000,1597.553688
526.736534,1000,1611.554877
275.067586,1000,1625.5834
431.267117,1000,1639.361522
833.570546,1000,1652.871524
705.251219,1000,1663.913527
249.509887,1000,1675.518358
35.387848,115,1676.872348
382.233345,1000,1690.795978
278.58199,1000,1703.621651
664.834445,1000,1716.468775
706.874719,1000,1730.114151
627.881699,1000,1743.693178
512.992309,1000,1756.540524
661.436805,1000,1769.009559
244.387433,732,1775.629211
509.520365,1000,1790.392568
505.4335,1000,1803.365406
269.789178,1000,1817.429137
27.927566,48,1817.900769
320.230802,1000,1830.217261
29.269675,37,1833.686503
438.214433,1000,1848.397977
