#{"env_id": "Ant-v2", "t_start": 1521243450.647544}
r,l,t
-1049.178036,1000,11.00233
-1912.290825,1000,25.595699
-1494.217356,1000,40.268509
-1729.584268,1000,54.91377
-1901.708438,1000,67.737417
-1392.61072,1000,81.613508
-1814.931098,1000,96.26885
-2036.981778,1000,110.862038
-2022.162668,1000,125.506503
-1704.901913,1000,138.884702
-51.36149,24,143.785575
-2283.192033,1000,155.872925
-43.689349,21,155.903759
-83.411515,42,156.371751
-34.825199,18,156.80552
-1392.880613,1000,166.853493
-202.211762,106,167.817396
-26.085875,13,167.836917
-1675.732479,1000,179.526008
-100.723783,49,179.999251
-1943.563138,1000,189.812789
-2047.049752,1000,200.632147
-93.525676,51,201.11249
-32.573834,13,201.132958
-67.191551,24,201.576816
-79.130926,42,202.04496
-48.717148,38,202.098828
-53.401967,29,202.549836
-204.574832,101,203.509683
-35.740023,15,203.53187
-37.516698,16,203.96027
-1538.87825,1000,214.066267
-21.176764,14,214.086898
-125.694379,81,214.610717
-81.385759,50,215.092282
-24.689427,11,215.521216
-137.200534,65,216.042961
-55.475164,26,216.082879
-30.431625,33,216.55669
-29.403806,16,216.580612
-41.186971,21,217.021728
-76.265747,64,217.521594
-31.748409,34,219.847988
-62.942809,38,220.309841
-33.660345,17,220.334902
-635.798568,363,223.692858
-45.348845,39,224.156882
-240.414029,148,225.608443
-451.332596,258,228.037146
-60.070796,27,228.483912
-26.370369,37,228.536629
-4.033657,9,228.959315
-259.552606,162,231.644732
-1663.428694,1000,241.353623
-12.444067,8,241.365369
-16.191994,9,241.378189
-15.164196,8,241.39171
-27.059282,10,241.407229
-33.795638,16,241.837877
-14.572069,9,241.850741
-1831.390236,1000,252.569857
-12.094509,8,252.582497
-41.3734,50,253.063706
-78.318876,42,253.528433
-2227.942406,1000,263.421995
-92.543941,86,264.400998
-59.040409,46,264.874577
-33.81373,28,264.915422
-69.232812,41,265.380702
-4.236882,20,265.410637
-17.661055,11,265.838609
-12.337308,10,265.85429
-18.280393,10,265.869999
-2241.101499,1000,277.10122
-1742.698829,1000,288.958599
-40.932557,52,289.439007
-24.373611,18,289.467763
-26.189537,26,289.913425
-1974.995229,1000,299.70986
-39.697506,31,300.161972
-25.191341,24,300.19791
