#{"t_start": 1521355544.7606442, "env_id": "Ant-v2"}
r,l,t
-161.872802,205,18.655143
-635.451446,567,50.562753
-1681.347023,1000,151.9926
-2288.854968,1000,224.623962
-1502.626488,1000,321.104432
-190.817157,149,332.411736
-1740.568207,1000,387.028902
-24.425486,26,387.450991
-1351.886106,1000,450.150212
-2044.307412,1000,541.613948
-1383.535896,1000,593.995355
-37.392172,37,598.924527
-131.253308,91,608.964684
-23.411784,22,608.998883
-19.339364,18,609.578995
-21.271305,19,609.60665
-7.377387,9,609.620807
-19.065384,16,610.079954
-13.741187,19,610.109675
-47.330055,47,610.583302
-75.426386,71,611.099877
-40.168113,19,611.532556
-24.474118,26,611.572986
-20.658235,12,612.01362
-29.987699,19,612.042308
-266.270349,289,614.923037
-58.271356,174,616.477424
-78.814613,38,616.934803
-32.687832,143,618.726159
0.123394,17,618.753334
-118.734278,122,620.141401
-70.717548,74,620.769482
-10.66494,29,621.251841
-69.583935,60,621.767316
-13.796306,28,621.808606
-2384.526437,1000,631.692663
-1371.761279,1000,641.570341
-20.537831,19,642.000794
-6.139982,13,642.021259
7.005269,16,642.046052
-13.260242,11,642.465645
-23.383542,22,642.499207
-121.237497,120,643.481981
-19.427617,15,643.906618
-3.585502,34,643.958076
-125.336357,85,644.957626
-1167.274026,1000,656.005158
-1753.500285,1000,666.996075
-52.903144,51,667.476747
-12.024413,55,667.970138
-36.691341,95,668.91201
-1021.296975,1000,679.918128
-27.275934,20,680.353459
-2.97798,26,680.394097
-32.398519,38,680.854252
-26.009728,49,681.640244
-8.981988,48,682.108629
-3.214873,12,682.12763
14.213846,40,682.58523
-1157.060942,1000,695.309999
-7.203901,23,695.34466
-1536.259521,1000,707.19766
-2539.412318,1000,718.512587
-32.753301,15,718.937903
-183.526023,384,722.315816
19.337295,35,722.766735
26.95632,210,724.701042
-577.259841,823,791.597309
-1.053402,20,791.924022
-15.752163,38,797.148931
-2472.545724,1000,865.598601
1.026725,18,865.633991
-1059.198382,1000,894.480704
-357.65508,1000,932.702442
-36.246773,187,949.625209
-0.460885,1000,991.622777
40.040468,112,994.202968
-166.648002,1000,1070.485714
-159.646997,1000,1134.216225
-2625.647443,1000,1207.074249
-1460.072362,1000,1266.018632
-13.266593,412,1310.958246
-322.344864,1000,1395.25234
29.663626,338,1410.263579
-849.297509,1000,1499.44657
230.263224,558,1537.164456
-265.183552,1000,1635.387018
199.771539,577,1672.853247
-220.623306,1000,1760.75796
-181.898418,1000,1843.154331
454.625635,708,1924.070841
-111.648907,1000,2012.618738
-738.060665,1000,2085.187544
-550.837178,1000,2204.834182
329.145091,1000,2280.039483
-756.973754,1000,2385.517315
63.00482,102,2386.624056
-2226.751694,1000,2452.635853
20.585597,80,2453.857292
14.2131,371,2462.050099
-5.15639,64,2462.546782
-236.17932,1000,2476.218991
-2581.492728,1000,2491.097344
-149.159099,1000,2505.250177
17.549475,24,2505.692134
-278.655874,1000,2520.422991
-77.390704,470,2524.746833
-16.588074,791,2534.270672
28.807131,72,2534.776668
-408.562049,847,2545.313548
-574.296465,1000,2559.503905
-70.73503,1000,2572.27383
-120.80303,1000,2709.614208
-189.154192,1000,2736.46616
-544.567784,1000,2766.973019
-18.697387,74,2767.887256
178.695052,1000,2793.57792
-495.474252,1000,2836.009531
-38.2659,152,2841.00316
4.103913,142,2845.138956
-1773.675302,1000,2877.119831
167.964858,790,2888.199234
-4.537895,44,2888.26587
238.514931,1000,2900.805238
-2177.804628,1000,2911.377739
-1654.261879,1000,2924.052355
296.863822,1000,2937.754908
168.271766,446,2944.475855
457.937679,1000,2957.89531
-443.245039,1000,2970.178616
567.3737,1000,2983.869035
-1210.479247,1000,2997.976446
-873.521317,1000,3009.479883
-2082.118551,1000,3021.555762
48.91406,160,3023.40177
121.677038,269,3025.795198
30.425818,142,3027.225874
-14.403708,1000,3041.870118
128.855285,345,3045.188803
10.705604,69,3048.211625
-169.251694,1000,3060.740432
-1518.218396,1000,3074.177253
-1218.010695,1000,3160.007782
-590.4113,1000,3188.498712
243.420307,1000,3206.213738
-316.353651,1000,3247.726072
72.498111,1000,3292.132075
415.721876,1000,3335.10086
118.891881,1000,3350.092006
-7.567883,1000,3363.405605
368.229426,1000,3377.063584
452.731268,677,3383.757455
-1443.887229,1000,3397.499287
