total/episodes,param_noise_stddev,eval/episodes,rollout/episode_steps,rollout/return,train/loss_critic,train/loss_actor,reference_actor_Q_std,ret_rms_mean,reference_Q_mean,reference_Q_std,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,train/param_noise_distance,eval/Q,total/steps,ret_rms_std,rollout/episodes,total/steps_per_second,obs_rms_std,reference_actor_Q_mean,reference_perturbed_action_std,eval/return_history,rollout/actions_mean,eval/return,reference_action_mean,rollout/return_history,total/duration,rollout/actions_std,obs_rms_mean,reference_action_std
1.0,0.16720346283821505,1.0,1000.0,-1442.866852436119,0.12974606454372406,1.7354496717453003,0.7781276702880859,0.0,-3.1144232749938965,1.2470043897628784,1,-1.804273247718811,-0.2989775240421295,0.6703075766563416,-1.208085060119629,1000,1.0,1.0,70.75882018404766,0.3750046193599701,-1.6968843936920166,0.8279865980148315,-2702.474669757439,0.2258928269147873,-2702.474669757439,-0.02844458818435669,-1442.866852436119,14.132513761520386,0.752224862575531,0.022941265255212784,0.9631896018981934
2.0,0.1454608210542347,2.0,1000.0,-1873.6796774235759,0.1528596132993698,7.609695911407471,1.4722745418548584,0.0,-4.6089067459106445,1.6413109302520752,2,-5.370854377746582,-0.1787484735250473,0.4409008026123047,-1.621550440788269,2000,1.0,2.0,71.05180731075866,0.33681371808052063,-3.3672587871551514,0.9254727363586426,-2610.951388562562,-0.027292266488075256,-2519.4281073676852,0.05523142218589783,-1873.6796774235759,28.14847469329834,0.848885715007782,0.022260580211877823,0.9362891316413879
3.0,0.11921161154572088,3.0,1000.0,-2106.094954043982,0.31348586082458496,10.64765739440918,1.6105197668075562,0.0,-5.822198867797852,2.0015673637390137,3,-6.678933143615723,0.21759267151355743,0.6129624247550964,-10.612601280212402,3000,1.0,3.0,71.36434906084784,0.3068654537200928,-4.585426330566406,0.7923526763916016,-2536.732573253071,-0.08868356049060822,-2388.294942634089,0.3754226565361023,-2106.094954043982,42.03779673576355,0.87766432762146,0.028938140720129013,0.8459289073944092
4.0,0.09966297130484332,4.0,1000.0,-2013.1041467476884,0.37499549984931946,13.8961820602417,2.2324557304382324,0.0,-8.391440391540527,2.4039113521575928,4,-7.493023872375488,0.32572364807128906,0.18504111468791962,-6.149973392486572,4000,1.0,4.0,71.45030210606221,0.3029274344444275,-7.627501487731934,0.9006202220916748,-2647.073911542854,0.0020894776098430157,-2978.097926412204,0.37935060262680054,-2013.1041467476884,55.9829683303833,0.86960369348526,0.02986401878297329,0.8840950131416321
5.0,0.08167823703026889,5.0,1000.0,-2120.0173985043666,0.653475821018219,19.607986450195312,3.2413628101348877,0.0,-12.713305473327637,3.4249918460845947,5,-9.822418212890625,0.19420385360717773,0.5022295117378235,-10.843439102172852,5000,1.0,5.0,71.47181801918023,0.2892460227012634,-11.680334091186523,0.8471249938011169,-2674.5282027926505,0.08588150888681412,-2784.345367791837,0.2408299744129181,-2120.0173985043666,69.95764398574829,0.8804136514663696,0.03664961829781532,0.884116530418396
6.0,0.06693894750505577,6.0,1000.0,-2184.558619974608,0.7680764198303223,24.404237747192383,5.10469913482666,0.0,-16.177101135253906,5.036614418029785,6,-11.282845497131348,0.3718285858631134,0.3861227333545685,-6.384972095489502,6000,1.0,6.0,71.4872951692229,0.2767583429813385,-15.676922798156738,0.7572851181030273,-2671.861253663494,0.14514805376529694,-2658.526508017713,0.3450685143470764,-2184.558619974608,83.93099761009216,0.8814858198165894,0.03823787719011307,0.8345613479614258
7.0,0.055962119107954095,7.0,1000.0,-2248.5000056719014,0.8146635293960571,26.190149307250977,6.517788410186768,0.0,-20.261619567871094,5.992681503295898,7,-11.653634071350098,-0.048576802015304565,0.2689286470413208,-10.907221794128418,7000,1.0,7.0,71.46322913546655,0.26852402091026306,-18.962909698486328,0.9158082604408264,-2657.1483678129953,0.15995754301548004,-2568.87105271,-0.023962199687957764,-2248.5000056719014,97.95247268676758,0.8874991536140442,0.03870664909482002,0.9320535659790039
8.0,0.052718847660376544,8.0,1000.0,-2256.7413154443825,1.9660289287567139,29.213176727294922,5.148612976074219,0.0,-23.89801025390625,5.558574676513672,8,-12.364274024963379,0.050335995852947235,0.23791784048080444,-24.51178550720215,8000,1.0,8.0,72.72369118666401,0.2754805088043213,-23.456443786621094,0.8971503376960754,-2510.0505156378113,0.12865997850894928,-1480.3655504115222,0.05613841116428375,-2256.7413154443825,110.00541734695435,0.8930624127388,0.036394938826560974,0.9158868193626404
9.0,0.0477256850533856,9.0,1000.0,-2252.728611626471,0.753053605556488,34.47638702392578,4.2937726974487305,0.0,-30.070262908935547,4.212545394897461,9,-13.958030700683594,0.4829349219799042,0.24463105201721191,-26.361125946044922,9000,1.0,9.0,72.58832348280646,0.28721392154693604,-29.48653793334961,0.7648007273674011,-2528.7699991059067,0.11807933449745178,-2678.5258668506685,0.5236872434616089,-2252.728611626471,123.98688340187073,0.8938320279121399,0.03341354802250862,0.7636569142341614
10.0,0.045863445263280886,10.0,1000.0,-2262.7133812236193,3.8407962322235107,37.54249572753906,4.9905900955200195,0.0,-33.720664978027344,4.9795708656311035,10,-15.603201866149902,0.7747171521186829,0.16713383793830872,-33.111141204833984,10000,1.0,10.0,72.84993191647742,0.29908689856529236,-32.86309051513672,0.5239188075065613,-2497.5825432029715,0.1435965746641159,-2216.895440076556,0.817649781703949,-2262.7133812236193,137.26848793029785,0.8899478316307068,0.033568643033504486,0.48279881477355957
11.0,0.04235412222587577,11.0,1000.0,-2292.1600078144284,3.3309803009033203,36.94669723510742,6.561357021331787,0.0,-33.035545349121094,6.618316173553467,11,-16.924301147460938,0.1832582950592041,0.26199039816856384,-34.960548400878906,11000,1.0,11.0,74.08613188798459,0.31357836723327637,-31.072437286376953,0.8572295904159546,-2350.7358051697283,0.1937086582183838,-882.2684248372976,0.11286325752735138,-2292.1600078144284,148.47583103179932,0.8822486996650696,0.03417758271098137,0.8947378396987915
12.0,0.037587132956139066,12.0,1000.0,-2253.8055724136852,3.990968942642212,36.28425216674805,8.130033493041992,0.0,-32.10283279418945,8.149551391601562,12,-18.962650299072266,0.13873839378356934,0.20504537224769592,-31.986568450927734,12000,1.0,12.0,74.80322161709921,0.32626447081565857,-30.67257308959961,0.9107760190963745,-2266.6275909810033,0.2091565728187561,-1341.437234905028,0.10850510001182556,-2253.8055724136852,160.42089819908142,0.8735590577125549,0.03398807346820831,0.9316785335540771
14.0,0.039113321278561465,13.0,900.1428571428571,-2024.9930222109742,3.470768451690674,36.83527755737305,7.554542541503906,0.0,-33.47306823730469,7.668776988983154,13,-19.730398178100586,-0.02099549025297165,0.19290776550769806,-35.80987548828125,13000,1.0,14.0,74.89900209031806,0.3461577892303467,-32.646419525146484,0.9153925180435181,-2252.9661376310123,0.19821569323539734,-2089.0286974311216,0.016126245260238647,-2024.9930222109742,173.56706547737122,0.8768846392631531,0.03260520473122597,0.9404876232147217
16.0,0.040701478966889394,14.0,852.625,-1919.9107482480806,3.0589535236358643,39.21104049682617,5.501577377319336,0.0,-36.53913879394531,5.982079029083252,14,-20.59557342529297,-0.0126410610973835,0.31474027037620544,-36.94601821899414,14000,1.0,16.0,75.74509686434119,0.3498223125934601,-35.55292510986328,0.9399030804634094,-2168.2828782496445,0.18374398350715637,-1067.4005062918607,0.14802716672420502,-1919.9107482480806,184.8304455280304,0.8815001845359802,0.030986543744802475,0.9338526725769043
