total/epochs,total/steps_per_second,train/loss_critic,rollout/episodes,reference_Q_std,total/episodes,eval/return_history,rollout/return_history,total/duration,eval/Q,rollout/Q_mean,eval/episodes,reference_action_std,reference_perturbed_action_mean,eval/return,obs_rms_std,train/param_noise_distance,rollout/actions_mean,reference_actor_Q_mean,param_noise_stddev,reference_actor_Q_std,train/loss_actor,rollout/actions_std,reference_perturbed_action_std,rollout/episode_steps,total/steps,ret_rms_mean,obs_rms_mean,reference_Q_mean,rollout/return,reference_action_mean,ret_rms_std
1,60.292828258077265,0.0627623125910759,1.0,0.7718852758407593,1.0,-1223.861084282657,-274.48665157146576,16.585720539093018,1.2365666627883911,0.23945525288581848,1.0,0.7399162650108337,0.11162242293357849,-1223.861084282657,0.30030277371406555,0.2508983612060547,0.1389058232307434,1.4982908964157104,0.16720346283821505,0.3472531735897064,-1.4305340051651,0.5316246747970581,0.6274176836013794,1000.0,1000,0.0,0.032175805419683456,0.686992883682251,-274.48665157146576,-0.034064412117004395,1.0
2,61.305683229321836,0.14950188994407654,2.0,0.9227227568626404,2.0,-765.0508088058862,-436.07140776057406,32.6234028339386,2.615715742111206,0.3733702301979065,2.0,0.5651106238365173,0.042612239718437195,-306.24053332911524,0.32294774055480957,0.5028002262115479,0.13215072453022003,2.7118005752563477,0.1370306733903066,0.7801275849342346,-1.057585597038269,0.5748587250709534,0.6835634708404541,1000.0,2000,0.0,0.027857162058353424,2.332028865814209,-436.07140776057406,-0.05355573073029518,1.0
3,61.558193233894656,0.1639157086610794,3.0,1.0317758321762085,3.0,-759.9855281754985,-508.266670352987,48.734373807907104,4.403031826019287,1.3482660055160522,3.0,0.6468710899353027,-0.22732162475585938,-749.8549669147234,0.29800546169281006,0.77782142162323,0.08795405924320221,4.307371139526367,0.11230273064362171,0.7912759780883789,-2.7853755950927734,0.6010056138038635,0.5201902389526367,1000.0,3000,0.0,0.028698014095425606,3.6052050590515137,-508.266670352987,-0.27813300490379333,1.0
4,61.773808786487834,0.25910428166389465,4.0,1.2507586479187012,4.0,-715.7016046974594,-444.28229332369006,64.752361536026,4.043616771697998,1.9118613004684448,4.0,0.5102083683013916,-0.25036290287971497,-582.8498342633421,0.30662474036216736,0.5174075365066528,-0.007426307536661625,4.999195098876953,0.09203708190275892,1.154429316520691,-3.695633888244629,0.5950655937194824,0.4742920696735382,1000.0,4000,0.0,0.022764485329389572,4.562105655670166,-444.28229332369006,-0.3021048903465271,1.0
5,60.327350507851875,0.33241748809814453,5.0,1.324346899986267,5.0,-731.1252087764698,-390.06313651530775,82.8811469078064,5.191395282745361,2.3363747596740723,5.0,0.6423802971839905,-0.0667467713356018,-792.819625092511,0.3125249445438385,0.43114352226257324,-0.03038841485977173,6.348882675170898,0.07542848153938683,1.1572915315628052,-4.6890435218811035,0.5836711525917053,0.561302900314331,1000.0,5000,0.0,0.01839233934879303,5.720229625701904,-390.06313651530775,-0.0636216402053833,1.0
6,58.76547326970379,0.35940343141555786,6.0,1.668954610824585,6.0,-702.6114025261113,-372.1942757549278,102.10076880455017,5.608510971069336,2.874317169189453,6.0,0.5785045027732849,-0.10432814806699753,-560.0423712743193,0.3327329158782959,0.33490240573883057,-0.03636021912097931,7.268092155456543,0.06181699495154324,1.5393259525299072,-5.389243125915527,0.580594539642334,0.5938018560409546,1000.0,6000,0.0,0.015904122963547707,6.831392288208008,-372.1942757549278,-0.03169494494795799,1.0
7,58.86936244048631,0.39533600211143494,7.0,1.6604156494140625,7.0,-678.5459833527844,-393.36553277726136,118.90735197067261,6.6331353187561035,3.3351099491119385,7.0,0.5905470848083496,0.19561199843883514,-534.1534683128227,0.3447054624557495,0.32294654846191406,-0.033106885850429535,8.310745239257812,0.05066177638540577,1.473926067352295,-6.678663730621338,0.5864340662956238,0.5577638745307922,1000.0,7000,0.0,0.015461037866771221,7.701831817626953,-393.36553277726136,0.07158491760492325,1.0
8,59.73169131033015,0.4978075325489044,8.0,1.5495184659957886,8.0,-667.8915466741719,-494.58057911483326,133.9322531223297,8.121569633483887,3.6167807579040527,8.0,0.5943662524223328,-0.055743202567100525,-593.3104899238834,0.33963364362716675,0.21006307005882263,0.022977029904723167,9.87559986114502,0.04151957869412388,1.391730546951294,-7.333249092102051,0.6079381108283997,0.5985917448997498,1000.0,8000,0.0,0.016903944313526154,9.246997833251953,-494.58057911483326,-0.16683509945869446,1.0
9,60.16871937598533,0.5580381751060486,9.0,1.4946238994598389,9.0,-637.8731569078152,-488.10657214580675,149.57938432693481,7.517137050628662,4.047632217407227,9.0,0.6090949177742004,-0.07597072422504425,-397.72603877696173,0.35391950607299805,0.2338544875383377,-0.0010713213123381138,11.476295471191406,0.034711086666206405,1.39388906955719,-8.080209732055664,0.6065825819969177,0.6307457685470581,1000.0,9000,0.0,0.01636396162211895,10.907191276550293,-488.10657214580675,0.0640932247042656,1.0
10,58.48116854976022,0.6454247832298279,10.0,1.6670117378234863,10.0,-632.9831060932918,-491.29816993304377,170.995215177536,8.891348838806152,4.443044662475586,10.0,0.46411988139152527,0.28254926204681396,-588.9726487625807,0.3545175790786743,0.19091448187828064,-0.027157342061400414,12.316184997558594,0.034027141129503384,1.6209949254989624,-9.12337875366211,0.6080099940299988,0.43808284401893616,1000.0,10000,0.0,0.016176803037524223,11.839067459106445,-491.29816993304377,0.2107701599597931,1.0
