#{"env_id": "Ant-v2", "t_start": 1521158286.6984618}
r,l,t
-10.450904,35,2.549051
110.003809,1000,17.510257
-1217.492634,1000,32.027035
-1064.719452,1000,46.724928
-630.37996,1000,59.78383
-734.208624,1000,73.447361
-517.345387,1000,88.0856
-737.000119,1000,102.638881
-497.413761,1000,114.831837
7.966027,99,115.858678
-680.103461,1000,130.616728
-1265.782706,1000,142.762374
-170.262356,1000,156.304994
-51.86595,73,157.213271
-22.18402,40,157.272491
-6.372051,298,160.085978
-39.710973,146,161.499535
-529.268658,1000,173.867366
-163.080409,1000,185.68343
7.047477,33,186.128203
-706.692789,1000,200.649213
37.413674,154,202.072535
-142.951886,354,209.371168
-27.891617,30,209.816445
2.460654,16,209.841291
-29.785009,100,210.788635
-1060.790261,1000,223.228334
-464.863485,1000,236.875423
-23.574486,257,239.257488
-22.640833,161,240.69352
-788.669765,1000,255.302889
-43.429026,1000,269.800318
-62.231476,495,277.751823
-36.608709,1000,292.139504
-1471.87452,1000,306.615142
24.900488,531,311.781188
235.105019,993,326.323436
-19.434495,262,333.829575
-1.229662,1000,348.403454
10.467467,26,348.840975
-33.3912,1000,361.880695
-44.745201,642,367.627975
145.0357,1000,381.887117
181.151537,424,391.395455
-1725.037685,1000,405.427952
-690.80365,1000,420.260162
-81.927087,1000,434.113204
-818.511664,1000,447.661263
-30.233895,1000,462.524106
-2.225275,1000,477.505931
-203.296734,1000,491.122569
-1899.174081,1000,505.6832
311.887508,1000,520.26924
-642.503758,1000,534.897648
-54.114507,1000,549.514696
-352.395134,1000,564.079605
-1010.607395,1000,578.664209
-282.950444,1000,591.727031
-189.948415,1000,605.494192
-2.104805,63,605.986241
60.262796,1000,620.764449
125.35706,1000,634.84954
-2273.604776,1000,649.478415
217.791706,1000,663.363128
57.40808,156,664.788791
55.367183,1000,678.383943
12.865414,63,679.272832
-206.348162,1000,693.838917
-184.673493,1000,708.453549
-911.708774,1000,722.066015
96.040436,1000,733.900666
259.262009,1000,746.678705
-94.823283,1000,760.161627
270.665496,1000,774.805985
-2597.230615,1000,787.00611
75.273734,121,787.978899
29.496165,72,788.480645
-412.745007,1000,799.376158
-873.535366,1000,814.001633
50.224219,155,815.424817
303.895165,931,825.296646
114.574431,1000,837.133335
13.270051,19,837.163274
-684.029118,1000,851.743185
46.272753,153,853.556362
-424.837777,1000,868.464653
161.325788,431,876.572616
98.579256,1000,891.188572
164.886378,1000,905.817883
-269.964664,1000,920.469165
35.257533,1000,935.062279
-779.572832,1000,949.647374
-259.266943,1000,964.638689
-0.895911,1000,977.492593
-1156.860935,1000,992.069407
-20.042403,444,996.314512
44.212679,81,997.224496
-254.94081,1000,1010.848704
117.388748,618,1021.032786
185.892004,1000,1033.326341
-309.343635,1000,1046.422408
152.614338,1000,1060.661603
-2027.178558,1000,1075.355609
-161.361648,1000,1089.297324
338.215466,1000,1103.959844
35.254891,270,1106.346252
-278.199448,1000,1120.055723
173.689449,1000,1132.786476
-642.635343,1000,1147.441322
-1180.824921,1000,1160.240689
-481.226303,1000,1173.015166
70.838871,228,1175.345893
23.76471,54,1178.755628
337.061159,1000,1191.06786
-218.847597,1000,1205.15095
107.152614,928,1214.088322
-83.282013,1000,1227.905493
162.411115,1000,1240.895602
-21.940706,320,1247.239599
-692.504251,1000,1257.587233
26.503699,112,1258.543878
5.969649,79,1259.452555
124.219003,371,1262.77527
66.838015,276,1268.012223
132.536291,1000,1281.220416
249.701491,1000,1292.778137
-210.393892,1000,1306.933682
-976.056446,1000,1319.670714
302.637749,1000,1334.297527
62.495089,204,1336.188681
375.375139,1000,1349.085125
315.543934,1000,1361.897785
42.123366,240,1364.237553
48.96201,288,1366.662553
320.441588,1000,1380.47098
12.768394,47,1380.94032
175.770659,1000,1395.355265
486.658037,1000,1407.572763
309.249468,1000,1420.852002
72.549741,182,1424.598291
453.768116,1000,1437.925835
79.987997,361,1441.32593
-893.945863,1000,1453.876422
317.030769,1000,1468.761836
21.250938,329,1472.027731
27.951641,308,1480.137604
32.411718,692,1486.734944
-204.800715,1000,1497.756724
184.010979,1000,1509.986298
20.746454,331,1516.386435
325.749569,1000,1529.395959
293.414716,1000,1543.21033
313.354238,1000,1556.033333
60.062759,1000,1570.696264
-90.769678,1000,1584.45413
71.780911,1000,1596.392131
-8.412851,17,1596.815448
5.927155,1000,1608.598264
-53.564954,149,1610.017474
-1.05314,27,1610.05557
-976.087078,1000,1621.878477
-126.910934,1000,1636.537046
-4.276433,82,1637.458182
-255.072362,1000,1650.247565
-838.73667,1000,1661.035816
-62.640345,1000,1673.906392
-777.498942,1000,1685.969203
-1191.494463,1000,1700.621852
127.71244,260,1702.995916
295.429929,1000,1714.029628
162.717736,1000,1727.970444
-55.41104,1000,1741.74752
49.560223,216,1743.65803
43.890399,86,1744.580372
1.042779,15,1744.602717
365.189492,1000,1757.907989
216.588712,1000,1771.370969
119.778692,959,1784.778986
93.871297,377,1792.013741
-242.950187,1000,1805.888324
-258.94013,1000,1816.366479
74.716588,167,1818.214922
226.116847,484,1822.525329
309.949794,1000,1835.571232
-155.875001,1000,1847.390594
90.250265,238,1854.103882
-111.863066,1000,1868.111932
61.466406,61,1868.597364
247.213378,493,1873.309202
49.408922,1000,1887.927867
21.781378,27,1888.36862
13.733332,1000,1902.994888
269.663822,1000,1915.043417
-349.834954,1000,1928.41355
274.196978,1000,1943.101255
3.497898,69,1943.60125
260.701352,1000,1957.732187
153.345246,1000,1968.741922
-111.073539,1000,1981.83921
340.213341,1000,1993.919677
195.335518,1000,2007.726703
200.608334,1000,2021.486496
354.484599,1000,2034.76443
24.956958,70,2035.271842
6.068781,28,2035.715276
391.151236,1000,2048.305246
4.885147,28,2048.347716
108.974368,236,2055.945144
638.848692,1000,2070.660822
200.649267,331,2073.937389
74.224202,1000,2086.582445
1.855221,18,2086.609037
10.609712,182,2088.474181
149.205321,1000,2102.546436
288.254296,1000,2116.673928
-446.199183,1000,2131.444601
300.605169,1000,2146.17668
233.39492,1000,2160.911136
297.379231,1000,2175.646465
-584.914095,1000,2189.247711
449.412377,1000,2203.167882
169.847216,1000,2217.932784
171.14547,1000,2231.812744
425.576534,1000,2245.818751
240.977938,1000,2257.557524
99.523937,1000,2269.65595
56.598907,1000,2284.473936
-7.322721,74,2284.978458
207.175959,947,2296.532033
474.700736,1000,2311.351998
6.387385,77,2312.266506
-17.457828,1000,2327.05991
305.215813,1000,2341.773035
-468.471324,1000,2354.760972
-1736.878871,1000,2368.569079
283.759819,1000,2381.448575
413.107201,1000,2393.778218
-886.969473,1000,2406.843048
50.918117,632,2416.83889
321.242076,1000,2431.626762
499.965224,1000,2446.355289
-565.51295,1000,2460.584284
412.147861,1000,2475.282134
299.659452,1000,2489.270018
306.294776,1000,2502.776432
-123.34959,1000,2517.771155
431.20328,949,2531.104415
223.451688,1000,2542.73013
35.013114,132,2544.13271
-10.321569,18,2544.160415
71.296745,184,2546.02111
145.550657,247,2548.368275
150.943836,763,2558.048539
-154.532266,1000,2572.084298
-14.170352,84,2573.003242
358.058994,1000,2586.999902
338.510602,1000,2599.869138
-29.033828,1000,2612.958707
291.25827,1000,2627.737107
282.089159,1000,2639.523987
454.051315,1000,2653.926924
31.437679,1000,2668.735899
-420.944701,1000,2683.586106
107.567121,1000,2698.397048
