total/steps,reference_actor_Q_std,total/steps_per_second,total/epochs,rollout/Q_mean,train/param_noise_distance,reference_action_mean,reference_Q_mean,eval/return_history,eval/episodes,total/duration,rollout/episodes,rollout/return_history,reference_perturbed_action_mean,reference_action_std,rollout/return,total/episodes,eval/Q,rollout/actions_std,reference_Q_std,reference_actor_Q_mean,rollout/actions_mean,eval/return,ret_rms_mean,reference_perturbed_action_std,obs_rms_mean,param_noise_stddev,train/loss_critic,obs_rms_std,rollout/episode_steps,train/loss_actor,ret_rms_std
1000,1.6783584356307983,66.10577913812791,1,-1.0963165760040283,0.4148138463497162,0.17429021000862122,-1.5266591310501099,-1475.4877247016796,1.0,15.127270460128784,1.0,-235.6896598684634,0.01993609219789505,0.7635971903800964,-235.6896598684634,1.0,0.15688776969909668,0.5784973502159119,1.8647927045822144,-0.8029863238334656,-0.04502235725522041,-1475.4877247016796,0.0,0.5122052431106567,0.019970906898379326,0.16720346283821505,0.21038036048412323,0.3757418096065521,194.0,0.6759588718414307,1.0
2000,2.893848180770874,67.01913074546229,2,-0.6570882797241211,0.3183264434337616,0.2732835114002228,-0.36168986558914185,-1523.0935980674576,2.0,29.842225313186646,2.0,-208.75867677996888,-0.4841468036174774,0.7714518308639526,-208.75867677996888,2.0,1.0500221252441406,0.5831844210624695,3.1472442150115967,0.37370651960372925,-0.1794804483652115,-1570.6994714332357,0.0,0.44752490520477295,0.018942901864647865,0.14259466822295333,0.3711605966091156,0.34604889154434204,597.0,-0.3351013958454132,1.0
3000,3.6725382804870605,68.26641666758219,3,-1.5272130966186523,0.5061014294624329,-0.1526905596256256,1.1024906635284424,-1567.625428032341,3.0,43.945473432540894,3.0,-374.0332357614796,0.34195783734321594,0.8014026284217834,-374.0332357614796,3.0,-0.4690186381340027,0.6707580089569092,4.010493278503418,1.82464599609375,-0.05162038281559944,-1656.6890879621074,0.0,0.7761610150337219,0.027633706107735634,0.11686267184170265,0.29297831654548645,0.32161760330200195,731.3333333333334,0.6032045483589172,1.0
4000,3.8857109546661377,69.19187715884166,4,-1.5634644031524658,0.48323625326156616,0.05855661630630493,3.3453567028045654,-1498.8806661595,4.0,57.81025409698486,4.0,-699.2013070044987,0.15338242053985596,0.7613099217414856,-699.2013070044987,4.0,5.499064922332764,0.7168779373168945,4.304572105407715,4.293490886688232,-0.0018727608257904649,-1292.6463805409762,0.0,0.7218794226646423,0.032082974910736084,0.09577415649670935,0.26941362023353577,0.2974744141101837,798.5,-0.8037565350532532,1.0
5000,3.379875421524048,69.27836327699696,5,-0.44192108511924744,0.3634741008281708,0.18621163070201874,6.396437644958496,-1512.225682042829,5.0,72.17260575294495,5.0,-925.2756283383294,0.11652152985334396,0.8091136813163757,-925.2756283383294,5.0,9.7164945602417,0.7193871736526489,3.839189052581787,7.624742031097412,0.015584670938551426,-1565.6057455761459,0.0,0.6735321283340454,0.031683050096035004,0.07849118035809692,0.6242504119873047,0.30707278847694397,838.8,-3.05637264251709,1.0
6000,4.042292594909668,69.83130812336479,6,0.9926652908325195,0.2860252559185028,0.03134101629257202,8.015621185302734,-1435.8748951085734,6.0,85.92134618759155,6.0,-927.4350415526795,0.08413141220808029,0.7699365615844727,-927.4350415526795,6.0,9.91316032409668,0.7244889140129089,4.292860984802246,8.723224639892578,0.0269379373639822,-1054.1209604372934,0.0,0.7593295574188232,0.031319018453359604,0.06432701283272566,0.5844626426696777,0.30945706367492676,865.6666666666666,-4.884272575378418,1.0
7000,4.168586730957031,70.25063808584557,7,2.4014601707458496,0.2613840401172638,0.03256410360336304,9.471261024475098,-1319.7536325133515,7.0,99.64322304725647,8.0,-866.040809218159,-0.005617275834083557,0.6798306703567505,-866.040809218159,8.0,13.718354225158691,0.7199200987815857,4.478907585144043,10.28621768951416,0.027044612914323807,-623.0260569420211,0.0,0.7150662541389465,0.032994985580444336,0.052718847660376544,0.7354851365089417,0.31052014231681824,781.5,-8.489875793457031,1.0
8000,4.2782697677612305,71.14380631849536,8,3.7172374725341797,0.2532612681388855,-0.07687170058488846,11.137067794799805,-1220.7692849352752,8.0,112.44829893112183,10.0,-791.9717830609122,0.02528408169746399,0.6508282423019409,-791.9717830609122,10.0,12.186416625976562,0.7078837156295776,4.594182968139648,11.900779724121094,0.03359967842698097,-527.8788518887417,0.0,0.642596960067749,0.033133044838905334,0.04407386942827646,0.9311169385910034,0.32371219992637634,786.9,-10.518575668334961,1.0
9000,4.437593460083008,72.52092754609556,9,4.875995635986328,0.2534387409687042,-0.04165219888091087,12.060482025146484,-1104.7333675721975,9.0,124.10210824012756,11.0,-738.1844359807712,0.07875768095254898,0.6056677103042603,-738.1844359807712,11.0,11.209009170532227,0.6995982527732849,4.675520896911621,12.880232810974121,0.03404153883457184,-176.44602866757504,0.0,0.6165121793746948,0.03255212679505348,0.03612049597631193,1.0815602540969849,0.33930686116218567,761.7272727272727,-11.718570709228516,1.0
10000,5.113265514373779,73.86932376042196,10,5.461865425109863,0.21929602324962616,0.012582965195178986,14.106801986694336,-1005.3240921901258,10.0,135.37419176101685,14.0,-612.043703418255,-0.011804759502410889,0.581824004650116,-612.043703418255,14.0,12.666428565979004,0.6953806281089783,5.340165615081787,15.052300453186035,0.02086382731795311,-110.64061375148233,0.0,0.5936563611030579,0.031016947701573372,0.03335667202186392,1.1608628034591675,0.3451440632343292,656.8571428571429,-13.64813232421875,1.0
