#{"t_start": 1521399272.555861, "env_id": "Ant-v2"}
r,l,t
-395.084765,1000,12.07513
-1303.338484,1000,26.81752
-484.3234,1000,41.715957
-692.231259,1000,56.54108
-223.97778,1000,71.464318
-1040.355083,1000,86.110051
-431.642,1000,100.849498
-548.88497,1000,115.557812
-617.164052,1000,130.235717
-241.239442,1000,143.558204
-181.682179,1000,158.303774
67.72913,1000,172.003713
-15.447484,1000,186.616814
-260.951789,1000,201.241078
-87.221367,1000,213.630549
-191.010584,1000,227.417981
6.454998,57,230.605306
-4.295751,15,230.627817
-303.855772,1000,244.820431
-157.665466,1000,255.247668
45.240283,1000,265.748904
-8.296846,97,266.69307
114.912771,208,268.61606
174.906355,1000,280.36074
246.418319,696,289.490415
5.379661,49,289.968739
-22.834629,53,290.451244
0.821954,29,290.89368
2.093829,45,290.961744
26.757465,277,293.782562
32.884764,236,296.130704
-5.15861,29,296.175748
0.383514,31,296.622827
65.051727,1000,310.668735
-210.530206,1000,326.50274
206.945889,1000,339.306718
-93.705301,1000,353.280505
-557.075395,1000,366.289388
6.127157,22,366.322313
-144.62613,1000,379.998106
9.949545,17,380.424376
272.695426,1000,393.89724
35.484301,88,394.427292
112.681638,1000,406.508531
-42.878289,885,420.216245
11.900298,767,432.883413
-363.208687,1000,447.506513
-149.383222,1000,462.287995
340.13602,1000,477.027528
533.89775,1000,491.746789
579.263576,1000,506.349704
-99.610401,1000,518.854486
-15.308371,1000,533.595108
439.989509,1000,547.333825
2.662848,20,547.365927
-243.185794,1000,562.186085
44.33464,261,564.579528
338.076365,1000,579.158854
-276.002426,1000,593.85786
-10.212231,1000,607.946609
-677.337846,1000,621.129854
107.537901,1000,635.370524
285.364097,1000,649.25553
359.259116,1000,663.454968
325.833771,1000,676.821799
8.617698,1000,691.636534
-0.210674,15,691.6602
410.209429,1000,705.862159
138.182948,1000,719.967968
168.391575,1000,733.137717
-424.339243,1000,747.929053
-46.271235,425,757.412768
39.507578,435,761.674736
217.922184,342,766.663435
-423.523066,1000,779.386046
158.325565,1000,791.962516
191.470262,1000,805.207697
-3.635672,19,805.642385
-191.115526,816,813.304322
-2.99358,36,813.763389
-8.894122,63,817.079102
86.432684,160,818.517698
73.305089,337,821.840053
-51.596583,1000,835.343508
33.923572,1000,848.491612
52.702318,119,849.469164
111.59926,1000,863.081547
-337.645547,1000,875.697754
346.030863,1000,889.444016
305.705686,1000,901.479736
144.477332,272,904.301753
479.139889,829,916.607392
-33.751068,1000,929.918261
369.848627,1000,944.746395
197.995449,1000,959.544512
105.358397,1000,974.350799
452.687169,1000,988.817936
374.231368,1000,1002.726934
130.800983,1000,1017.483447
258.407971,1000,1031.335133
382.526305,1000,1045.055243
-12.173797,1000,1059.022218
-1042.988655,1000,1072.010096
-772.683899,1000,1085.788368
-950.996357,1000,1100.353232
516.238129,1000,1113.425731
373.614148,1000,1127.196042
-442.055732,1000,1140.919793
270.619716,637,1151.350323
312.574662,1000,1166.161288
312.265203,1000,1179.961042
362.640841,1000,1194.748927
157.157903,1000,1208.783536
476.586268,1000,1223.504476
-459.054395,1000,1238.625388
453.976839,1000,1252.713993
308.090553,1000,1266.865311
-534.774792,1000,1281.339323
248.144694,1000,1296.435798
100.813422,1000,1310.683261
36.753472,310,1313.627925
-25.551649,315,1321.350102
358.430099,1000,1335.626394
121.49689,1000,1349.640563
6.135482,113,1350.610524
296.367447,1000,1365.411291
171.645524,708,1372.119761
68.831404,155,1373.56221
19.540355,75,1378.707274
-6.50595,35,1378.757805
101.087963,457,1383.499652
283.587182,1000,1397.437866
136.60868,1000,1412.332143
197.143351,1000,1427.152823
188.27915,1000,1441.98047
-16.609029,15,1442.004341
261.89261,1000,1455.781067
235.957378,1000,1470.224831
477.472077,1000,1483.575473
-565.922594,1000,1497.106299
-241.586115,1000,1512.091552
485.14811,1000,1525.888493
434.289789,1000,1540.704701
279.294653,1000,1555.094366
232.802886,1000,1568.889461
44.804565,137,1570.300291
398.902008,1000,1585.120247
398.162937,1000,1600.061024
259.989298,1000,1614.327107
300.672707,1000,1626.859818
3.591013,10,1626.877326
384.037397,1000,1640.955772
329.901117,1000,1654.756748
-4.107186,10,1654.772909
310.252403,1000,1666.793351
321.150742,1000,1679.124365
432.337487,1000,1693.964207
238.964497,1000,1708.745794
382.15215,1000,1722.600522
71.099277,1000,1737.424117
92.699049,279,1744.532119
65.745868,122,1745.524968
167.410565,1000,1759.756135
-1487.328045,1000,1773.582368
58.823446,136,1774.995472
