eval/episodes,train/loss_critic,eval/return_history,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,rollout/Q_mean,reference_actor_Q_mean,rollout/return_history,reference_perturbed_action_mean,total/duration,obs_rms_mean,ret_rms_std,eval/Q,rollout/return,total/epochs,reference_perturbed_action_std,train/loss_actor,rollout/actions_std,total/steps_per_second,total/episodes,total/steps,reference_action_std,reference_Q_mean,reference_actor_Q_std,reference_Q_std,obs_rms_std,param_noise_stddev,ret_rms_mean
1.0,0.057859744876623154,-309.06106789684566,0.2209363430738449,1000.0,-0.045526597648859024,1.0,0.6624233722686768,-309.06106789684566,1.4071820974349976,4.389202117919922,-494.7633074142432,0.5762883424758911,40.50019955635071,-0.028092319145798683,1.0,3.5214428901672363,-494.7633074142432,1,0.5866246819496155,-4.009073734283447,0.5617404580116272,24.691236363135232,1.0,1000,0.7961885333061218,3.628200054168701,1.552774429321289,1.810910940170288,1.7901287078857422,0.1454608210542347,0.0
2.0,0.048769813030958176,-221.96931463505663,0.19385606050491333,1000.0,0.2428014874458313,2.0,0.5695749223232269,-134.8775613732676,3.586005449295044,9.799135208129883,-457.6330438592811,0.1112484559416771,80.9032335281372,0.03231378644704819,1.0,9.361733436584473,-457.6330438592811,2,0.8004280924797058,-8.475993156433105,0.672380268573761,24.720890782497875,2.0,2000,0.8180242776870728,9.27946662902832,1.8197143077850342,2.128809690475464,1.3262131214141846,0.09769921704229322,0.0
3.0,0.1114606261253357,-243.78159768166654,0.3378605842590332,1000.0,0.22985905408859253,3.0,0.33040906488895416,-287.40616377488635,6.270744323730469,13.75209903717041,-324.6867528729749,0.5555933713912964,121.36775088310242,0.04080701991915703,1.0,9.428535461425781,-324.6867528729749,3,0.5246487259864807,-12.816797256469727,0.7014090418815613,24.71826311496458,3.0,3000,0.6477739810943604,13.003955841064453,2.1438004970550537,2.4246561527252197,1.522149682044983,0.06561998579066344,0.0
4.0,0.24064457416534424,-269.7583299025455,0.21835462749004364,1000.0,0.33813685178756714,4.0,0.2650885209441185,-347.68852656518237,7.584227561950684,19.088138580322266,-328.88423943531166,0.23200343549251556,161.6421456336975,0.07071727514266968,1.0,14.232710838317871,-328.88423943531166,4,0.6689882278442383,-17.108972549438477,0.662041962146759,24.74602143097339,4.0,4000,0.6928378939628601,18.42802619934082,2.0506820678710938,2.2748541831970215,1.4000102281570435,0.04407386942827646,0.0
5.0,0.22758808732032776,-317.2800757055187,0.21528469026088715,1000.0,0.31493088603019714,5.0,0.19301464408636093,-507.36705891741167,8.995824813842773,23.590652465820312,-337.8093295896485,0.07761925458908081,201.99853205680847,0.08100368082523346,1.0,16.607046127319336,-337.8093295896485,5,0.7567576169967651,-20.159704208374023,0.6857168674468994,24.752655126195865,5.0,5000,0.6799651980400085,22.789453506469727,2.280441999435425,2.6076812744140625,1.2765376567840576,0.04151957869412388,0.0
6.0,0.36915329098701477,-268.30564494991364,0.13189993798732758,1000.0,0.2943783104419708,6.0,0.18048308044672012,-23.433491171888125,11.698983192443848,27.512357711791992,-322.3036519178974,0.2676716148853302,242.23595142364502,0.07316523045301437,1.0,26.919321060180664,-322.3036519178974,6,0.6528441905975342,-24.66415023803711,0.6863447427749634,24.76923827671903,6.0,6000,0.7414955496788025,26.693904876708984,2.259592056274414,2.54121470451355,1.2987446784973145,0.03335667202186392,0.0
7.0,0.6098443269729614,-261.6992237554476,0.18307310342788696,1000.0,0.308793842792511,7.0,0.20356278866529465,-222.06069658865144,14.649566650390625,32.22394561767578,-218.52959512347272,0.2534756660461426,282.3455286026001,0.07775712013244629,1.0,28.595075607299805,-218.52959512347272,7,0.6913655400276184,-30.399669647216797,0.6786702871322632,24.792317536051595,7.0,7000,0.713290810585022,31.33024787902832,2.8453142642974854,3.0285000801086426,1.348479151725769,0.03142349394213421,0.0
8.0,1.0934194326400757,-185.20112854875617,0.038967013359069824,1000.0,0.3273078203201294,8.0,0.2230997458100319,350.2855378980837,17.78134536743164,41.63304901123047,-177.62856510331656,0.1992509961128235,322.33800625801086,0.07933611422777176,1.0,46.9970703125,-177.62856510331656,8,0.6763196587562561,-39.291839599609375,0.6739840507507324,24.818668120682343,8.0,8000,0.6745818853378296,40.37892150878906,3.3444221019744873,3.6325016021728516,1.3598631620407104,0.03269941380439557,0.0
9.0,1.0876491069793701,-96.57278658180891,0.19230246543884277,1000.0,0.3361162841320038,9.0,0.21284721046686172,612.4539491537691,21.391281127929688,52.68529510498047,-145.93779879918677,0.09220937639474869,362.3918797969818,0.08247847855091095,1.0,59.118839263916016,-145.93779879918677,9,0.7524699568748474,-50.09141540527344,0.670448899269104,24.83499355736656,9.0,9000,0.7315880060195923,51.472923278808594,2.4997856616973877,2.8609848022460938,1.392760157585144,0.03758713295613906,0.0
10.0,2.090296983718872,-94.25917731919543,0.2951435446739197,1000.0,0.32947683334350586,10.0,0.19457511603832245,-73.43669395567407,25.49270248413086,62.175086975097656,-94.0997112992651,0.4163421392440796,402.34813141822815,0.0824638083577156,1.0,57.87996292114258,-94.0997112992651,10,0.6335524916648865,-60.536258697509766,0.6727579236030579,24.854098277407722,10.0,10000,0.729066014289856,60.830902099609375,3.2463576793670654,4.0245361328125,1.4197043180465698,0.034711086666206405,0.0
