train/loss_actor,total/episodes,rollout/return,eval/episodes,rollout/Q_mean,reference_Q_std,total/steps_per_second,reference_Q_mean,ret_rms_mean,eval/Q,reference_action_mean,train/loss_critic,reference_perturbed_action_mean,rollout/episodes,total/duration,rollout/return_history,train/param_noise_distance,reference_perturbed_action_std,reference_action_std,reference_actor_Q_std,reference_actor_Q_mean,rollout/actions_mean,rollout/episode_steps,total/steps,total/epochs,ret_rms_std,rollout/actions_std,eval/return,obs_rms_mean,param_noise_stddev,obs_rms_std,eval/return_history
-3.3783271312713623,1.0,-422.18196706588213,1.0,1.1999614238739014,1.7088408470153809,23.41723407516683,2.8616433143615723,0.0,3.510538339614868,-0.275858998298645,0.05762124061584473,-0.28515639901161194,1.0,42.7035915851593,-422.18196706588213,0.6534411907196045,0.6833069920539856,0.8517931699752808,1.438941240310669,3.5169527530670166,-0.002977738156914711,1000.0,1000,1,1.0,0.7244144678115845,-447.3539664134226,-0.007426905445754528,0.1454608210542347,1.7679941654205322,-447.3539664134226
-8.91553020477295,2.0,-343.2558248595453,2.0,3.481329917907715,2.6445393562316895,23.562660936295313,8.559616088867188,0.0,11.803497314453125,-0.05390000343322754,0.11331317573785782,-0.2198786586523056,2.0,84.88005685806274,-343.2558248595453,0.7866364419460297,0.621055543422699,0.6790927648544312,2.4422872066497803,9.45821475982666,-0.11839684844017029,1000.0,2000,2,1.0,0.7080963253974915,-280.99777757404297,-0.03287813439965248,0.09769921704229322,1.3818583488464355,-364.1758719937328
-16.729345321655273,3.0,-405.10465655321235,3.0,6.61090612411499,2.3103883266448975,23.316632864323232,16.065473556518555,0.0,16.492204666137695,0.05191421881318092,0.18923917412757874,0.1996888965368271,3.0,128.66351747512817,-405.10465655321235,0.5993187427520752,0.6365053057670593,0.616507351398468,2.0492193698883057,16.86846160888672,-0.18659637868404388,1000.0,3000,3,1.0,0.6684799194335938,-253.0582889891985,-0.05065973848104477,0.06561998579066344,1.4954437017440796,-327.136677658888
-25.060131072998047,4.0,-351.35441587683965,4.0,10.177325248718262,2.2527260780334473,23.36175595441433,25.641456604003906,0.0,24.00797462463379,0.17820249497890472,0.5174750685691833,0.1846042275428772,4.0,171.2200062274933,-351.35441587683965,0.3361836075782776,0.6286682486534119,0.6674690246582031,1.9146565198898315,26.498807907104492,-0.09364263713359833,1000.0,4000,4,1.0,0.6587954163551331,-306.3965209910777,-0.014661185443401337,0.04407386942827646,1.3853908777236938,-321.95163849193546
-30.973583221435547,5.0,-349.0742071758685,5.0,13.548651695251465,2.122307777404785,23.406581400286182,31.432971954345703,0.0,30.633380889892578,0.33676648139953613,0.8316795825958252,0.34828653931617737,5.0,213.61513304710388,-349.0742071758685,0.22135978937149048,0.6213142275810242,0.6308368444442749,1.9625575542449951,32.19148635864258,-0.030473949387669563,1000.0,5000,5,1.0,0.6847954392433167,-344.2090746969569,0.0083313575014472,0.029602352743226958,1.2671135663986206,-326.40312573293977
-35.93328857421875,6.0,-350.3011079178595,6.0,16.551271438598633,2.2877840995788574,23.497472396210544,38.00691223144531,0.0,35.23949432373047,0.34633466601371765,0.4523891508579254,0.30191949009895325,6.0,255.346613407135,-350.3011079178595,0.23967568576335907,0.6133032441139221,0.5876224040985107,2.0417165756225586,38.855995178222656,0.016117241233587265,1000.0,6000,6,1.0,0.6989102959632874,-173.0197055456822,0.021190384402871132,0.02733727610437334,1.3111867904663086,-300.83922236839686
-40.987510681152344,7.0,-317.9639240192563,7.0,19.524826049804688,2.400866985321045,23.53357014237731,45.229225158691406,0.0,43.44322204589844,0.3133907914161682,0.9338921904563904,0.3592628240585327,7.0,297.44743180274963,-317.9639240192563,0.2041105031967163,0.5707017779350281,0.5495758056640625,2.0992894172668457,46.06668472290039,0.02549572102725506,1000.0,7000,7,1.0,0.707229495048523,-21.300670766280835,0.031198764219880104,0.022854436146078055,1.3937726020812988,-260.90514356809456
-45.3426399230957,8.0,-293.724484992156,8.0,22.372520446777344,1.9971519708633423,23.56690714685858,49.23121643066406,0.0,44.38480758666992,0.18489950895309448,1.985221266746521,0.23744601011276245,8.0,339.4590537548065,-293.724484992156,0.2207503616809845,0.5323216915130615,0.5819931626319885,1.797264814376831,49.86775207519531,0.04129022732377052,1000.0,8000,8,1.0,0.7179858088493347,-116.10388331404178,0.041626691818237305,0.019882513137642284,1.5121104717254639,-242.80498603633794
-48.351104736328125,9.0,-266.97121946154243,9.0,25.27836036682129,1.6548829078674316,23.632107501820933,49.27057647705078,0.0,50.441551208496094,0.15081636607646942,1.2102569341659546,0.022115319967269897,9.0,380.8378071784973,-266.97121946154243,0.1936236247420311,0.6108997464179993,0.6250603199005127,1.5866622924804688,49.777626037597656,0.05747473984956741,1000.0,9000,9,1.0,0.7064434885978699,-129.9975977964442,0.04543771222233772,0.0211056883401964,1.5506880283355713,-230.27083178746085
-49.15729904174805,10.0,-261.94561282208326,10.0,27.90102195739746,1.979727864265442,23.654190735486328,49.49094009399414,0.0,47.10417938232422,0.2855919897556305,1.4786043167114258,0.31856945157051086,10.0,422.7580690383911,-261.94561282208326,0.17738844454288483,0.6109625697135925,0.5952371954917908,1.8094416856765747,50.143531799316406,0.05483731999993324,1000.0,10000,10,1.0,0.6965048909187317,-402.4060464465049,0.039892859756946564,0.020689822899908242,1.4799623489379883,-247.4843532533652
-50.02000045776367,11.0,-274.47489791867065,11.0,29.607513427734375,2.608926296234131,23.68986024249152,51.863075256347656,0.0,46.95634841918945,0.11262235790491104,1.7151479721069336,0.11799675226211548,11.0,464.3336806297302,-274.47489791867065,0.24465875327587128,0.6351123452186584,0.6388301849365234,2.4119601249694824,52.704627990722656,0.06797502189874649,1000.0,11000,11,1.0,0.7022700309753418,-417.1895672396822,0.04688451439142227,0.021962663920618616,1.5846457481384277,-262.91209997939404
-51.55726623535156,12.0,-288.8306720424509,12.0,30.9285945892334,2.6198458671569824,23.68324617027357,55.57615661621094,0.0,50.99553680419922,0.04860210046172142,1.147596001625061,-0.005438645835965872,12.0,506.68729758262634,-288.8306720424509,0.21028189361095428,0.6390463709831238,0.5964112877845764,2.5249412059783936,56.302974700927734,0.043819278478622437,1000.0,12000,12,1.0,0.7196757197380066,-118.68842693195002,0.04594511538743973,0.02152991267583435,1.5242948532104492,-250.89346055877368
-52.56895065307617,13.0,-279.6222502882205,13.0,32.63054275512695,2.27048397064209,23.72160690910512,56.051544189453125,0.0,58.48247528076172,-0.08643128722906113,1.8902050256729126,-0.09235452860593796,13.0,548.0235824584961,-279.6222502882205,0.1970498338341713,0.5812243223190308,0.5793555974960327,2.122626781463623,56.72510528564453,0.04406489431858063,1000.0,13000,13,1.0,0.717832088470459,82.6354634874406,0.0461977943778038,0.02152991267583435,1.591673493385315,-225.23738947829568
-53.15420913696289,14.0,-266.6597682733687,14.0,34.35366439819336,1.9321362972259521,23.750869719627442,54.88886260986328,0.0,49.839927673339844,0.21758271753787994,0.5320630669593811,0.09857720136642456,14.0,589.452098608017,-266.6597682733687,0.18110749125480652,0.5849198698997498,0.5095592141151428,1.8427234888076782,55.55561447143555,0.043648894876241684,1000.0,14000,14,1.0,0.7066477537155151,-342.26306906458166,0.04302927851676941,0.02152991267583435,1.5926828384399414,-233.5963665916018
-53.76417541503906,15.0,-243.77619193308323,15.0,35.8056755065918,2.2088961601257324,23.734281578692485,55.50006103515625,0.0,52.75962448120117,0.21042703092098236,0.8590832352638245,0.18346983194351196,15.0,631.997220993042,-243.77619193308323,0.23831140249967575,0.5100674033164978,0.5113224387168884,2.1388471126556396,56.383583068847656,0.051870908588171005,1000.0,15000,15,1.0,0.6951320171356201,260.3578628368457,0.043107014149427414,0.02152991267583435,1.582619071006775,-200.66608462970532
-57.104400634765625,16.0,-224.88980037867168,16.0,36.899391174316406,2.3233213424682617,23.746695153629183,59.75690460205078,0.0,53.67063903808594,0.16781498491764069,1.879289984703064,0.3479861319065094,16.0,673.7779676914215,-224.88980037867168,0.1708819568157196,0.49165818095207214,0.5059171915054321,2.2202131748199463,60.43931579589844,0.03510995954275131,1000.0,16000,16,1.0,0.6978826522827148,-267.08053040468616,0.04443938657641411,0.021962663920618616,1.621512532234192,-204.81698749064165
-58.93899917602539,17.0,-238.6057163610272,17.0,38.063560485839844,2.2150399684906006,23.74680482661465,61.17362976074219,0.0,61.29681396484375,0.09424086660146713,1.0946310758590698,0.05769120529294014,17.0,715.8857843875885,-238.6057163610272,0.21950246393680573,0.5504909157752991,0.5292041301727295,2.0961687564849854,61.84700012207031,0.037115100771188736,1000.0,17000,17,1.0,0.7104789614677429,211.64723985887622,0.04868146404623985,0.0211056883401964,1.5915278196334839,-180.3190917641994
-59.983123779296875,18.0,-233.9390654609229,18.0,39.147605895996094,2.1071057319641113,23.734511349961185,62.595062255859375,0.0,60.14780044555664,0.06950678676366806,2.814760208129883,0.18596084415912628,18.0,758.3893232345581,-233.9390654609229,0.22963731735944748,0.5419325232505798,0.5469291806221008,1.9615451097488403,63.37544250488281,0.038904592394828796,1000.0,18000,18,1.0,0.7109557390213013,236.22664846698734,0.05202324315905571,0.02240411346542305,1.6080654859542847,-157.1776617513557
