#{"env_id": "HalfCheetah-v2", "t_start": 1521534248.9569416}
r,l,t
-102.73466,1000,30.592383
-404.457558,1000,63.188409
-332.172008,1000,95.69846
-361.617663,1000,128.332352
-151.127383,1000,160.879457
100.186422,1000,193.549688
-273.640121,1000,226.171408
-392.241607,1000,258.815457
-398.463924,1000,291.340437
-247.299414,1000,323.848456
-263.950332,1000,356.572507
-107.227343,1000,389.232391
65.995084,1000,421.842385
23.30892,1000,454.404455
-27.59073,1000,486.979518
190.038269,1000,519.595726
120.988341,1000,552.631414
-205.781114,1000,585.783396
-171.422955,1000,618.982479
54.836488,1000,652.184891
466.013511,1000,684.766625
319.865336,1000,717.544312
202.316335,1000,750.079431
297.806941,1000,782.566464
-33.766408,1000,815.121462
-437.947689,1000,847.709431
-336.987135,1000,880.355069
217.048306,1000,912.963477
-436.204575,1000,945.341609
-344.181476,1000,977.776251
340.80215,1000,1010.258669
-537.568909,1000,1042.598418
717.247911,1000,1075.04247
425.218558,1000,1107.603683
747.499102,1000,1140.163649
535.135717,1000,1172.753449
607.404949,1000,1205.364156
602.300398,1000,1237.912403
725.199591,1000,1270.672655
485.950577,1000,1303.380509
911.679538,1000,1336.235281
1080.743492,1000,1368.957614
698.528615,1000,1401.87475
891.193787,1000,1434.743578
774.374667,1000,1467.288521
1210.283146,1000,1499.949609
712.060711,1000,1532.597637
