#{"t_start": 1521279300.5992577, "env_id": "HalfCheetah-v2"}
r,l,t
-44.07308,1000,30.607862
-417.181454,1000,63.988189
-475.995416,1000,97.097913
-558.465147,1000,130.246862
-458.227507,1000,163.356743
-366.330744,1000,196.487787
-755.123015,1000,229.630836
-523.205622,1000,262.779919
-183.593563,1000,295.901711
-479.851555,1000,329.015866
-567.545519,1000,362.025928
-248.177289,1000,394.992947
58.844294,1000,427.964251
-80.163473,1000,460.93577
-53.852066,1000,493.851718
182.128909,1000,526.692879
-154.230461,1000,559.545822
111.089244,1000,592.46183
1.856376,1000,625.569867
327.995632,1000,658.594032
-260.922968,1000,691.445843
368.093069,1000,724.314773
-78.678941,1000,757.202585
-405.589148,1000,790.250209
-133.324143,1000,823.104803
129.194886,1000,855.956788
630.39799,1000,888.888867
331.138973,1000,921.758846
-434.84102,1000,954.806399
492.218817,1000,987.839608
-446.889569,1000,1020.862884
188.767766,1000,1053.861077
472.058307,1000,1086.775581
191.467466,1000,1119.785604
470.974385,1000,1152.858334
460.123797,1000,1185.910778
51.008525,1000,1218.891925
668.48469,1000,1251.869792
483.119994,1000,1284.880661
820.267796,1000,1317.84334
752.636088,1000,1350.86009
596.363273,1000,1383.838727
799.255026,1000,1416.69371
686.077364,1000,1449.556754
660.288834,1000,1482.418818
9.428003,1000,1515.536998
799.231006,1000,1548.424149
1060.437355,1000,1581.335824
585.737701,1000,1614.181376
1234.526053,1000,1647.061713
278.096729,1000,1679.934931
277.870964,1000,1712.89489
642.503416,1000,1745.781879
1618.303217,1000,1778.785873
1017.923637,1000,1811.65787
813.325843,1000,1844.594892
1029.242424,1000,1877.672881
827.502988,1000,1910.601171
719.694908,1000,1943.552839
1248.712725,1000,1976.573016
675.10256,1000,2009.423617
-177.891515,1000,2042.342899
-89.60318,1000,2075.263074
721.4737,1000,2108.112889
1304.739967,1000,2141.108896
-161.782076,1000,2174.045793
-650.278289,1000,2207.030865
-698.753022,1000,2240.053842
-231.010054,1000,2273.133883
703.118742,1000,2306.084791
-213.28357,1000,2339.085898
822.719457,1000,2371.993873
-128.167678,1000,2405.033889
963.266688,1000,2437.89584
-482.615238,1000,2471.127142
902.92939,1000,2504.314837
445.158273,1000,2537.221952
1198.862272,1000,2570.082932
-4.103158,1000,2603.08176
-466.241203,1000,2636.068281
-215.025974,1000,2669.05216
-403.872505,1000,2702.013651
-452.942121,1000,2734.998863
-98.736086,1000,2767.987927
-539.324002,1000,2800.981606
787.099153,1000,2833.911731
-414.127611,1000,2866.896726
397.913126,1000,2899.934271
-267.646377,1000,2932.87326
-308.257748,1000,2966.049091
-77.114287,1000,2999.013889
360.294805,1000,3031.994134
38.000011,1000,3064.975868
690.295773,1000,3097.886781
453.969894,1000,3130.860731
476.604189,1000,3163.741179
461.519728,1000,3196.732529
417.802855,1000,3229.642641
-179.402254,1000,3262.529857
219.403581,1000,3295.266866
600.852551,1000,3328.82245
569.467467,1000,3361.967232
592.509909,1000,3394.947792
648.52405,1000,3427.961952
554.729115,1000,3461.069874
740.253923,1000,3494.153713
1032.976002,1000,3527.104718
306.5021,1000,3560.042578
478.760547,1000,3592.969889
554.778531,1000,3625.950595
342.227713,1000,3658.80479
261.429579,1000,3691.792714
532.368967,1000,3724.75476
501.100436,1000,3757.711063
544.020355,1000,3790.648731
673.705416,1000,3823.57586
539.747551,1000,3856.659903
757.556007,1000,3889.608849
919.773363,1000,3922.608875
1408.138344,1000,3955.57726
1271.827775,1000,3988.512828
1006.069712,1000,4021.381651
199.704806,1000,4054.330858
779.56714,1000,4087.258145
1242.663736,1000,4120.225827
757.468186,1000,4153.151888
953.143276,1000,4186.071732
604.945574,1000,4219.056731
920.075334,1000,4252.078731
841.94343,1000,4285.033337
882.607148,1000,4318.016815
1272.676997,1000,4350.950866
1446.460691,1000,4384.052858
1494.520635,1000,4416.955322
1552.071742,1000,4449.815869
1378.374678,1000,4482.960834
1328.542309,1000,4516.441857
1277.687826,1000,4550.073823
951.235901,1000,4583.356859
1660.296218,1000,4616.331217
1178.323008,1000,4649.380015
1575.255797,1000,4682.401799
1290.716874,1000,4715.407712
1744.982944,1000,4748.352048
994.051804,1000,4781.355551
1137.103472,1000,4814.311261
1419.031109,1000,4847.330265
1578.669893,1000,4880.343808
1260.216239,1000,4913.261492
961.687623,1000,4946.270755
1219.264127,1000,4979.169881
1095.48867,1000,5012.151071
1003.475019,1000,5045.160702
1001.601365,1000,5078.219819
1168.84891,1000,5111.341771
1026.831611,1000,5144.373858
1053.027835,1000,5177.461818
1053.529842,1000,5210.542539
224.157359,1000,5243.634877
1710.470355,1000,5276.669851
219.482743,1000,5309.726787
1164.990345,1000,5342.73784
-357.905332,1000,5375.776842
-552.501453,1000,5408.842308
1765.794759,1000,5441.91189
1315.240655,1000,5474.979402
1207.698436,1000,5508.03456
1357.924112,1000,5541.124189
1105.072253,1000,5574.134919
1305.44412,1000,5607.162826
1380.128163,1000,5640.207823
1300.347195,1000,5673.255722
711.290241,1000,5706.183722
1560.174175,1000,5739.169009
1773.034807,1000,5772.144854
1339.846925,1000,5805.156873
1148.933783,1000,5838.205682
1399.983218,1000,5871.193775
1496.110004,1000,5904.234726
1519.00956,1000,5937.285779
-313.633065,1000,5970.327412
1608.461098,1000,6003.352049
856.407683,1000,6036.318832
