total/steps,train/param_noise_distance,rollout/return_history,eval/return,rollout/Q_mean,rollout/actions_mean,total/epochs,reference_actor_Q_std,rollout/actions_std,reference_actor_Q_mean,total/duration,reference_Q_std,train/loss_actor,reference_action_std,eval/return_history,obs_rms_mean,ret_rms_mean,reference_action_mean,rollout/episodes,ret_rms_std,train/loss_critic,total/steps_per_second,total/episodes,obs_rms_std,reference_Q_mean,eval/episodes,rollout/episode_steps,rollout/return,eval/Q
1000,0.0,-264.23607857197186,-210.8976689846058,-0.803303599357605,-0.1266791671514511,1,2.765430450439453,0.7048149704933167,0.8498489856719971,40.16614484786987,2.370771646499634,-0.6030567288398743,0.6484031081199646,-210.8976689846058,0.06990675628185272,0.0,-0.597647488117218,1.0,1.0,0.05026362091302872,24.896589000202066,1.0,0.6777797937393188,0.23278367519378662,1.0,1000.0,-264.23607857197186,4.173459053039551
2000,0.0,-321.9932028894118,-227.5712919425765,2.218076705932617,-0.20298656821250916,2,5.204660415649414,0.7089774012565613,9.702390670776367,80.12085151672363,5.158625602722168,-8.652775764465332,0.8158440589904785,-219.23448046359113,0.053230494260787964,0.0,-0.13070455193519592,2.0,1.0,0.14368581771850586,24.962290866099192,2.0,1.2596702575683594,8.997186660766602,2.0,1000.0,-321.9932028894118,10.139976501464844
3000,0.0,-367.96506379570883,-242.05121361305723,4.076967239379883,-0.08312643319368362,3,9.547369956970215,0.7598915696144104,17.049880981445312,120.12430357933044,9.199195861816406,-14.83221435546875,0.7783852219581604,-226.84005818007984,0.08514648675918579,0.0,-0.18288247287273407,3.0,1.0,0.4104982018470764,24.974130218526437,3.0,1.4856858253479004,16.317867279052734,3.0,1000.0,-367.96506379570883,25.841402053833008
4000,0.0,-255.37685882228206,-52.20033685371776,10.123432159423828,-0.023173833265900612,4,14.07301139831543,0.7401551604270935,22.704402923583984,160.00335788726807,14.137311935424805,-24.427574157714844,0.7568508386611938,-183.18012784848932,0.09634699672460556,0.0,-0.15127131342887878,4.0,1.0,0.5012305974960327,24.999475341125272,4.0,1.6246854066848755,21.759368896484375,4.0,1000.0,-255.37685882228206,34.83676528930664
5000,0.0,-219.4931434005802,59.927355635419474,15.982382774353027,-0.055814675986766815,5,10.30675983428955,0.71163010597229,31.514759063720703,200.04698061943054,10.682964324951172,-34.72662353515625,0.7974282503128052,-134.55863115170754,0.06899941712617874,0.0,-0.2057213932275772,5.0,1.0,0.9477932453155518,24.99412880173384,5.0,1.6492080688476562,30.532398223876953,5.0,1000.0,-219.4931434005802,38.10390853881836
6000,0.0,-172.70807043192033,52.0176034300266,20.400497436523438,-0.02359382063150406,6,9.931211471557617,0.6962183713912964,36.988525390625,239.93126034736633,9.97877311706543,-41.5557975769043,0.7534146308898926,-103.46259205475185,0.07066293060779572,0.0,-0.08516009896993637,6.0,1.0,0.9241136908531189,25.00716243191218,6.0,1.7023943662643433,36.259037017822266,6.0,1000.0,-172.70807043192033,41.65513610839844
7000,0.0,-222.67531420122467,-564.7495617591137,21.292848587036133,-0.02632615529000759,7,13.328975677490234,0.7184539437294006,41.95831298828125,280.04553270339966,13.31347942352295,-44.66006851196289,0.7728701233863831,-169.3607305839464,0.08084230870008469,0.0,-0.06200410798192024,7.0,1.0,1.4978638887405396,24.995935241051686,7.0,1.7760027647018433,41.1741828918457,7.0,1000.0,-222.67531420122467,31.1677188873291
8000,0.0,-255.2556612368184,-322.5956142015274,21.74872398376465,-0.03451014310121536,8,18.155641555786133,0.7277249693870544,44.85459518432617,320.03435921669006,17.96910858154297,-45.54267120361328,0.7502434849739075,-188.51509103614404,0.08769655227661133,0.0,-0.13095565140247345,8.0,1.0,1.8273974657058716,24.99731597438677,8.0,1.9548187255859375,44.31895065307617,8.0,1000.0,-255.2556612368184,60.641387939453125
9000,0.0,-204.1918575402878,223.55082267873536,26.198375701904297,-0.0279245488345623,9,22.786720275878906,0.7137603759765625,45.75771713256836,359.95075488090515,22.417877197265625,-49.06953048706055,0.8009662628173828,-142.72998951226856,0.08647087961435318,0.0,-0.10584560036659241,9.0,1.0,1.7106537818908691,25.003420267802408,9.0,1.9579068422317505,45.157264709472656,9.0,1000.0,-204.1918575402878,65.66075897216797
10000,0.0,-153.16812785988068,683.1912775688468,30.457387924194336,-0.0156596340239048,10,26.91201400756836,0.7020359039306641,49.96055603027344,399.8519186973572,26.68001937866211,-54.762596130371094,0.7127904295921326,-60.137862804157024,0.08880408853292465,0.0,-0.035978179425001144,10.0,1.0,2.1146209239959717,25.00925850894534,10.0,1.9801361560821533,49.13954162597656,10.0,1000.0,-153.16812785988068,74.20887756347656
11000,0.0,-110.59939308016706,119.5822030338732,34.68689727783203,-0.0033725134562700987,11,28.958080291748047,0.6954531669616699,56.62833786010742,439.68763422966003,28.68881607055664,-63.42292404174805,0.7445827722549438,-43.79967500069973,0.09072190523147583,0.0,0.022774256765842438,11.0,1.0,2.3725740909576416,25.017760663822582,11.0,1.9904487133026123,55.68523025512695,11.0,1000.0,-110.59939308016706,79.6694107055664
12000,0.0,-106.07216133440879,-641.2410940593088,38.6132926940918,-0.002053395612165332,12,30.12636375427246,0.6891870498657227,64.1987533569336,479.8963828086853,30.247446060180664,-73.29273223876953,0.7901431918144226,-93.58645992225048,0.08902634680271149,0.0,-0.029039496555924416,12.0,1.0,2.771038770675659,25.005397893953077,12.0,2.010890245437622,63.33485412597656,12.0,1000.0,-106.07216133440879,45.96248245239258
