#{"t_start": 1521565235.5300128, "env_id": "HalfCheetah-v2"}
r,l,t
-242.204202,1000,49.078115
52.654965,1000,100.418425
395.446162,1000,152.600602
746.261015,1000,204.085858
245.567272,1000,262.389314
-329.464868,1000,320.322687
-376.470204,1000,378.62262
-260.085551,1000,437.64898
-480.98076,1000,496.671201
-205.493571,1000,552.678052
-323.098135,1000,607.594487
53.01452,1000,664.799951
-37.493373,1000,721.623268
242.912403,1000,768.93838
149.415502,1000,814.929689
15.814438,1000,860.040277
-96.933915,1000,905.266416
288.215769,1000,950.526632
-81.036527,1000,995.769824
614.515538,1000,1040.695652
134.11603,1000,1085.808905
507.734045,1000,1130.694592
-112.51996,1000,1175.897074
576.270406,1000,1220.906734
510.469591,1000,1266.184402
605.786718,1000,1311.89028
471.511921,1000,1357.22024
377.3842,1000,1402.23241
173.142418,1000,1448.958984
161.618201,1000,1498.259362
-294.030807,1000,1547.234357
-158.816511,1000,1594.86393
168.163888,1000,1645.418441
-40.870745,1000,1691.831861
-149.926842,1000,1737.629739
-232.570265,1000,1783.598703
142.070285,1000,1829.827671
47.255191,1000,1875.886277
209.84448,1000,1920.899904
-43.361736,1000,1967.289077
-295.776394,1000,2012.127005
-363.729722,1000,2056.88623
-94.268416,1000,2104.668198
255.367026,1000,2159.221905
-267.522928,1000,2211.932415
-197.461441,1000,2268.535505
-229.611041,1000,2329.68048
-57.084516,1000,2378.289404
115.506079,1000,2417.827503
121.366452,1000,2457.147531
42.335847,1000,2496.768304
-152.358084,1000,2536.472432
136.206504,1000,2576.006486
113.425311,1000,2615.623019
176.936533,1000,2655.20961
324.47837,1000,2695.498463
126.556609,1000,2735.996175
-55.33069,1000,2776.361895
44.974225,1000,2815.977264
349.7573,1000,2855.953764
326.478308,1000,2895.800262
139.961509,1000,2935.524966
-329.580478,1000,2975.151886
329.766279,1000,3014.853854
323.081105,1000,3054.59523
279.148737,1000,3094.260999
243.445137,1000,3133.976234
83.630947,1000,3173.737291
347.994211,1000,3213.498934
351.496708,1000,3253.164379
324.337831,1000,3292.812415
253.946511,1000,3332.330339
141.384565,1000,3372.004593
283.691769,1000,3411.756235
250.839074,1000,3451.417375
253.031219,1000,3490.955748
305.075366,1000,3530.435411
126.053314,1000,3570.102215
88.53631,1000,3609.811383
-12.561103,1000,3649.455886
268.068817,1000,3689.809532
37.009894,1000,3730.357198
27.432228,1000,3770.463391
94.214645,1000,3810.270294
281.142653,1000,3850.107337
150.640083,1000,3889.778015
166.813411,1000,3929.529981
-74.082399,1000,3969.308687
202.872095,1000,4008.981234
246.980289,1000,4048.698987
315.314226,1000,4088.555239
-33.300276,1000,4128.213285
361.318632,1000,4168.031614
432.49745,1000,4207.790175
337.280576,1000,4247.345043
460.674582,1000,4287.163364
464.727062,1000,4326.789309
277.769441,1000,4366.466845
112.348577,1000,4406.030089
431.834496,1000,4445.713166
264.316679,1000,4485.444331
225.802368,1000,4525.232541
253.979783,1000,4564.953968
340.085956,1000,4604.650343
524.228731,1000,4644.641587
407.462256,1000,4684.48909
279.166451,1000,4724.264237
-106.342914,1000,4763.79026
-9.16568,1000,4803.437984
292.335031,1000,4843.278957
541.090027,1000,4882.958866
191.274195,1000,4922.60845
429.458356,1000,4962.21517
742.589651,1000,5001.834912
75.295788,1000,5042.425226
361.512202,1000,5082.776308
552.911694,1000,5122.476432
86.821078,1000,5162.029184
145.590861,1000,5201.803935
29.055874,1000,5241.586595
245.724786,1000,5281.826924
367.930081,1000,5322.309542
683.299406,1000,5362.836482
632.000164,1000,5402.785059
672.999803,1000,5442.6231
410.795986,1000,5482.355279
308.365269,1000,5522.141397
661.873824,1000,5561.965265
568.55226,1000,5601.720056
315.954985,1000,5641.534162
743.3028,1000,5681.252377
342.621431,1000,5721.104904
806.401173,1000,5761.538183
753.604733,1000,5802.223294
641.260759,1000,5842.041777
633.852914,1000,5881.723018
286.733376,1000,5921.409093
606.497076,1000,5961.05088
814.414177,1000,6000.788934
591.55507,1000,6040.455349
506.940967,1000,6080.088221
328.763583,1000,6120.527239
550.007728,1000,6160.293171
347.739567,1000,6200.141415
179.862453,1000,6239.783828
507.85752,1000,6279.761862
290.842762,1000,6319.782364
375.610754,1000,6359.659291
256.55314,1000,6399.379096
400.977615,1000,6439.03079
517.87869,1000,6478.806281
542.437127,1000,6518.442456
811.220617,1000,6558.141243
768.267827,1000,6598.607264
387.748784,1000,6638.958332
952.129691,1000,6678.719845
375.997698,1000,6718.333934
903.089837,1000,6758.03939
419.6519,1000,6797.798232
29.954919,1000,6837.497098
573.191922,1000,6877.220846
704.566561,1000,6916.82791
303.739787,1000,6956.460349
87.111982,1000,6996.406307
133.993358,1000,7036.30702
875.413079,1000,7075.999356
512.81866,1000,7115.86427
448.060383,1000,7155.621889
376.116588,1000,7195.60289
