rollout/return_history,obs_rms_mean,total/steps,total/epochs,rollout/episodes,ret_rms_std,ret_rms_mean,rollout/episode_steps,total/duration,reference_actor_Q_mean,eval/return,train/loss_critic,train/param_noise_distance,eval/return_history,train/loss_actor,rollout/Q_mean,reference_Q_mean,rollout/actions_std,eval/Q,eval/episodes,total/steps_per_second,rollout/return,total/episodes,reference_action_std,rollout/actions_mean,reference_actor_Q_std,obs_rms_std,reference_Q_std,reference_action_mean
-315.20379122127576,0.13568741083145142,1000,1,1.0,1.0,0.0,1000.0,32.781524419784546,1.3498895168304443,-999.9025666432314,0.057989735156297684,0.0,-999.9025666432314,-1.3895596265792847,-1.4148892164230347,1.1136627197265625,0.6895971298217773,1.8547662496566772,1.0,30.50498772401422,-315.20379122127576,1.0,0.9157296419143677,0.20843778550624847,3.664677143096924,0.806527853012085,3.5100173950195312,0.10235252976417542
-274.00406131030746,0.1097729504108429,2000,2,2.0,1.0,0.0,1000.0,65.62596988677979,7.400032043457031,-377.1871360448831,0.07803048938512802,0.0,-688.5448513440572,-7.688397407531738,1.9479548931121826,6.838979721069336,0.6747410297393799,11.159859657287598,2.0,30.47574006830634,-274.00406131030746,2.0,0.7478711009025574,0.14038722217082977,2.6582999229431152,1.3787986040115356,2.650193452835083,-0.22759734094142914
-328.9508641415677,0.12056190520524979,3000,3,3.0,1.0,0.0,1000.0,98.28984355926514,10.172103881835938,-148.8507271427745,0.176508828997612,0.0,-508.64680994362965,-9.698131561279297,2.7152328491210938,9.50471305847168,0.6874859929084778,15.403623580932617,3.0,30.521973495573945,-328.9508641415677,3.0,0.7218358516693115,0.12268321216106415,6.698241233825684,1.7877931594848633,6.620514392852783,0.15065543353557587
-270.401741345369,0.1098666787147522,4000,4,4.0,1.0,0.0,1000.0,130.95626425743103,18.285640716552734,-276.73115494414304,0.24740839004516602,0.0,-450.667896193758,-18.862319946289062,6.593029022216797,17.34592056274414,0.648190975189209,16.129642486572266,4.0,30.544548767341784,-270.401741345369,4.0,0.6652804017066956,0.10353069752454758,4.32068395614624,1.6814032793045044,4.735354423522949,-0.1535300463438034
-270.58921662359916,0.12040975689888,5000,5,5.0,1.0,0.0,1000.0,163.72363567352295,23.23555564880371,-137.11041352547778,0.3319055140018463,0.0,-387.95639966010197,-22.666278839111328,8.290426254272461,22.723133087158203,0.6820539236068726,30.251811981201172,5.0,30.53926807471079,-270.58921662359916,5.0,0.7004467248916626,0.05743681266903877,6.465989112854004,2.044548511505127,6.31594705581665,0.06074520945549011
-262.8638173971781,0.12352881580591202,6000,6,6.0,1.0,0.0,1000.0,196.467050075531,27.10598373413086,-261.0222688654762,0.6373003721237183,0.0,-366.800711194331,-25.469362258911133,10.305033683776855,26.642196655273438,0.6873051524162292,31.118764877319336,6.0,30.539472128753005,-262.8638173971781,6.0,0.7079037427902222,0.033724594861269,8.631379127502441,2.290220260620117,8.553193092346191,0.12500210106372833
-252.50150842289344,0.11943116039037704,7000,7,7.0,1.0,0.0,1000.0,229.20683550834656,31.925464630126953,-62.6120803802318,0.6040136814117432,0.0,-323.34519250660253,-31.042400360107422,13.730182647705078,31.199764251708984,0.6744539141654968,37.93147659301758,7.0,30.540101408734362,-252.50150842289344,7.0,0.6936771869659424,0.031402718275785446,10.382220268249512,2.143930196762085,10.293559074401855,0.09817641973495483
-238.52005624015487,0.11633966118097305,8000,8,8.0,1.0,0.0,1000.0,261.9513154029846,35.54242706298828,-176.95497387902736,0.774728536605835,0.0,-305.04641517815566,-35.332923889160156,16.997936248779297,34.90501022338867,0.6585328578948975,36.53484344482422,8.0,30.54002606435795,-238.52005624015487,8.0,0.6687989234924316,0.024052340537309647,9.621132850646973,2.055919647216797,9.739580154418945,-0.013845999725162983
-226.52789077801086,0.11784186214208603,9000,9,9.0,1.0,0.0,1000.0,294.6921133995056,37.84947204589844,11.552073624255346,0.6083752512931824,0.0,-269.86880531122114,-37.554412841796875,18.93753433227539,37.27474594116211,0.6639416813850403,44.21142578125,9.0,30.540349031325988,-226.52789077801086,9.0,0.6565945148468018,0.014615632593631744,8.419590950012207,2.1248340606689453,8.492121696472168,-0.04825549200177193
-212.8007082012235,0.1200375109910965,10000,10,10.0,1.0,0.0,1000.0,327.2883577346802,40.78656005859375,35.99511554698425,1.2155264616012573,0.0,-239.28241322540057,-40.4351921081543,20.721538543701172,40.131534576416016,0.6656619310379028,45.611106872558594,10.0,30.554096299711972,-212.8007082012235,10.0,0.6151309013366699,0.010658497922122478,7.09798002243042,2.147545337677002,7.314085483551025,-0.007402191404253244
-196.88390153097487,0.1200341060757637,11000,11,11.0,1.0,0.0,1000.0,359.92118549346924,43.198516845703125,190.81052009100182,0.6989640593528748,0.0,-200.18305565118217,-43.205101013183594,23.030153274536133,42.512306213378906,0.6576212048530579,38.53314971923828,11.0,30.562246523272787,-196.88390153097487,11.0,0.6661967635154724,0.016633788123726845,5.503941059112549,2.089768648147583,5.626835346221924,-0.1202717050909996
-150.31140704185677,0.12565626204013824,12000,12,12.0,1.0,0.0,1000.0,392.55775785446167,47.03672409057617,423.6519638162319,1.2463459968566895,0.0,-148.19680402889767,-46.6174430847168,24.593843460083008,46.115966796875,0.6633663773536682,46.5768928527832,12.0,30.568750100842294,-150.31140704185677,12.0,0.7269626259803772,0.006836836226284504,4.381712436676025,2.239668607711792,4.586338996887207,-0.1029147133231163
-153.54884229776124,0.1197209358215332,13000,13,13.0,1.0,0.0,1000.0,425.17032980918884,52.316612243652344,330.376814244771,1.001428484916687,0.0,-111.383448777077,-52.06607437133789,26.5823974609375,51.43192672729492,0.6599670648574829,53.28692626953125,13.0,30.575981174025568,-153.54884229776124,13.0,0.7748492956161499,0.01195705495774746,2.4320130348205566,2.1741583347320557,2.708336353302002,-0.0541655533015728
-124.11570417231783,0.125482439994812,14000,14,14.0,1.0,0.0,1000.0,457.82387804985046,59.041378021240234,306.10027929248054,1.6687350273132324,0.0,-81.56318248639433,-58.907630920410156,28.74271583557129,58.047950744628906,0.6667381525039673,60.97283172607422,14.0,30.579444784825313,-124.11570417231783,14.0,0.7451292872428894,0.007358623668551445,1.398164987564087,2.2683608531951904,1.6934293508529663,-0.06934187561273575
