total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
1000,0.6949498057365417,0.0,1.0,1,-273.82539023103635,-1.628504753112793,-4.286332130432129,1.0,1000.0,-496.72013996535713,2.353043556213379,-496.72013996535713,0.8953847289085388,0.0,-0.4712085425853729,0.023626094684004784,0.07669886946678162,1.0,0.06307925283908844,1.0,0.6840797066688538,0.11498315632343292,0.6401362419128418,2.460597038269043,38.58107805252075,-273.82539023103635,0.10212850570678711,25.919441614324292
2000,0.761989176273346,0.0,2.0,2,-365.03104172924566,-3.0608487129211426,7.183761119842529,1.0,1000.0,-157.5790495454512,4.290132522583008,-327.14959475540417,0.8084932565689087,0.0,-0.3424447774887085,0.04428659379482269,0.10349030792713165,2.0,-0.024099955335259438,2.0,0.9147161245346069,5.009028434753418,5.582542419433594,4.4893975257873535,75.63442063331604,-365.03104172924566,-0.056678418070077896,26.442986979383623
3000,0.7452201843261719,0.0,3.0,3,-313.3296745027904,0.7884225249290466,10.823833465576172,1.0,1000.0,65.62948578200641,6.701358795166016,-196.2232345762673,0.7403548359870911,0.0,-4.1722636222839355,0.13548758625984192,0.09079457074403763,3.0,-0.03697780892252922,3.0,1.0899226665496826,8.294392585754395,8.828201293945312,6.773344993591309,115.69033455848694,-313.3296745027904,0.1511923223733902,25.93129332237654
4000,0.7116720676422119,0.0,4.0,4,-197.30678740948463,4.80111837387085,21.989221572875977,1.0,1000.0,623.2813907889422,10.41357421875,8.652921765035074,0.6767253279685974,0.0,-12.868721961975098,0.19131605327129364,0.09839926660060883,4.0,-0.0197431817650795,4.0,1.4872019290924072,15.040992736816406,15.706755638122559,10.550924301147461,156.70230174064636,-197.30678740948463,-0.02722274325788021,25.52610877803371
5000,0.6856721043586731,0.0,5.0,5,-73.67236899816241,9.156502723693848,32.794071197509766,1.0,1000.0,530.7232604105676,13.811549186706543,113.06698949414158,0.7045203447341919,0.0,-22.667804718017578,0.7478457093238831,0.10278258472681046,5.0,-0.020503103733062744,5.0,1.7513068914413452,22.796545028686523,23.791210174560547,14.101290702819824,194.8226523399353,-73.67236899816241,-0.049686942249536514,25.664366745586523
6000,0.6684826612472534,0.0,6.0,6,-16.849179651120266,13.743487358093262,41.42352294921875,1.0,1000.0,149.65571283684525,20.266216278076172,119.16511005125886,0.6886807084083557,0.0,-31.32168197631836,0.8528913259506226,0.1022936999797821,6.0,-0.022021429613232613,6.0,1.87124764919281,30.579246520996094,31.424224853515625,20.745391845703125,233.204332113266,-16.849179651120266,0.01368232537060976,25.728510039366828
7000,0.6590889692306519,0.0,7.0,7,39.44158757110431,18.566429138183594,57.70747375488281,1.0,1000.0,771.7134987901522,26.628314971923828,212.38630844252936,0.682447612285614,0.0,-41.70648956298828,2.0127313137054443,0.10231824964284897,7.0,-0.02367456629872322,7.0,1.9210779666900635,37.70459747314453,38.60547637939453,27.207054138183594,269.5727434158325,39.44158757110431,0.04512298107147217,25.967016959136963
8000,0.6448794603347778,0.0,8.0,8,81.45507314493673,24.131046295166016,69.61426544189453,1.0,1000.0,251.46179588743126,35.06938552856445,217.27074437314207,0.7560635209083557,0.0,-55.09568786621094,3.032991647720337,0.10560555756092072,8.0,-0.0202642735093832,8.0,1.9557840824127197,48.08659744262695,49.15544891357422,35.562191009521484,309.6345498561859,81.45507314493673,0.11808264255523682,25.83691000799398
9000,0.6371386051177979,0.0,9.0,9,104.76834824537167,30.088895797729492,86.0255126953125,1.0,1000.0,497.8069975613422,41.429622650146484,248.44143917183095,0.795473039150238,0.0,-69.05519104003906,4.183212757110596,0.10740900039672852,9.0,-0.01869046315550804,9.0,2.004920482635498,60.850006103515625,62.029903411865234,41.90214538574219,348.09195375442505,104.76834824537167,-5.788356065750122e-05,25.85523710883992
10000,0.6316496729850769,0.0,10.0,10,118.62153194759408,36.10060119628906,99.84038543701172,1.0,1000.0,473.2775407892037,44.887962341308594,270.9250493335682,0.801615834236145,0.0,-83.98804473876953,3.313751459121704,0.10754003375768661,10.0,-0.03343845158815384,10.0,2.0391485691070557,73.50282287597656,74.77243041992188,45.36925506591797,386.3553898334503,118.62153194759408,0.1507834643125534,25.882905384886154
