#{"env_id": "HalfCheetah-v2", "t_start": 1521510057.9626813}
r,l,t
-344.819965,1000,29.886285
-294.763955,1000,62.784618
-387.431774,1000,95.629621
-327.62794,1000,128.300353
-68.50737,1000,161.062452
81.562539,1000,193.853547
-220.740327,1000,226.542598
-196.052241,1000,259.49564
-420.347987,1000,292.299046
15.469497,1000,324.988538
104.860073,1000,357.700344
210.949004,1000,390.379101
118.245482,1000,423.22618
68.966767,1000,456.109377
54.358381,1000,488.918466
243.189118,1000,521.655744
288.076139,1000,554.371714
-236.530479,1000,587.091098
-298.46798,1000,620.006809
329.848664,1000,652.768142
535.690811,1000,685.476149
305.763291,1000,718.180984
-316.484312,1000,750.819575
415.51918,1000,783.564412
-375.935804,1000,816.314786
-36.90432,1000,848.979338
-359.822927,1000,881.587577
415.791586,1000,914.28561
277.903388,1000,946.981265
391.750604,1000,980.162096
-105.651574,1000,1012.933653
-372.146206,1000,1045.387342
378.643178,1000,1077.848471
-289.941189,1000,1110.351824
106.367155,1000,1142.925473
135.580755,1000,1175.792811
105.019733,1000,1208.505584
167.940375,1000,1241.209375
-374.379648,1000,1273.95469
-223.331609,1000,1306.738694
179.820335,1000,1339.627433
-770.169559,1000,1372.39906
167.281317,1000,1405.166607
-565.668916,1000,1437.864686
306.189757,1000,1470.533454
-270.270697,1000,1503.306684
272.033054,1000,1536.158082
131.509256,1000,1569.480525
95.422669,1000,1602.874102
198.734252,1000,1635.728164
-264.762321,1000,1668.376468
-268.45412,1000,1701.115813
390.411453,1000,1733.822712
-41.513773,1000,1766.613543
-300.698944,1000,1799.34555
178.273218,1000,1832.039263
-248.91982,1000,1864.780002
335.491994,1000,1897.492287
-247.265354,1000,1930.193798
23.760092,1000,1962.965791
-286.862066,1000,1995.91773
-25.413229,1000,2029.284931
212.5351,1000,2062.083164
346.071783,1000,2094.811811
-274.119421,1000,2127.485636
265.550575,1000,2160.190258
350.74751,1000,2192.761635
-417.431614,1000,2225.577802
184.55577,1000,2258.268951
-70.092211,1000,2291.098672
-81.076751,1000,2323.980674
275.841849,1000,2356.724455
-250.008233,1000,2389.531464
34.609377,1000,2422.480798
478.263664,1000,2455.235417
-191.14854,1000,2487.951537
93.69154,1000,2520.604364
221.906464,1000,2553.43042
263.835175,1000,2586.316774
-438.425645,1000,2619.058663
254.637005,1000,2651.824778
305.504549,1000,2684.578299
556.334222,1000,2717.329358
112.843566,1000,2750.063798
454.364426,1000,2782.917493
342.027512,1000,2815.762609
433.291556,1000,2848.544576
-137.479597,1000,2881.388354
