rollout/return_history,reference_actor_Q_mean,total/epochs,reference_perturbed_action_std,eval/return,eval/episodes,reference_Q_std,total/steps_per_second,rollout/Q_mean,total/duration,obs_rms_mean,rollout/return,total/episodes,rollout/episodes,rollout/actions_mean,obs_rms_std,reference_perturbed_action_mean,rollout/episode_steps,reference_action_std,train/loss_critic,train/param_noise_distance,eval/Q,reference_Q_mean,reference_action_mean,eval/return_history,ret_rms_std,total/steps,ret_rms_mean,param_noise_stddev,train/loss_actor,rollout/actions_std,reference_actor_Q_std
-999.340423877585,-1.7447035312652588,1,0.7777217030525208,-416.8108922517125,1.0,1.0348107814788818,76.74869258087347,-1.392797827720642,13.029537916183472,0.010764913633465767,-999.340423877585,1.0,1.0,0.30945199728012085,2.260862350463867,-0.2633023262023926,1000.0,0.8397220373153687,0.08862727880477905,0.46744751930236816,-1.1905992031097412,-2.548999786376953,0.18060113489627838,-416.8108922517125,1.0,1000,0.0,0.16720346283821505,1.7697906494140625,0.5500163435935974,0.895634651184082
-697.0255867761725,-2.486398935317993,2,0.7344738245010376,-344.0286596525779,2.0,1.3632664680480957,77.60897958518305,-1.2213584184646606,25.770213842391968,-0.025819405913352966,-697.0255867761725,2.0,2.0,0.00503873685374856,1.6628425121307373,0.3408064544200897,1000.0,0.859552800655365,0.058295466005802155,0.6607469320297241,-1.9657816886901855,-3.4941294193267822,0.23202143609523773,-380.4197759521452,1.0,2000,0.0,0.1370306733903066,1.768149971961975,0.7270663380622864,1.0834404230117798
-736.6561224910412,-1.9959008693695068,3,0.35698792338371277,-514.2720982124258,3.0,1.5221396684646606,77.96493092682003,-2.28256893157959,38.47883868217468,0.01395270973443985,-736.6561224910412,3.0,3.0,0.13163696229457855,1.472148060798645,0.8000624775886536,1000.0,0.7374029755592346,0.09945695847272873,0.5076786875724792,-1.7062894105911255,-3.1253011226654053,0.5880144238471985,-425.03721670557206,1.0,3000,0.0,0.11230273064362171,2.5250043869018555,0.7574549913406372,1.271693468093872
-676.461293995853,-1.4374921321868896,4,0.2384972721338272,-529.8280214019768,4.0,1.5031960010528564,78.223978509846,-1.991664171218872,51.135215520858765,0.05476261302828789,-676.461293995853,4.0,4.0,0.32298752665519714,1.3224469423294067,0.8960238099098206,1000.0,0.6676002144813538,0.09524092078208923,0.4679067134857178,-3.686251163482666,-2.391482353210449,0.6900636553764343,-451.2349178796733,1.0,4000,0.0,0.09203708190275892,1.926424503326416,0.7399033904075623,1.2806549072265625
-634.20313755709,-1.2423206567764282,5,0.7106644511222839,-524.3512460920208,5.0,1.4439928531646729,78.3864236151989,-2.0574090480804443,63.786556005477905,0.07575218379497528,-634.20313755709,5.0,5.0,0.4117012321949005,1.353806972503662,0.6113972067832947,1000.0,0.7420874834060669,0.07251418381929398,0.24124374985694885,-3.955500841140747,-2.0916922092437744,0.6243603229522705,-465.85818352214284,1.0,5000,0.0,0.07694459401832851,1.7947182655334473,0.7129210233688354,1.2038029432296753
-615.010508892364,-2.0465943813323975,6,0.5695284008979797,-765.1166269909993,6.0,1.632185459136963,78.61331490267314,-2.539313554763794,76.32294869422913,0.08062615245580673,-615.010508892364,6.0,6.0,0.42440593242645264,1.379976749420166,0.6750795245170593,1000.0,0.7030869126319885,0.0685998797416687,0.2589760720729828,-4.6905646324157715,-2.7990875244140625,0.6230724453926086,-515.7345907669522,1.0,6000,0.0,0.06305951655006926,3.0319790840148926,0.7306079268455505,1.449159860610962
-614.3540316955341,-3.498947858810425,7,0.8451399207115173,-387.8062139411653,7.0,1.6143032312393188,78.81610755083179,-2.91585111618042,88.81433272361755,0.0870296061038971,-614.3540316955341,7.0,7.0,0.4397726058959961,1.4281392097473145,0.3915892541408539,1000.0,0.8774676322937012,0.09405315667390823,0.3763139247894287,-1.614011287689209,-4.155684471130371,0.33337268233299255,-497.4591083632684,1.0,7000,0.0,0.051680078090752424,4.580434322357178,0.7229154706001282,1.4574919939041138
-604.253186308689,-3.4362595081329346,8,0.8825044631958008,-506.2546484383314,8.0,1.69313645362854,78.96725322839269,-3.1179072856903076,101.30781650543213,0.0905434787273407,-604.253186308689,8.0,8.0,0.42749401926994324,1.5472288131713867,0.1340988725423813,1000.0,0.8948140144348145,0.16264116764068604,0.20944654941558838,-0.6620334982872009,-4.422001361846924,0.18925051391124725,-498.55855087265127,1.0,8000,0.0,0.04235412222587577,4.758336067199707,0.7464472651481628,1.4954203367233276
-595.4118370646112,-3.6360983848571777,9,0.7465644478797913,-469.3733790131456,9.0,1.6087442636489868,79.11395473161282,-3.0096588134765625,113.75995588302612,0.07860851287841797,-595.4118370646112,9.0,9.0,0.3875390589237213,1.485939621925354,0.5125431418418884,1000.0,0.826400876045227,0.10448167473077774,0.29969972372055054,-7.411192893981934,-4.6643476486206055,0.4296077787876129,-495.3157539993729,1.0,9000,0.0,0.034711086666206405,4.792356967926025,0.7763774991035461,1.3722726106643677
-567.4499629069073,-4.475921630859375,10,0.8487571477890015,-648.0585976574978,10.0,1.6266698837280273,79.20734924603175,-3.29175066947937,126.25091099739075,0.08401599526405334,-567.4499629069073,10.0,10.0,0.3614705204963684,1.654739260673523,0.36982643604278564,1000.0,0.8581451177597046,0.14371566474437714,0.24362428486347198,-7.797345161437988,-5.411499977111816,0.40523001551628113,-510.5900383651853,1.0,10000,0.0,0.028447279136688076,5.436481952667236,0.7924792170524597,1.4901337623596191
-561.2915643115311,-4.935574531555176,11,0.8526752591133118,-560.2768456774996,11.0,1.557013988494873,79.23524348834367,-3.7084875106811523,138.82711172103882,0.09026642143726349,-561.2915643115311,11.0,11.0,0.32031702995300293,1.7546359300613403,0.3563278615474701,1000.0,0.8507779240608215,0.12766273319721222,0.2907060384750366,-6.317199230194092,-5.818016052246094,0.3962724208831787,-515.1070208481229,1.0,11000,0.0,0.025245515830755405,5.770344257354736,0.8207461833953857,1.4182796478271484
-557.5645871890187,-6.2596116065979,12,0.6909782886505127,-545.881728509729,12.0,1.6612752676010132,79.2948730196813,-4.024092674255371,151.33386993408203,0.09705962240695953,-557.5645871890187,12.0,12.0,0.3044244647026062,1.7747396230697632,0.6251575350761414,1000.0,0.6299383044242859,0.2186111956834793,0.2522326409816742,-7.81638765335083,-7.070939064025879,0.7105442881584167,-517.6715798199235,1.0,12000,0.0,0.02240411346542305,6.330156326293945,0.830537736415863,1.626350998878479
-557.9638149116813,-6.628591537475586,13,0.7899488210678101,-550.6097062586556,13.0,2.2615015506744385,79.3586064291592,-4.408119201660156,163.81336045265198,0.1051374301314354,-557.9638149116813,13.0,13.0,0.3060608208179474,1.7481355667114258,0.5624911189079285,1000.0,0.7766342759132385,0.2631911635398865,0.19227482378482819,-9.937925338745117,-7.511593818664551,0.5926938652992249,-520.2052818536721,1.0,13000,0.0,0.02152991267583435,7.1426873207092285,0.8385622501373291,2.2009620666503906
