#{"env_id": "HalfCheetah-v2", "t_start": 1521243961.0064895}
r,l,t
-422.181967,1000,11.859508
-292.5945,1000,24.580952
-61.194115,1000,37.187107
-438.909531,1000,49.772863
-461.962574,1000,62.702345
-243.795361,1000,75.659593
-299.650309,1000,88.549904
-272.575512,1000,101.44392
-196.543842,1000,114.365438
70.858011,1000,127.269029
21.475813,1000,139.847128
73.809794,1000,152.453892
420.049291,1000,165.049291
398.367468,1000,177.645058
98.812592,1000,190.277044
-296.82251,1000,202.942644
-106.541766,1000,215.510509
-445.034474,1000,228.163626
-364.465075,1000,240.796493
1375.454181,1000,253.352609
1220.818055,1000,265.991801
1250.130053,1000,278.589193
881.166495,1000,291.177946
430.737705,1000,303.909618
1261.935853,1000,316.767902
954.902667,1000,329.643906
-468.497159,1000,342.537725
392.682557,1000,355.396441
1489.328109,1000,368.286294
-32.02765,1000,380.911361
790.621742,1000,393.536071
1487.30816,1000,406.150058
1776.165254,1000,418.714628
-468.162396,1000,431.356336
597.604359,1000,443.927545
1842.762476,1000,456.52625
1756.919866,1000,469.15037
1319.438632,1000,481.891891
-337.826343,1000,494.51664
2021.384893,1000,507.120777
1429.139956,1000,519.764182
333.136673,1000,532.36647
640.975664,1000,544.976462
972.579226,1000,557.582458
1473.517178,1000,570.155654
-382.562564,1000,582.787031
1655.607733,1000,595.459326
985.724252,1000,608.119125
1122.73061,1000,620.707913
1408.148633,1000,633.303932
-339.217893,1000,645.910358
1694.388923,1000,658.539477
-444.692619,1000,671.251401
2255.43025,1000,683.905878
1885.57004,1000,696.485722
2305.469499,1000,709.120688
1210.539929,1000,721.764086
1667.995221,1000,734.436754
-304.259278,1000,747.079927
1799.98793,1000,759.712354
811.348696,1000,772.364984
1096.003914,1000,784.983496
1320.352029,1000,797.626652
2147.527514,1000,810.215393
134.132008,1000,822.855729
1604.232336,1000,835.555176
1379.063728,1000,848.288863
1194.356479,1000,861.051892
1509.37001,1000,873.648748
1531.117833,1000,886.329735
-319.06017,1000,898.977253
1799.878391,1000,911.708342
-240.144239,1000,924.426243
-467.724861,1000,937.075051
1446.622668,1000,949.753916
1274.965785,1000,962.539668
-133.745608,1000,975.315949
-175.667168,1000,988.030368
453.15044,1000,1000.731772
-307.428787,1000,1013.457844
-530.211871,1000,1026.293154
-372.231143,1000,1039.008631
-261.154013,1000,1051.71708
-412.445943,1000,1064.4364
1449.276383,1000,1077.080016
1653.268774,1000,1089.765983
225.536341,1000,1102.491318
1873.631133,1000,1115.170292
940.912801,1000,1127.816767
615.463111,1000,1140.49273
1348.930902,1000,1153.146947
1586.6293,1000,1165.805446
612.716495,1000,1178.489216
1164.34621,1000,1191.122476
1564.297978,1000,1203.898403
-218.042732,1000,1216.623427
1084.624272,1000,1229.29536
1668.325132,1000,1241.935959
1122.413374,1000,1254.596039
480.484634,1000,1267.573765
-17.997874,1000,1280.249287
430.278989,1000,1292.923626
-45.193298,1000,1305.646877
455.377773,1000,1318.489828
1547.874597,1000,1331.433276
827.355357,1000,1344.375435
938.462906,1000,1357.300066
1377.100686,1000,1370.22457
1268.735444,1000,1383.208469
1201.133172,1000,1395.849681
1458.872284,1000,1408.501317
811.761475,1000,1421.151742
1442.291263,1000,1433.852261
1709.600216,1000,1446.586661
1196.808737,1000,1459.290969
1562.243687,1000,1471.98766
1433.369605,1000,1484.638995
2467.163751,1000,1497.357673
2207.414489,1000,1510.041776
1334.362432,1000,1522.708805
1658.608485,1000,1535.398343
1324.73578,1000,1548.104147
593.056675,1000,1560.932249
917.528804,1000,1573.713904
11.322369,1000,1586.462056
1023.235944,1000,1599.14505
1021.337242,1000,1611.830961
716.646784,1000,1624.546288
862.31232,1000,1637.226469
1221.855035,1000,1649.907057
1134.558833,1000,1662.614034
2275.205447,1000,1675.308296
735.845176,1000,1688.046417
2226.521806,1000,1700.805767
2525.967036,1000,1713.4832
2140.438848,1000,1726.173413
1968.508951,1000,1738.880721
1165.039502,1000,1751.699416
824.420563,1000,1764.381048
640.075728,1000,1777.09823
1818.096176,1000,1789.782177
2084.013527,1000,1802.485149
1913.228247,1000,1815.225734
532.616884,1000,1827.97244
2335.546981,1000,1840.725836
2378.040617,1000,1853.42369
1959.938131,1000,1866.137056
1697.02587,1000,1878.828914
2292.472024,1000,1891.877238
1724.298223,1000,1904.585669
2153.767966,1000,1917.316287
2009.559788,1000,1930.143716
1088.496731,1000,1942.931407
2369.074593,1000,1955.759438
2214.115816,1000,1968.487975
2495.92278,1000,1981.221366
2097.02135,1000,1993.983711
2358.688085,1000,2006.722009
1638.278781,1000,2019.464581
-269.359309,1000,2032.234213
-376.043543,1000,2044.981962
2084.837812,1000,2057.75045
1304.621708,1000,2070.521613
2307.433799,1000,2083.287249
2394.956886,1000,2096.005022
2419.832613,1000,2108.864825
2089.411997,1000,2121.592
2929.375544,1000,2134.386874
1762.382882,1000,2147.170624
2621.936776,1000,2159.958331
1982.554627,1000,2172.836776
1281.454916,1000,2185.916394
1833.552298,1000,2198.947097
1908.388003,1000,2211.937435
2752.744233,1000,2224.936388
2606.181095,1000,2237.950556
1698.029757,1000,2250.985655
2255.836926,1000,2264.023739
3231.289213,1000,2276.854629
2583.429464,1000,2289.711759
2246.71355,1000,2302.515238
1594.100045,1000,2315.319894
2684.85153,1000,2328.39028
1900.459957,1000,2341.17436
3299.731104,1000,2353.94706
3185.01808,1000,2366.719806
2371.537779,1000,2379.49144
1915.61084,1000,2392.235004
2573.537785,1000,2405.015135
2901.189025,1000,2417.803028
3222.929336,1000,2430.591627
2517.714949,1000,2443.378158
2426.06759,1000,2456.119565
2932.608485,1000,2468.988935
2535.23444,1000,2481.76114
2736.999051,1000,2494.529869
2615.430799,1000,2507.276039
2421.273005,1000,2519.998987
2703.900315,1000,2532.773932
3014.171032,1000,2545.579882
3187.970825,1000,2558.35998
2298.95631,1000,2571.168191
1125.197607,1000,2583.955215
1741.939883,1000,2596.773497
1858.359989,1000,2609.553871
2273.727254,1000,2622.339111
3010.08061,1000,2635.138263
2374.01509,1000,2648.081378
2892.906745,1000,2660.922714
2484.154445,1000,2673.782665
1739.181116,1000,2686.543436
163.728684,1000,2699.285693
2564.922913,1000,2712.097405
2405.69643,1000,2724.893388
2761.104125,1000,2737.662275
2287.719526,1000,2750.466417
2310.31826,1000,2763.229616
2803.926934,1000,2776.020588
2340.352075,1000,2788.872037
1913.197329,1000,2801.681142
1901.525406,1000,2814.514959
2235.457809,1000,2827.390501
2525.184183,1000,2840.189346
1763.337496,1000,2852.976236
2036.222266,1000,2865.768392
-521.618042,1000,2878.604006
396.473258,1000,2891.517045
2646.876049,1000,2904.36256
2105.074984,1000,2917.233733
1967.571581,1000,2930.053391
2177.035634,1000,2942.925999
1755.901975,1000,2955.734496
-88.974548,1000,2968.524388
1874.805634,1000,2981.325635
1651.524956,1000,2994.128951
1932.907685,1000,3007.026363
2390.472884,1000,3019.843976
1886.585214,1000,3032.703836
2436.791795,1000,3045.516445
2384.230317,1000,3058.309819
1628.069031,1000,3071.186397
2648.665756,1000,3084.021133
2459.935216,1000,3096.832429
2131.946691,1000,3109.656774
1638.581198,1000,3122.485287
1955.890483,1000,3135.333497
1552.084216,1000,3148.194778
883.912816,1000,3161.065557
2146.983367,1000,3173.860757
2011.798536,1000,3186.755616
2441.524036,1000,3199.60638
2196.704492,1000,3212.443565
1760.466323,1000,3225.285444
1534.4216,1000,3238.150776
2681.021031,1000,3251.01871
