total/epochs,reference_actor_Q_std,rollout/actions_std,train/loss_critic,param_noise_stddev,reference_Q_std,obs_rms_mean,reference_action_std,total/steps,total/episodes,ret_rms_mean,rollout/return,reference_perturbed_action_mean,total/steps_per_second,obs_rms_std,total/duration,eval/Q,eval/return_history,rollout/return_history,ret_rms_std,train/loss_actor,reference_Q_mean,eval/return,rollout/episodes,rollout/episode_steps,train/param_noise_distance,reference_perturbed_action_std,eval/episodes,reference_actor_Q_mean,reference_action_mean,rollout/Q_mean,rollout/actions_mean
1,1.0412614345550537,0.583044171333313,0.10893405228853226,0.16720346283821505,1.151288390159607,0.11467764526605606,0.8836970329284668,1000,1.0,0.0,-140.7516325314404,-0.352729469537735,74.66902513959818,2.2453370094299316,13.392434120178223,1.6386531591415405,-517.0312846070883,-140.7516325314404,1.0,-1.3627593517303467,1.0598633289337158,-517.0312846070883,1.0,1000.0,0.7184743881225586,0.804837167263031,1.0,1.6833393573760986,-0.3025690019130707,0.17291629314422607,-0.21381667256355286
2,1.6163898706436157,0.7364054322242737,0.08853210508823395,0.13978498992545177,1.7835670709609985,0.013677344657480717,0.7890840172767639,2000,2.0,0.0,-327.54416134250596,0.05934068560600281,75.2774130116013,1.6834790706634521,26.568394422531128,4.120214939117432,-435.0376416923793,-327.54416134250596,1.0,-4.309789657592773,3.5460705757141113,-353.04399877767025,2.0,1000.0,0.6937360763549805,0.6926122903823853,2.0,4.209778785705566,0.020555227994918823,1.244335412979126,-0.2777734696865082
3,2.7704174518585205,0.7371951937675476,0.10722450166940689,0.11456001552955852,2.7429754734039307,0.03862559795379639,0.7547948360443115,3000,3.0,0.0,-312.31187274260884,-0.08410825580358505,75.75965951445443,1.441266417503357,39.59891080856323,6.628989219665527,-447.0502384317395,-312.31187274260884,1.0,-5.743303298950195,5.152355670928955,-471.07543191046,3.0,1000.0,0.5436425805091858,0.7395431995391846,3.0,5.47515869140625,-0.0718904510140419,1.9964550733566284,-0.16606241464614868
4,2.9961462020874023,0.7275788187980652,0.21581250429153442,0.09388702724900437,3.02327823638916,0.025147125124931335,0.7374429702758789,4000,4.0,0.0,-347.5399709499131,-0.08605887740850449,76.28631903533683,1.4498924016952515,52.434041261672974,6.05771541595459,-536.2848255455879,-347.5399709499131,1.0,-7.9014482498168945,6.526627540588379,-803.988586887133,4.0,1000.0,0.654787003993988,0.5882413983345032,4.0,7.064554691314697,0.060908716171979904,3.518967390060425,-0.12382498383522034
5,4.088717937469482,0.7003873586654663,0.259148508310318,0.07694459401832851,3.998100996017456,0.0052222078666090965,0.7299930453300476,5000,5.0,0.0,-318.61962155131505,-0.1630818098783493,76.41679440257708,1.471441626548767,65.43064308166504,15.072275161743164,-437.19519979709577,-318.61962155131505,1.0,-10.460857391357422,8.056781768798828,-40.836696803127296,5.0,1000.0,0.49867701530456543,0.6934234499931335,5.0,8.554288864135742,-0.01971447467803955,5.092566013336182,-0.16690146923065186
6,4.7494988441467285,0.6807084679603577,0.5032543540000916,0.06305951655006926,4.724767208099365,-0.009824165143072605,0.7408605217933655,6000,6.0,0.0,-316.3756579331637,-0.21044181287288666,76.51836975934933,1.455585241317749,78.41254353523254,16.2003116607666,-373.27885038057025,-316.3756579331637,1.0,-13.961604118347168,9.852487564086914,-53.69710329794255,6.0,1000.0,0.4427846074104309,0.6498562097549438,6.0,10.365882873535156,0.02352634072303772,6.524590969085693,-0.2080690711736679
7,5.222821235656738,0.6839764714241028,0.5362043976783752,0.051680078090752424,5.250765800476074,-0.015362411737442017,0.7451600432395935,7000,7.0,0.0,-287.4710341599781,-0.1506018489599228,76.60770955910407,1.4578540325164795,91.37461543083191,19.01195526123047,-334.3093106401551,-287.4710341599781,1.0,-16.439626693725586,11.4011812210083,-100.49207219766416,7.0,1000.0,0.3675908148288727,0.641207754611969,7.0,11.949546813964844,0.003438889980316162,7.947489261627197,-0.2367343306541443
8,5.390192985534668,0.6769838333129883,0.32204490900039673,0.04235412222587577,5.455461025238037,-0.008597212843596935,0.7481048107147217,8000,8.0,0.0,-276.81076982747874,0.052220460027456284,76.60033454698046,1.4845457077026367,104.43818616867065,20.161481857299805,-336.68311068644425,-276.81076982747874,1.0,-19.21295166015625,13.514070510864258,-353.29971101046857,8.0,1000.0,0.3051443099975586,0.7012651562690735,8.0,14.126323699951172,0.20848651230335236,9.247385025024414,-0.24948325753211975
9,5.371731281280518,0.6653017997741699,0.4255891442298889,0.034711086666206405,5.402131080627441,-0.003395767416805029,0.7958770394325256,9000,9.0,0.0,-249.24941472446983,0.022961338981986046,76.5591548550053,1.540143609046936,117.55615663528442,21.883325576782227,-343.72280567426844,-249.24941472446983,1.0,-21.160799026489258,15.008623123168945,-400.04036557686186,9.0,1000.0,0.2764085531234741,0.7204049229621887,9.0,15.447940826416016,0.1141742467880249,10.72346305847168,-0.26462045311927795
10,4.9476752281188965,0.6598283648490906,0.8174858093261719,0.029602352743226954,5.280201435089111,-0.006864181254059076,0.7993415594100952,10000,10.0,0.0,-223.35717189021148,0.14806242287158966,76.6434138193482,1.5370808839797974,130.47435522079468,24.833641052246094,-313.825944788338,-223.35717189021148,1.0,-22.405906677246094,16.204269409179688,-44.75419681496458,10.0,1000.0,0.1867804229259491,0.8138680458068848,10.0,16.978927612304688,0.2414146214723587,12.022226333618164,-0.26077550649642944
11,4.0422539710998535,0.6559799313545227,0.8133743405342102,0.026798623766663407,4.240059852600098,-0.005390464793890715,0.8048516511917114,11000,11.0,0.0,-236.45451394058253,0.09244638681411743,76.70934095234726,1.5696711540222168,143.39844226837158,24.478303909301758,-306.4255902619933,-236.45451394058253,1.0,-23.58281707763672,18.779294967651367,-232.4220449985459,11.0,1000.0,0.20542161166667938,0.8154512047767639,11.0,19.321504592895508,0.15925233066082,12.993330955505371,-0.2815804183483124
12,3.764514207839966,0.654456377029419,0.739885687828064,0.027886755354071244,3.9002604484558105,-0.010811501182615757,0.8084014654159546,12000,12.0,0.0,-181.8878407317931,-0.0050915926694869995,76.77755941051097,1.5755152702331543,156.29566884040833,25.265262603759766,-294.55305662588086,-181.8878407317931,1.0,-25.031972885131836,20.01721954345703,-163.95518662864416,12.0,1000.0,0.2625106871128082,0.7864518165588379,12.0,20.51220703125,0.08682355284690857,14.20256519317627,-0.29357606172561646
13,3.642343282699585,0.6485214829444885,1.2943449020385742,0.02733727610437334,3.780815362930298,-0.015224556438624859,0.7671810984611511,13000,13.0,0.0,-148.56924583563406,0.0505748987197876,76.82282798528325,1.5862560272216797,169.220534324646,29.504756927490234,-263.38628605241354,-148.56924583563406,1.0,-26.8754825592041,21.874099731445312,110.6149608291943,13.0,1000.0,0.1899488866329193,0.7426936626434326,13.0,22.56814956665039,0.029657036066055298,15.31083869934082,-0.30581599473953247
14,3.525658369064331,0.654897928237915,1.3977502584457397,0.026270585008002556,3.6747806072235107,-0.009373322129249573,0.7549061179161072,14000,14.0,0.0,-153.98621846715133,0.018347090110182762,76.82480407981053,1.6629838943481445,182.2328109741211,30.093578338623047,-251.47834338202892,-153.98621846715133,1.0,-29.092884063720703,24.455127716064453,-96.67508866702862,14.0,1000.0,0.1730174869298935,0.7747616767883301,14.0,25.083938598632812,0.051967378705739975,16.257755279541016,-0.28825005888938904
15,3.53169584274292,0.6488819718360901,1.1743018627166748,0.026798623766663407,3.714688301086426,-0.011047495529055595,0.7511579990386963,15000,15.0,0.0,-119.07763691479586,-0.026105204597115517,76.82689579075932,1.7174290418624878,195.24412441253662,31.151687622070312,-248.9523625071682,-119.07763691479586,1.0,-31.226713180541992,26.433683395385742,-213.58863025911796,15.0,1000.0,0.1846758872270584,0.7804188132286072,15.0,27.06295394897461,0.060734521597623825,17.34647560119629,-0.2883698642253876
16,3.779747486114502,0.6429331302642822,0.44151806831359863,0.025245515830755405,3.8379616737365723,-0.006259148940443993,0.7201721668243408,16000,16.0,0.0,-119.15713164328898,-0.04019801318645477,76.83484618432124,1.6971126794815063,208.23884987831116,32.27550506591797,-253.69064716261738,-119.15713164328898,1.0,-33.11601257324219,27.98479652404785,-324.7649169943553,16.0,1000.0,0.19165076315402985,0.7393537759780884,16.0,28.544940948486328,-0.08519574254751205,18.257408142089844,-0.28241342306137085
17,3.5939157009124756,0.6543646454811096,1.3005928993225098,0.02733727610437334,3.7074646949768066,-0.004391582682728767,0.767238199710846,17000,17.0,0.0,-131.42918883878582,-0.10649403184652328,76.78822724611115,1.6605775356292725,221.38810348510742,35.410221099853516,-242.0281554942756,-131.42918883878582,1.0,-34.64645004272461,29.588214874267578,-55.428288800807806,17.0,1000.0,0.1853969693183899,0.7399014830589294,17.0,30.267885208129883,-0.0891498327255249,19.039756774902344,-0.2670731246471405
18,3.460206985473633,0.6496132612228394,0.7471522688865662,0.026798623766663407,3.5842273235321045,-0.0002984921738971025,0.7496393322944641,18000,18.0,0.0,-128.038142854944,-0.02715599536895752,76.77939396774117,1.6824452877044678,234.4379014968872,34.162696838378906,-241.9000082020376,-128.038142854944,1.0,-36.2681770324707,31.351116180419922,-239.7215042339917,18.0,1000.0,0.20747363567352295,0.7266935706138611,18.0,31.92667007446289,-0.17175889015197754,19.966350555419922,-0.26034295558929443
19,3.2473602294921875,0.6470646262168884,0.907386064529419,0.02733727610437334,3.264029026031494,0.003153765108436346,0.8012174963951111,19000,19.0,0.0,-131.70084629528483,-0.1126636490225792,76.78525077716957,1.6581237316131592,247.44335412979126,37.217140197753906,-238.84842514241265,-131.70084629528483,1.0,-37.58241653442383,33.009700775146484,-183.91993006916357,19.0,1000.0,0.17488977313041687,0.8099076151847839,19.0,33.5077018737793,-0.16303615272045135,20.70623016357422,-0.25725051760673523
20,3.450932264328003,0.6409741640090942,2.1855366230010986,0.02733727610437334,3.4876296520233154,0.004435794427990913,0.7581689357757568,20000,20.0,0.0,-138.11435141033513,-0.19655592739582062,76.78216787576177,1.6498223543167114,260.4771466255188,42.40878677368164,-215.47034516447147,-138.11435141033513,1.0,-38.493377685546875,34.05467987060547,228.713174416411,20.0,1000.0,0.2276238352060318,0.7100976705551147,20.0,34.49646759033203,-0.19642794132232666,21.385807037353516,-0.2659805119037628
21,3.552042007446289,0.6374558210372925,1.567716121673584,0.026798623766663407,3.607836961746216,0.002995638642460108,0.7458477020263672,21000,21.0,0.0,-119.36300005970952,-0.05923670530319214,76.7758367788599,1.644424557685852,273.5235574245453,45.02690124511719,-188.61928796411098,-119.36300005970952,1.0,-39.593631744384766,34.74504852294922,348.4018560430985,21.0,1000.0,0.2177448719739914,0.7163916230201721,21.0,35.27344512939453,-0.06862622499465942,22.438823699951172,-0.2637508809566498
22,3.611191511154175,0.6359925270080566,1.4399654865264893,0.025245515830755405,3.6603171825408936,0.0019104016246274114,0.7365679740905762,22000,22.0,0.0,-109.67642277127648,0.12817542254924774,76.77696648404623,1.6488897800445557,286.5442724227905,45.431400299072266,-171.62823646945495,-109.67642277127648,1.0,-40.659149169921875,35.68733215332031,185.18384491832177,22.0,1000.0,0.20579871535301208,0.7045154571533203,22.0,36.247314453125,0.053947027772665024,23.370895385742188,-0.25917571783065796
23,3.5728230476379395,0.6341921091079712,2.09279203414917,0.026798623766663407,3.5766687393188477,0.004566666670143604,0.7844871878623962,23000,23.0,0.0,-99.85021228630231,-0.09727320820093155,76.76892055787127,1.676721453666687,299.6004090309143,46.83871841430664,-151.13370039572018,-99.85021228630231,1.0,-41.76691818237305,36.7054443359375,299.7460932264443,23.0,1000.0,0.2033020555973053,0.7771345973014832,23.0,37.27317810058594,-0.05410700663924217,24.14981460571289,-0.25312045216560364
24,3.4916436672210693,0.6280393004417419,2.833223581314087,0.025245515830755405,3.4818973541259766,0.002348288893699646,0.7700532674789429,24000,24.0,0.0,-82.37538073016428,0.013426601886749268,76.7683959404658,1.6716833114624023,312.62865018844604,45.620750427246094,-143.58467170600912,-82.37538073016428,1.0,-42.83086013793945,37.72850799560547,30.042988157347118,24.0,1000.0,0.2135014533996582,0.7573439478874207,24.0,38.25999450683594,0.06425831466913223,25.149457931518555,-0.25644439458847046
25,3.5865914821624756,0.6284725069999695,1.7378541231155396,0.025245515830755405,3.5142197608947754,0.0004338569415267557,0.7896589636802673,25000,25.0,0.0,-72.42974026742878,-0.04001018404960632,76.73925237597767,1.6819030046463013,325.77851915359497,51.225311279296875,-118.79520974663434,-72.42974026742878,1.0,-44.16362762451172,38.724300384521484,476.15187727836,25.0,1000.0,0.18905648589134216,0.7663131952285767,25.0,39.240943908691406,0.0020436495542526245,26.074045181274414,-0.2574738562107086
26,3.6495134830474854,0.6259454488754272,2.393084764480591,0.02575295069895359,3.6093170642852783,-0.002018740400671959,0.7852432727813721,26000,26.0,0.0,-58.284647228313744,0.09034121036529541,76.72095638250863,1.6825239658355713,338.8904573917389,51.765567779541016,-105.40093432962986,-58.284647228313744,1.0,-45.32955551147461,39.93410110473633,229.4559510954818,26.0,1000.0,0.19895794987678528,0.7812252640724182,26.0,40.51477813720703,0.004258334636688232,27.018739700317383,-0.2621299922466278
