#{"t_start": 1521651832.2534122, "env_id": "HalfCheetah-v2"}
r,l,t
-359.428979,1000,10.808776
-443.738025,1000,22.942693
-364.638401,1000,34.669607
-361.907376,1000,46.860996
-417.693487,1000,58.762956
-132.250617,1000,70.691009
-176.803434,1000,82.390074
-415.982709,1000,94.813637
-452.08592,1000,106.367908
-601.564176,1000,118.110747
-344.263652,1000,130.803938
-450.326895,1000,143.320732
-164.654046,1000,154.591907
-491.628449,1000,165.819228
-290.966522,1000,176.984762
-493.199518,1000,188.300329
-132.481408,1000,199.460712
-413.663614,1000,210.742903
-47.608146,1000,222.034727
-174.022252,1000,233.205601
-300.177534,1000,244.275575
-66.038536,1000,255.376081
-133.375161,1000,266.544951
-462.054536,1000,277.6969
-152.611849,1000,288.965753
-474.81149,1000,300.125875
-288.906173,1000,311.566708
-60.487757,1000,322.872654
-216.290252,1000,334.218575
99.773387,1000,345.384339
-252.831582,1000,356.576718
-322.86488,1000,367.874727
32.211826,1000,379.213636
-289.135311,1000,390.396909
-361.508157,1000,401.60787
-443.208855,1000,412.82922
-310.809467,1000,424.032722
26.193399,1000,435.178969
102.960124,1000,446.438091
260.708067,1000,457.729998
189.905692,1000,468.854671
-220.981145,1000,479.985062
127.870854,1000,491.218299
-209.379763,1000,502.420532
187.333382,1000,513.567752
-144.020167,1000,524.628714
319.224532,1000,535.725646
-339.124631,1000,546.852175
349.295438,1000,557.999724
367.023393,1000,569.098711
503.687975,1000,580.315445
257.209181,1000,591.562599
-29.023186,1000,602.797627
-186.670313,1000,614.048748
406.957405,1000,625.142703
424.891727,1000,636.223666
443.154183,1000,647.405838
-227.785857,1000,658.816674
-178.528346,1000,670.364936
238.654512,1000,681.564826
252.502986,1000,693.414704
522.214491,1000,705.384513
-280.256592,1000,716.939677
505.68697,1000,729.079123
710.429774,1000,741.503717
729.483968,1000,752.898896
744.695508,1000,764.331861
165.496858,1000,775.70618
448.532474,1000,787.719929
804.327882,1000,800.108563
740.693286,1000,813.428526
481.787185,1000,824.839536
578.840579,1000,836.154736
450.30393,1000,847.381407
594.893047,1000,858.743708
426.351436,1000,870.051041
700.677592,1000,881.301888
731.477795,1000,892.516675
611.542912,1000,903.725942
657.38702,1000,914.975658
403.442525,1000,926.178587
711.351595,1000,937.459968
670.355174,1000,948.693604
627.799136,1000,959.936856
793.527281,1000,971.955231
501.53149,1000,983.717721
621.696045,1000,995.663882
734.623735,1000,1008.328307
675.299885,1000,1020.024659
675.948959,1000,1031.713865
752.973886,1000,1043.803458
511.408467,1000,1055.603549
335.513228,1000,1067.388424
581.01768,1000,1079.124183
702.899647,1000,1091.349668
684.447547,1000,1102.891388
562.936243,1000,1114.370357
652.294869,1000,1125.859183
668.785439,1000,1137.445842
648.418984,1000,1149.127904
421.995123,1000,1160.808678
643.083424,1000,1172.352907
631.341084,1000,1185.105995
487.350386,1000,1196.43575
772.023813,1000,1208.341851
725.884678,1000,1219.934715
906.005779,1000,1231.402387
388.03526,1000,1242.684724
678.913223,1000,1253.96661
701.543106,1000,1265.233375
717.758466,1000,1276.504703
394.968449,1000,1287.792732
347.40955,1000,1299.203956
585.019243,1000,1310.582752
672.118794,1000,1322.173376
714.798607,1000,1333.637129
545.767988,1000,1345.108659
753.210596,1000,1356.529261
791.397382,1000,1367.994508
606.101423,1000,1379.540636
766.413118,1000,1391.151391
563.523628,1000,1402.484268
847.492559,1000,1413.765419
901.602982,1000,1425.108589
743.945667,1000,1436.405663
805.844415,1000,1447.912708
898.159927,1000,1459.342598
-184.197589,1000,1470.73292
589.760737,1000,1482.051693
697.539014,1000,1493.514769
418.433729,1000,1504.846568
760.52056,1000,1516.126869
724.243297,1000,1527.435977
-292.672868,1000,1538.818635
-471.888948,1000,1550.19994
-501.437052,1000,1561.562608
376.994505,1000,1572.943719
646.173237,1000,1584.29072
604.823556,1000,1595.624659
732.043462,1000,1607.291874
602.565177,1000,1619.16766
559.884058,1000,1630.502611
491.075041,1000,1641.886713
627.360428,1000,1653.425822
743.686403,1000,1665.23824
740.473666,1000,1676.584687
470.596194,1000,1687.95973
563.976983,1000,1699.357608
674.158436,1000,1710.983617
420.588546,1000,1722.343291
408.851547,1000,1734.27563
466.945234,1000,1746.118558
371.486514,1000,1757.651543
552.031389,1000,1771.085728
344.431243,1000,1782.853727
882.989986,1000,1794.158713
612.332797,1000,1805.472347
640.943423,1000,1816.855628
578.392261,1000,1828.169549
613.575277,1000,1839.537063
548.788602,1000,1850.900828
397.949386,1000,1862.256714
692.262435,1000,1873.661247
418.341339,1000,1885.038613
501.202207,1000,1896.329985
419.401915,1000,1907.687544
546.584332,1000,1919.01656
-147.106509,1000,1930.459553
