#{"env_id": "HalfCheetah-v2", "t_start": 1521158621.847563}
r,l,t
-324.689048,1000,9.253706
-85.103925,1000,20.348187
-404.188983,1000,31.309639
-426.226183,1000,42.327862
-439.794383,1000,53.312542
-311.001189,1000,64.287827
-379.609495,1000,75.253356
-410.908174,1000,86.174052
-435.378154,1000,97.272714
-139.697279,1000,108.262046
-313.939903,1000,119.196977
-291.718142,1000,130.194903
-245.612816,1000,141.257029
-113.282358,1000,152.297712
-216.479658,1000,163.301821
-222.457163,1000,174.327983
37.447717,1000,185.394251
-124.459264,1000,196.478992
-185.991014,1000,207.491164
-364.585904,1000,218.479698
45.495356,1000,229.459955
-341.07198,1000,240.455952
-296.933985,1000,251.542203
-263.102813,1000,262.607376
344.935001,1000,273.65406
-413.165224,1000,284.655194
73.3572,1000,295.654947
-307.77434,1000,306.648197
218.478364,1000,317.705721
-160.720158,1000,328.869836
397.711705,1000,339.830473
494.539731,1000,350.85734
263.728352,1000,361.920736
608.923257,1000,372.940174
453.92664,1000,383.987641
365.070574,1000,395.018252
352.995829,1000,405.983034
254.620973,1000,416.952198
192.600941,1000,427.924208
-310.706739,1000,438.939957
-366.666328,1000,449.97387
-257.341034,1000,461.070351
-134.258567,1000,472.125265
-19.61412,1000,483.215883
405.22513,1000,494.29721
494.491404,1000,505.48256
690.42257,1000,516.532336
409.316925,1000,527.487639
422.711711,1000,538.545493
280.230325,1000,549.547973
-158.534485,1000,560.638609
462.939198,1000,571.651541
621.553997,1000,582.630033
446.556757,1000,593.64657
-57.007496,1000,604.681198
382.068543,1000,615.644333
761.010949,1000,626.69497
541.893071,1000,637.779988
-469.452503,1000,648.796307
450.315613,1000,659.757662
482.318655,1000,670.744898
796.84121,1000,681.842061
837.494751,1000,692.840217
880.955519,1000,703.830537
719.354618,1000,714.865177
692.519801,1000,725.872696
314.430577,1000,736.863344
257.223627,1000,747.871047
528.026145,1000,759.007117
658.941116,1000,770.072687
179.878382,1000,781.208187
376.988426,1000,792.245355
268.788301,1000,803.236275
245.519749,1000,814.227284
391.809847,1000,825.31056
783.088943,1000,836.328047
411.669386,1000,847.29057
572.174287,1000,858.245916
828.145653,1000,869.65517
529.575968,1000,880.648572
678.448212,1000,891.709339
369.328321,1000,902.754975
403.761603,1000,913.778178
663.365816,1000,924.797884
833.590717,1000,935.861721
582.225894,1000,946.916146
944.606197,1000,958.012618
489.976286,1000,969.080325
829.986714,1000,980.120531
621.071585,1000,991.2399
803.695002,1000,1002.328792
740.590763,1000,1013.449117
904.142567,1000,1024.544021
910.994816,1000,1035.62807
590.209342,1000,1046.745699
777.347801,1000,1057.814117
765.721435,1000,1068.850999
778.727058,1000,1079.916331
819.847911,1000,1090.984107
817.670633,1000,1102.061325
846.966326,1000,1113.137857
573.736037,1000,1124.259115
842.73831,1000,1135.365547
944.16621,1000,1146.42703
558.666121,1000,1157.508008
614.264435,1000,1168.62169
655.668373,1000,1179.665905
812.634895,1000,1190.709426
907.20867,1000,1201.770528
995.373398,1000,1212.968153
986.526165,1000,1224.387126
957.832284,1000,1235.507326
709.416513,1000,1246.58868
433.426592,1000,1257.711846
738.069745,1000,1268.857347
770.106678,1000,1280.010122
688.008232,1000,1291.134151
948.207458,1000,1302.270156
756.112244,1000,1313.43806
716.897387,1000,1324.572733
924.516305,1000,1335.659761
807.078656,1000,1346.718516
751.565116,1000,1357.813549
792.288131,1000,1368.878876
498.976448,1000,1379.927361
-502.662469,1000,1390.973052
736.313304,1000,1402.129614
939.061331,1000,1413.224348
839.166096,1000,1424.330903
771.217036,1000,1435.349689
926.936255,1000,1446.439155
664.403924,1000,1457.498656
922.658666,1000,1468.624002
833.877515,1000,1479.71718
844.253877,1000,1490.83534
605.622494,1000,1501.980122
889.486093,1000,1513.092712
801.112518,1000,1524.179888
907.499917,1000,1535.349232
858.559557,1000,1546.483259
902.826495,1000,1557.652816
979.56161,1000,1568.740267
838.412216,1000,1579.822828
785.222904,1000,1591.036206
907.799348,1000,1602.170337
824.503672,1000,1613.362813
820.119633,1000,1624.597364
759.970294,1000,1635.806069
739.042404,1000,1646.96217
1047.375063,1000,1658.050491
797.475805,1000,1669.144174
905.512632,1000,1680.242899
-255.568199,1000,1691.437193
628.194185,1000,1702.659992
698.390452,1000,1713.813799
1076.908765,1000,1725.041029
985.911899,1000,1736.153117
650.750149,1000,1747.320669
836.646801,1000,1758.538556
494.98555,1000,1769.728645
