rollout/episodes,train/loss_critic,rollout/return_history,reference_perturbed_action_std,total/steps_per_second,rollout/Q_mean,train/param_noise_distance,param_noise_stddev,rollout/episode_steps,reference_action_mean,rollout/return,reference_actor_Q_std,eval/return,total/epochs,rollout/actions_std,reference_Q_mean,obs_rms_mean,reference_action_std,ret_rms_std,reference_actor_Q_mean,total/episodes,rollout/actions_mean,reference_Q_std,ret_rms_mean,eval/Q,total/steps,eval/episodes,train/loss_actor,total/duration,obs_rms_std,reference_perturbed_action_mean,eval/return_history
1.0,0.10255791991949081,-420.34544853314765,0.66751629114151,90.66992783810784,-0.11137931048870087,0.6894631385803223,0.16720346283821505,1000.0,0.22963117063045502,-420.34544853314765,1.3039193153381348,-492.0107061739309,1,0.7964610457420349,-0.3306698799133301,0.036191850900650024,0.8706037998199463,1.0,0.04230792820453644,1.0,0.06265546381473541,1.4243627786636353,0.0,0.4073549807071686,1000,1.0,-0.15907634794712067,11.029015064239502,1.6884279251098633,-0.1318894773721695,-492.0107061739309
2.0,0.14839883148670197,-350.64754342591135,0.8383924961090088,90.96860641532912,0.5348411202430725,0.6586532592773438,0.1370306733903066,1000.0,0.29121699929237366,-350.64754342591135,1.6188876628875732,-578.2504444565488,2,0.7521700859069824,-0.5428619980812073,-0.006847478449344635,0.8960438966751099,1.0,0.14892534911632538,2.0,-0.05347886309027672,1.9509389400482178,0.0,0.5757347941398621,2000,2.0,-0.8077166080474854,21.98560667037964,1.5559420585632324,0.3166346549987793,-535.1305753152399
3.0,0.09945635497570038,-390.7393168294591,0.7274208664894104,91.17938794326297,0.04907454550266266,0.6950164437294006,0.11230273064362171,1000.0,0.1725948303937912,-390.7393168294591,2.021573543548584,-386.49323157419536,3,0.7994483709335327,1.187963604927063,0.023421717807650566,0.8916296362876892,1.0,1.9967496395111084,3.0,0.06588710099458694,2.437340021133423,0.0,2.6842360496520996,3000,3.0,-2.0729153156280518,32.90217304229736,1.3077325820922852,0.39229443669319153,-485.584794068225
4.0,0.23861661553382874,-413.52301226081744,0.781215488910675,91.41078251951069,0.4354284107685089,0.6942156553268433,0.09203708190275892,1000.0,0.04084135591983795,-413.52301226081744,2.7539565563201904,53.959015831956684,4,0.7980352640151978,1.4179773330688477,0.03041451796889305,0.7993829250335693,1.0,1.8979524374008179,4.0,0.1235261932015419,2.8441073894500732,0.0,6.182555675506592,4000,4.0,-2.3451344966888428,43.75851392745972,1.4882868528366089,0.19279342889785767,-350.69884159317957
5.0,0.22204957902431488,-394.0036876870034,0.7697639465332031,91.48985690095229,0.6338030099868774,0.6746991872787476,0.07542848153938683,1000.0,0.05286387726664543,-394.0036876870034,3.0052218437194824,152.81374495084881,5,0.7979114055633545,2.8032755851745605,0.043723952025175095,0.8210521340370178,1.0,3.9381117820739746,5.0,0.11354736983776093,3.328155279159546,0.0,8.651533126831055,5000,5.0,-4.095734119415283,54.650866985321045,1.3747862577438354,-0.02830084227025509,-249.99632428437388
6.0,0.27615317702293396,-422.83674946112274,0.7863244414329529,91.57801278558232,1.3281887769699097,0.3228517770767212,0.06181699495154324,1000.0,0.029197247698903084,-422.83674946112274,2.5776665210723877,108.03081558308273,6,0.7890308499336243,4.975939750671387,0.03068850003182888,0.8348344564437866,1.0,5.780123710632324,6.0,0.08641857653856277,2.941901445388794,0.0,10.058777809143066,6000,6.0,-5.840377330780029,65.51791000366211,1.4191232919692993,0.02564406394958496,-190.32513430646443
7.0,0.2645719051361084,-388.5530591158732,0.7982778549194336,91.66268024723277,2.418663740158081,0.2616201341152191,0.05066177638540577,1000.0,0.057816166430711746,-388.5530591158732,2.7352545261383057,486.2823112146642,7,0.7866911888122559,6.035787582397461,0.030852416530251503,0.8134344220161438,1.0,6.839144706726074,7.0,0.08907273411750793,3.022139310836792,0.0,11.844034194946289,7000,7.0,-7.202613353729248,76.36695742607117,1.4399927854537964,-0.08205393701791763,-93.66692780344606
8.0,0.27731209993362427,-350.0026124356063,0.694581151008606,91.63181590243492,3.3582308292388916,0.2700521647930145,0.04151957869412388,1000.0,0.192050501704216,-350.0026124356063,2.714782476425171,-207.49618561339625,8,0.7838637828826904,7.075933456420898,0.03243202343583107,0.7640835642814636,1.0,7.822458267211914,8.0,0.08900438249111176,2.9315478801727295,0.0,8.518414497375488,8000,8.0,-8.457371711730957,87.30592012405396,1.441535234451294,0.2735004723072052,-107.89558502968987
9.0,0.3062908351421356,-266.5296884941395,0.7435755133628845,91.62944426575498,4.516351699829102,0.29447266459465027,0.034027141129503384,1000.0,0.15926367044448853,-266.5296884941395,2.8889856338500977,294.30516504288425,9,0.7689731121063232,7.814209938049316,0.03427335247397423,0.746770441532135,1.0,8.691105842590332,9.0,0.10163185745477676,3.057398557662964,0.0,14.369659423828125,9000,9.0,-10.30905532836914,98.22170233726501,1.5022010803222656,0.05810781940817833,-63.20661279940386
10.0,0.37259945273399353,-197.84839816523643,0.6871317625045776,91.6728197277237,5.656579494476318,0.2548581659793854,0.029602352743226958,1000.0,0.2117909938097,-197.84839816523643,3.384713888168335,-245.03021358013956,10,0.7504313588142395,9.1680326461792,0.03490230441093445,0.7204485535621643,1.0,10.140915870666504,10.0,0.10624996572732925,3.4595940113067627,0.0,9.043294906616211,10000,10.0,-12.816283226013184,109.08358693122864,1.5128692388534546,0.28179848194122314,-81.38897287747743
11.0,0.3584853410720825,-198.7750140933397,0.7202396392822266,91.63003897183962,5.97986364364624,0.24276995658874512,0.026798623766663407,1000.0,0.16947312653064728,-198.7750140933397,3.896693706512451,-309.64247365304084,11,0.7406712174415588,11.529387474060059,0.0384485200047493,0.7291426062583923,1.0,12.522323608398438,11.0,0.08479752391576767,4.087283611297607,0.0,9.942548751831055,11000,11.0,-14.786686897277832,120.04796814918518,1.4666333198547363,0.17913055419921875,-102.13929112980139
12.0,0.8609065413475037,-205.4349768972787,0.7127119898796082,91.61053795313784,6.318972110748291,0.20407485961914062,0.026798623766663407,1000.0,0.13377909362316132,-205.4349768972787,4.525875568389893,-185.10493433635682,12,0.7415541410446167,13.384598731994629,0.04516525939106941,0.6973803639411926,1.0,14.267578125,12.0,0.07812700420618057,4.466929912567139,0.0,15.917062759399414,12000,12.0,-16.629074096679688,130.98929738998413,1.469778060913086,0.09545698761940002,-109.05309473034767
13.0,1.0059871673583984,-221.63554850404884,0.7052854895591736,91.61904465246751,6.567598342895508,0.2846032679080963,0.02575295069895359,1000.0,-0.011034498922526836,-221.63554850404884,4.884318828582764,17.033772772403065,13,0.7542308568954468,16.222511291503906,0.04851876571774483,0.6894035935401917,1.0,17.335092544555664,13.0,0.04827158898115158,5.027151107788086,0.0,21.257747650146484,13000,13.0,-18.931499481201172,141.89189648628235,1.4511843919754028,-0.01891481690108776,-99.35410492244377
14.0,0.5603616833686829,-177.34686320059126,0.6982313394546509,91.54601979175784,8.09679889678955,0.21954867243766785,0.025245515830755405,1000.0,0.00693058455362916,-177.34686320059126,4.75762939453125,262.0478215793606,14,0.741435706615448,18.882640838623047,0.04979761317372322,0.6849823594093323,1.0,20.20597267150879,14.0,0.06453887373209,4.925355911254883,0.0,29.165119171142578,14000,14.0,-22.286195755004883,152.92854928970337,1.4251184463500977,-0.04349583387374878,-73.53968160088631
15.0,0.5941765308380127,-155.47594235077037,0.6883355975151062,91.56813096457786,9.402444839477539,0.1719096153974533,0.026270585008002556,1000.0,-0.08352744579315186,-155.47594235077037,4.385657787322998,225.88984821039168,15,0.7352790236473083,22.027847290039062,0.05013357102870941,0.6878311038017273,1.0,23.46084213256836,15.0,0.07707571983337402,4.659603118896484,0.0,31.896949768066406,15000,15.0,-25.22039031982422,163.81245136260986,1.4024215936660767,-0.053093504160642624,-53.57771294680112
16.0,1.2277557849884033,-122.75149867511632,0.7111678123474121,91.56326551949775,10.911271095275879,0.16244134306907654,0.026798623766663407,1000.0,-0.05906015634536743,-122.75149867511632,4.291162967681885,253.78700873642202,16,0.7272155284881592,24.650197982788086,0.04847060889005661,0.7024617195129395,1.0,25.859291076660156,16.0,0.08141391724348068,4.369297981262207,0.0,34.330928802490234,16000,16.0,-28.059091567993164,174.7425663471222,1.4037437438964844,-0.09062731266021729,-34.36741784159965
17.0,0.44817566871643066,-99.24957366187556,0.7191321849822998,91.5588067843212,12.365449905395508,0.2273443192243576,0.026270585008002556,1000.0,-0.061350852251052856,-99.24957366187556,4.260617733001709,675.3122589971362,17,0.7187890410423279,27.19850730895996,0.047264233231544495,0.7088802456855774,1.0,28.42489242553711,17.0,0.08470091968774796,4.333043575286865,0.0,37.639801025390625,17000,17.0,-30.471559524536133,185.6730182170868,1.402194857597351,-0.09076106548309326,7.378445501855401
18.0,0.44748881459236145,-80.20075324964733,0.7436705231666565,91.58827806253021,13.769680976867676,0.21602921187877655,0.024748079434129402,1000.0,-0.11181014031171799,-80.20075324964733,4.531747341156006,836.1043960902465,18,0.7120919823646545,29.368112564086914,0.04619219899177551,0.7289082407951355,1.0,30.53042984008789,18.0,0.08976005762815475,4.538881301879883,0.0,39.86354446411133,18000,18.0,-32.87396240234375,196.53170013427734,1.4235601425170898,-0.14684642851352692,53.41877609009935
19.0,1.217840313911438,-42.10269984517033,0.7299003601074219,91.60125468645955,15.176546096801758,0.17815077304840088,0.024748079434129402,1000.0,-0.05412212386727333,-42.10269984517033,4.247166156768799,491.833795672595,19,0.7082667350769043,32.264930725097656,0.04779873415827751,0.7391412854194641,1.0,33.38130187988281,19.0,0.09431342780590057,4.387728691101074,0.0,40.625274658203125,19000,19.0,-35.6248664855957,207.42073965072632,1.4252609014511108,-0.16212007403373718,76.49325080496754
20.0,1.156794786453247,-11.48869391677789,0.7412362694740295,91.59494665944116,16.56758689880371,0.27927255630493164,0.02426044449968572,1000.0,-0.0339236706495285,-11.48869391677789,4.353817462921143,530.1703749596993,20,0.7050729990005493,34.05531311035156,0.047637201845645905,0.756400465965271,1.0,35.11573028564453,20.0,0.09780539572238922,4.45178747177124,0.0,43.95615768432617,20000,20.0,-37.52158737182617,218.35265731811523,1.4278368949890137,0.009310121648013592,99.17710701270413
21.0,1.7138786315917969,10.22270886728389,0.7548452615737915,91.59946735932313,17.908214569091797,0.23360131680965424,0.025245515830755405,1000.0,-0.10390543192625046,10.22270886728389,3.9317307472229004,656.4409044521998,21,0.7006905674934387,36.311683654785156,0.048283107578754425,0.7635454535484314,1.0,37.72991943359375,21.0,0.10322406888008118,4.091270446777344,0.0,47.09387969970703,21000,21.0,-39.906288146972656,229.2589750289917,1.432552456855774,-0.06313157826662064,125.71347831934678
22.0,3.016772747039795,43.06857123623943,0.7423559427261353,91.60384755845978,19.268234252929688,0.2674499750137329,0.02426044449968572,1000.0,-0.054449763149023056,43.06857123623943,4.260911464691162,772.2988684211213,22,0.6976162195205688,38.422542572021484,0.04877209663391113,0.7379524111747742,1.0,39.606201171875,22.0,0.10312158614397049,4.376201152801514,0.0,49.60005569458008,22000,22.0,-42.6126823425293,240.16458463668823,1.4484232664108276,-0.00011426210403442383,155.1037233239729
