total/episodes,reference_perturbed_action_std,reference_actor_Q_mean,reference_Q_mean,rollout/Q_mean,eval/return_history,train/loss_actor,total/steps,rollout/episode_steps,rollout/actions_mean,eval/Q,total/duration,total/steps_per_second,train/param_noise_distance,ret_rms_std,rollout/return_history,eval/return,reference_actor_Q_std,reference_action_std,rollout/actions_std,param_noise_stddev,reference_perturbed_action_mean,reference_Q_std,obs_rms_std,eval/episodes,train/loss_critic,rollout/return,obs_rms_mean,total/epochs,rollout/episodes,ret_rms_mean,reference_action_mean
1.0,0.6831888556480408,1.0997872352600098,0.4677780866622925,0.29622966051101685,-324.540166675445,-1.1233220100402832,1000,1000.0,-0.2385888248682022,1.4912750720977783,11.931183815002441,83.81397986196355,0.744989812374115,1.0,-322.3340981411456,-324.540166675445,1.1930972337722778,0.7454251050949097,0.7307102084159851,0.16720346283821505,0.5198017358779907,1.4401499032974243,1.9260988235473633,1.0,0.09144231677055359,-322.3340981411456,0.09633857011795044,1,1.0,0.0,0.12878184020519257
2.0,0.7858337163925171,1.6104862689971924,1.2945348024368286,-0.2562171220779419,-374.47506488904395,-0.21682247519493103,2000,1000.0,0.14865386486053467,1.6346238851547241,23.922348976135254,83.60383012534363,0.4629952311515808,1.0,-386.9823358067514,-424.4099631026429,1.5384706258773804,0.8467058539390564,0.8062183856964111,0.1370306733903066,0.22443841397762299,1.8667545318603516,1.4956096410751343,2.0,0.07457832247018814,-386.9823358067514,0.09626369923353195,2,2.0,0.0,0.14882324635982513
3.0,0.6694787740707397,2.0369908809661865,1.5595898628234863,0.9131617546081543,-422.7897662018906,-1.652337908744812,3000,1000.0,0.13986621797084808,1.4265944957733154,35.742177963256836,83.9344486249276,0.8012953996658325,1.0,-382.4698102506871,-519.4191688275839,2.2931461334228516,0.7129219174385071,0.818202555179596,0.11230273064362171,0.07168464362621307,2.450104236602783,1.3202098608016968,3.0,0.09614236652851105,-382.4698102506871,0.05915701389312744,3,3.0,0.0,0.1872144490480423
4.0,0.6246340274810791,3.5058529376983643,2.83711314201355,1.573490023612976,-339.702931285769,-3.9568023681640625,4000,1000.0,0.11311551928520203,7.202389717102051,47.37818789482117,84.42703652744038,0.4664740562438965,1.0,-357.5824870938143,-90.44242653740437,2.9678542613983154,0.724544107913971,0.7725260257720947,0.09203708190275892,0.002393590984866023,3.2013423442840576,1.6580637693405151,4.0,0.16019412875175476,-357.5824870938143,0.042411260306835175,4,4.0,0.0,0.19443701207637787
5.0,0.6117020845413208,5.025392055511475,4.416780471801758,2.971611499786377,-344.8510357014179,-6.552685737609863,5000,1000.0,-0.01701684482395649,9.203139305114746,59.016037702560425,84.7227329154135,0.45110970735549927,1.0,-306.2852824967306,-365.4434533640134,3.248464822769165,0.7282616496086121,0.7664410471916199,0.07542848153938683,0.4756358563899994,3.433581590652466,1.5368984937667847,5.0,0.22201229631900787,-306.2852824967306,0.016267653554677963,5,5.0,0.0,0.3368220627307892
6.0,0.6351901888847351,6.9091997146606445,6.138425827026367,3.7945475578308105,-340.4697763004883,-8.445323944091797,6000,1000.0,0.057118821889162064,12.071321487426758,70.87333250045776,84.65807643462013,0.37826451659202576,1.0,-301.2988476465275,-318.5634792958404,3.114142417907715,0.6765516400337219,0.7549463510513306,0.06181699495154324,0.5015743970870972,3.3597590923309326,1.605577826499939,6.0,0.2427903711795807,-301.2988476465275,0.028118690475821495,6,6.0,0.0,0.452496200799942
7.0,0.6512144207954407,8.716167449951172,7.967045307159424,4.529687404632568,-325.41619800913315,-10.620426177978516,7000,1000.0,0.09515107423067093,10.773077011108398,82.60834407806396,84.73720273808028,0.3132820129394531,1.0,-276.81321862284796,-235.09472826100213,3.136657238006592,0.7695478796958923,0.7420666217803955,0.05066177638540577,0.3276321589946747,3.45304012298584,1.7074799537658691,7.0,0.3294706344604492,-276.81321862284796,0.040344126522541046,7,7.0,0.0,0.21510642766952515
8.0,0.797728419303894,10.547096252441406,9.906423568725586,5.495558738708496,-274.81996744589355,-12.22270393371582,8000,1000.0,0.09970476478338242,13.539287567138672,94.20987319946289,84.91678980463386,0.27162641286849976,1.0,-260.06688834870397,79.35364649678395,3.112245798110962,0.8056096434593201,0.728340208530426,0.04151957869412388,0.16663758456707,3.3124032020568848,1.7009525299072266,8.0,0.4850447475910187,-260.06688834870397,0.050236620008945465,8,8.0,0.0,0.1234140396118164
9.0,0.8037770390510559,12.323333740234375,11.573948860168457,6.721099853515625,-245.47441406808503,-14.657288551330566,9000,1000.0,0.07690409570932388,15.176070213317871,105.7908194065094,85.07354466569357,0.24507728219032288,1.0,-201.58191934856794,-10.70998704561663,3.088181495666504,0.8122583031654358,0.7236445546150208,0.03612049597631193,0.055567771196365356,3.2855803966522217,1.7534533739089966,9.0,0.4925941824913025,-201.58191934856794,0.055811792612075806,9,9.0,0.0,0.11654835194349289
10.0,0.7923865914344788,13.796281814575195,13.16716194152832,7.650365829467773,-237.659689612399,-16.732078552246094,10000,1000.0,0.05675555393099785,15.701934814453125,117.65266799926758,84.99594756374121,0.2138189822435379,1.0,-186.8949949497627,-167.32716951122484,3.2786829471588135,0.7921239733695984,0.7135661244392395,0.03142349394213421,0.21037156879901886,3.4261794090270996,1.8694658279418945,10.0,0.5402755737304688,-186.8949949497627,0.058649033308029175,10,10.0,0.0,0.2331274300813675
