total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
1000,0.5587195158004761,0.0,1.0,1,-209.65978776540595,-0.2649446725845337,-0.4263773560523987,1.0,1000.0,-435.68575269386076,0.7140997052192688,-435.68575269386076,0.07473539561033249,0.0,0.1582363098859787,0.016387401148676872,0.03998463600873947,1.0,0.2317320555448532,1.0,0.31546351313591003,-0.39664265513420105,-0.22209900617599487,0.7657054662704468,13.298368453979492,-209.65978776540595,0.8550460934638977,75.19719456267234
2000,0.5365496277809143,0.0,2.0,2,-368.2120445025331,-1.1913080215454102,-3.5383660793304443,1.0,1000.0,-559.3194352527287,1.100261926651001,-497.5025939732947,0.057656534016132355,0.0,1.4808111190795898,0.014691867865622044,0.11503084748983383,2.0,0.5824387073516846,2.0,0.2974589765071869,0.1580824851989746,0.36393073201179504,1.064528226852417,26.36211371421814,-368.2120445025331,0.9415504336357117,75.86645068302396
3000,0.5817583799362183,0.0,3.0,3,-434.046945356799,-1.906853199005127,-2.2343525886535645,1.0,1000.0,-746.6727320843128,1.1232361793518066,-580.5593066769674,0.8030111789703369,0.0,2.1241941452026367,0.0917748361825943,0.1188306212425232,3.0,0.574245810508728,3.0,0.45173242688179016,0.7995116114616394,0.9772796034812927,0.9516100287437439,39.4318585395813,-434.046945356799,0.31983572244644165,76.08061377549907
4000,0.7196902632713318,0.0,4.0,4,-432.99804860524466,-2.1282620429992676,-0.9547287225723267,1.0,1000.0,-834.4271735571532,1.6837540864944458,-644.0262733970138,0.8159863948822021,0.0,1.804336667060852,0.06629672646522522,0.1104339063167572,4.0,0.3974180221557617,4.0,0.49973195791244507,0.5205364227294922,0.8463782072067261,1.4930386543273926,52.52617812156677,-432.99804860524466,0.40190407633781433,76.15250419976084
5000,0.725732147693634,0.0,5.0,5,-442.0771991950437,-1.9227720499038696,-4.599729061126709,1.0,1000.0,-494.4774044384426,1.839178442955017,-614.1164996052996,0.832246720790863,0.0,2.9114654064178467,0.1340235471725464,0.11000010371208191,5.0,0.3592507243156433,5.0,0.7517393827438354,0.692036509513855,1.0228300094604492,1.637728214263916,65.81719946861267,-442.0771991950437,-0.2586009204387665,75.96798466614236
6000,0.7870086431503296,0.0,6.0,6,-456.95232331708394,-2.609358787536621,-6.808923244476318,1.0,1000.0,-584.178655352928,2.3995699882507324,-609.126858896571,0.7540829181671143,0.0,3.9340271949768066,0.17414569854736328,0.11178473383188248,6.0,0.27220749855041504,6.0,0.7540459632873535,-0.0017920434474945068,0.1972326934337616,2.2377121448516846,79.03185749053955,-456.95232331708394,0.3340094983577728,75.9187521401509
7000,0.8138449788093567,0.0,7.0,7,-457.926357275856,-3.3560378551483154,0.8157666921615601,1.0,1000.0,-515.8638175318636,2.019063949584961,-595.8035672730414,0.84376460313797,0.0,4.155595779418945,0.1403806507587433,0.11257556825876236,7.0,0.20676204562187195,7.0,0.742932140827179,0.16234098374843597,0.6726399660110474,1.8848634958267212,92.29348373413086,-457.926357275856,0.14573226869106293,75.84500786821361
8000,0.8176806569099426,0.0,8.0,8,-440.92393412608845,-2.761622667312622,2.292943000793457,1.0,1000.0,-429.3812234801805,2.5994887351989746,-575.0007742989337,0.8909278512001038,0.0,3.9638190269470215,0.19190166890621185,0.09571505337953568,8.0,0.17231789231300354,8.0,0.8700867295265198,0.35303202271461487,0.7604230046272278,2.383254289627075,105.6011233329773,-440.92393412608845,-0.061816900968551636,75.75676988562627
9000,0.8238807916641235,0.0,9.0,9,-433.5725110016749,-2.3267974853515625,-0.8386480212211609,1.0,1000.0,-588.3898324915057,2.797048330307007,-576.4884474314417,0.8759099841117859,0.0,3.996419668197632,0.1906966269016266,0.08178383111953735,9.0,0.1362985372543335,9.0,0.8806173205375671,0.7993361949920654,1.0420022010803223,2.677825450897217,118.87267255783081,-433.5725110016749,0.0014611482620239258,75.7112615233039
10000,0.8233329653739929,0.0,10.0,10,-420.4702884835312,-2.0018019676208496,4.054337501525879,1.0,1000.0,-284.0520940423676,3.1255362033843994,-547.2448120925343,0.7648437023162842,0.0,4.228221893310547,0.16872085630893707,0.07323434203863144,10.0,0.1288680136203766,10.0,1.0282524824142456,0.4184179902076721,0.8778204321861267,2.7694432735443115,132.26710748672485,-420.4702884835312,-0.2487526684999466,75.60458673373243
11000,0.819140613079071,0.0,11.0,11,-411.18444491673745,-1.603966474533081,2.3093795776367188,1.0,1000.0,-165.25790326904803,2.8695425987243652,-512.5187294722174,0.8659632802009583,0.0,3.7149105072021484,0.21072286367416382,0.06441127508878708,11.0,0.11072567105293274,11.0,1.1665500402450562,0.17482519149780273,0.33866822719573975,2.7780165672302246,145.40983629226685,-411.18444491673745,-0.046968039125204086,75.64825241870518
