eval/episodes,train/loss_critic,eval/return_history,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,rollout/Q_mean,reference_actor_Q_mean,rollout/return_history,total/duration,obs_rms_mean,ret_rms_std,eval/Q,rollout/return,total/epochs,train/loss_actor,rollout/actions_std,total/steps_per_second,total/episodes,total/steps,reference_action_std,reference_Q_mean,reference_actor_Q_std,obs_rms_std,reference_Q_std,ret_rms_mean
1.0,0.009820663370192051,-348.97643886786443,0.7253573536872864,1000.0,0.20480452477931976,1.0,0.0,-348.97643886786443,-0.32371482253074646,-0.2219591587781906,-177.56743217583184,13.213083982467651,0.020907685160636902,1.0,-0.5044999122619629,-177.56743217583184,1,0.2255653738975525,0.5354621410369873,75.68255838885857,1.0,1000,0.3522526025772095,-0.3680408000946045,0.5765933394432068,0.3446950912475586,0.5139154195785522,0.0
2.0,0.03986794874072075,-416.52091344434314,-0.17499940097332,1000.0,0.11273522675037384,2.0,0.0,-484.06538802082184,-0.4051061272621155,0.4423392415046692,-285.2514112598327,26.15797472000122,0.050885673612356186,1.0,-0.9535302519798279,-285.2514112598327,2,0.10410676151514053,0.6354622840881348,76.45851872739736,2.0,2000,0.8294327855110168,0.09338672459125519,0.6526716947555542,0.8232778310775757,0.8421455025672913,0.0
3.0,0.07513430714607239,-414.4888530874188,-0.05254412814974785,1000.0,-0.17314156889915466,3.0,0.0,-410.4247323735702,-0.7818381190299988,1.227635145187378,-334.07941141538225,39.07268714904785,0.03923296555876732,1.0,-0.9358682632446289,-334.07941141538225,3,0.46950867772102356,0.7066367864608765,76.77997647195622,3.0,3000,0.8719020485877991,0.6947393417358398,1.8770081996917725,0.8618359565734863,1.7714569568634033,0.0
4.0,0.10188974440097809,-402.17334520386646,0.11361493915319443,1000.0,-0.21189753711223602,4.0,0.0,-365.2268215532095,-1.3302584886550903,4.977848529815674,-376.5101909069507,52.001025915145874,0.05426720902323723,1.0,7.189448356628418,-376.5101909069507,4,-0.15408258140087128,0.759619414806366,76.92155932706235,4.0,4000,0.9185417890548706,3.864344358444214,2.5763299465179443,0.7993322610855103,2.667943000793457,0.0
5.0,0.12338972836732864,-437.220740807905,0.2182123214006424,1000.0,-0.21110546588897705,5.0,0.0,-577.4103232240589,-0.11414560675621033,7.106504440307617,-378.15470313075457,64.8459165096283,0.03958830609917641,1.0,-2.8468596935272217,-378.15470313075457,5,-1.5029690265655518,0.7766543626785278,77.10585753318179,5.0,5000,0.8307375907897949,6.372873306274414,1.4821971654891968,0.9489424228668213,1.440641164779663,0.0
6.0,0.20431238412857056,-468.51791208122205,0.48707810044288635,1000.0,-0.2173078954219818,6.0,0.0,-625.0037684478077,0.0881720781326294,10.12864875793457,-392.1800123600153,77.72844958305359,0.044136371463537216,1.0,-4.0946455001831055,-392.1800123600153,6,-1.8724071979522705,0.7848324179649353,77.19181370765594,6.0,6000,0.7163376808166504,9.58258056640625,2.2354378700256348,0.9628927707672119,2.1931631565093994,0.0
7.0,0.30487412214279175,-475.97681698696204,-0.037733662873506546,1000.0,-0.1834169179201126,7.0,0.0,-520.7302464214017,0.9341777563095093,11.257015228271484,-399.4877823869809,90.60085606575012,0.04877122864127159,1.0,11.845531463623047,-399.4877823869809,7,-3.917677640914917,0.7819499969482422,77.26196312008372,7.0,7000,0.7677527070045471,10.8336181640625,1.382880687713623,1.0664628744125366,1.7401503324508667,0.0
8.0,0.1846461147069931,-476.1554495628664,-0.024765824899077415,1000.0,-0.1735353022813797,8.0,0.0,-477.40587759419697,1.8592276573181152,12.476511001586914,-397.3678453462282,103.49679160118103,0.04823607951402664,1.0,6.47597599029541,-397.3678453462282,8,-6.015716552734375,0.783367395401001,77.29708212431882,8.0,8000,0.5936523079872131,11.990068435668945,1.5796279907226562,1.09076726436615,1.628260612487793,0.0
9.0,0.276853084564209,-467.91918898064444,0.34844550490379333,1000.0,-0.17752626538276672,9.0,0.0,-402.0291043228687,2.3617208003997803,13.340231895446777,-389.37814901851084,116.41724681854248,0.04900508373975754,1.0,5.3601861000061035,-389.37814901851084,9,-7.173379421234131,0.7739475965499878,77.30813299534684,9.0,9000,0.524059534072876,12.861055374145508,2.21964955329895,1.1329529285430908,2.2205445766448975,0.0
10.0,0.31235671043395996,-458.6977980438225,0.5812467932701111,1000.0,-0.19532762467861176,10.0,0.0,-375.7052796124252,2.9338977336883545,15.719338417053223,-379.19902079466243,129.45105719566345,0.04836089164018631,1.0,8.296826362609863,-379.19902079466243,10,-8.755928039550781,0.7633916139602661,77.24927255623058,10.0,10000,0.4752369821071625,14.962945938110352,2.2905161380767822,1.2360323667526245,2.3783226013183594,0.0
