#{"env_id": "HalfCheetah-v2", "t_start": 1521313428.5786474}
r,l,t
-171.271088,1000,20.250705
-316.970161,1000,31.397013
-351.585786,1000,42.401935
-408.219343,1000,53.314792
-410.337611,1000,64.251915
-406.638325,1000,75.217081
-427.841365,1000,86.100898
-174.289207,1000,97.080123
-241.170677,1000,107.969032
-265.938804,1000,118.860811
-232.825685,1000,129.806906
-278.627315,1000,140.790846
238.21621,1000,151.588289
163.368098,1000,162.379059
140.580608,1000,173.155339
164.191164,1000,183.95437
-142.420167,1000,194.954753
-189.808856,1000,205.915524
117.135178,1000,216.853508
195.380469,1000,227.72219
258.417063,1000,238.626071
351.66838,1000,249.731633
369.798203,1000,260.804235
339.010346,1000,271.904841
281.294491,1000,283.04091
138.143241,1000,294.099348
58.796317,1000,305.182943
151.999214,1000,316.278551
209.050381,1000,327.142013
320.187421,1000,338.049788
256.27018,1000,348.893302
229.537139,1000,359.766144
623.876218,1000,370.603439
511.841282,1000,381.407067
232.55041,1000,392.31406
273.581264,1000,403.185183
827.636585,1000,414.038313
97.713159,1000,424.891588
528.798404,1000,435.706048
392.704684,1000,446.432953
785.498947,1000,457.339748
739.57469,1000,468.222915
408.230771,1000,479.080811
589.519276,1000,489.937553
450.0599,1000,500.839911
308.933429,1000,511.815932
724.742694,1000,522.940301
578.869306,1000,534.094652
756.082366,1000,545.24166
350.370322,1000,556.286491
357.117731,1000,567.364324
566.521809,1000,578.544433
594.040712,1000,589.731127
710.393406,1000,600.916906
598.399688,1000,612.104196
422.783049,1000,623.287905
747.104985,1000,634.524898
411.469735,1000,645.753304
433.776718,1000,656.947015
667.272163,1000,668.111319
524.675084,1000,679.294643
531.786985,1000,690.241756
-137.674369,1000,701.125406
624.101763,1000,711.998738
-284.328549,1000,722.904347
339.247921,1000,733.926739
575.692202,1000,744.792241
111.353825,1000,755.637535
502.950451,1000,766.579606
320.390501,1000,777.516144
-123.496174,1000,788.403309
287.9065,1000,799.32534
332.53939,1000,810.174844
461.32237,1000,821.065909
421.767418,1000,831.955931
213.016301,1000,842.82679
535.496132,1000,853.773732
147.285041,1000,864.934893
195.426953,1000,876.080647
283.332956,1000,887.243064
17.539675,1000,898.406658
104.884608,1000,909.570855
414.529022,1000,920.775352
583.100865,1000,931.878564
421.262306,1000,942.830973
380.523127,1000,953.746868
384.496423,1000,964.672654
386.091429,1000,975.681038
349.615018,1000,986.62058
280.300112,1000,997.516368
415.292432,1000,1008.445722
492.866416,1000,1019.448848
427.665761,1000,1030.402302
81.506667,1000,1041.439536
519.454713,1000,1052.358166
-7.8003,1000,1063.300548
421.087211,1000,1074.254143
229.724427,1000,1085.201093
788.110658,1000,1096.132525
212.812967,1000,1107.096833
346.663497,1000,1118.080299
107.878688,1000,1129.038695
263.665222,1000,1139.948797
306.208452,1000,1150.831344
413.96824,1000,1161.682935
-156.2071,1000,1172.707458
659.901348,1000,1183.884427
564.109641,1000,1194.791819
306.742285,1000,1205.73131
54.70622,1000,1216.730685
-196.039339,1000,1227.632773
108.267413,1000,1238.663554
442.655807,1000,1249.613035
343.602113,1000,1260.544772
764.303492,1000,1271.471697
476.687935,1000,1282.428435
394.88112,1000,1293.420718
498.831801,1000,1304.413448
721.479572,1000,1315.460669
562.800168,1000,1326.445018
377.985951,1000,1337.443546
339.316405,1000,1348.440979
512.570202,1000,1359.425155
228.717072,1000,1370.35884
498.47614,1000,1381.294759
605.980102,1000,1392.212039
559.981287,1000,1403.238161
451.119541,1000,1414.201552
177.801869,1000,1425.16756
239.052678,1000,1436.187306
733.772479,1000,1447.166632
538.656531,1000,1458.130761
542.118084,1000,1469.042643
691.703174,1000,1479.966447
698.907771,1000,1490.926819
896.912502,1000,1501.833435
619.753321,1000,1512.780605
583.645282,1000,1523.743526
695.859248,1000,1534.685785
484.269512,1000,1545.703181
639.583844,1000,1556.618966
528.984469,1000,1567.575181
498.965644,1000,1578.672045
231.213067,1000,1589.686012
661.32746,1000,1600.754153
694.220427,1000,1611.810645
419.648175,1000,1622.809735
1119.01421,1000,1633.817457
844.612588,1000,1644.81977
710.450058,1000,1655.847108
889.158989,1000,1666.88239
802.296991,1000,1677.980065
787.383204,1000,1689.074121
612.677488,1000,1700.13892
618.563351,1000,1711.228847
682.954254,1000,1722.246619
973.20459,1000,1733.241252
452.727142,1000,1744.316911
775.620473,1000,1755.489133
712.102071,1000,1766.5171
915.869237,1000,1777.517608
324.895707,1000,1788.51521
273.824313,1000,1799.589925
316.22494,1000,1810.570821
998.069325,1000,1821.528977
766.360675,1000,1832.550351
678.795622,1000,1843.57192
717.550428,1000,1854.569073
650.200293,1000,1865.485491
950.57267,1000,1876.465812
895.502288,1000,1887.431149
1072.879335,1000,1898.402672
678.68618,1000,1909.450788
731.236767,1000,1920.531093
999.069961,1000,1931.59775
665.739949,1000,1942.701464
-119.054533,1000,1953.656893
860.045744,1000,1964.658109
948.752232,1000,1975.632025
721.318722,1000,1986.765353
901.883852,1000,1997.870481
909.477614,1000,2009.010964
963.069336,1000,2020.185033
837.83885,1000,2031.303977
747.410297,1000,2042.396613
814.51786,1000,2053.479908
811.318298,1000,2064.543066
1091.74371,1000,2075.606798
985.00978,1000,2086.677323
837.898916,1000,2097.772868
791.628754,1000,2108.855861
431.3489,1000,2120.029582
1076.834931,1000,2131.15303
1042.689655,1000,2142.261123
973.42687,1000,2153.3104
918.157145,1000,2164.353153
871.900701,1000,2175.44875
951.666329,1000,2186.44141
799.989917,1000,2197.396907
829.882468,1000,2208.387863
850.756569,1000,2219.389152
1105.440548,1000,2230.319122
873.989524,1000,2241.28992
684.276678,1000,2252.310639
1109.402827,1000,2263.397907
