#{"t_start": 1521331610.7841136, "env_id": "HalfCheetah-v2"}
r,l,t
-199.627799,1000,10.974424
-344.175761,1000,23.815468
-441.684124,1000,36.735038
-413.349293,1000,49.409645
-328.501524,1000,62.374168
-294.022505,1000,76.772137
-374.100321,1000,91.385346
-495.706327,1000,104.405084
-477.849701,1000,117.538887
-379.245328,1000,130.521023
-433.971517,1000,143.628025
-679.074323,1000,156.517693
-321.505003,1000,169.804267
-384.317412,1000,182.864985
-207.600682,1000,196.04745
-142.007556,1000,209.170575
-346.583111,1000,222.035138
-297.582062,1000,234.919559
-164.084613,1000,247.823617
-5.298258,1000,260.964038
-114.196196,1000,273.899871
193.646766,1000,287.031137
-165.568171,1000,300.191234
588.005605,1000,313.522187
605.934261,1000,326.640074
-126.480898,1000,341.292024
-119.001396,1000,356.771166
469.747398,1000,371.451079
274.597341,1000,385.446589
482.636529,1000,398.211364
629.411203,1000,411.035402
623.58625,1000,425.911997
565.565453,1000,439.924113
778.207521,1000,454.162874
640.271811,1000,466.910095
661.068761,1000,479.794138
833.303754,1000,493.752459
841.276237,1000,507.886018
801.697359,1000,520.821053
191.298838,1000,533.77391
653.5487,1000,546.777776
-169.409487,1000,559.789711
840.138748,1000,572.717943
849.273669,1000,584.516281
283.2123,1000,597.725236
790.76163,1000,610.934453
670.458515,1000,623.773894
655.609732,1000,636.681063
701.235924,1000,649.519309
445.692051,1000,662.281527
832.749241,1000,675.212263
543.757675,1000,688.233622
737.83626,1000,701.04302
604.42121,1000,713.804161
651.972086,1000,726.67616
598.069354,1000,739.480355
558.053607,1000,752.262074
714.841599,1000,765.00142
776.521698,1000,777.78275
688.917724,1000,790.784917
733.796682,1000,803.56278
591.803496,1000,816.462017
359.803135,1000,829.225301
365.768374,1000,842.031088
589.774532,1000,854.858837
711.383456,1000,867.631083
682.401005,1000,880.450396
554.128768,1000,893.354168
652.064937,1000,907.27608
415.690045,1000,922.06755
436.94929,1000,936.25771
755.075482,1000,949.752351
780.339115,1000,964.743456
592.800498,1000,977.618802
419.067098,1000,990.517206
519.707773,1000,1004.140012
596.674683,1000,1017.546983
683.170691,1000,1030.344788
437.935518,1000,1043.372026
675.946929,1000,1056.075043
608.176022,1000,1068.843211
613.288754,1000,1081.481156
530.39431,1000,1094.492251
564.487782,1000,1107.247173
654.75625,1000,1121.064994
626.219862,1000,1134.504233
553.67381,1000,1147.642238
646.111356,1000,1160.944272
753.119718,1000,1173.696139
545.796239,1000,1186.550179
484.019469,1000,1199.193263
672.430518,1000,1212.020807
716.443666,1000,1224.712641
491.254171,1000,1237.373006
679.956118,1000,1250.064063
795.74508,1000,1262.729616
616.029765,1000,1275.4051
753.395875,1000,1289.347107
621.232126,1000,1302.96914
721.327124,1000,1316.559273
506.784589,1000,1329.218192
736.123498,1000,1341.178088
512.200744,1000,1353.282063
497.858183,1000,1367.929593
726.304134,1000,1383.349469
553.825638,1000,1403.070758
581.125064,1000,1417.037657
457.385771,1000,1431.100865
736.762688,1000,1444.180832
585.700431,1000,1457.785066
300.479594,1000,1471.097552
447.566307,1000,1484.687284
733.849859,1000,1498.329654
473.602061,1000,1510.127864
-104.871911,1000,1521.889988
787.584414,1000,1533.569432
497.61348,1000,1545.262275
609.053825,1000,1556.86282
771.249143,1000,1568.563488
411.585047,1000,1581.288481
422.710554,1000,1595.346862
708.792365,1000,1608.39099
569.938549,1000,1621.93994
395.374462,1000,1636.531784
681.677098,1000,1649.861078
491.235634,1000,1662.93882
672.770138,1000,1676.310208
693.053471,1000,1689.515289
597.483452,1000,1702.509537
-451.484809,1000,1715.509201
604.545414,1000,1728.668328
387.664914,1000,1742.183182
665.950138,1000,1755.227148
713.016195,1000,1768.327679
839.556124,1000,1781.461246
867.432956,1000,1794.560068
803.422784,1000,1807.581154
790.969161,1000,1820.970828
739.727029,1000,1834.36926
347.082315,1000,1848.089208
746.28177,1000,1865.256401
703.394418,1000,1882.98168
536.938346,1000,1898.971724
571.87392,1000,1912.745912
551.411346,1000,1925.735114
561.810097,1000,1938.688383
713.994605,1000,1951.70205
599.046517,1000,1967.920204
458.266855,1000,1980.943864
839.893852,1000,1994.028535
371.968101,1000,2007.026015
571.456983,1000,2020.007452
650.032899,1000,2033.249049
710.375183,1000,2046.644007
666.098438,1000,2059.849247
820.414969,1000,2072.876197
726.860052,1000,2085.863113
4.359535,1000,2098.801112
729.278736,1000,2114.290865
656.545215,1000,2127.596276
881.632524,1000,2142.00699
773.838683,1000,2155.379383
704.686509,1000,2168.700917
809.294732,1000,2181.598349
946.457438,1000,2194.577088
539.103256,1000,2207.479694
163.646737,1000,2220.408514
778.402152,1000,2233.309285
639.456485,1000,2246.209726
573.271274,1000,2259.149185
724.337878,1000,2272.077313
590.607559,1000,2285.002134
521.161953,1000,2298.348588
602.787813,1000,2311.34047
608.51074,1000,2324.242916
704.319235,1000,2337.199047
557.511846,1000,2352.62157
810.662294,1000,2366.715324
719.746337,1000,2380.639356
746.001889,1000,2395.267452
492.33005,1000,2409.59515
433.52899,1000,2426.492303
169.474595,1000,2441.648185
534.343092,1000,2457.651189
232.035811,1000,2469.967477
476.565926,1000,2483.2454
624.629226,1000,2495.990932
496.392779,1000,2508.330132
533.250559,1000,2520.358612
632.055966,1000,2532.988484
532.588847,1000,2547.487083
509.269265,1000,2561.180099
602.867064,1000,2574.604904
536.759735,1000,2587.627494
378.749506,1000,2601.931244
540.381793,1000,2615.45425
602.192717,1000,2629.037029
628.396748,1000,2643.273846
640.91025,1000,2657.507879
593.247455,1000,2672.978536
182.583057,1000,2689.655299
324.08958,1000,2705.567677
529.004261,1000,2719.645217
497.410941,1000,2733.520049
452.996469,1000,2747.234325
331.726332,1000,2760.862375
209.802405,1000,2774.126543
381.840625,1000,2787.702013
715.03733,1000,2801.635332
596.09789,1000,2817.63059
767.616693,1000,2832.66306
722.902915,1000,2847.621921
729.088776,1000,2861.404411
778.040708,1000,2874.854204
777.849287,1000,2889.129981
663.891201,1000,2902.362763
427.076996,1000,2916.559647
751.704096,1000,2931.004203
727.045281,1000,2944.418928
755.111887,1000,2957.787973
468.471172,1000,2971.514041
850.226344,1000,2985.039152
566.587995,1000,2998.584217
778.290557,1000,3014.342251
107.632911,1000,3030.247514
780.756823,1000,3044.491074
702.039261,1000,3057.289663
686.313213,1000,3070.198732
443.8965,1000,3083.775129
527.347062,1000,3096.263566
618.352357,1000,3108.547609
768.82753,1000,3120.83572
494.062998,1000,3133.135437
642.534296,1000,3145.153716
553.882293,1000,3157.211075
622.61026,1000,3169.246647
689.368087,1000,3181.333095
652.859185,1000,3193.535487
716.48846,1000,3205.665174
712.365313,1000,3217.716686
680.564032,1000,3229.772231
462.521211,1000,3241.864267
845.711664,1000,3253.855585
735.660935,1000,3265.868144
795.385061,1000,3277.789432
623.626845,1000,3289.776052
780.05293,1000,3301.765325
661.54972,1000,3313.778828
728.446261,1000,3325.806997
599.927104,1000,3337.850884
565.734372,1000,3349.878815
516.796749,1000,3361.901729
556.015233,1000,3374.018985
246.696788,1000,3386.1677
647.462372,1000,3398.255855
59.732126,1000,3410.333722
697.184156,1000,3422.323579
705.82141,1000,3434.294719
724.397707,1000,3446.270399
764.590723,1000,3458.238668
712.420018,1000,3470.235378
639.534594,1000,3482.241838
368.916731,1000,3494.379865
685.506934,1000,3506.431137
775.039179,1000,3518.364207
717.108948,1000,3530.3795
660.869159,1000,3542.383305
764.292295,1000,3554.426073
539.231172,1000,3566.507973
156.351746,1000,3578.580413
604.957737,1000,3590.708687
877.246877,1000,3602.810185
241.700617,1000,3614.862065
549.509432,1000,3627.020026
426.586909,1000,3639.146804
522.75719,1000,3651.242696
244.84872,1000,3667.327202
605.111056,1000,3681.550637
744.642275,1000,3700.984894
772.67599,1000,3717.648329
546.903212,1000,3737.649012
617.840517,1000,3754.504729
332.992624,1000,3769.196493
662.254461,1000,3788.063107
658.073297,1000,3803.706194
528.573886,1000,3818.74402
520.001612,1000,3834.252793
-252.179776,1000,3849.228259
648.994905,1000,3861.896765
705.500984,1000,3876.974927
684.404782,1000,3891.628632
647.512512,1000,3905.016196
623.920845,1000,3920.153726
926.960139,1000,3934.032587
650.836749,1000,3946.499745
819.64416,1000,3960.11977
809.008371,1000,3973.695337
701.60127,1000,3986.007042
515.737823,1000,3998.885294
689.071453,1000,4011.700164
626.450274,1000,4024.853529
680.229024,1000,4038.246037
511.733852,1000,4050.363478
595.962925,1000,4062.96018
499.698181,1000,4077.071167
523.522887,1000,4089.795557
629.004215,1000,4102.31082
634.741355,1000,4115.900102
737.98034,1000,4128.65321
616.06948,1000,4141.198232
403.074415,1000,4153.915545
551.697608,1000,4166.565459
693.141076,1000,4179.171008
721.546426,1000,4191.801327
847.174072,1000,4204.372798
737.260603,1000,4216.910195
767.348083,1000,4229.240529
675.01418,1000,4241.801917
879.813641,1000,4254.415761
652.969486,1000,4270.545162
725.944106,1000,4286.513143
609.023712,1000,4301.200763
738.501964,1000,4317.533159
662.590795,1000,4331.740492
634.733181,1000,4345.582827
591.716189,1000,4359.703229
739.301798,1000,4375.956097
857.874216,1000,4388.905627
802.951431,1000,4402.206917
832.248879,1000,4415.212577
808.101547,1000,4428.140244
448.176552,1000,4441.590224
832.60916,1000,4455.526642
804.745909,1000,4468.447
730.622567,1000,4481.829782
444.319879,1000,4498.23525
707.884704,1000,4512.428299
511.45537,1000,4526.527248
698.390916,1000,4540.032125
836.745978,1000,4555.441675
630.694787,1000,4569.441207
668.908824,1000,4582.963434
653.903124,1000,4597.597895
617.672763,1000,4612.51641
633.619602,1000,4627.220266
756.756447,1000,4642.127232
798.516857,1000,4657.659198
651.017603,1000,4673.756827
842.426097,1000,4687.816982
784.981464,1000,4703.484719
908.709806,1000,4717.822082
421.197623,1000,4732.904408
624.847473,1000,4746.179302
388.117994,1000,4759.87663
774.856989,1000,4774.239781
751.068855,1000,4788.490407
719.516072,1000,4803.062272
839.734777,1000,4816.906472
432.441441,1000,4830.761462
917.992475,1000,4844.001628
448.828649,1000,4857.949522
781.948939,1000,4872.46935
867.501501,1000,4886.046121
488.064824,1000,4899.437539
751.319669,1000,4911.698068
732.020411,1000,4924.34844
957.133776,1000,4937.028045
761.752187,1000,4951.058545
670.634687,1000,4963.844541
644.055345,1000,4976.865897
828.744415,1000,4990.840298
855.211103,1000,5003.747376
829.485508,1000,5016.572737
842.434891,1000,5032.939222
972.35918,1000,5050.765521
851.457208,1000,5065.241121
834.39134,1000,5078.635368
554.584024,1000,5093.711206
718.095942,1000,5107.801157
676.987513,1000,5122.776198
812.479275,1000,5137.836046
636.285271,1000,5151.926171
690.177918,1000,5165.218181
845.773121,1000,5179.757885
854.682082,1000,5194.201418
812.37054,1000,5207.245788
740.856831,1000,5220.569114
747.948078,1000,5232.759827
725.928721,1000,5245.670926
857.733007,1000,5260.046157
755.444363,1000,5273.122986
723.332927,1000,5285.949376
921.469342,1000,5300.15397
838.545241,1000,5312.778567
199.590566,1000,5325.383176
636.73487,1000,5338.221697
420.85419,1000,5351.067084
629.279385,1000,5363.597872
853.483891,1000,5377.036552
786.677898,1000,5390.009151
791.161677,1000,5402.63921
783.042285,1000,5415.052453
654.214678,1000,5431.336374
-389.491736,1000,5443.974255
716.907208,1000,5456.46924
523.111702,1000,5468.710406
582.735283,1000,5480.921268
916.040676,1000,5494.330937
648.336512,1000,5509.675086
697.253728,1000,5523.681038
703.432722,1000,5538.054094
796.153443,1000,5551.175081
627.335781,1000,5565.103273
1043.796299,1000,5578.515601
900.07331,1000,5594.160233
872.373491,1000,5613.211822
387.808234,1000,5631.441429
622.301768,1000,5646.952913
-341.520236,1000,5661.865078
904.087095,1000,5676.016819
812.231238,1000,5689.015497
789.42707,1000,5701.855718
812.045875,1000,5715.210587
863.504297,1000,5728.241858
783.743963,1000,5741.147058
886.591597,1000,5754.453573
863.109094,1000,5767.500726
842.605252,1000,5781.868049
962.827956,1000,5796.610252
735.495624,1000,5812.22304
849.063298,1000,5829.432659
539.065168,1000,5842.425606
686.745139,1000,5855.455066
679.112539,1000,5868.430642
815.52375,1000,5881.432554
911.79317,1000,5895.113458
670.945225,1000,5911.098649
660.398214,1000,5925.259087
486.185645,1000,5938.451411
722.810565,1000,5951.905537
878.464358,1000,5966.075219
897.541642,1000,5979.882156
877.744027,1000,5993.299612
728.078858,1000,6007.625046
714.87651,1000,6023.984898
837.886339,1000,6041.637498
706.192922,1000,6055.849837
809.127241,1000,6069.752232
871.430489,1000,6082.85019
778.157401,1000,6095.850157
732.712116,1000,6108.929125
865.521886,1000,6122.172268
896.086995,1000,6135.323574
717.288898,1000,6148.363291
818.225366,1000,6161.327236
682.978832,1000,6174.142761
847.099072,1000,6187.151936
880.406524,1000,6200.149166
893.40705,1000,6213.192906
717.942328,1000,6226.156033
808.84128,1000,6239.212376
687.080741,1000,6252.365227
879.33449,1000,6265.446248
922.650242,1000,6278.458062
-407.806829,1000,6291.376031
856.150129,1000,6305.152158
851.858788,1000,6319.657547
574.35179,1000,6333.611752
613.007003,1000,6347.197541
811.307458,1000,6360.460132
774.121812,1000,6374.16189
803.69145,1000,6389.740917
779.365189,1000,6403.937933
814.083231,1000,6418.144894
725.460646,1000,6433.342417
577.354954,1000,6447.674445
795.040772,1000,6462.682243
676.065811,1000,6477.238134
727.323703,1000,6493.645314
474.245562,1000,6509.600087
936.301024,1000,6526.184514
888.184872,1000,6543.553784
354.318926,1000,6560.576329
811.718371,1000,6577.555502
583.208395,1000,6593.23946
656.563059,1000,6613.463751
824.500231,1000,6631.037747
780.676404,1000,6647.572844
676.496042,1000,6664.115003
732.780134,1000,6679.73879
974.140276,1000,6694.626132
650.803156,1000,6708.161421
476.20555,1000,6721.646419
715.278313,1000,6735.237779
504.935042,1000,6748.616817
710.703422,1000,6762.275174
961.628931,1000,6776.038405
812.121209,1000,6791.158013
781.464898,1000,6807.87017
813.231725,1000,6824.866004
518.43357,1000,6840.132243
798.621794,1000,6854.136232
845.181855,1000,6868.897322
775.993944,1000,6882.729105
565.858848,1000,6896.514165
592.72381,1000,6913.104989
731.782279,1000,6926.610491
867.943017,1000,6941.5409
918.268242,1000,6956.115674
850.953716,1000,6970.755841
875.200175,1000,6985.869181
773.257644,1000,6999.499653
847.621767,1000,7013.449376
595.710999,1000,7030.411314
676.357603,1000,7047.183223
636.476838,1000,7061.207566
867.379643,1000,7075.253329
612.851368,1000,7091.205467
508.34318,1000,7106.01598
788.482218,1000,7121.305506
665.305341,1000,7136.324632
701.934803,1000,7152.720937
854.405167,1000,7168.056538
870.050434,1000,7184.416425
988.543529,1000,7199.925704
604.92394,1000,7216.095173
429.899451,1000,7231.74573
584.734744,1000,7247.225199
783.775014,1000,7261.940305
721.550811,1000,7277.394176
690.128756,1000,7292.630851
825.824837,1000,7307.786025
988.735256,1000,7322.367244
814.143627,1000,7336.841092
610.783156,1000,7350.927357
671.384621,1000,7365.221141
944.720116,1000,7378.701712
943.91462,1000,7392.193987
825.207047,1000,7407.233019
645.335009,1000,7422.048137
791.969777,1000,7436.140208
780.927426,1000,7451.575139
561.434547,1000,7467.555118
613.666751,1000,7482.812151
934.357727,1000,7507.553101
874.957509,1000,7523.453134
714.342391,1000,7539.490939
871.399124,1000,7553.44967
706.908704,1000,7569.68671
826.615577,1000,7586.935248
924.419629,1000,7599.309355
811.393231,1000,7611.523049
726.143638,1000,7624.971891
474.657482,1000,7639.555586
866.39532,1000,7655.52442
488.674422,1000,7672.749776
830.077158,1000,7689.410095
790.578503,1000,7703.956927
492.243063,1000,7718.030924
694.021893,1000,7731.505097
663.624553,1000,7745.521985
871.765485,1000,7759.328278
667.474434,1000,7772.943216
705.458528,1000,7787.43887
952.45058,1000,7802.377286
545.612708,1000,7818.22275
920.159625,1000,7833.891946
703.09224,1000,7848.957204
884.808549,1000,7866.116469
687.847882,1000,7880.990487
750.384904,1000,7898.416211
639.848701,1000,7914.254747
802.057619,1000,7930.277344
945.434234,1000,7947.831669
820.343224,1000,7964.5811
807.469089,1000,7979.218916
739.20254,1000,7994.780491
594.695361,1000,8009.19592
866.578709,1000,8022.993063
738.578775,1000,8036.999395
795.932623,1000,8050.717194
971.550315,1000,8064.402065
799.847609,1000,8078.07494
867.580906,1000,8092.485257
768.38262,1000,8105.940099
909.97964,1000,8119.382807
959.515223,1000,8134.961512
663.031498,1000,8148.898247
805.263032,1000,8166.949047
753.536706,1000,8181.483319
518.630821,1000,8195.792181
788.094012,1000,8210.311478
671.511934,1000,8223.863112
772.674787,1000,8239.124804
949.003662,1000,8255.158143
833.426345,1000,8271.518046
746.160829,1000,8287.283185
718.319223,1000,8304.423692
353.888418,1000,8320.539207
730.981814,1000,8333.69237
852.206903,1000,8346.467857
730.964314,1000,8359.600786
879.788417,1000,8376.839851
899.753361,1000,8392.372154
909.996725,1000,8409.578874
794.349136,1000,8423.901975
693.019467,1000,8438.388584
914.361829,1000,8451.807983
815.042558,1000,8465.153775
669.237885,1000,8479.632458
795.406831,1000,8494.521389
751.636581,1000,8509.176074
894.124597,1000,8522.64403
882.262255,1000,8535.937908
882.214972,1000,8549.374009
701.242116,1000,8563.000194
879.835634,1000,8576.318528
818.198856,1000,8589.9147
572.486428,1000,8603.361514
724.415704,1000,8616.667161
816.527421,1000,8629.908611
572.187486,1000,8643.386369
601.713305,1000,8657.038668
821.773013,1000,8672.105683
809.302719,1000,8686.826097
765.821334,1000,8701.713153
668.72545,1000,8716.639776
686.320843,1000,8731.090037
772.172529,1000,8745.502604
900.250507,1000,8759.674814
807.507346,1000,8773.238182
1003.376204,1000,8788.820999
902.605492,1000,8803.632161
977.025622,1000,8817.051135
728.743799,1000,8832.873043
871.501524,1000,8846.11576
728.473813,1000,8859.391878
894.467644,1000,8872.559164
847.993808,1000,8885.991133
872.371376,1000,8899.440613
862.993455,1000,8912.923799
855.688749,1000,8926.129924
944.668411,1000,8939.468608
896.099219,1000,8952.818859
832.72554,1000,8968.175119
869.016449,1000,8981.846529
968.858085,1000,8995.633844
870.990253,1000,9009.561223
621.568494,1000,9023.615501
789.030632,1000,9037.458309
671.998133,1000,9051.339313
887.034965,1000,9065.353031
763.787455,1000,9079.326004
927.261767,1000,9093.205928
798.370477,1000,9107.122201
881.389544,1000,9120.784728
880.908347,1000,9134.415746
684.311518,1000,9147.961316
981.863395,1000,9161.516051
808.591827,1000,9174.974904
662.225692,1000,9188.741298
821.741371,1000,9202.350402
741.253506,1000,9215.873909
933.813515,1000,9229.417471
831.880115,1000,9243.012208
729.374184,1000,9256.591665
859.44228,1000,9270.217321
864.80045,1000,9283.808101
842.079317,1000,9298.608235
581.659166,1000,9312.412208
836.762798,1000,9326.043126
789.445361,1000,9339.636453
649.149766,1000,9353.387233
811.210214,1000,9366.997619
782.742428,1000,9380.654528
974.094034,1000,9399.439525
763.664183,1000,9414.990031
589.870125,1000,9428.194522
873.930989,1000,9441.785029
757.258095,1000,9454.680413
618.997841,1000,9467.744256
841.549231,1000,9481.012704
935.461027,1000,9495.925771
815.783671,1000,9509.333269
728.704407,1000,9522.645212
844.908092,1000,9535.77519
950.593846,1000,9548.835167
519.915936,1000,9561.9342
772.09047,1000,9575.114884
827.901238,1000,9588.05423
858.789997,1000,9600.912633
760.750497,1000,9613.768465
834.202091,1000,9626.691767
858.482097,1000,9639.542453
856.909038,1000,9652.419922
831.888524,1000,9665.329334
681.041621,1000,9678.284175
859.908074,1000,9691.131369
869.188395,1000,9704.004742
934.443754,1000,9716.946033
862.615634,1000,9729.788474
953.407569,1000,9742.734563
883.202039,1000,9755.693063
892.687935,1000,9768.677041
769.905205,1000,9781.85089
630.32388,1000,9795.215331
643.189496,1000,9808.442986
667.133802,1000,9821.486637
878.456147,1000,9834.673911
959.650697,1000,9847.775524
880.17061,1000,9860.956924
900.772487,1000,9874.186974
1117.274668,1000,9890.02818
1106.395334,1000,9903.747185
924.340649,1000,9916.83686
902.509638,1000,9930.242556
782.448166,1000,9943.989797
832.191916,1000,9957.889835
1029.476646,1000,9971.420906
741.745053,1000,9984.320024
844.456296,1000,9997.200866
863.584505,1000,10010.108427
795.920367,1000,10023.070074
936.02631,1000,10035.973511
910.6478,1000,10048.962088
855.064691,1000,10061.990179
837.800554,1000,10074.913431
894.808999,1000,10087.932049
849.395808,1000,10100.908412
898.091566,1000,10113.832902
560.408934,1000,10126.803817
806.170985,1000,10142.285794
761.291141,1000,10155.580282
914.848226,1000,10168.360454
552.077633,1000,10181.117789
771.318854,1000,10194.50164
730.338783,1000,10208.34028
756.93478,1000,10221.556155
834.882334,1000,10234.637265
937.434935,1000,10247.730125
955.602736,1000,10260.977385
996.714787,1000,10274.781773
960.70067,1000,10289.171019
770.102213,1000,10305.00623
681.111928,1000,10321.036459
895.55327,1000,10336.011667
709.871401,1000,10350.712434
959.410919,1000,10368.99664
860.014689,1000,10383.335765
808.019575,1000,10397.642481
807.889619,1000,10411.462883
737.821177,1000,10425.548389
921.204839,1000,10439.578024
955.297194,1000,10454.895532
976.679453,1000,10470.726242
946.179143,1000,10484.872044
980.073386,1000,10500.439132
681.651898,1000,10513.978208
548.842227,1000,10527.843088
802.535521,1000,10541.926347
806.174219,1000,10556.369771
636.5542,1000,10570.000216
767.396828,1000,10583.774605
892.603968,1000,10597.413249
1055.408769,1000,10611.073638
1038.582877,1000,10624.554583
618.565952,1000,10638.102779
898.221269,1000,10651.586905
886.933227,1000,10665.091158
829.540021,1000,10679.066903
697.750851,1000,10692.573125
1012.69982,1000,10706.013138
858.824921,1000,10719.501648
925.522468,1000,10732.874386
742.1128,1000,10746.256988
1015.485177,1000,10759.619896
961.400254,1000,10772.885579
879.703102,1000,10786.149246
-405.085732,1000,10799.507315
937.501981,1000,10812.799126
932.924175,1000,10826.011892
674.316882,1000,10839.362062
892.956342,1000,10852.742278
1132.240747,1000,10866.077651
1087.117847,1000,10879.418178
1018.806012,1000,10893.219617
958.49251,1000,10910.616778
836.787816,1000,10925.34423
