#{"t_start": 1521279446.0868375, "env_id": "HalfCheetah-v2"}
r,l,t
-494.763307,1000,20.68354
-423.841634,1000,42.989834
-68.185086,1000,65.114719
-466.24623,1000,87.283769
-347.90452,1000,109.692912
-433.775305,1000,131.977776
-645.849152,1000,154.209602
-408.198861,1000,176.405583
-456.459374,1000,198.487798
-225.416604,1000,220.618826
-179.427737,1000,242.679654
-2.889215,1000,264.614812
336.455558,1000,286.644786
136.222011,1000,308.661803
-72.084844,1000,330.662685
585.728339,1000,352.708753
-297.378689,1000,374.788808
-258.098243,1000,397.285643
53.426995,1000,419.798577
-233.060664,1000,442.239974
-34.552124,1000,464.287853
-505.958132,1000,486.2778
-120.13816,1000,508.251843
-93.862624,1000,530.242163
772.743321,1000,552.233764
859.242302,1000,574.223575
858.637356,1000,596.1748
290.130072,1000,618.146695
701.524664,1000,640.27764
821.265811,1000,662.231654
902.348374,1000,684.159804
1069.83872,1000,706.103832
598.330425,1000,727.995908
705.60032,1000,750.007639
-246.804386,1000,771.918812
1096.825512,1000,793.929668
1337.974704,1000,816.030699
1258.899346,1000,838.042569
1219.775432,1000,860.00963
924.679452,1000,881.969635
460.169661,1000,903.989672
985.088222,1000,926.117044
1177.240518,1000,948.156578
549.158463,1000,970.270597
1190.543042,1000,992.323562
1363.668753,1000,1014.43083
-391.492519,1000,1036.43871
857.331332,1000,1058.470603
1250.868365,1000,1080.562521
1245.284611,1000,1102.575806
1278.741954,1000,1124.579635
1157.543156,1000,1146.548731
1147.417243,1000,1168.589528
1351.871241,1000,1190.604021
876.890833,1000,1212.53996
843.299478,1000,1234.677647
983.972988,1000,1256.669873
912.285019,1000,1278.558761
604.01506,1000,1300.452747
1099.955154,1000,1322.401749
-498.643098,1000,1344.406598
1520.425972,1000,1366.524565
-42.094702,1000,1388.437516
1343.949644,1000,1410.357551
-81.235524,1000,1432.309823
1245.252128,1000,1454.401562
1406.238168,1000,1476.442698
1196.688355,1000,1498.448621
552.097767,1000,1520.488763
1298.603926,1000,1542.603976
1101.132766,1000,1564.592709
1017.38173,1000,1586.58476
1243.47351,1000,1608.574764
928.078376,1000,1630.605778
1118.710756,1000,1652.71553
854.321909,1000,1674.648788
768.418713,1000,1696.659339
796.354931,1000,1718.567568
1144.525713,1000,1740.519789
945.763103,1000,1762.628526
1083.875415,1000,1784.667232
867.926066,1000,1806.673623
1132.316005,1000,1829.132325
