total/steps,reference_actor_Q_std,reference_actor_Q_mean,ret_rms_mean,reference_Q_mean,obs_rms_std,param_noise_stddev,reference_Q_std,eval/return_history,eval/return,obs_rms_mean,total/episodes,train/loss_actor,rollout/actions_std,reference_action_mean,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,reference_perturbed_action_mean,ret_rms_std,total/steps_per_second,rollout/actions_mean,rollout/episodes,train/loss_critic,reference_action_std,eval/Q,rollout/return,rollout/episode_steps,rollout/return_history,rollout/Q_mean,total/epochs,total/duration
1000,1.7997430562973022,0.8466120958328247,0.0,-0.04206074774265289,1.7901287078857422,0.17056425244126316,1.9264944791793823,-447.8926293395607,-447.8926293395607,-0.028092319145798683,1.0,-0.6781256794929504,0.5617404580116272,0.2380698174238205,1.0,0.6525092124938965,0.7681639790534973,0.11993459612131119,1.0,44.28606279559847,-0.045526597648859024,1.0,0.1040382832288742,0.8422750234603882,2.538116693496704,-494.7633074142432,1000.0,-494.7633074142432,-0.0781012773513794,1,22.580467462539673
2000,2.207383155822754,2.9138312339782715,0.0,2.08070707321167,1.3344752788543701,0.13978498992545177,2.50067400932312,-380.9493765431737,-314.00612374678667,-0.009437253698706627,2.0,-3.250821590423584,0.7120669484138489,-0.004573139827698469,2.0,0.5835509300231934,0.6546796560287476,0.3197842836380005,1.0,44.689829777332704,0.06248249486088753,2.0,0.06101004779338837,0.833081841468811,1.4477542638778687,-459.3024708391223,1000.0,-459.3024708391223,1.391343116760254,2,44.75291156768799
3000,2.5393590927124023,6.08613395690918,0.0,5.023809432983398,1.3143514394760132,0.11456001552955852,2.73622465133667,-405.00803969560997,-453.1253660004824,0.01375333871692419,3.0,-7.012407302856445,0.7157657742500305,0.15441997349262238,3.0,0.4524553418159485,0.7412039637565613,0.41136765480041504,1.0,44.84664212276855,0.12948505580425262,3.0,0.10419955849647522,0.8054825067520142,3.080483913421631,-328.9300091281535,1000.0,-328.9300091281535,2.7894673347473145,3,66.89464044570923
4000,1.7400050163269043,10.920095443725586,0.0,9.927301406860352,1.1796332597732544,0.09388702724900437,2.159379243850708,-405.8415374221594,-408.3420306018078,0.044525399804115295,4.0,-9.71548843383789,0.7414224147796631,0.1316332221031189,4.0,0.4776150584220886,0.8236228823661804,0.03289647772908211,1.0,44.83684973855405,0.21182096004486084,4.0,0.18215733766555786,0.8394155502319336,3.9596660137176514,-363.2590643128005,1000.0,-363.2590643128005,2.6061835289001465,4,89.21233367919922
5000,1.9823516607284546,13.483000755310059,0.0,12.725749969482422,1.3360182046890259,0.07694459401832851,2.3920061588287354,-408.16036739343747,-417.43568727855,0.05332295596599579,5.0,-11.870933532714844,0.75690758228302,0.4484889507293701,5.0,0.3900032937526703,0.7650458216667175,0.15725381672382355,1.0,44.805423359581894,0.18077178299427032,5.0,0.19239521026611328,0.6143850088119507,9.459765434265137,-360.18815549585224,1000.0,-360.18815549585224,3.4909801483154297,5,111.5936336517334
6000,2.0291106700897217,16.4708251953125,0.0,15.426407814025879,1.2448292970657349,0.06305951655006926,2.468557119369507,-456.65936170835135,-699.1543332829208,0.05648260563611984,6.0,-12.755016326904297,0.7775196433067322,0.43431344628334045,6.0,0.36414411664009094,0.6110036969184875,0.337665319442749,1.0,44.845437699567135,0.15532636642456055,6.0,0.22562342882156372,0.6645013689994812,9.255027770996094,-372.45268034008103,1000.0,-372.45268034008103,4.455950736999512,6,133.7928740978241
7000,1.5963044166564941,18.915843963623047,0.0,18.169696807861328,1.2772480249404907,0.051680078090752424,1.8432981967926025,-455.261323404315,-446.8730935800969,0.05746974050998688,7.0,-14.176800727844238,0.7781550884246826,0.37242409586906433,7.0,0.2540689706802368,0.4912134110927582,0.639472484588623,1.0,44.86572243691516,0.15679386258125305,7.0,0.25337114930152893,0.7083823680877686,13.337937355041504,-411.50931908382046,1000.0,-411.50931908382046,5.311865329742432,7,156.02111411094666
8000,2.3716208934783936,20.410722732543945,0.0,19.639225006103516,1.2814193964004517,0.045863445263280886,2.82527494430542,-427.2698653114843,-231.32965866166904,0.06538568437099457,8.0,-16.709983825683594,0.7808429598808289,0.1686580777168274,8.0,0.20201776921749115,0.660755455493927,0.3672734498977661,1.0,44.91176023514046,0.16381317377090454,8.0,0.45299193263053894,0.7609853744506836,19.55088233947754,-411.09551184446957,1000.0,-411.09551184446957,6.327491760253906,8,178.12706422805786
9000,2.6591742038726807,21.37969398498535,0.0,20.74344253540039,1.2257027626037598,0.039899499036260555,2.9612414836883545,-377.97390204989836,16.393804042789146,0.0637701228260994,9.0,-16.312477111816406,0.7980021834373474,0.2632065713405609,9.0,0.15117953717708588,0.8178541660308838,0.22284013032913208,1.0,44.947261522890166,0.12518633902072906,9.0,0.6782100796699524,0.7500686645507812,22.31150245666504,-416.1359409505367,1000.0,-416.1359409505367,6.788116931915283,9,200.2346682548523
10000,2.1611390113830566,22.58770179748535,0.0,21.86018180847168,1.2759276628494263,0.039113321278561465,2.714331865310669,-366.28476647832724,-261.0825463341869,0.06266217678785324,10.0,-16.449115753173828,0.7952253222465515,0.22734053432941437,10.0,0.19759729504585266,0.7639753818511963,0.23882491886615753,1.0,44.96385484336326,0.1299014836549759,10.0,0.38556426763534546,0.7553215026855469,22.29483413696289,-397.0640072597765,1000.0,-397.0640072597765,8.317237854003906,10,222.40086030960083
11000,2.0328047275543213,22.88085174560547,0.0,22.163339614868164,1.2933787107467651,0.034027141129503384,2.4976346492767334,-337.1914764786266,-46.25857648162054,0.0629914402961731,11.0,-16.7367000579834,0.7904148101806641,0.2526291310787201,11.0,0.2201842963695526,0.7208797335624695,0.32055234909057617,1.0,45.0135067660693,0.14340391755104065,11.0,0.4309018850326538,0.7558415532112122,21.782766342163086,-377.2788917416044,1000.0,-377.2788917416044,9.653156280517578,11,244.37109637260437
12000,1.982038974761963,23.407161712646484,0.0,22.580345153808594,1.348733901977539,0.032055106170371106,2.6145684719085693,-265.0594292254514,528.3930905594756,0.06648340821266174,12.0,-17.807886123657227,0.783015251159668,0.08830302953720093,12.0,0.22418203949928284,0.7417699098587036,0.14100505411624908,1.0,45.066721581380435,0.15773439407348633,12.0,0.32992130517959595,0.7232144474983215,25.484548568725586,-346.0797520184413,1000.0,-346.0797520184413,10.519841194152832,12,266.27186489105225
13000,2.17067813873291,25.016489028930664,0.0,24.169857025146484,1.395753264427185,0.029602352743226954,2.4134511947631836,-220.80722993566482,310.21916154177404,0.06714015454053879,13.0,-22.29692840576172,0.7815526127815247,-0.06365954130887985,13.0,0.1975458860397339,0.6110916137695312,0.01988455466926098,1.0,45.08053156754848,0.16098128259181976,13.0,0.5253551006317139,0.639437735080719,27.904403686523438,-293.57703585263596,1000.0,-293.57703585263596,11.735099792480469,13,288.3728196620941
14000,2.5388548374176025,26.3387451171875,0.0,25.65135955810547,1.4337366819381714,0.026798623766663407,2.7641026973724365,-193.94636991599666,155.2448103396895,0.06474897265434265,14.0,-26.634885787963867,0.7739779949188232,0.1712900847196579,14.0,0.20379704236984253,0.6310808062553406,-0.008536860346794128,1.0,45.10720144047438,0.1538306325674057,14.0,1.0421967506408691,0.5980053544044495,29.052196502685547,-262.87710393194715,1000.0,-262.87710393194715,12.9459810256958,14,310.3717267513275
