eval/episodes,rollout/Q_mean,rollout/return_history,ret_rms_std,reference_perturbed_action_mean,train/loss_actor,eval/Q,ret_rms_mean,rollout/actions_mean,reference_perturbed_action_std,param_noise_stddev,total/steps,eval/return,rollout/actions_std,train/param_noise_distance,reference_action_std,reference_Q_mean,total/episodes,rollout/episodes,total/steps_per_second,total/duration,rollout/return,reference_actor_Q_std,total/epochs,rollout/episode_steps,obs_rms_mean,obs_rms_std,reference_actor_Q_mean,reference_Q_std,eval/return_history,reference_action_mean,train/loss_critic
1.0,-1.328176736831665,-999.340423877585,1.0,-0.18928839266300201,1.157930850982666,-0.2776416540145874,0.0,0.30945199728012085,0.8366686105728149,0.17056425244126316,1000,-571.3817005549126,0.5500163435935974,0.3536696434020996,0.9718014001846313,-2.2881264686584473,1.0,1.0,36.36084617398448,27.502110242843628,-999.340423877585,1.0196927785873413,1,1000.0,0.010764913633465767,2.260862350463867,-1.279727578163147,1.2460917234420776,-571.3817005549126,0.015682866796851158,0.059351932257413864
2.0,-1.4118033647537231,-720.4257228118779,1.0,0.3375881612300873,2.348912239074707,-2.275707721710205,0.0,0.04570089280605316,0.9095816016197205,0.13978498992545177,2000,-588.7739721572856,0.7520717978477478,0.24261103570461273,0.9544699788093567,-3.4322474002838135,2.0,2.0,38.20909062478367,52.34356451034546,-720.4257228118779,0.8539473414421082,2,1000.0,-0.016224008053541183,1.6656999588012695,-2.517672061920166,1.123711109161377,-580.0778363560992,0.21890629827976227,0.039303235709667206
3.0,-2.7585291862487793,-673.1625885474367,1.0,0.10844967514276505,6.267463207244873,-8.567453384399414,0.0,0.143867626786232,0.9407671093940735,0.12160776493778987,3000,-592.8179302919691,0.8252452611923218,0.18349991738796234,0.9884740114212036,-6.369762897491455,3.0,3.0,37.79397372361232,79.37773418426514,-673.1625885474367,1.0969454050064087,3,1000.0,0.015297122299671173,1.3973164558410645,-5.804985046386719,1.1612807512283325,-584.3245343347224,0.09483277797698975,0.06518971174955368
4.0,-4.607024192810059,-634.5003189071218,1.0,-0.26562896370887756,9.176053047180176,-4.522202968597412,0.0,0.1969982087612152,0.8352145552635193,0.10370968758833489,4000,-587.3722021331021,0.839579701423645,0.3278161287307739,0.8526092767715454,-9.193022727966309,4.0,4.0,36.226743761534145,110.41566491127014,-634.5003189071218,1.3572759628295898,4,1000.0,0.031207434833049774,1.2231403589248657,-7.968025207519531,1.3157193660736084,-585.0864512843174,-0.49945783615112305,0.13692356646060944
5.0,-5.100152969360352,-591.6738059915762,1.0,0.010301957838237286,9.796253204345703,-9.394607543945312,0.0,0.13048532605171204,0.9445181488990784,0.09203708190275892,5000,-1125.6301302542458,0.8486939668655396,0.6070511341094971,0.9524698853492737,-9.9859037399292,5.0,5.0,35.56188245520563,140.59998106956482,-591.6738059915762,1.137709617614746,5,1000.0,0.019030358642339706,1.1139074563980103,-9.577637672424316,1.178658127784729,-693.195187078303,-0.029581263661384583,0.10227318853139877
6.0,-5.879006385803223,-568.8726946762193,1.0,0.6638683676719666,10.706228256225586,-12.771418571472168,0.0,0.08901084214448929,0.650027871131897,0.07542848153938683,6000,-589.6206206003748,0.8567333221435547,0.25976163148880005,0.7123172879219055,-12.354574203491211,6.0,6.0,35.099832020898305,170.94098901748657,-568.8726946762193,1.5196889638900757,6,1000.0,0.013995284214615822,1.29303777217865,-11.279481887817383,1.7577075958251953,-675.9327593319816,0.6755355000495911,0.2369980663061142
7.0,-7.007190704345703,-564.3318953539186,1.0,0.5482828617095947,10.258474349975586,-8.122114181518555,0.0,0.21099601686000824,0.7518761157989502,0.06181699495154324,7000,-565.5419183766041,0.8487571477890015,0.37276163697242737,0.7886671423912048,-12.250168800354004,7.0,7.0,34.736224864965145,201.51873230934143,-564.3318953539186,1.8736315965652466,7,1000.0,0.037866946309804916,1.2210047245025635,-11.316725730895996,1.8870993852615356,-660.1626391954991,0.5296599864959717,0.15702705085277557
8.0,-7.436643123626709,-557.7655875651848,1.0,0.43099841475486755,10.068672180175781,-15.662232398986816,0.0,0.23249810934066772,0.8545621037483215,0.052718847660376544,8000,-576.1739389784966,0.850351095199585,0.15622681379318237,0.863387942314148,-12.426446914672852,8.0,8.0,34.554259249504604,231.51993918418884,-557.7655875651848,2.160449266433716,8,1000.0,0.03869695961475372,1.164615273475647,-11.464332580566406,2.197444438934326,-649.6640516683738,0.44325771927833557,0.2849988043308258
9.0,-7.700287342071533,-539.9329898476053,1.0,0.43429628014564514,9.37070083618164,-14.46973705291748,0.0,0.19405394792556763,0.8563510775566101,0.04407386942827646,9000,-569.4277165448891,0.8688452243804932,0.2555185854434967,0.875311553478241,-11.420928001403809,9.0,9.0,34.106380897823286,263.88024067878723,-539.9329898476053,1.648990273475647,9,1000.0,0.03264278918504715,1.1993345022201538,-10.517082214355469,1.692051887512207,-640.74890332132,0.4330098628997803,0.17853178083896637
10.0,-8.579453468322754,-542.4044750392956,1.0,0.3709748089313507,10.25593376159668,-16.168115615844727,0.0,0.23836417496204376,0.8800542950630188,0.040701478966889394,10000,-593.5990594848652,0.8666782975196838,0.16725696623325348,0.8903122544288635,-11.550838470458984,10.0,10.0,33.988554069757164,294.21669363975525,-542.4044750392956,1.872031807899475,10,1000.0,0.0406537689268589,1.368614673614502,-10.587455749511719,1.858821153640747,-636.0339189376745,0.39162954688072205,0.15445482730865479
