#{"t_start": 1521564612.7196863, "env_id": "HalfCheetah-v2"}
r,l,t
-266.054461,1000,16.196935
-380.216319,1000,34.465366
-375.750141,1000,52.785713
-442.069129,1000,70.790203
-94.739643,1000,88.582896
-195.412209,1000,106.350322
-187.517982,1000,124.106755
318.069318,1000,141.86902
-350.026854,1000,159.589323
137.175764,1000,177.298234
-261.670402,1000,195.043193
-254.67661,1000,212.777042
115.916887,1000,231.246843
144.462937,1000,248.972398
520.857549,1000,267.461209
119.894077,1000,285.27437
-87.870498,1000,303.277088
-229.718282,1000,321.014217
549.70483,1000,338.782705
66.601389,1000,356.691093
428.426783,1000,374.523678
270.056879,1000,392.336713
98.419268,1000,410.219348
-305.131589,1000,427.964296
196.720353,1000,446.149256
165.015073,1000,463.871235
198.534273,1000,481.720375
443.170201,1000,499.514239
606.088038,1000,517.259015
351.694952,1000,534.942717
372.54882,1000,552.570923
243.94058,1000,570.196614
859.049187,1000,587.804936
629.406123,1000,605.562904
809.261948,1000,623.164153
802.336013,1000,640.766537
1000.561783,1000,658.427882
1271.907368,1000,676.029438
786.616617,1000,693.655367
1237.643265,1000,711.268751
826.756263,1000,728.919393
493.731345,1000,746.567442
891.697368,1000,764.216042
452.458641,1000,781.968726
796.408925,1000,799.627173
314.241937,1000,817.2564
294.986894,1000,834.917467
1496.737786,1000,852.558545
668.028346,1000,870.209119
1189.190424,1000,887.840649
969.089886,1000,905.567094
1006.989958,1000,923.260275
847.688285,1000,940.901253
283.039441,1000,958.658205
329.300193,1000,976.354074
965.817698,1000,993.991469
752.348445,1000,1011.619428
646.97649,1000,1029.256399
1422.356786,1000,1046.910921
46.688779,1000,1064.531778
758.231391,1000,1082.170226
1021.901069,1000,1099.825957
53.72937,1000,1117.45444
248.389886,1000,1135.317622
1251.635982,1000,1153.316494
1861.15073,1000,1171.329244
1517.100775,1000,1189.366448
475.625154,1000,1207.415931
2517.05481,1000,1225.409987
1393.769704,1000,1243.389412
1390.045285,1000,1261.383288
1521.633101,1000,1279.398697
-326.546696,1000,1297.416311
1123.081927,1000,1315.435719
1518.346296,1000,1333.154444
1367.657994,1000,1350.844584
1531.952506,1000,1368.548708
1327.3202,1000,1386.219025
1698.621185,1000,1403.874012
2071.597621,1000,1421.511923
908.652459,1000,1439.194196
1451.512426,1000,1456.850103
-76.567333,1000,1474.558976
1116.155412,1000,1492.329932
704.75727,1000,1510.022965
-96.810052,1000,1527.724258
1601.910613,1000,1545.367419
1408.705717,1000,1563.032154
-667.300908,1000,1580.674737
2177.45239,1000,1598.362933
2016.376155,1000,1616.012926
555.292927,1000,1633.695292
1697.958326,1000,1651.419368
1379.266928,1000,1669.158301
1822.944322,1000,1686.877286
1670.999726,1000,1704.601879
1799.107668,1000,1722.29177
1694.370521,1000,1740.017759
1187.433577,1000,1757.667238
1248.380634,1000,1775.335453
1015.253048,1000,1793.020743
1182.017394,1000,1810.728709
1302.90318,1000,1828.416314
1218.73596,1000,1846.104703
1440.194623,1000,1863.89888
1956.157454,1000,1881.612813
1934.667002,1000,1900.251236
1062.333927,1000,1917.932266
746.64949,1000,1935.667909
1189.031937,1000,1953.375885
1396.040626,1000,1971.058697
2186.309978,1000,1988.780312
1665.752112,1000,2006.49027
95.879776,1000,2024.220101
-338.161145,1000,2042.062929
1818.903215,1000,2059.791721
2025.588871,1000,2077.519946
1853.335572,1000,2095.247362
1312.66456,1000,2112.988235
535.265545,1000,2130.728487
1710.771317,1000,2148.428485
1584.141162,1000,2166.109371
929.584076,1000,2183.836275
1066.218926,1000,2201.555758
-337.560213,1000,2219.350737
-487.049358,1000,2237.089731
1670.208806,1000,2254.796058
1339.27849,1000,2272.541575
940.465504,1000,2290.305474
1154.289931,1000,2308.057045
1407.037532,1000,2325.795726
1564.006466,1000,2343.521755
