#{"env_id": "HalfCheetah-v2", "t_start": 1521290969.0644083}
r,l,t
-267.444266,1000,16.75207
-356.600674,1000,35.249552
-389.517152,1000,53.642739
-273.616323,1000,71.923594
-403.304478,1000,90.237759
-439.879034,1000,108.746778
-343.036536,1000,127.083014
139.452549,1000,145.470718
227.575355,1000,163.861789
667.162621,1000,182.217466
-20.416719,1000,200.57672
850.840876,1000,218.798496
1265.488966,1000,237.092833
1347.377654,1000,255.470364
-257.69148,1000,273.888158
938.979531,1000,292.264915
704.496425,1000,310.611756
1264.224196,1000,328.935753
738.841658,1000,347.301836
607.781446,1000,365.678927
950.316536,1000,384.049813
364.567503,1000,402.395052
798.802224,1000,420.771256
1307.81747,1000,439.168475
518.187367,1000,457.579267
17.626655,1000,475.935774
978.994544,1000,494.319516
1385.483466,1000,512.712698
462.451166,1000,531.111764
1021.957021,1000,549.42561
935.651339,1000,567.753196
929.784877,1000,586.088801
979.445355,1000,604.494779
778.223464,1000,622.877267
478.187853,1000,641.408804
590.553677,1000,659.780329
694.533782,1000,678.094751
1352.962782,1000,696.487746
1352.031785,1000,714.82869
736.054912,1000,733.190038
1077.189192,1000,751.55861
722.162076,1000,769.98072
788.862753,1000,788.37622
871.213599,1000,806.701685
894.140377,1000,825.448029
997.184307,1000,844.330407
100.670896,1000,863.107776
-414.013143,1000,881.499739
1050.023961,1000,899.930542
1096.863777,1000,918.285775
934.097377,1000,936.689639
589.012169,1000,955.111329
254.565195,1000,973.449644
836.081812,1000,991.799516
779.446814,1000,1010.240693
928.605516,1000,1028.585045
589.605129,1000,1046.851639
-155.172153,1000,1065.172707
-501.651729,1000,1083.508711
-549.786709,1000,1101.905602
856.685963,1000,1120.274493
-574.052249,1000,1138.702785
-551.320228,1000,1157.026701
-425.735309,1000,1175.518555
-497.208741,1000,1194.228769
-563.704465,1000,1213.014496
-257.885714,1000,1231.872262
-522.406941,1000,1250.457594
474.211689,1000,1268.854171
-395.157166,1000,1287.262092
451.258871,1000,1305.71436
237.726492,1000,1324.102933
-387.111316,1000,1342.574868
111.308461,1000,1361.187653
-145.762883,1000,1379.997037
385.383346,1000,1398.727687
434.008322,1000,1417.515057
135.108196,1000,1436.289012
982.481906,1000,1454.879798
285.28384,1000,1473.348725
682.819828,1000,1491.785614
-504.846786,1000,1510.177083
805.578374,1000,1528.552553
-283.160457,1000,1546.966585
-42.952571,1000,1565.345919
-285.03983,1000,1583.742757
548.124038,1000,1602.132513
-425.928138,1000,1620.605768
1025.55366,1000,1639.024914
568.548266,1000,1657.40261
184.169247,1000,1675.861714
205.722481,1000,1694.289072
596.590599,1000,1712.721652
557.306487,1000,1731.163481
514.513079,1000,1749.547528
-605.883566,1000,1767.930821
-437.366887,1000,1786.341002
685.808027,1000,1804.856768
669.077369,1000,1823.33604
750.652636,1000,1841.796142
40.870112,1000,1860.226764
960.390187,1000,1878.655518
-374.728914,1000,1897.239763
466.102007,1000,1915.719205
838.294933,1000,1934.232722
684.722221,1000,1952.719111
-455.726299,1000,1971.279022
878.054505,1000,1989.768264
771.063231,1000,2008.243783
705.752575,1000,2026.674043
-483.79207,1000,2045.208744
594.273174,1000,2063.688833
725.768332,1000,2082.273444
766.238845,1000,2100.651175
727.909715,1000,2119.051657
920.835675,1000,2137.482742
432.893222,1000,2155.968755
487.155129,1000,2174.448716
1077.563888,1000,2192.904027
902.877514,1000,2211.314684
958.822111,1000,2229.802133
879.870175,1000,2248.317559
399.095505,1000,2266.837779
590.81338,1000,2285.297664
-320.078888,1000,2303.78361
1045.158227,1000,2322.205596
15.235649,1000,2340.634542
869.000988,1000,2359.121759
960.270517,1000,2377.59873
769.117935,1000,2396.076899
1161.310265,1000,2414.588722
985.870051,1000,2433.184652
425.83005,1000,2451.784271
899.787169,1000,2470.323066
727.080836,1000,2488.826828
15.643202,1000,2507.298953
761.487637,1000,2525.797838
830.637992,1000,2544.302811
414.527933,1000,2562.848956
571.312136,1000,2581.351097
486.152871,1000,2599.871055
379.024672,1000,2618.489127
721.225964,1000,2637.013689
982.28798,1000,2655.494757
18.626062,1000,2673.961127
464.366528,1000,2692.4418
620.503726,1000,2710.933487
-234.224892,1000,2729.459861
1032.401862,1000,2747.925664
610.436602,1000,2766.402703
947.291987,1000,2784.832948
915.911282,1000,2803.456803
904.197439,1000,2821.95265
959.0937,1000,2840.429759
734.085268,1000,2858.922642
1149.22556,1000,2877.413229
