eval/episodes,train/loss_critic,eval/return_history,reference_action_mean,rollout/episode_steps,rollout/actions_mean,rollout/episodes,train/param_noise_distance,eval/return,rollout/Q_mean,reference_actor_Q_mean,rollout/return_history,reference_perturbed_action_mean,total/duration,obs_rms_mean,ret_rms_std,eval/Q,rollout/return,total/epochs,reference_perturbed_action_std,train/loss_actor,rollout/actions_std,total/steps_per_second,total/episodes,total/steps,reference_action_std,reference_Q_mean,reference_actor_Q_std,reference_Q_std,obs_rms_std,param_noise_stddev,ret_rms_mean
1.0,0.06852594763040543,-513.5690078635714,0.49115505814552307,1000.0,0.5029226541519165,1.0,0.42857763171195984,-513.5690078635714,-1.3361557722091675,-1.0065827369689941,-613.9026068909336,0.4532294273376465,18.76161766052246,0.0996486023068428,1.0,-0.539375901222229,-613.9026068909336,1,0.7417228817939758,0.969224214553833,0.5572320818901062,53.30030800617822,1.0,1000,0.8092949390411377,-1.6690587997436523,1.087756872177124,1.1764951944351196,1.9765864610671997,0.16720346283821505,0.0
2.0,0.034320782870054245,-528.7485978844203,0.7633947730064392,1000.0,0.4441387951374054,2.0,0.2893296182155609,-543.9281879052692,-1.6511766910552979,-0.7912824153900146,-548.717746756709,0.9061005115509033,37.434945821762085,0.11201954632997513,1.0,0.24209067225456238,-548.717746756709,2,0.26033374667167664,1.4492100477218628,0.7034499049186707,53.426015614461996,2.0,2000,0.6157178282737732,-1.4855761528015137,1.67605721950531,1.7327319383621216,1.4495294094085693,0.13978498992545177,0.0
3.0,0.12144416570663452,-550.5441562436945,0.7050758004188538,1000.0,0.6155819296836853,3.0,0.44151973724365234,-594.1352729622429,-2.1105494499206543,-2.481387138366699,-548.5680398312502,0.8062352538108826,56.134005546569824,0.13713474571704865,1.0,-6.414373397827148,-548.5680398312502,3,0.42080801725387573,5.0717387199401855,0.6243377923965454,53.44354052039176,3.0,3000,0.6825552582740784,-2.9525415897369385,2.578246831893921,2.4867143630981445,1.2004033327102661,0.12405208101303944,0.0
4.0,0.11867154389619827,-534.7509697125787,0.33753225207328796,1000.0,0.6860960125923157,4.0,0.3180747628211975,-487.3714101192315,-2.918485164642334,-1.5147089958190918,-534.9770670857531,0.22528575360774994,74.68373465538025,0.14987319707870483,1.0,0.5054154992103577,-534.9770670857531,4,0.8637700080871582,4.623725891113281,0.5601065754890442,53.55918552356217,4.0,4000,0.8336422443389893,-2.218715190887451,2.5518970489501953,2.7734155654907227,1.0476833581924438,0.11456001552955852,0.0
5.0,0.14653198421001434,-524.238203149439,0.10885623842477798,1000.0,0.6472395658493042,5.0,0.5499343276023865,-482.18713689688013,-1.7767688035964966,-4.384912490844727,-517.1465311022346,0.00944038201123476,93.153977394104,0.13143427670001984,1.0,-4.147997856140137,-517.1465311022346,5,0.8484249711036682,4.427066802978516,0.5994606614112854,53.67457343068279,5.0,5000,0.8771247863769531,-4.856518745422363,2.293704032897949,2.3562211990356445,1.0207308530807495,0.09388702724900437,0.0
6.0,0.13494715094566345,-505.0157531110398,-0.20335924625396729,1000.0,0.6166450381278992,6.0,0.33824804425239563,-408.90350291904394,-1.0777302980422974,-4.749066352844238,-511.9726330384801,-0.2509387731552124,111.60061311721802,0.11535728722810745,1.0,2.3393466472625732,-511.9726330384801,6,0.815927267074585,3.689655065536499,0.6244081258773804,53.76314549184412,6.0,6000,0.8863502740859985,-5.797600746154785,2.9693052768707275,2.8630192279815674,1.0392919778823853,0.07694459401832851,0.0
7.0,0.06168443337082863,-467.8632021359138,-0.102547287940979,1000.0,0.5424603223800659,7.0,0.3132740259170532,-244.94789628515747,-0.42363154888153076,-0.7805901169776917,-461.9109794783173,-0.15047858655452728,129.99793767929077,0.09789343923330307,1.0,3.149460554122925,-461.9109794783173,7,0.8333156704902649,-0.2699199914932251,0.6597574353218079,53.84700807538372,7.0,7000,0.8709773421287537,-1.6800936460494995,1.8499575853347778,1.8997001647949219,1.1782640218734741,0.06305951655006926,0.0
8.0,0.07151585817337036,-443.9996166979069,-0.043884675949811935,1000.0,0.48660698533058167,8.0,0.22286400198936462,-276.9545186318584,0.2764725387096405,0.6722184419631958,-396.68637474165314,-0.1243392825126648,148.33001923561096,0.08483657985925674,1.0,5.520632266998291,-396.68637474165314,8,0.8320459723472595,-2.9664266109466553,0.6822853684425354,53.933789270886614,8.0,8000,0.8617995381355286,-0.1250893771648407,1.9679347276687622,1.9347944259643555,1.2522697448730469,0.051680078090752424,0.0
9.0,0.07739949971437454,-424.3064933433541,-0.2869553864002228,1000.0,0.43910181522369385,9.0,0.27128031849861145,-266.76150650693137,1.1047652959823608,3.5377373695373535,-378.05219127342275,-0.2796148359775543,166.84264373779297,0.07316097617149353,1.0,8.12487506866455,-378.05219127342275,9,0.671378493309021,-6.494426727294922,0.6879044771194458,53.943043567112525,9.0,9000,0.6988610029220581,2.524294853210449,2.089153528213501,2.160351514816284,1.362023115158081,0.04320544008261588,0.0
10.0,0.15365439653396606,-401.4944094625318,0.0901264175772667,1000.0,0.42094823718070984,10.0,0.20645670592784882,-196.1856545351318,1.9922277927398682,6.867560863494873,-332.9972260010005,0.0425037145614624,185.32561254501343,0.07104841619729996,1.0,10.527388572692871,-332.9972260010005,10,0.7264044284820557,-9.418492317199707,0.6817798614501953,53.95908240999941,10.0,10000,0.7840854525566101,5.947218418121338,2.0318052768707275,2.062559127807617,1.3772341012954712,0.037587132956139066,0.0
