#{"env_id": "HalfCheetah-v2", "t_start": 1521651847.9482641}
r,l,t
-208.241699,1000,22.37257
-234.841727,1000,45.126786
-322.551247,1000,68.020966
-226.570096,1000,91.145061
-226.930338,1000,114.031288
82.133621,1000,137.222495
-74.651745,1000,161.129313
149.313351,1000,184.34397
251.285416,1000,207.710499
470.77748,1000,231.480763
713.54735,1000,255.062353
693.155906,1000,278.267374
235.294389,1000,301.480327
565.4786,1000,324.766217
-513.60486,1000,347.31627
220.076361,1000,370.472278
443.33714,1000,393.896338
169.173343,1000,416.438151
274.151247,1000,438.971048
492.194515,1000,461.043242
414.560048,1000,483.163952
490.310163,1000,506.405377
377.885091,1000,529.429325
465.436872,1000,552.371646
332.758829,1000,575.649226
312.445218,1000,597.698124
472.219341,1000,619.702574
253.981577,1000,642.284288
331.474715,1000,664.358204
274.047648,1000,686.504315
155.71349,1000,709.616444
80.757121,1000,732.297418
337.458562,1000,754.632189
281.257804,1000,777.308198
107.169872,1000,801.077211
320.42134,1000,824.4294
197.877041,1000,847.979424
49.49711,1000,871.136236
167.489925,1000,893.509931
371.457077,1000,916.042215
66.110569,1000,939.292176
219.903504,1000,961.812792
198.996377,1000,984.166855
247.586344,1000,1006.225397
262.278383,1000,1028.367651
353.722487,1000,1050.371666
389.870551,1000,1072.561977
548.060314,1000,1095.024574
-192.348435,1000,1117.334209
-330.566519,1000,1139.892962
-87.986249,1000,1163.085155
-265.150751,1000,1186.10501
90.882419,1000,1209.471928
-147.784945,1000,1233.443166
-348.125882,1000,1257.69569
-265.662523,1000,1282.90631
-9.793318,1000,1307.845245
195.964792,1000,1332.373993
-423.077216,1000,1356.74797
150.524351,1000,1381.083119
106.998177,1000,1404.489078
160.889601,1000,1427.343064
220.043394,1000,1450.053013
265.423079,1000,1473.02514
303.283694,1000,1495.950276
260.640721,1000,1518.736496
302.601645,1000,1541.670912
218.133381,1000,1564.724512
455.68982,1000,1586.900313
361.255526,1000,1609.278242
219.253038,1000,1631.451456
439.207626,1000,1653.637978
565.459885,1000,1676.545082
322.696606,1000,1699.208753
487.475364,1000,1722.128469
521.183622,1000,1746.557096
339.352362,1000,1771.035366
217.969265,1000,1794.489327
276.196233,1000,1818.275048
472.731712,1000,1841.976823
371.962923,1000,1864.936981
301.532942,1000,1888.203332
302.496972,1000,1910.428782
280.016043,1000,1932.55338
426.907362,1000,1954.766868
391.870077,1000,1977.474428
587.113449,1000,2000.475399
-415.355392,1000,2023.00425
539.090726,1000,2045.88213
256.999459,1000,2069.723354
60.397596,1000,2094.438424
113.944036,1000,2118.691954
301.533147,1000,2142.119907
426.212054,1000,2165.745077
537.295129,1000,2189.714297
395.392504,1000,2213.940196
223.380013,1000,2238.079732
460.179141,1000,2260.553511
449.988862,1000,2283.476328
249.7334,1000,2306.267009
571.062955,1000,2328.283073
576.453118,1000,2350.666454
672.7137,1000,2373.247721
472.421203,1000,2395.994107
695.274245,1000,2418.668061
356.745699,1000,2440.998058
-462.495883,1000,2463.433019
629.531726,1000,2485.79428
376.795114,1000,2508.350553
-576.570899,1000,2531.17705
515.628341,1000,2553.918817
560.760532,1000,2577.156073
451.699771,1000,2600.000911
240.465545,1000,2622.419053
483.327841,1000,2645.199252
347.346996,1000,2667.215297
-532.510315,1000,2689.657426
-347.789412,1000,2713.264223
430.761935,1000,2736.090298
147.154806,1000,2758.247386
41.300375,1000,2782.12432
-463.033039,1000,2805.659137
511.294747,1000,2828.453211
495.895692,1000,2850.435647
315.975575,1000,2872.425195
579.01964,1000,2894.639268
262.483866,1000,2917.233942
463.701407,1000,2940.147302
440.760624,1000,2963.000286
524.625009,1000,2985.770314
514.017379,1000,3008.456419
490.972114,1000,3031.295824
400.793289,1000,3055.251171
495.319402,1000,3078.893388
470.275858,1000,3103.047179
593.565503,1000,3128.608544
