#{"t_start": 1521292858.171731, "env_id": "HalfCheetah-v2"}
r,l,t
-250.237955,1000,16.333345
-357.212012,1000,34.698805
-419.450148,1000,52.766791
-407.069827,1000,70.908754
-413.508652,1000,88.970132
-374.519202,1000,107.169542
-309.76836,1000,125.278866
-116.837485,1000,143.571133
-197.789333,1000,161.781082
-139.091178,1000,179.982688
-147.626039,1000,198.335953
123.647362,1000,216.391311
127.167653,1000,234.47563
-183.687931,1000,252.829982
-171.109385,1000,271.098966
-107.113302,1000,289.561069
-146.36543,1000,308.128066
-83.202321,1000,326.607506
-45.707085,1000,345.193992
204.400247,1000,363.640717
369.466751,1000,381.705156
501.513786,1000,399.854857
298.410853,1000,417.979702
-213.320637,1000,436.181551
394.019112,1000,454.299823
-331.067295,1000,472.466819
404.321862,1000,490.427109
233.576946,1000,508.375756
132.929985,1000,526.392916
450.079903,1000,544.608204
470.729107,1000,562.653915
589.594496,1000,580.773833
343.840072,1000,598.801856
377.481817,1000,616.779929
543.995838,1000,634.840156
677.14801,1000,652.975424
287.584091,1000,671.052097
-199.118621,1000,689.198908
-428.855048,1000,707.278017
540.741528,1000,725.588198
557.649561,1000,743.647568
601.842616,1000,761.853671
53.797768,1000,779.907675
509.510695,1000,797.990259
568.278877,1000,816.168993
482.618515,1000,834.319489
665.603584,1000,852.565096
489.009409,1000,870.749985
584.411378,1000,888.866988
495.825511,1000,907.050998
591.992272,1000,925.150794
428.938929,1000,943.281781
405.621409,1000,961.45013
422.731267,1000,979.556635
547.745582,1000,997.705466
515.07089,1000,1015.784551
328.08106,1000,1033.855042
319.274675,1000,1051.999104
356.974313,1000,1070.1168
95.613298,1000,1088.424307
603.41987,1000,1106.557795
-114.290702,1000,1124.742388
-361.779926,1000,1143.139044
51.067671,1000,1161.607036
312.125283,1000,1179.785921
510.129226,1000,1197.975185
472.12391,1000,1216.162255
587.482611,1000,1234.348167
420.242521,1000,1252.498037
149.660257,1000,1270.833157
553.871809,1000,1288.94703
327.371173,1000,1307.061608
-389.807212,1000,1325.29699
446.44423,1000,1343.37816
344.828509,1000,1361.613428
466.509326,1000,1379.7861
197.942583,1000,1397.903095
295.49099,1000,1415.981844
220.90677,1000,1434.111947
350.811094,1000,1452.368261
501.873499,1000,1470.510925
-351.050579,1000,1488.802966
252.413707,1000,1507.07675
317.396851,1000,1525.316984
344.345099,1000,1543.511831
253.370694,1000,1561.684901
287.675695,1000,1579.855956
364.129741,1000,1598.143176
186.453188,1000,1616.269861
279.537087,1000,1634.670843
483.353163,1000,1652.956184
164.699575,1000,1671.635457
413.518879,1000,1690.230904
272.438703,1000,1708.747075
311.48938,1000,1727.327957
134.683205,1000,1745.981749
396.25446,1000,1764.614589
344.118102,1000,1783.165346
410.377877,1000,1801.749675
424.088898,1000,1820.201185
384.135892,1000,1838.463673
448.486932,1000,1856.734011
365.837954,1000,1875.008403
260.707879,1000,1893.315524
285.503606,1000,1911.564835
316.96961,1000,1929.791915
496.515036,1000,1948.052929
221.615982,1000,1966.226803
279.126678,1000,1984.606912
248.00382,1000,2002.878866
375.328912,1000,2021.158531
179.910147,1000,2039.406685
336.211608,1000,2057.678687
206.717807,1000,2075.93699
465.813009,1000,2094.157949
