total/steps,rollout/actions_std,ret_rms_mean,total/episodes,total/epochs,rollout/return,rollout/Q_mean,eval/Q,ret_rms_std,rollout/episode_steps,eval/return,reference_Q_std,eval/return_history,reference_action_std,train/param_noise_distance,train/loss_actor,train/loss_critic,obs_rms_mean,rollout/episodes,rollout/actions_mean,eval/episodes,obs_rms_std,reference_Q_mean,reference_actor_Q_mean,reference_actor_Q_std,total/duration,rollout/return_history,reference_action_mean,total/steps_per_second
1000,0.5526981353759766,0.0,1.0,1,-250.23795549166059,-0.3441591262817383,-1.0722051858901978,1.0,1000.0,-358.7921493200456,1.3424828052520752,-358.7921493200456,0.638850748538971,0.0,-0.0915885716676712,0.016152428463101387,0.09294886142015457,1.0,0.3659338653087616,1.0,0.6513657569885254,-0.2095104306936264,0.010145861655473709,1.3556073904037476,18.67598819732666,-250.23795549166059,0.474180668592453,53.544690081949355
2000,0.7382754683494568,0.0,2.0,2,-303.72498395942443,-1.0297398567199707,1.4976271390914917,1.0,1000.0,-237.13000415417542,0.7201619744300842,-297.9610767371105,0.7626201510429382,0.0,0.018938280642032623,0.02859671413898468,0.05626000836491585,2.0,-0.03504140302538872,2.0,0.9311051964759827,0.5201581716537476,0.9052037000656128,0.6607851386070251,36.78770065307617,-303.72498395942443,-0.39886531233787537,54.365996365493444
3000,0.7462755441665649,0.0,3.0,3,-342.3000384903664,-1.5319727659225464,0.31715497374534607,1.0,1000.0,-522.9088836268431,1.4679207801818848,-372.94367903368806,0.8851221799850464,0.0,-0.4402158260345459,0.11546149849891663,0.05199938267469406,3.0,-0.18174807727336884,3.0,1.229757308959961,1.7903916835784912,2.7246389389038086,1.3474403619766235,54.93496131896973,-342.3000384903664,-0.06051241233944893,54.61003208104677
4000,0.7555612325668335,0.0,4.0,4,-358.49248563316064,-2.0570738315582275,-4.908690452575684,1.0,1000.0,-580.2143853324862,1.740293264389038,-424.7613556083876,0.8257216811180115,0.0,-1.420830488204956,0.19574253261089325,0.08628994226455688,4.0,-0.09100360423326492,4.0,1.7420737743377686,6.464596748352051,7.309685707092285,1.5663508176803589,72.94780898094177,-358.49248563316064,0.1780083030462265,54.83372367009726
5000,0.7580204606056213,0.0,5.0,5,-369.495718947453,-2.9000046253204346,-4.60561466217041,1.0,1000.0,-438.36188177135926,1.624316692352295,-427.48146084098187,0.8537724614143372,0.0,-1.622104525566101,0.422480970621109,0.13639754056930542,5.0,-0.06812687963247299,5.0,1.9068855047225952,10.043615341186523,10.723639488220215,1.5077353715896606,91.17249536514282,-369.495718947453,0.07320868223905563,54.84110070668973
6000,0.7639318108558655,0.0,6.0,6,-370.33296608019623,-3.012136936187744,-0.8074781894683838,1.0,1000.0,-310.3952829659358,1.9902424812316895,-407.96709786180753,0.7364275455474854,0.0,-2.210676670074463,0.3883311450481415,0.1415776014328003,6.0,-0.055797114968299866,6.0,2.1169610023498535,13.368045806884766,14.04638671875,1.8525530099868774,109.29757356643677,-370.33296608019623,0.12774811685085297,54.8960036734291
7000,0.7729489207267761,0.0,7.0,7,-361.68087952072636,-2.87957501411438,-3.131728410720825,1.0,1000.0,-563.3721412682614,2.066553831100464,-430.1678183484438,0.6808076500892639,0.0,-3.0208399295806885,0.403250515460968,0.1537335366010666,7.0,-0.010358673520386219,7.0,2.247851848602295,14.959022521972656,15.236726760864258,2.0211241245269775,127.55357074737549,-361.68087952072636,0.3147381842136383,54.87890271503066
8000,0.7781051993370056,0.0,8.0,8,-331.0754551547584,-2.6366610527038574,19.61018943786621,1.0,1000.0,74.20310657830177,1.9850939512252808,-367.12145273260063,0.7697585225105286,0.0,-4.073921203613281,0.47040244936943054,0.1591298133134842,8.0,-0.006615542806684971,8.0,2.3389179706573486,15.489237785339355,16.245948791503906,1.7024730443954468,145.77352356910706,-331.0754551547584,0.08019325137138367,54.87965032420602
9000,0.7643423676490784,0.0,9.0,9,-316.2658860752888,-0.3713229298591614,18.581451416015625,1.0,1000.0,-2.3527885399443558,1.5585137605667114,-326.59160115563884,0.6483829617500305,0.0,-7.5422468185424805,0.34074169397354126,0.14751464128494263,9.0,0.007399498485028744,9.0,2.25582218170166,16.637104034423828,17.007709503173828,1.407684326171875,163.97738790512085,-316.2658860752888,0.05969319865107536,54.885616333927096
10000,0.7456300258636475,0.0,10.0,10,-298.5484152480425,1.2679945230484009,16.78274154663086,1.0,1000.0,-104.80760276902456,1.5337560176849365,-304.4132013169774,0.6753718852996826,0.0,-10.830431938171387,0.37697768211364746,0.1405579298734665,10.0,-0.0034016063436865807,10.0,2.175729990005493,17.486515045166016,17.99671173095703,1.4516280889511108,182.27399587631226,-298.5484152480425,0.20330063998699188,54.86246105443266
11000,0.7265343070030212,0.0,11.0,11,-284.8281992290491,2.6265945434570312,9.91896915435791,1.0,1000.0,-113.83025821348868,1.8195549249649048,-287.08747921666026,0.716804563999176,0.0,-13.381156921386719,0.5346642136573792,0.134802907705307,11.0,-0.013482472859323025,11.0,2.0947928428649902,20.170364379882812,20.89019775390625,1.6312161684036255,200.4053647518158,-284.8281992290491,0.16614079475402832,54.888750177035035
12000,0.7336387634277344,0.0,12.0,12,-250.78856916187678,3.376957416534424,12.26215934753418,1.0,1000.0,21.836523296620364,2.4687387943267822,-261.34381234055354,0.6367278099060059,0.0,-14.878213882446289,0.7680519223213196,0.1395745873451233,12.0,-0.015055444091558456,12.0,2.3388102054595947,23.63329315185547,24.477046966552734,2.299025535583496,218.43459916114807,-250.78856916187678,0.2971456050872803,54.93635186954569
13000,0.7380449175834656,0.0,13.0,13,-221.71501363938617,4.149525165557861,24.6192626953125,1.0,1000.0,-295.47124308239296,3.1131575107574463,-263.96899932069505,0.549527108669281,0.0,-16.391273498535156,0.5064806938171387,0.14427635073661804,13.0,-0.017125945538282394,13.0,2.5010910034179688,26.830625534057617,27.245258331298828,3.0604443550109863,236.8359625339508,-221.71501363938617,0.3913031816482544,54.890312522264985
14000,0.7275764346122742,0.0,14.0,14,-218.99879346547309,5.5316338539123535,23.5545597076416,1.0,1000.0,-190.54602900741222,3.9322633743286133,-258.7245014411748,0.5357352495193481,0.0,-19.279071807861328,0.5709158182144165,0.14281918108463287,14.0,0.00832907110452652,14.0,2.4208521842956543,26.49164390563965,26.955720901489258,3.828441619873047,255.0865068435669,-218.99879346547309,0.25841352343559265,54.883342020852446
15000,0.7176707983016968,0.0,15.0,15,-215.80616623980868,6.65550422668457,31.79547882080078,1.0,1000.0,-104.12448403565429,4.159724235534668,-248.4178336141401,0.5366014242172241,0.0,-20.90186309814453,0.9894797801971436,0.14001770317554474,15.0,0.016557201743125916,15.0,2.3469910621643066,26.385921478271484,26.824108123779297,3.959608316421509,273.3069312572479,-215.80616623980868,-0.0017963001737371087,54.88335012580187
16000,0.7043376564979553,0.0,16.0,16,-209.01286223568417,7.978754997253418,33.5437126159668,1.0,1000.0,-170.41714520038298,3.2486753463745117,-243.5427905882803,0.5545358657836914,0.0,-23.518444061279297,1.1302703619003296,0.13489152491092682,16.0,0.02424510009586811,16.0,2.2813174724578857,27.129762649536133,27.68619155883789,2.9697961807250977,291.8290824890137,-209.01286223568417,-0.3132305145263672,54.82661242510792
17000,0.6979997158050537,0.0,17.0,17,-205.32771918311937,9.439024925231934,29.330142974853516,1.0,1000.0,-97.67694233693203,2.1428298950195312,-234.9624465734951,0.6037393808364868,0.0,-26.638656616210938,1.0339257717132568,0.1258060187101364,17.0,0.02453717216849327,17.0,2.2229559421539307,28.473413467407227,28.938581466674805,2.01771879196167,310.37481141090393,-205.32771918311937,-0.14517740905284882,54.77248595890009
18000,0.6915215849876404,0.0,18.0,18,-198.5429748617552,10.626435279846191,31.74225616455078,1.0,1000.0,111.4079550820172,1.90509831905365,-215.7196464815222,0.6129227876663208,0.0,-28.98345375061035,0.8267806172370911,0.12076102942228317,18.0,0.03619413077831268,18.0,2.181300640106201,29.9052734375,30.393587112426758,1.8070141077041626,328.89750504493713,-198.5429748617552,-0.14904174208641052,54.728295970322634
19000,0.6841215491294861,0.0,19.0,19,-190.4989806389598,11.767683029174805,30.954622268676758,1.0,1000.0,-221.7284371849134,1.9038798809051514,-216.03589862380593,0.6809069514274597,0.0,-31.835119247436523,1.0600005388259888,0.11558473110198975,19.0,0.03976673260331154,19.0,2.1584324836730957,31.912309646606445,32.45247268676758,1.9240401983261108,347.34910702705383,-190.4989806389598,-0.03497055172920227,54.70001107134027
20000,0.682755708694458,0.0,20.0,20,-170.75401927783273,12.942843437194824,38.66865158081055,1.0,1000.0,473.6059210058608,1.7647616863250732,-181.55380764232262,0.6832258701324463,0.0,-34.922855377197266,0.968356728553772,0.11681602150201797,20.0,0.03229449316859245,20.0,2.206230878829956,34.551307678222656,35.46592330932617,1.659862995147705,365.7241897583008,-170.75401927783273,0.28765925765037537,54.686019027665544
21000,0.6813457608222961,0.0,21.0,21,-145.02922068988534,14.23159122467041,40.121604919433594,1.0,1000.0,62.18967683061927,1.2069103717803955,-169.946975048373,0.6441957950592041,0.0,-38.99093246459961,1.9602946043014526,0.11946358531713486,21.0,0.023552997037768364,21.0,2.266737222671509,39.092079162597656,40.094459533691406,1.0228692293167114,383.8458116054535,-145.02922068988534,0.29669827222824097,54.709467617131196
22000,0.6798055171966553,0.0,22.0,22,-115.640902182134,15.594141006469727,43.40758514404297,1.0,1000.0,17.59035945778978,1.2609537839889526,-161.42255075263833,0.6673761606216431,0.0,-42.49818420410156,2.0150485038757324,0.12383438646793365,22.0,0.02362651191651821,22.0,2.3268940448760986,42.85096740722656,43.720027923583984,0.9455790519714355,401.9739627838135,-115.640902182134,0.31621360778808594,54.72991297158187
23000,0.6790375709533691,0.0,23.0,23,-97.63865194933034,16.98919105529785,47.35222625732422,1.0,1000.0,-17.156804752814438,0.9083500504493713,-155.15012701351554,0.7437549829483032,0.0,-46.75181198120117,2.093616485595703,0.12603439390659332,23.0,0.017922349274158478,23.0,2.373292922973633,46.384395599365234,47.30462646484375,0.8510587215423584,420.1444103717804,-97.63865194933034,0.14901281893253326,54.74308221701104
24000,0.6785427331924438,0.0,24.0,24,-102.45873466586909,18.210458755493164,53.67048645019531,1.0,1000.0,458.9457535940269,1.3370832204818726,-129.56279865486795,0.686928927898407,0.0,-49.444725036621094,3.902705192565918,0.12448166310787201,24.0,0.028587110340595245,24.0,2.3510866165161133,46.75321960449219,47.301918029785156,1.3743222951889038,438.23242592811584,-102.45873466586909,0.232801616191864,54.7654591035141
