eval/episodes,ret_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episode_steps,total/duration,total/steps_per_second,reference_Q_std,rollout/actions_mean,total/epochs,rollout/episodes,rollout/actions_std,total/steps,reference_actor_Q_mean,ret_rms_std,eval/Q,rollout/return_history,rollout/return,train/loss_actor,reference_action_std,reference_action_mean,rollout/Q_mean,reference_Q_mean,obs_rms_mean,eval/return_history,eval/return,train/param_noise_distance,total/episodes,obs_rms_std
1.0,0.0,0.5391149520874023,0.0331299751996994,1000.0,18.857866525650024,53.028267998388024,0.5438380837440491,0.04614870250225067,1,1.0,0.6184720993041992,1000,-0.18270856142044067,1.0,-0.02015278860926628,-201.14486699025596,-201.14486699025596,0.2705395221710205,0.15414123237133026,-0.9280670285224915,-0.38507354259490967,-0.5025883913040161,0.05979243293404579,-228.32778300899218,-228.32778300899218,0.0,1.0,0.6635571718215942
2.0,0.0,1.783865213394165,0.18048381805419922,1000.0,37.03525471687317,54.00259874785754,1.7088432312011719,-0.03416843339800835,2,2.0,0.6676572561264038,2000,2.7664635181427,1.0,0.8745917677879333,-251.30447996555392,-251.30447996555392,-2.915494441986084,0.8567026257514954,-0.12605583667755127,-0.34785836935043335,2.245516538619995,0.0721212774515152,-370.7061504086595,-513.0845178083267,0.0,2.0,1.9590054750442505
3.0,0.0,2.1563522815704346,0.34394586086273193,1000.0,55.10373663902283,54.442768911527665,2.3138906955718994,-0.10454730689525604,3,3.0,0.705483078956604,3000,6.6578850746154785,1.0,11.339841842651367,-241.2352840538799,-241.2352840538799,-5.8404154777526855,0.8527296781539917,-0.1828625649213791,0.3005106449127197,6.070345401763916,0.0890156477689743,-122.76222275141531,373.12563256307305,0.0,3.0,2.2629292011260986
4.0,0.0,1.9967658519744873,0.45005542039871216,1000.0,73.13633632659912,54.69237592292726,2.08416485786438,-0.09776108711957932,4,4.0,0.6948932409286499,4000,10.890506744384766,1.0,8.535849571228027,-197.7372586054131,-197.7372586054131,-11.6651029586792,0.6230294108390808,-0.4777716100215912,3.0713720321655273,10.24839973449707,0.07358360290527344,-186.4017571670869,-377.32036041410174,0.0,4.0,2.1774239540100098
5.0,0.0,3.1467764377593994,0.6575565934181213,1000.0,91.15827083587646,54.84965822796398,3.0461840629577637,-0.10521139949560165,5,5.0,0.6716704964637756,5000,15.510663986206055,1.0,26.382593154907227,-158.55238008084686,-158.55238008084686,-16.97101402282715,0.5022082924842834,-0.6375154852867126,6.4309186935424805,14.680288314819336,0.05243536829948425,-65.43256610227422,418.44419815697654,0.0,5.0,2.0833659172058105
6.0,0.0,4.894027233123779,0.9200038909912109,1000.0,109.20329093933105,54.9433991264362,4.838817596435547,-0.10479055345058441,6,6.0,0.6764511466026306,6000,20.718210220336914,1.0,31.442768096923828,-155.7488735441058,-155.7488735441058,-21.84719467163086,0.5912685394287109,-0.4743930399417877,7.886013031005859,19.99839210510254,0.05996140465140343,31.407617736633483,515.608536931172,0.0,6.0,2.185429334640503
7.0,0.0,6.089688777923584,1.070704460144043,1000.0,127.28578472137451,54.994357895681986,6.155585765838623,-0.11924055963754654,7,7.0,0.6585900783538818,7000,26.140655517578125,1.0,39.313392639160156,-86.37008350114385,-86.37008350114385,-28.718908309936523,0.6225904822349548,-0.46712633967399597,12.177886009216309,25.179609298706055,0.04713740944862366,99.83888274279191,510.42647277974237,0.0,7.0,2.1098408699035645
8.0,0.0,6.627845287322998,1.6861943006515503,1000.0,145.3037621974945,55.057074084059366,6.744478225708008,-0.1256714016199112,8,8.0,0.6444178223609924,8000,32.565284729003906,1.0,45.2567024230957,-13.21126559088438,-13.21126559088438,-36.86726379394531,0.6401874423027039,-0.44293615221977234,16.309324264526367,31.444133758544922,0.03973224759101868,158.80243493293995,571.5473002639762,0.0,8.0,2.0641651153564453
9.0,0.0,6.29441499710083,2.3239221572875977,1000.0,163.33824348449707,55.10038438030722,6.4961724281311035,-0.1138005256652832,9,9.0,0.6555178761482239,9000,40.03998565673828,1.0,32.64317321777344,-33.371381095137025,-33.371381095137025,-42.19011688232422,0.6691267490386963,-0.2970397174358368,17.55205726623535,39.23597717285156,0.05082196742296219,127.977144743299,-118.62517677382864,0.0,9.0,2.0741190910339355
10.0,0.0,6.219874858856201,3.274717092514038,1000.0,181.28854322433472,55.16068374836872,6.575896739959717,-0.10345565527677536,10,10.0,0.665902853012085,10000,45.880165100097656,1.0,39.6019401550293,-62.062526490843254,-62.062526490843254,-46.46430587768555,0.6619914770126343,-0.20066773891448975,18.75322723388672,44.91100311279297,0.0628170371055603,103.07613919398504,-121.03291074984043,0.0,10.0,2.275580883026123
