rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,rollout/Q_mean,eval/return,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
1.0,-0.40804171562194824,-1.498685598373413,1.0,1000,1.0,0.861229419708252,18.238468885421753,0.31579527258872986,0.014833543449640274,0.08149633556604385,0.06600195169448853,1000.0,2.0059638023376465,-0.6148115396499634,-515.5615581189048,-204.44946266303128,1,0.0,2.123281717300415,0.5845698118209839,0.34643304347991943,0.5530906915664673,-515.5615581189048,-204.44946266303128,54.82916391075531,-0.44352293014526367,0.0,1.0
2.0,3.206867218017578,4.076006889343262,2.0,2000,2.0,0.8212099671363831,36.33895492553711,-0.25334224104881287,0.04348226636648178,0.06365794688463211,0.08302044868469238,1000.0,1.2266943454742432,0.6196333169937134,-375.93368615505403,-250.76016551806006,2,0.0,1.0534969568252563,0.6561713218688965,0.8401198983192444,-2.8455417156219482,-445.74762213697943,-250.76016551806006,55.037356030140124,2.6802468299865723,0.0,1.0
3.0,4.975759983062744,5.99213981628418,3.0,3000,3.0,0.7421430349349976,54.345608949661255,-0.058673661202192307,0.11105009913444519,0.01813163422048092,0.07683619856834412,1000.0,1.3090429306030273,1.9238672256469727,-285.2198638550308,-227.9166732747744,3,0.0,1.204720139503479,0.6534221172332764,1.1311007738113403,-5.144108772277832,-392.2383693763299,-227.9166732747744,55.20225199387888,4.350842475891113,0.0,1.0
4.0,8.526084899902344,9.386194229125977,4.0,4000,4.0,0.6239842772483826,72.52722144126892,0.14783875644207,0.1856589913368225,-0.06585187464952469,0.07803431898355484,1000.0,2.5215771198272705,2.738708019256592,-359.1687993929007,-254.55449507412567,4,0.0,2.5814871788024902,0.6860159039497375,1.200839638710022,-7.345788478851318,-383.97097688047256,-254.55449507412567,55.15170608375118,7.835765361785889,0.0,1.0
5.0,13.493295669555664,13.757290840148926,5.0,5000,5.0,0.6027825474739075,90.62813830375671,0.12738943099975586,0.20393365621566772,-0.07246342301368713,0.09006734937429428,1000.0,3.0867879390716553,3.4596710205078125,-159.29751640406707,-246.49011021365112,5,0.0,2.8327178955078125,0.6775779128074646,1.5168125629425049,-10.058698654174805,-339.03628478519147,-246.49011021365112,55.17050326292249,12.717804908752441,0.0,1.0
6.0,15.336112022399902,12.402787208557129,6.0,6000,6.0,0.7380499839782715,108.76752066612244,0.16696323454380035,0.3640740215778351,-0.08730791509151459,0.08368323743343353,1000.0,4.444438457489014,5.100999355316162,-359.2140328690344,-260.91802028923354,6,0.0,4.396448612213135,0.6817628741264343,1.4631550312042236,-12.229399681091309,-342.3992427991653,-260.91802028923354,55.16352642088684,15.023877143859863,0.0,1.0
7.0,19.267406463623047,8.633813858032227,7.0,7000,7.0,0.4651912450790405,126.78637409210205,0.2257952243089676,0.5557078719139099,-0.05279472842812538,0.07619427889585495,1000.0,6.228714466094971,7.633133888244629,-115.62086089486809,-243.10625275386846,7,0.0,6.322700500488281,0.6671396493911743,1.4037200212478638,-15.5260648727417,-310.00233109855145,-243.10625275386846,55.21098028180028,18.33869171142578,0.0,1.0
8.0,25.796293258666992,10.6353120803833,8.0,8000,8.0,0.3679720163345337,144.7413787841797,0.35286951065063477,0.6814363598823547,-0.009802551008760929,0.09559161216020584,1000.0,7.230755805969238,7.715132236480713,-151.45423310645396,-232.98594908877558,8,0.0,7.421955108642578,0.673261284828186,1.6875770092010498,-18.048831939697266,-290.1838188495392,-232.98594908877558,55.270994840588074,24.90265655517578,0.0,1.0
9.0,32.920997619628906,20.66788101196289,9.0,9000,9.0,0.4256124496459961,162.8835928440094,0.21789681911468506,0.8676367402076721,0.04244113340973854,0.11491852253675461,1000.0,9.469680786132812,7.828577995300293,-54.8489211476347,-225.70452671478145,9,0.0,9.663046836853027,0.6849895715713501,1.8418406248092651,-20.462448120117188,-264.03549688266094,-225.70452671478145,55.25418394116056,32.11109924316406,0.0,1.0
10.0,38.17766571044922,33.88025665283203,10.0,10000,10.0,0.45927271246910095,181.0608103275299,0.35110238194465637,0.7771881818771362,0.036543648689985275,0.11907958984375,1000.0,10.563989639282227,8.466153144836426,-48.74869327462635,-220.37238768761526,10,0.0,10.024274826049805,0.6921236515045166,1.9899098873138428,-22.690471649169922,-242.5068165218575,-220.37238768761526,55.230063214179275,36.855384826660156,0.0,1.0
