#{"env_id": "HalfCheetah-v2", "t_start": 1521325620.1942632}
r,l,t
-333.76488,1000,15.75821
-312.399449,1000,33.73524
-410.007134,1000,51.754049
-476.34093,1000,69.822169
76.618362,1000,87.759154
-256.742268,1000,105.780521
78.652987,1000,123.716351
0.537472,1000,141.786432
-62.051153,1000,159.729754
141.150081,1000,177.746758
290.732548,1000,195.791573
262.079218,1000,213.719561
192.881041,1000,231.6473
285.217217,1000,249.517403
-120.876824,1000,267.451094
-0.907532,1000,285.440295
132.45396,1000,303.751736
201.196945,1000,322.104918
-20.494251,1000,340.414101
214.327075,1000,358.69738
189.370144,1000,376.8878
347.876635,1000,394.849774
186.977053,1000,412.739558
228.141047,1000,430.627769
-175.777504,1000,448.561793
273.220139,1000,466.550463
156.759381,1000,484.503379
224.193626,1000,502.509523
301.127979,1000,520.444187
288.063203,1000,538.31809
60.652588,1000,556.392583
-138.938317,1000,574.487938
204.124114,1000,592.557765
248.049477,1000,610.559146
244.024811,1000,628.557315
185.070625,1000,646.546981
149.487485,1000,664.569426
-55.737221,1000,682.614569
347.358954,1000,700.639411
370.873475,1000,718.688298
230.81884,1000,736.781635
186.93773,1000,754.812973
63.212848,1000,772.827061
239.045356,1000,790.732836
92.808919,1000,808.696018
82.999398,1000,826.732406
71.120591,1000,844.700294
139.557961,1000,862.664258
97.676,1000,880.611763
67.491561,1000,898.598987
245.679301,1000,916.685303
156.514006,1000,934.800173
276.592341,1000,952.944172
380.074665,1000,970.944945
246.329796,1000,989.323729
194.268038,1000,1007.662579
305.458441,1000,1026.023622
248.497098,1000,1044.418091
131.513693,1000,1062.508578
207.554231,1000,1080.484966
68.3031,1000,1098.534973
171.565044,1000,1116.516486
57.505385,1000,1134.502439
176.057424,1000,1152.432954
158.70979,1000,1170.466059
38.162831,1000,1188.401133
233.988332,1000,1206.481488
134.894975,1000,1224.511298
121.59358,1000,1242.687193
171.742055,1000,1260.704908
-155.149614,1000,1278.953438
266.081079,1000,1296.974285
289.928108,1000,1314.977175
186.336796,1000,1332.962377
233.47351,1000,1350.895261
146.920915,1000,1368.895733
-266.284892,1000,1387.00778
242.236451,1000,1405.111278
207.873795,1000,1423.219287
200.150183,1000,1441.239272
157.592458,1000,1459.340241
180.325255,1000,1477.440266
207.098372,1000,1495.484764
265.625486,1000,1513.541312
168.990093,1000,1531.622353
324.883556,1000,1549.795086
122.252199,1000,1567.799994
166.09953,1000,1585.893981
208.87671,1000,1603.904928
140.092792,1000,1622.039837
176.627617,1000,1640.117394
179.972928,1000,1658.107186
69.53513,1000,1676.13472
137.376256,1000,1694.239491
159.79443,1000,1712.312023
178.086161,1000,1730.474834
-29.657972,1000,1748.659937
209.290085,1000,1766.697182
179.388469,1000,1784.751802
97.991742,1000,1802.963785
357.277926,1000,1821.054103
219.770225,1000,1839.070983
139.867718,1000,1857.208156
247.630609,1000,1875.267908
312.827498,1000,1893.364932
265.541691,1000,1911.396919
150.426723,1000,1929.341615
221.192874,1000,1947.325839
235.506354,1000,1965.433773
160.15394,1000,1983.557724
287.590051,1000,2001.68635
-134.635679,1000,2019.794247
205.346117,1000,2037.90844
156.651729,1000,2055.952323
248.4711,1000,2074.026513
48.5081,1000,2092.052782
234.288475,1000,2110.110412
-407.433026,1000,2128.355479
38.965392,1000,2146.486481
107.26449,1000,2164.668589
160.265489,1000,2182.693584
259.266718,1000,2200.770356
222.205645,1000,2218.844778
195.410975,1000,2236.930782
271.529732,1000,2255.10896
295.418026,1000,2273.195076
339.862676,1000,2291.394909
255.226513,1000,2309.520267
286.418177,1000,2327.671288
282.475258,1000,2345.957139
247.834629,1000,2364.365452
-66.235447,1000,2382.707418
268.278515,1000,2400.840488
254.895252,1000,2418.973247
321.516649,1000,2437.061799
256.372628,1000,2455.164416
212.520697,1000,2473.233427
227.20412,1000,2491.242566
264.470771,1000,2509.275756
300.079876,1000,2527.472742
239.014842,1000,2545.59918
310.943194,1000,2563.774754
284.434209,1000,2581.903131
192.371202,1000,2600.093362
409.378288,1000,2618.204565
329.889867,1000,2636.355754
239.55817,1000,2654.49125
370.428824,1000,2672.625306
404.031641,1000,2690.748188
547.567204,1000,2708.944003
542.77936,1000,2727.106424
391.663347,1000,2745.20523
331.203555,1000,2763.326128
385.583703,1000,2781.447249
340.583414,1000,2799.590882
349.54667,1000,2817.72091
366.722664,1000,2835.87657
385.059736,1000,2854.133722
450.627892,1000,2872.250732
436.497965,1000,2890.588604
450.835239,1000,2908.71757
398.068463,1000,2926.855685
472.273557,1000,2944.995883
-345.066474,1000,2963.114421
449.055562,1000,2981.304383
448.555654,1000,2999.578095
435.036274,1000,3017.760557
349.874099,1000,3035.86217
253.090793,1000,3053.903181
517.272046,1000,3072.39213
364.824399,1000,3090.625062
433.896235,1000,3108.859599
378.581163,1000,3126.96136
434.565286,1000,3145.067364
374.253083,1000,3163.23661
