#{"t_start": 1521564609.0925379, "env_id": "HalfCheetah-v2"}
r,l,t
-327.207638,1000,17.961639
-403.269654,1000,38.109722
-269.874947,1000,58.026674
-116.889176,1000,77.667166
51.363415,1000,97.54154
-165.818472,1000,117.358042
-43.999435,1000,137.130077
101.870259,1000,157.045884
38.232768,1000,177.273505
-136.989172,1000,197.258428
739.716995,1000,217.154117
641.252083,1000,237.255313
100.661545,1000,257.031354
-628.695232,1000,276.726293
414.555927,1000,296.403464
639.23997,1000,316.917788
812.190261,1000,336.73738
846.061466,1000,356.516479
271.448456,1000,376.181516
905.640341,1000,396.167673
-66.599712,1000,415.884678
1069.197693,1000,435.598561
1033.980166,1000,455.499983
-412.958561,1000,475.407531
-314.883492,1000,495.061137
-406.392705,1000,514.684705
63.697238,1000,534.626412
-332.940306,1000,554.523061
254.935792,1000,575.581806
582.228583,1000,595.752265
785.251795,1000,615.884873
1084.955356,1000,635.79358
734.963101,1000,655.72477
867.779367,1000,675.910475
693.144382,1000,695.643739
122.464734,1000,715.132233
1053.190181,1000,734.969687
913.00625,1000,754.658539
899.800519,1000,774.280511
797.558896,1000,794.034474
975.776663,1000,813.660665
948.021772,1000,833.231843
925.687131,1000,853.309782
767.417789,1000,877.19792
684.914267,1000,897.241513
-265.736111,1000,917.048203
-105.746919,1000,937.657953
1018.286962,1000,959.491062
1045.636796,1000,981.215535
940.796201,1000,1001.906491
-99.412003,1000,1022.798165
506.089867,1000,1043.897054
-146.816547,1000,1063.597319
-13.54356,1000,1082.83587
739.398715,1000,1102.786298
398.69681,1000,1120.981359
63.75265,1000,1138.784754
-389.068276,1000,1156.468353
-182.159626,1000,1174.110236
1175.203072,1000,1191.744044
1087.058074,1000,1209.386899
1054.684458,1000,1227.043092
840.50615,1000,1244.655036
616.160629,1000,1262.185531
643.846508,1000,1279.717565
1145.114128,1000,1297.300719
1056.719793,1000,1314.934459
219.293555,1000,1332.452383
719.70369,1000,1349.945803
718.434355,1000,1367.478615
453.22684,1000,1385.389868
1234.840396,1000,1402.899509
838.97594,1000,1420.424748
850.401459,1000,1437.985288
-352.710651,1000,1455.567126
43.869731,1000,1473.131716
272.201489,1000,1490.712118
385.90992,1000,1508.336059
93.524359,1000,1525.872001
-31.219028,1000,1543.42498
-193.492152,1000,1560.953017
622.480797,1000,1578.527366
32.830343,1000,1596.122383
658.323997,1000,1613.680823
-148.751251,1000,1631.29577
790.504973,1000,1648.870043
514.601079,1000,1666.447343
-20.378019,1000,1684.104996
-315.656152,1000,1701.684639
434.759255,1000,1719.282333
688.918816,1000,1736.88702
492.201635,1000,1754.476429
622.143422,1000,1772.050192
-65.428832,1000,1789.719376
-157.100925,1000,1807.353786
297.623105,1000,1824.942372
824.878308,1000,1842.526993
924.92457,1000,1860.315505
906.048645,1000,1877.968358
882.726657,1000,1895.596784
768.632285,1000,1913.160692
692.720995,1000,1930.769843
706.240685,1000,1949.113784
329.115763,1000,1966.713406
779.242604,1000,1984.36793
598.330096,1000,2001.938578
890.387611,1000,2019.54203
556.427354,1000,2037.334805
903.196153,1000,2055.364935
732.034256,1000,2073.35765
807.613772,1000,2091.304314
922.805381,1000,2109.262447
-113.638232,1000,2127.218782
725.030928,1000,2145.21354
625.709355,1000,2163.251048
561.907548,1000,2181.240523
916.689026,1000,2199.115377
596.082002,1000,2216.853988
734.726519,1000,2234.832331
914.463402,1000,2252.595846
931.610985,1000,2270.34105
736.294714,1000,2287.959354
607.946166,1000,2305.559454
510.406903,1000,2323.151583
971.658727,1000,2340.80483
-99.641554,1000,2358.426919
-496.763872,1000,2376.047155
355.796246,1000,2393.717926
-468.907417,1000,2411.432371
993.822502,1000,2429.053284
841.555485,1000,2446.762977
805.246122,1000,2464.363951
285.689709,1000,2482.064517
471.797129,1000,2499.618946
849.168444,1000,2517.238249
353.11941,1000,2534.801967
415.827998,1000,2552.386057
1025.28152,1000,2569.963102
162.147229,1000,2587.597035
1156.718001,1000,2605.176146
-433.017994,1000,2622.811973
1235.749438,1000,2640.461794
600.879407,1000,2658.09139
-391.080703,1000,2675.724308
-418.903038,1000,2693.43524
607.859149,1000,2711.146205
781.946372,1000,2728.781339
424.269403,1000,2746.410995
-398.799667,1000,2764.151337
765.014296,1000,2781.795599
873.813836,1000,2799.43864
1100.975112,1000,2817.099539
1101.861167,1000,2834.742471
73.164887,1000,2852.404846
797.560775,1000,2870.245394
-313.80089,1000,2887.914029
461.432223,1000,2905.579398
829.758854,1000,2923.210578
238.767423,1000,2940.927351
397.501211,1000,2958.574505
645.651519,1000,2976.34797
584.80621,1000,2994.007102
-382.047541,1000,3011.708606
855.050575,1000,3029.399841
740.58342,1000,3047.133957
834.85445,1000,3064.838127
419.943773,1000,3082.531412
967.671047,1000,3100.168632
872.945005,1000,3117.881506
319.887905,1000,3135.55857
734.54174,1000,3153.23146
901.01379,1000,3170.905579
1141.301617,1000,3188.557946
1039.001879,1000,3206.265483
1111.86623,1000,3223.928046
1015.089494,1000,3241.618579
745.829329,1000,3259.315202
822.168235,1000,3276.95313
731.1706,1000,3294.681666
1058.633531,1000,3312.331284
855.847567,1000,3330.01291
678.905014,1000,3347.709515
867.095664,1000,3365.440445
590.893025,1000,3383.152278
-44.624447,1000,3400.833745
230.041576,1000,3418.529379
1292.177886,1000,3436.191033
910.47764,1000,3453.864017
1023.32344,1000,3471.55754
845.123148,1000,3489.308221
846.156348,1000,3507.003951
1028.404242,1000,3524.771335
736.587466,1000,3542.568578
1115.351199,1000,3560.226907
1296.728407,1000,3577.912453
792.16011,1000,3595.629424
1009.383927,1000,3613.303163
656.422992,1000,3630.988526
670.664609,1000,3648.679577
1031.437554,1000,3666.498257
792.913655,1000,3684.215316
-2.273346,1000,3701.940821
-280.148061,1000,3719.643365
786.183301,1000,3737.597811
977.340636,1000,3755.319794
785.385377,1000,3773.000119
656.153467,1000,3790.72579
818.804209,1000,3808.449207
1051.3132,1000,3826.15184
620.080636,1000,3843.964266
928.508673,1000,3861.675288
1190.72611,1000,3879.398131
1102.117087,1000,3897.117422
383.355513,1000,3914.941303
1217.385107,1000,3932.710965
1195.660872,1000,3950.424772
358.303646,1000,3968.178711
1102.817155,1000,3985.878285
869.843046,1000,4003.600059
1255.196577,1000,4021.471319
796.075608,1000,4039.180855
946.79452,1000,4056.896671
1007.422601,1000,4074.616143
1032.402857,1000,4092.375276
961.879442,1000,4110.097851
553.808379,1000,4127.851026
1142.771377,1000,4145.624334
982.320587,1000,4163.371233
939.755801,1000,4181.0457
1210.765677,1000,4198.91106
798.602609,1000,4216.651575
974.831558,1000,4234.412082
975.430016,1000,4252.172295
594.862182,1000,4269.915504
921.434475,1000,4287.666306
411.671021,1000,4305.433945
799.666742,1000,4323.20481
978.595754,1000,4341.196299
1370.661791,1000,4359.024797
1211.077251,1000,4377.010834
929.169397,1000,4394.762385
837.602122,1000,4412.558686
1283.659512,1000,4430.307851
