total/steps,ret_rms_std,rollout/episodes,train/loss_critic,rollout/actions_std,rollout/episode_steps,total/epochs,rollout/Q_mean,reference_perturbed_action_mean,rollout/return_history,reference_Q_mean,train/loss_actor,param_noise_stddev,reference_action_std,eval/return_history,obs_rms_std,total/steps_per_second,reference_actor_Q_mean,total/episodes,reference_Q_std,eval/Q,rollout/return,ret_rms_mean,reference_actor_Q_std,obs_rms_mean,reference_action_mean,eval/return,total/duration,eval/episodes,train/param_noise_distance,reference_perturbed_action_std,rollout/actions_mean
1000,1.0,29.0,2.5011749267578125,0.5285444855690002,33.03448275862069,1,9.29375171661377,0.2710949182510376,162.5845626241829,19.60767364501953,-19.560928344726562,0.16720346283821505,0.4408034086227417,295.44168767620585,6.387991428375244,63.83986651646563,19.778400421142578,29.0,3.199521064758301,20.682971954345703,162.5845626241829,0.0,2.8722007274627686,1.2734887599945068,0.052618980407714844,295.44168767620585,15.664193153381348,1.0,0.45456328988075256,0.615957498550415,0.06343343108892441
2000,1.0,66.0,3.1636526584625244,0.5691127777099609,30.106060606060606,2,18.560680389404297,0.1868770569562912,147.6787602588331,39.941307067871094,-39.478206634521484,0.1370306733903066,0.5691806077957153,299.9471172679505,6.735684871673584,65.51940516316103,40.818668365478516,66.0,9.146810531616211,42.856380462646484,147.6787602588331,0.0,7.262141704559326,1.206795573234558,-0.06399910897016525,304.4525468596952,30.525307655334473,2.0,0.5977701544761658,0.6018974184989929,0.046170081943273544
3000,1.0,97.0,3.2103400230407715,0.5889750123023987,30.814432989690722,3,28.990478515625,0.038103312253952026,150.71648136657927,58.090476989746094,-58.83051681518555,0.11230273064362171,0.6726036667823792,318.2727520014785,6.783605575561523,66.12124117190129,59.50310516357422,97.0,17.164127349853516,61.54949188232422,150.71648136657927,0.0,15.310023307800293,1.1455186605453491,-0.061984095722436905,354.92402146853465,45.37119913101196,3.0,0.6773035526275635,0.6268578767776489,0.008687078021466732
4000,1.0,122.0,7.147278308868408,0.6043728590011597,32.67213114754098,4,39.300437927246094,-0.06532737612724304,160.735933057546,75.33657836914062,-77.37091064453125,0.09203708190275892,0.696092963218689,307.81512030889326,6.558277606964111,66.45457195508355,77.68600463867188,122.0,25.106443405151367,88.33434295654297,159.04719300154397,0.0,23.023752212524414,1.160447359085083,0.04760715365409851,276.4422252311373,60.19149446487427,4.0,0.603519082069397,0.6697999238967896,-0.003972909413278103
5000,1.0,141.0,8.004999160766602,0.6230616569519043,35.297872340425535,5,49.136356353759766,0.18891237676143646,175.9719709883533,93.82373046875,-96.06888580322266,0.07542848153938683,0.7343019247055054,296.7497885158551,6.5970778465271,66.69027549670406,96.32015991210938,141.0,33.660343170166016,99.92556762695312,172.57554752189102,0.0,31.455629348754883,1.2876739501953125,0.1840703934431076,252.48846134370228,74.97344946861267,5.0,0.4789208173751831,0.7149049639701843,0.008894475176930428
6000,1.0,161.0,12.4761323928833,0.6418647170066833,37.04347826086956,6,58.65546417236328,0.11609561741352081,202.8103143859263,105.0142822265625,-113.3000717163086,0.06181699495154324,0.7287933230400085,282.4411867411099,6.674574851989746,66.86624739948567,107.62806701660156,161.0,46.981746673583984,112.87620544433594,182.45020936288097,0.0,45.425315856933594,1.418382167816162,0.19744479656219482,210.89817786738408,89.73137021064758,6.0,0.4840923249721527,0.7242341041564941,0.038969364017248154
7000,1.0,184.0,12.210846900939941,0.6600743532180786,37.755434782608695,7,67.78067779541016,0.09298276156187057,223.5234431544057,119.19119262695312,-130.80154418945312,0.05066177638540577,0.7734819650650024,273.8684200027952,6.865342140197754,67.01561212038621,122.73628234863281,184.0,56.11243438720703,134.4949951171875,187.14787208194156,0.0,54.03390121459961,1.50129234790802,0.07748610526323318,222.43181957290676,104.45327258110046,7.0,0.4270045757293701,0.7547848224639893,0.04789671674370766
8000,1.0,201.0,20.401870727539062,0.6733589768409729,39.74129353233831,8,76.31881713867188,0.1770433783531189,238.03676914108445,134.17636108398438,-144.74310302734375,0.04151957869412388,0.7904170155525208,272.5127283547669,6.937430381774902,67.0109660714031,139.2591552734375,201.0,65.70435333251953,124.15718841552734,196.88119222964016,0.0,62.15794372558594,1.5436203479766846,0.10955435037612915,263.0228868185691,119.38344526290894,8.0,0.385116308927536,0.7683705687522888,0.05138595774769783
9000,1.0,219.0,21.708454132080078,0.6863108277320862,40.99543378995434,9,84.88037872314453,0.080186627805233,256.80433481818943,151.84793090820312,-163.51243591308594,0.034027141129503384,0.8011447191238403,277.07580782658795,7.393109321594238,66.98691328235083,157.4337921142578,219.0,73.79804992675781,155.0247039794922,201.96226935361202,0.0,71.07250213623047,1.555947184562683,0.11296137422323227,313.58044360115645,134.35460090637207,9.0,0.33125409483909607,0.8241379857063293,0.052129533141851425
10000,1.0,237.0,27.015230178833008,0.7000935673713684,42.07172995780591,10,92.82246398925781,0.06430980563163757,256.6272500335882,166.32080078125,-176.15701293945312,0.027886755354071244,0.8188150525093079,282.6826866032872,7.48335599899292,66.97280515658204,172.85728454589844,237.0,81.82833862304688,169.82733154296875,207.28518452858754,0.0,79.16374206542969,1.5836243629455566,0.06162267550826073,333.14459559358045,149.31433701515198,10.0,0.29388663172721863,0.8052870035171509,0.04786781221628189
