ret_rms_std,reference_actor_Q_std,train/loss_critic,rollout/Q_mean,train/param_noise_distance,eval/return,total/steps_per_second,ret_rms_mean,rollout/return_history,rollout/episode_steps,reference_Q_std,rollout/actions_mean,total/episodes,eval/Q,reference_perturbed_action_std,reference_action_mean,rollout/actions_std,total/epochs,eval/episodes,reference_perturbed_action_mean,rollout/episodes,reference_Q_mean,obs_rms_mean,train/loss_actor,total/duration,param_noise_stddev,reference_action_std,total/steps,eval/return_history,rollout/return,obs_rms_std,reference_actor_Q_mean
1.0,1.0296679735183716,1.5762107372283936,9.583622932434082,0.5286653637886047,297.5663776854499,69.84032352275568,0.0,186.6859640278664,37.92,1.528568983078003,0.16452960669994354,25.0,20.459959030151367,0.5137787461280823,0.16447913646697998,0.5338886380195618,1,1.0,0.2115800529718399,25.0,20.381614685058594,1.4838181734085083,-19.86252212524414,14.318375825881958,0.16720346283821505,0.46085551381111145,1000,297.5663776854499,186.6859640278664,6.288839340209961,20.586620330810547
1.0,4.106215000152588,3.4350616931915283,19.519859313964844,0.5789673924446106,177.05621371071044,72.12995603418278,0.0,201.17773253886978,40.53061224489796,5.3484721183776855,0.16155019402503967,49.0,41.58231735229492,0.6231613159179688,0.07778433710336685,0.5585768222808838,2,2.0,-0.028300058096647263,49.0,41.99666213989258,1.5063302516937256,-40.93482208251953,27.727730751037598,0.1370306733903066,0.5803307294845581,2000,237.31129569808016,201.17773253886978,6.070198059082031,42.590763092041016
1.0,7.299109935760498,5.668964862823486,28.87038230895996,0.5508107542991638,188.98438820734938,73.27008145328237,0.0,173.07185220048635,35.28235294117647,9.175189018249512,0.1436724066734314,85.0,61.87229919433594,0.5830193161964417,0.11589141935110092,0.572921633720398,3,3.0,0.055101748555898666,85.0,63.393768310546875,1.3723565340042114,-61.08513641357422,40.944406509399414,0.11230273064362171,0.605323314666748,3000,221.20232653450321,173.07185220048635,6.629928112030029,64.40852355957031
1.0,14.356640815734863,8.057833671569824,39.45778274536133,0.6236746907234192,202.27028588297944,73.74179317196972,0.0,177.17729590479564,35.36036036036036,16.57362937927246,0.16374804079532623,111.0,76.59602355957031,0.6191577315330505,0.3044312596321106,0.5886055827140808,4,4.0,0.1785508096218109,111.0,83.48271942138672,1.4614530801773071,-79.5270767211914,54.243324279785156,0.09203708190275892,0.6236135363578796,4000,216.46931637162228,174.1194320199984,6.702042102813721,84.97767639160156
1.0,23.39678192138672,6.938448905944824,49.502159118652344,0.5264472365379333,258.6033132053828,73.86308299899885,0.0,186.76939561603726,37.74242424242424,25.96389389038086,0.19180698692798615,132.0,101.66917419433594,0.6507724523544312,0.2797107696533203,0.6069934964179993,5,5.0,0.33228811621665955,132.0,100.82638549804688,1.5983333587646484,-99.4244155883789,67.69281482696533,0.07542848153938683,0.6948801279067993,5000,224.89611573837436,186.9158539961348,6.602248191833496,103.19624328613281
1.0,34.390289306640625,11.486074447631836,60.08104705810547,0.503287136554718,227.21353527299115,73.96387737791994,0.0,198.16651050750772,39.906666666666666,36.78004837036133,0.20915745198726654,150.0,121.98613739013672,0.6295650601387024,0.29053038358688354,0.6198548078536987,6,6.0,0.43622374534606934,150.0,117.14849853515625,1.683447003364563,-115.60781860351562,81.1206796169281,0.06181699495154324,0.6953538656234741,6000,225.28235232747716,198.32638523924552,6.474503040313721,119.92796325683594
1.0,44.581661224365234,14.434436798095703,69.43746948242188,0.444741815328598,326.9736895310011,73.87968501161203,0.0,220.0209017272596,41.601190476190474,46.853939056396484,0.21874076128005981,168.0,137.7330322265625,0.7012805342674255,0.3443916141986847,0.6356820464134216,7,7.0,0.3462473154067993,168.0,133.42376708984375,1.7569550275802612,-134.43426513671875,94.74864435195923,0.05066177638540577,0.7169134616851807,7000,239.80968621369487,207.723158853441,6.417228698730469,136.68478393554688
1.0,53.407894134521484,17.967121124267578,78.31416320800781,0.4408402740955353,355.1977897286906,73.75462136685108,0.0,251.90598367270096,43.21081081081081,55.495052337646484,0.22641202807426453,185.0,140.42259216308594,0.7021964192390442,0.34645378589630127,0.6478031277656555,8,8.0,0.33614152669906616,185.0,151.05279541015625,1.7986916303634644,-150.5330047607422,108.46777939796448,0.04151957869412388,0.7086470127105713,8000,254.23319915306934,215.6848962395213,6.42186975479126,154.71934509277344
1.0,62.12460708618164,19.596845626831055,86.3719253540039,0.36245983839035034,363.37046639645797,73.73857370821193,0.0,271.4751098723093,44.206896551724135,64.6616439819336,0.2317987084388733,203.0,160.80926513671875,0.7387874722480774,0.35420969128608704,0.6603091955184937,9,9.0,0.332125723361969,203.0,167.30126953125,1.8458764553070068,-167.0313262939453,122.05280828475952,0.034027141129503384,0.7278310060501099,9000,266.35956218011256,221.08204470032965,6.482461929321289,171.77301025390625
1.0,70.75849151611328,24.346118927001953,95.7375259399414,0.28964468836784363,274.18981309065987,73.78387293865919,0.0,284.74114881681095,45.49315068493151,73.56963348388672,0.24203082919120789,219.0,183.2623291015625,0.711753785610199,0.3712778389453888,0.6688259840011597,10,10.0,0.3768079876899719,219.0,181.655517578125,1.8972070217132568,-179.27468872070312,135.5309717655182,0.027886755354071244,0.7141732573509216,10000,267.14258727116726,227.80209284189425,6.492339611053467,187.11380004882812
1.0,81.08141326904297,27.227678298950195,103.72313690185547,0.28295445442199707,354.23682691367264,73.76681368212508,0.0,287.83342001603995,46.09243697478992,83.93097686767578,0.24594861268997192,238.0,200.9307861328125,0.7290043830871582,0.29601749777793884,0.6767048239707947,11,11.0,0.32597726583480835,238.0,192.04222106933594,1.9382952451705933,-194.14804077148438,149.11854600906372,0.022854436146078055,0.7318973541259766,11000,275.06024542048596,231.29589106033706,6.463278770446777,197.99620056152344
1.0,90.28160858154297,44.84429168701172,111.43683624267578,0.21384787559509277,290.5545031271912,73.80616739833586,0.0,285.7684042985499,46.62109375,93.22457885742188,0.24690264463424683,256.0,197.75572204589844,0.7373893857002258,0.3452724516391754,0.6840959787368774,12,12.0,0.32947859168052673,256.0,202.5767059326172,1.966846227645874,-203.64581298828125,162.58803868293762,0.019106704324195603,0.7179351449012756,12000,276.3514335627114,234.70870878996465,6.411087989807129,209.44143676757812
1.0,102.8036117553711,39.61534881591797,119.14215087890625,0.2144888937473297,320.395222845902,73.8171137253792,0.0,291.76448407403694,47.75,104.72920227050781,0.2500672936439514,272.0,212.5042266845703,0.7154844403266907,0.3368607461452484,0.6871640086174011,13,13.0,0.30771368741989136,272.0,212.38095092773438,1.9839959144592285,-213.47775268554688,176.11092257499695,0.017999379770019416,0.6937792301177979,13000,279.739417353726,240.72032681238892,6.336978912353516,219.09747314453125
1.0,113.93035125732422,43.71137237548828,126.33746337890625,0.21521346271038055,378.71727342259476,73.78402784183922,0.0,301.3964596879191,48.73170731707317,116.25114440917969,0.2532237470149994,287.0,252.31517028808594,0.7325024008750916,0.3032810091972351,0.6895904541015625,14,14.0,0.30640432238578796,287.0,220.67047119140625,1.9999178647994995,-225.88880920410156,189.7429621219635,0.019106704324195603,0.7294484376907349,14000,286.8092642157881,245.92998255666345,6.319103717803955,228.77584838867188
1.0,120.87154388427734,61.912540435791016,133.7635955810547,0.2047211080789566,383.95620516852983,73.75636197179742,0.0,312.92637619249587,49.714285714285715,122.8601303100586,0.26198485493659973,301.0,257.7730712890625,0.6811288595199585,0.37609636783599854,0.6910402178764343,15,15.0,0.41089165210723877,301.0,234.10604858398438,2.025163412094116,-237.19712829589844,203.37228679656982,0.018730226766195082,0.6952178478240967,15000,293.2857269459709,251.146188924229,6.257938385009766,242.291015625
1.0,127.62815856933594,74.8932113647461,140.2934112548828,0.17253336310386658,299.4664873962569,73.76993633574207,0.0,311.134577444018,50.160377358490564,131.04080200195312,0.267528235912323,318.0,229.97718811035156,0.7592699527740479,0.2437112182378769,0.6936360597610474,16,16.0,0.23009580373764038,318.0,246.41000366210938,2.0475194454193115,-240.85391235351562,216.89052200317383,0.017999379770019416,0.7507174015045166,16000,293.67202447411375,253.82980279040675,6.291049957275391,256.7564697265625
1.0,134.51710510253906,128.06092834472656,146.47555541992188,0.18493373692035675,354.1830099722877,73.75479219089331,0.0,309.01006951041677,50.34124629080119,137.332763671875,0.2606006860733032,337.0,274.2315673828125,0.7657116651535034,0.18300218880176544,0.6987558603286743,17,17.0,0.1501660794019699,337.0,257.4535827636719,2.048302412033081,-257.6857604980469,230.49349737167358,0.018730226766195082,0.7634966969490051,17000,297.2314942093004,254.3149679269669,6.336681842803955,268.40826416015625
1.0,142.49380493164062,89.98987579345703,152.42864990234375,0.1922261267900467,257.43581137384706,73.76136246593457,0.0,309.9413359738934,50.59718309859155,145.2239227294922,0.2621202766895294,355.0,246.0032501220703,0.7475990653038025,0.2855183184146881,0.7022092938423157,18,18.0,0.28559231758117676,355.0,268.78582763671875,2.0680010318756104,-257.5171203613281,244.03019952774048,0.019490749081111935,0.7506369948387146,18000,295.02062294066417,255.83943578659984,6.296237468719482,278.31011962890625
1.0,152.43441772460938,106.82511901855469,159.21383666992188,0.18920178711414337,318.086699737144,73.73760351180441,0.0,313.14132620733204,51.33875338753388,153.72134399414062,0.2652997672557831,369.0,300.32916259765625,0.7603733539581299,0.22539879381656647,0.7053731679916382,19,19.0,0.2847585678100586,369.0,275.248046875,2.0809848308563232,-264.0643005371094,257.67042994499207,0.020282151651708893,0.77854323387146,19000,296.23462698258413,259.6695140375972,6.278322219848633,285.6698303222656
1.0,162.78758239746094,158.04046630859375,167.0250701904297,0.219847172498703,314.212603813971,73.7393552774229,0.0,310.66209784862093,52.0443864229765,163.96612548828125,0.26372048258781433,383.0,250.52499389648438,0.7654612064361572,0.3068026006221771,0.7087525129318237,20,20.0,0.1983441859483719,383.0,277.8067932128906,2.078193426132202,-265.70025634765625,271.2255880832672,0.019490749081111935,0.7314660549163818,20000,297.1335258241535,262.1450214221681,6.30983304977417,289.114990234375
1.0,172.4459228515625,154.38514709472656,171.8292694091797,0.19264142215251923,326.26261283189643,73.7241571077404,0.0,293.11835130880803,52.03233830845771,172.80950927734375,0.26127076148986816,402.0,238.0333709716797,0.7740849256515503,0.18599431216716766,0.7125071883201599,21,21.0,0.17068323493003845,402.0,288.2933349609375,2.075021505355835,-271.3608093261719,284.84557604789734,0.019490749081111935,0.7546703219413757,21000,298.5206252054746,261.7003875691191,6.353377342224121,301.13543701171875
1.0,180.72601318359375,161.95663452148438,176.67416381835938,0.20571954548358917,222.55475783145206,73.76779202617925,0.0,291.9590780244734,52.32857142857143,183.34654235839844,0.2619525194168091,420.0,276.6650085449219,0.777711808681488,0.19153261184692383,0.7153577208518982,22,22.0,0.20942533016204834,420.0,296.1195068359375,2.0772783756256104,-284.69342041015625,298.23313665390015,0.020282151651708893,0.7812278866767883,22000,295.06763123392807,263.11730761820417,6.414179801940918,311.6995544433594
1.0,188.23260498046875,189.65313720703125,180.7285614013672,0.19864198565483093,289.1164791859742,73.79814524986287,0.0,288.2538407500093,52.25454545454546,189.3984375,0.26392024755477905,440.0,238.00906372070312,0.7799277305603027,0.036162033677101135,0.7182118892669678,23,23.0,0.07380670309066772,440.0,312.7166748046875,2.078636884689331,-295.9382629394531,311.6609492301941,0.020282151651708893,0.7922176718711853,23000,294.8088854927127,262.65582108150613,6.489440441131592,328.2379150390625
1.0,195.69908142089844,193.00469970703125,185.20587158203125,0.1855257898569107,400.63069120453247,73.76600719682773,0.0,297.53191736420666,52.74449339207048,196.45431518554688,0.2608751356601715,454.0,322.3415222167969,0.7858514189720154,0.037753209471702576,0.7221967577934265,24,24.0,0.08688321709632874,454.0,325.7166748046875,2.081163167953491,-300.0655517578125,325.3531119823456,0.018361167303396805,0.7798497676849365,24000,299.21812739737186,264.96757792057895,6.547468662261963,342.0079345703125
1.0,202.2788848876953,273.5437316894531,191.866943359375,0.21331657469272614,476.6803093523662,73.71975189435608,0.0,281.09966845701206,52.79281183932347,202.5108642578125,0.2606743574142456,473.0,334.1540222167969,0.7572614550590515,0.24103400111198425,0.7243669629096985,25,25.0,0.25293487310409546,473.0,338.6200256347656,2.080338954925537,-301.6640930175781,339.1221396923065,0.019106704324195603,0.7560126781463623,25000,306.3166146755716,265.014421171669,6.56021785736084,352.3028564453125
1.0,215.00515747070312,298.9019470214844,197.93795776367188,0.18601422011852264,341.41986633839866,73.70362900810022,0.0,283.2098545662848,53.16803278688525,215.3201141357422,0.25908535718917847,488.0,347.4241027832031,0.7613352537155151,0.0997774749994278,0.726654589176178,26,26.0,0.14505994319915771,488.0,344.3275146484375,2.080183267593384,-314.5071716308594,352.76417660713196,0.019106704324195603,0.7631431221961975,26000,307.6667397395265,266.71497599968836,6.542514324188232,359.48565673828125
1.0,224.06100463867188,325.5086975097656,203.96397399902344,0.19667229056358337,392.5859589681758,73.67156086951815,0.0,300.9062407742351,53.723107569721115,223.66932678222656,0.25808051228523254,502.0,382.8364562988281,0.7556912302970886,0.15722835063934326,0.7283115983009338,27,27.0,0.21804121136665344,502.0,353.9185791015625,2.0837671756744385,-320.2471618652344,366.4914884567261,0.018361167303396805,0.7630977630615234,27000,310.81189600725423,269.5103184864729,6.509294033050537,373.80157470703125
