#{"t_start": 1521256794.5826871, "env_id": "Humanoid-v2"}
r,l,t
112.225395,22,4.344917
78.864238,16,4.372216
61.390558,13,5.298244
127.378855,25,5.340103
148.632385,31,5.843034
78.581348,16,5.869899
75.45338,16,5.895984
304.229463,61,6.606288
76.261432,16,7.102007
68.64612,14,7.124773
70.932561,15,7.149136
126.427428,27,7.650864
78.278519,16,7.676915
68.904293,15,8.158523
71.115473,15,8.184155
82.593212,17,8.211099
170.724289,36,8.728446
144.37123,32,9.24242
72.422734,15,9.26881
73.132939,15,9.293483
460.625106,88,10.368195
71.418328,16,10.394179
77.057003,16,10.877672
78.880082,17,10.906847
78.359714,16,10.932112
136.218125,27,11.434065
152.111592,30,11.48602
68.478069,14,11.967945
216.371813,45,12.501965
68.225584,14,12.525816
92.762295,20,12.558788
87.460191,19,13.048916
63.070732,13,13.072448
427.385724,85,14.148924
112.053655,24,14.189645
332.063139,61,14.762058
85.572035,19,15.251503
73.335636,15,15.276394
95.997041,20,15.310035
79.263252,16,16.058454
78.339977,16,16.087419
68.546472,14,16.111768
73.54189,15,16.59648
67.84526,14,16.620838
67.899213,14,16.64449
77.701236,16,16.673009
73.328096,15,17.157435
78.019525,16,17.183626
62.695733,13,17.205553
63.705334,13,17.684076
84.367794,18,17.715082
71.530771,15,17.739119
67.465203,14,18.219558
63.318063,13,18.242505
236.212495,45,18.786865
72.910835,15,18.812266
77.152145,16,18.838211
78.612356,16,19.322622
68.185075,14,19.346814
65.770915,14,19.369982
79.140347,17,19.858946
70.248504,15,19.885086
78.562007,16,19.910778
78.798095,16,19.936145
76.982892,16,20.428216
73.658387,15,20.454613
73.054942,15,20.480871
64.719484,15,20.968748
61.048327,13,20.991331
73.710133,15,21.015389
73.762942,15,21.499274
78.246292,16,21.526857
67.378097,14,21.549482
91.996188,19,22.039023
73.41343,15,22.064354
78.649539,16,22.089673
74.353652,16,22.116202
65.727162,14,22.598468
112.789951,23,22.636378
72.245898,16,23.125046
62.764446,14,23.150001
73.221228,15,23.174093
101.116855,23,23.669477
73.706797,16,23.697722
99.545797,20,23.731252
75.559729,16,24.216079
76.389687,16,24.243759
72.809596,15,24.267789
339.029274,66,25.303065
64.916061,14,25.327555
194.953955,41,25.85521
178.461482,35,25.916743
78.234905,16,26.401215
84.758557,18,26.430254
190.805923,41,27.078797
291.915558,70,27.664038
71.768421,15,28.149783
74.453536,16,28.178214
125.224195,25,28.220634
323.914733,74,29.279134
96.904517,20,29.313106
100.454356,22,29.810179
308.363445,62,30.386705
73.034705,15,30.411413
102.713661,23,30.914551
305.039277,60,31.479133
343.820256,66,32.071728
92.784327,19,32.56487
383.032077,82,33.177127
233.359592,45,33.717326
101.01198,22,34.214559
197.954806,43,34.291494
297.279462,59,35.317901
292.622773,63,35.897359
375.506269,77,36.497889
282.999108,60,37.529283
100.790682,22,37.56551
394.511988,78,38.992412
291.032604,60,39.562619
162.464008,34,39.623355
355.256774,66,40.668896
350.77735,78,41.271702
311.446143,58,42.297685
460.53651,87,42.923168
210.603065,48,43.46772
193.380927,46,44.006963
227.678078,46,44.545783
409.293971,83,45.61898
351.442579,69,46.204765
278.054576,62,46.772794
291.165342,61,47.800363
303.394934,57,48.365502
204.153312,46,48.906319
436.298367,105,50.263222
289.422324,55,50.828385
368.765815,84,51.440125
310.866046,71,52.486052
213.00493,50,53.03514
259.124877,61,53.601569
246.753031,52,54.151359
219.836395,49,54.700701
298.096142,64,55.287869
127.205112,27,55.795516
277.805923,54,56.362488
261.762772,66,56.940068
397.399566,78,58.0141
226.506208,53,58.569729
335.236457,70,59.158996
256.811336,49,59.709629
636.104599,143,61.824257
383.397415,83,62.899709
339.899132,65,63.485562
268.288127,55,64.048555
282.05795,54,64.606796
315.110162,61,65.63551
305.598297,61,66.207813
