#{"env_id": "Humanoid-v2", "t_start": 1521243443.999289}
r,l,t
76.071753,16,2.519566
92.111094,19,2.551569
67.627981,14,2.574957
261.022284,54,3.727095
126.446347,27,3.77435
69.319009,15,3.800015
93.221451,22,4.372821
69.343102,15,4.39908
77.32712,16,4.428005
68.160592,15,4.937005
79.246462,17,4.964634
77.707187,16,4.991035
82.07032,17,5.497711
180.579436,34,5.562272
144.579699,31,6.09749
68.551452,15,6.123632
76.760035,16,6.630461
71.140436,16,6.657543
183.224775,37,7.178789
125.43372,26,7.218674
77.74189,16,7.696246
67.70884,14,7.718838
165.979147,35,8.260684
159.000016,35,8.322231
171.693797,37,8.849156
76.037685,17,8.876415
124.326582,26,9.378124
94.569677,20,9.411625
77.851902,17,9.897762
161.827665,34,9.959571
74.213546,16,10.465302
187.168733,41,10.535874
181.616623,37,11.05972
67.607163,14,11.082958
67.743862,14,11.564208
160.79768,33,11.62033
140.398148,28,12.12239
109.523196,24,12.163634
119.722691,28,12.6645
218.582063,49,13.210792
95.169127,22,13.252325
184.623618,39,13.930717
161.183729,32,14.462847
71.490489,15,14.487941
189.210471,39,15.012661
70.858616,15,15.035901
135.469746,29,15.541784
74.399993,16,15.569305
157.584856,35,16.114201
208.678052,48,16.665833
87.544796,18,16.696033
65.413301,14,16.720652
66.984834,14,17.207094
77.791895,17,17.235295
66.577348,15,17.260349
66.656455,14,17.743588
62.620481,13,17.765657
84.747997,18,17.795733
139.11,29,18.303736
191.797772,39,18.836597
74.277569,16,18.861585
77.291818,17,18.889691
70.327804,16,19.397329
118.623535,25,19.442
70.708516,15,19.468425
184.340983,39,20.04291
65.395175,14,20.067172
63.465748,14,20.574618
72.061519,15,20.599897
110.193748,24,20.641483
73.967616,16,21.150021
80.867861,17,21.179906
116.320161,23,21.698259
77.974899,17,21.728717
62.160446,13,21.752651
64.729521,14,21.778754
72.286411,15,22.286165
100.824151,22,22.325181
72.395943,15,22.816799
92.44894,19,22.851332
61.571174,15,22.876234
61.297084,14,22.899262
185.222098,39,23.448578
72.180606,15,23.936951
72.95678,15,23.961257
104.378644,22,23.998621
64.355455,14,24.50291
113.063626,24,24.543025
72.254261,15,24.567723
77.074037,16,25.284525
100.748079,22,25.320804
64.510181,14,25.344427
86.699794,19,25.837141
110.298268,22,25.874625
62.894076,13,25.896449
78.894335,17,26.403144
