eval/episodes,total/episodes,rollout/return,total/steps,reference_actor_Q_mean,reference_action_std,eval/Q,ret_rms_mean,rollout/return_history,rollout/Q_mean,rollout/actions_mean,reference_Q_mean,rollout/actions_std,total/epochs,obs_rms_std,reference_perturbed_action_std,reference_actor_Q_std,eval/return_history,rollout/episodes,reference_perturbed_action_mean,reference_Q_std,total/duration,train/loss_actor,total/steps_per_second,eval/return,ret_rms_std,param_noise_stddev,train/param_noise_distance,train/loss_critic,reference_action_mean,rollout/episode_steps,obs_rms_mean
1.0,38.0,125.63435721278888,1000,19.322404861450195,0.4130373001098633,20.346195220947266,0.0,125.63435721278888,9.298736572265625,0.026905696839094162,19.050092697143555,0.5373349785804749,1,6.543184280395508,0.5839645862579346,3.188861846923828,318.22769446248714,38.0,0.1837914139032364,3.724487781524658,12.88995361328125,-19.09105682373047,77.57979819024665,318.22769446248714,1.0,0.16720346283821505,0.5465620756149292,1.6175377368927002,0.09980212152004242,25.86842105263158,0.8806509375572205
2.0,59.0,161.93218745739625,2000,39.301597595214844,0.552257239818573,41.90791702270508,0.0,161.93218745739625,19.03425407409668,0.06971446424722672,38.287391662597656,0.5603424310684204,2,6.252607822418213,0.6627989411354065,7.892514228820801,395.354876208761,59.0,0.08002761751413345,9.557981491088867,25.636972427368164,-39.28425216674805,78.01233182530343,472.4820579550349,1.0,0.1370306733903066,0.5260270833969116,4.025821685791016,0.0218687504529953,33.389830508474574,1.1898605823516846
3.0,80.0,181.78546481029812,3000,58.619022369384766,0.6038286685943604,59.920677185058594,0.0,181.78546481029812,29.212406158447266,0.07194536924362183,56.791465759277344,0.5737224817276001,3,6.14523458480835,0.5859092473983765,14.4777250289917,290.15439844210636,80.0,0.1420959234237671,17.001800537109375,37.65120482444763,-59.940101623535156,79.67872512945573,79.75344290879693,1.0,0.11230273064362171,0.5257304310798645,3.407057523727417,0.03958249092102051,37.05,1.3153733015060425
4.0,100.0,192.13851171621454,4000,76.66181945800781,0.6664922833442688,81.91617584228516,0.0,192.13851171621454,39.62648010253906,0.0835338607430458,74.50096893310547,0.5844605565071106,4,6.124989032745361,0.6383543610572815,22.952810287475586,289.29527297322267,100.0,0.21559223532676697,24.95394515991211,50.031755447387695,-79.00691223144531,79.94922353276836,286.71789656657165,1.0,0.09203708190275892,0.5052385330200195,10.529253005981445,0.12279084324836731,39.24,1.3765746355056763
5.0,121.0,200.73129564144236,5000,91.02448272705078,0.7041684985160828,87.0269546508789,0.0,217.51262738549278,49.34408187866211,0.09581199288368225,88.42318725585938,0.5978190898895264,5,6.1475114822387695,0.6181523203849792,33.78478240966797,267.88381899053763,121.0,0.17086248099803925,35.4071044921875,62.269103050231934,-96.33548736572266,80.29664400282985,182.23800305979762,1.0,0.07542848153938683,0.5029184222221375,13.205848693847656,0.16703097522258759,41.18181818181818,1.435044288635254
6.0,138.0,210.9544825046639,6000,107.37185668945312,0.7177911400794983,99.3615951538086,0.0,243.37613011557642,59.301578521728516,0.12008855491876602,103.61550903320312,0.6015286445617676,6,6.2905988693237305,0.6659623980522156,45.28907012939453,251.93634097624977,138.0,0.2391948103904724,46.602500915527344,74.52149558067322,-115.11981201171875,80.5136820356041,172.19895090481037,1.0,0.06181699495154324,0.40038612484931946,12.572171211242676,0.19922378659248352,43.391304347826086,1.492465853691101
7.0,156.0,216.11729495006898,7000,125.81684875488281,0.7586612701416016,127.69962310791016,0.0,245.64751619183065,68.17626953125,0.1345897614955902,120.81351470947266,0.617057740688324,7,6.562865734100342,0.73287034034729,54.426612854003906,263.48924915842565,156.0,0.19040317833423615,56.419246673583984,87.1574478149414,-132.90232849121094,80.31442149227308,332.8066982514812,1.0,0.05066177638540577,0.35133421421051025,12.790692329406738,0.12567313015460968,44.666666666666664,1.5236324071884155
8.0,173.0,224.5793440760966,8000,140.8126220703125,0.7468302249908447,162.4414520263672,0.0,258.7666071532416,77.68604278564453,0.14544080197811127,135.55300903320312,0.6318114995956421,8,6.642673015594482,0.7292033433914185,64.94709777832031,273.66250234533663,173.0,0.21065965294837952,66.90137481689453,99.78800773620605,-147.37026977539062,80.16995410058038,344.87527465371335,1.0,0.04151957869412388,0.32913079857826233,24.762659072875977,0.19282092154026031,46.09826589595376,1.5812395811080933
9.0,192.0,229.3565400885958,9000,152.28897094726562,0.7748445272445679,179.74395751953125,0.0,268.7517665329499,87.57061004638672,0.1501757800579071,146.56178283691406,0.6417901515960693,9,6.624788284301758,0.7674567699432373,79.0839614868164,272.3209203353741,192.0,0.10902560502290726,80.37889862060547,112.16871380805969,-165.44979858398438,80.2362770727725,261.58826425567395,1.0,0.034027141129503384,0.2930767238140106,29.130260467529297,0.11664596945047379,46.791666666666664,1.6066747903823853
10.0,210.0,233.28941782967735,10000,166.93777465820312,0.7562020421028137,137.632080078125,0.0,272.0308580431524,96.19609069824219,0.1550508439540863,160.22537231445312,0.6517978310585022,10,6.610780239105225,0.76447594165802,89.09192657470703,270.399197569585,210.0,0.1081584095954895,90.99706268310547,124.53814840316772,-179.18930053710938,80.29668120347326,253.10369267748305,1.0,0.027886755354071244,0.26254019141197205,45.179534912109375,0.1785195767879486,47.41904761904762,1.6368811130523682
