#{"env_id": "Humanoid-v2", "t_start": 1521670050.0834937}
r,l,t
90.732122,19,3.079793
61.224616,13,3.103771
77.900706,16,3.130757
334.728871,64,4.326334
216.000704,47,4.913132
217.725653,44,5.43436
139.034236,31,5.484948
72.601131,15,5.510508
100.946771,21,5.9849
202.434707,45,6.503697
68.164013,14,6.526708
100.265907,22,6.999093
84.841653,18,7.029625
210.696045,43,7.552766
243.582262,47,8.073506
93.2134,20,8.104928
271.397544,51,8.637976
77.538289,16,8.66559
85.109643,18,9.138819
77.66121,16,9.164662
202.045307,44,9.681844
94.573249,22,9.719779
298.252202,61,10.713955
71.124997,15,10.738548
107.358145,23,10.778659
241.999627,49,11.301529
82.992048,17,11.764205
90.773706,19,11.797256
69.934693,15,11.822117
232.575177,56,12.800036
285.803458,55,13.343796
326.661696,65,14.710109
136.253478,30,15.201911
106.533949,25,15.246446
82.306332,18,15.277043
264.426724,64,16.274629
193.061578,42,16.349455
85.690325,19,16.818782
91.056206,20,16.853365
133.131145,27,17.34325
185.356165,39,17.857099
150.855256,30,17.911249
254.911285,56,18.453882
241.017185,45,18.981466
271.840784,54,19.520883
101.69579,22,19.998981
91.118362,19,20.030283
131.665579,27,20.517492
87.630254,19,20.550708
116.967452,24,21.030852
73.945614,16,21.058802
339.780521,67,21.625582
306.057761,60,22.175886
100.493136,21,22.653024
249.168289,49,23.179679
350.610256,68,23.751669
407.890228,93,24.795889
119.412946,25,24.839823
67.108248,14,25.61001
120.179053,25,25.657072
114.438912,25,26.138112
210.944372,41,26.650414
241.339012,46,27.174436
84.295968,17,27.202567
82.178002,17,27.22916
199.639982,39,27.741215
93.940253,19,27.77508
409.204936,79,28.801316
349.301503,71,29.375664
182.765071,41,29.882007
115.33637,25,30.365369
243.658323,48,30.893322
102.331682,21,30.927924
184.733498,44,31.45059
236.742205,49,31.982124
79.164391,17,32.009986
261.080537,52,32.549062
303.259458,62,33.54128
250.124106,49,34.066214
278.505036,52,34.601521
102.688631,23,34.638385
192.02981,38,35.14183
251.600355,48,35.669216
302.296188,59,36.492408
393.002823,78,37.087171
121.84516,25,37.574939
85.69837,18,37.604148
325.879377,65,38.61092
71.275701,15,38.635078
140.011312,31,39.127583
272.64675,52,39.668907
285.226327,64,40.22657
242.685978,48,40.760787
258.997311,54,41.30008
389.062978,79,41.88659
122.235778,26,42.368986
372.183902,81,43.393517
294.177198,56,43.939938
274.434449,54,44.484859
106.411051,22,44.522579
110.937962,23,45.001696
195.10686,39,45.514302
208.218788,52,46.049319
200.781026,40,46.119521
278.435812,54,46.654649
316.380982,62,47.991581
244.092931,51,48.531373
249.767867,51,49.054828
168.149749,34,49.114128
265.143615,52,49.648861
289.624231,57,50.636551
311.769174,60,51.192935
312.239448,60,51.743737
246.030364,56,52.28989
308.001865,59,52.835999
376.508429,72,53.849489
300.259799,57,54.392711
266.921157,52,54.923115
317.188612,61,55.478851
434.566748,88,56.518976
394.250489,90,57.566845
235.102072,51,58.548347
406.422547,78,59.130625
324.703189,63,60.132046
338.312921,73,60.706445
459.738996,86,61.755628
361.039806,68,62.327797
340.861425,63,62.887661
218.712038,42,63.407226
263.085305,49,63.947367
348.543806,75,64.963113
305.915874,62,65.516941
279.370879,55,66.05148
385.270318,77,67.06592
298.844497,59,67.629055
320.415826,60,68.177969
349.851674,65,68.741947
560.1261,113,70.430585
311.050989,71,71.449113
282.287203,52,71.985222
339.723363,64,72.54492
253.983374,58,73.097091
391.565906,77,74.117788
323.907493,63,74.683905
314.398026,59,75.230275
464.304845,86,76.261222
235.648125,52,76.792816
459.840635,86,77.841064
329.478071,64,78.395901
383.794902,77,79.415477
302.596661,59,79.963294
286.494072,54,80.986352
224.526937,46,81.510881
363.201912,68,82.074876
301.336627,57,82.620094
283.747678,58,83.170496
474.079211,97,84.231955
256.855867,55,85.20211
359.152938,84,85.800948
281.712903,55,86.342551
248.436649,49,86.87626
307.339482,60,87.428829
291.16871,60,88.429054
565.810362,115,89.526295
368.155589,74,90.107349
282.658514,57,91.090826
295.415069,57,92.125774
359.219962,69,92.708548
313.015773,59,93.256084
329.800895,64,94.255231
301.599215,67,94.821056
343.778478,69,95.385353
393.74672,85,96.431923
253.011652,59,96.984549
300.819818,61,97.546543
264.716157,51,98.088927
280.67111,54,98.629411
289.267458,55,99.609768
308.794493,58,100.151577
292.47784,57,100.696998
257.595604,52,101.232505
350.756645,66,101.791775
354.320703,72,103.264951
284.925693,56,103.815308
281.35414,60,104.36551
261.882827,59,104.914972
445.560583,85,105.951323
346.20427,68,106.51836
320.189917,64,107.516932
313.52264,60,108.069485
316.49202,62,108.630168
319.268934,65,109.187007
328.541237,67,110.195351
405.810579,78,110.793374
245.353,50,111.324365
298.62896,59,111.878004
452.571584,87,112.912861
307.486056,64,113.479375
306.210241,61,114.930372
297.088499,59,115.479589
473.353265,107,116.562079
359.229058,73,117.14584
365.869277,77,118.173501
371.746783,83,119.211899
410.733336,90,119.824524
319.650659,72,120.835552
264.381458,60,121.384349
298.485714,66,121.948282
569.610198,119,123.502132
374.649817,76,124.08376
471.286188,93,125.55676
320.902541,62,126.110206
305.12492,58,126.661385
271.253972,51,127.647468
325.737787,61,128.202844
296.283683,58,128.754761
294.299929,58,129.300677
241.375975,48,129.835584
279.354312,53,130.374295
325.216505,71,130.943719
336.106767,64,131.940027
256.135692,49,132.473689
266.034298,53,133.011767
313.987554,59,133.561996
263.035403,52,134.097637
244.79534,48,134.633694
246.572241,49,135.169667
253.700898,50,135.706549
285.612774,55,136.681287
328.665614,64,137.246068
289.253765,54,137.790422
327.764345,65,138.794581
228.770024,44,139.312702
491.627273,94,139.928182
325.788452,62,140.919522
266.83415,51,141.453863
282.144982,53,141.993552
211.476032,41,142.514374
326.95458,63,143.068779
224.885641,43,143.588959
297.059862,57,144.136897
346.83691,65,144.697076
262.780745,49,145.225451
308.835072,57,145.770074
544.462047,107,146.846497
253.703092,49,147.765184
402.905898,80,148.796893
345.854374,78,149.821527
346.467133,80,150.410655
256.869171,51,150.942247
325.146526,62,151.508108
252.178579,48,152.037582
263.901205,50,152.572318
277.946859,53,153.107326
353.869173,64,154.10879
277.68756,52,154.647259
290.041452,54,155.185132
364.583457,73,155.756121
254.153233,49,156.290085
226.852183,44,156.815784
257.307755,49,157.348104
259.553347,49,157.876657
252.277797,47,158.775544
286.081819,54,159.319242
256.873319,49,159.853569
330.556116,66,160.421191
237.751004,47,160.957481
237.432592,47,161.488858
273.508374,53,162.025673
