#{"env_id": "Humanoid-v2", "t_start": 1521675232.8528917}
r,l,t
98.880574,20,2.123904
120.755278,24,2.215469
70.750262,15,2.865366
67.471525,15,2.890558
98.604258,21,2.924318
73.340355,15,3.380468
69.599703,15,3.404818
220.954141,45,3.972553
67.59013,14,3.994589
72.786101,16,4.022032
76.278104,16,4.48803
208.582296,42,4.999581
360.082095,69,5.562344
133.482353,28,6.048232
94.785771,21,6.08287
221.792097,43,6.596512
319.638529,65,7.148563
157.570955,30,7.637383
70.860909,15,7.659771
77.107382,16,7.685782
220.833736,51,8.21065
101.133856,21,8.685911
63.799626,14,8.708589
101.946568,23,9.188625
233.910138,45,9.268079
116.737813,27,9.758979
124.510457,27,10.244418
90.750821,20,10.278022
68.196204,14,10.30028
162.530015,37,10.807364
196.887668,40,11.315798
78.088629,17,11.342917
76.991528,16,11.368615
109.646074,23,11.848268
141.655049,27,11.893778
135.909582,29,12.379692
418.782602,81,13.86519
286.767216,66,14.422725
258.60923,53,14.95481
76.461148,16,14.980359
81.316674,18,15.454298
72.931201,15,15.478914
87.477737,18,15.507473
73.036503,16,15.979109
263.909947,62,16.535467
298.805911,59,17.086476
203.635908,42,17.602389
67.382321,15,17.626659
77.701105,16,18.093504
315.032186,65,18.653088
274.25311,59,19.207623
75.482774,16,19.234903
258.189718,53,19.776761
160.21473,33,20.280895
267.477136,55,20.823314
83.025005,17,21.294384
142.339018,30,21.345619
260.065592,53,21.884711
68.206287,14,21.908351
114.144849,24,22.392964
269.252296,63,22.946084
125.680408,27,23.437093
78.299683,17,23.465146
60.130614,15,23.490522
78.163882,16,24.055112
80.770831,17,24.084112
295.06546,59,24.640818
81.71582,17,25.109976
347.623712,78,25.693846
72.970118,16,25.720686
82.81547,17,26.188292
105.545727,24,26.225068
335.425474,64,27.236064
70.083133,16,27.262272
101.075601,20,27.294974
76.211454,17,27.766504
69.100409,15,27.791666
226.966353,45,28.311327
82.134318,17,28.337229
81.169352,17,28.365104
68.186595,14,28.83328
92.336375,20,28.865441
277.71824,55,29.4006
96.666458,21,29.877451
139.435219,29,29.925556
76.667088,17,30.394981
93.7394,21,30.427978
82.128382,18,30.456866
76.874456,16,30.924174
130.273858,26,30.966152
70.124706,15,31.435096
365.626552,71,32.000772
191.411304,43,32.521236
69.100095,15,32.545964
244.613203,49,33.079087
236.66465,50,33.61521
82.058196,17,33.643315
125.657133,29,34.133002
166.560402,35,34.988624
106.867329,23,35.027622
270.439102,54,35.574633
384.094013,76,36.602216
318.250108,65,37.165497
336.992209,71,37.745153
99.128034,26,38.232792
147.268011,31,38.731871
101.694839,22,38.765358
162.706571,35,39.267169
229.321595,48,39.798206
216.667236,46,40.319574
365.752142,71,40.898183
203.998295,41,41.411935
295.084927,56,41.957618
98.086972,22,41.9955
273.878924,61,42.993611
418.213901,79,43.581681
173.474387,36,44.090357
95.077933,21,44.124596
341.27486,74,45.144582
87.752852,19,45.174967
103.904358,22,45.933267
291.951505,55,46.47733
317.166593,59,47.031355
197.833597,41,47.545957
234.996117,46,48.073583
144.781964,31,48.124286
