#{"env_id": "Humanoid-v2", "t_start": 1521399252.2746117}
r,l,t
66.624825,14,5.127993
277.24041,52,6.332521
67.907397,16,6.364233
236.872393,44,7.035582
88.194623,19,7.073202
82.897153,17,7.894351
77.008738,16,7.927674
78.330592,16,7.971028
477.480439,98,9.474789
266.561419,54,10.209956
66.374936,14,10.868514
160.150072,35,10.944568
105.744624,22,11.587044
112.730917,24,11.637429
77.30111,17,12.272588
84.272666,17,12.305453
366.018496,70,13.057652
71.944423,15,13.680876
81.98211,17,13.714981
123.036703,27,14.371681
67.850516,14,14.400298
73.638314,15,14.431032
72.765001,15,14.461939
231.353889,44,15.162705
70.810107,15,15.789469
100.652748,22,15.836718
247.362504,47,16.543386
150.097656,30,17.211934
149.526341,31,17.277007
261.803305,51,17.988374
455.743359,87,19.373827
73.533573,15,19.405252
245.116033,56,20.683063
190.611648,37,21.361945
254.337116,48,22.058507
173.801943,38,22.731943
132.506978,29,22.793154
303.608715,57,24.119555
116.478656,24,24.17171
253.744077,50,24.912531
243.202024,57,25.658437
326.486981,78,27.033267
80.377945,17,27.069391
419.345534,83,28.446006
269.032408,53,29.228299
294.593843,57,29.997647
116.289834,24,30.045298
266.539282,53,31.356137
82.298765,18,31.397595
246.524855,47,32.111499
94.892834,20,32.152919
124.340865,27,32.813162
139.425331,28,32.873712
342.830784,66,34.301677
125.361951,28,34.365628
73.857033,15,34.398216
251.452063,48,35.592651
68.006024,14,36.275068
196.621542,39,36.968945
122.337679,25,37.024042
67.808641,14,37.05392
243.288757,50,37.802052
68.302181,14,38.445314
98.87014,22,38.492864
260.728194,51,39.222321
263.710164,52,39.964148
81.937644,18,40.004444
67.907176,14,40.639569
289.596831,57,41.3927
286.770994,55,42.112253
328.003967,66,42.843482
410.438149,89,44.222042
264.327801,53,44.927143
295.960984,58,45.652296
146.941174,31,46.319549
386.31515,75,47.074782
121.972216,26,47.723787
158.44808,33,48.468053
135.459352,26,48.544502
125.647457,27,49.287249
287.298568,56,51.175436
408.995166,86,52.004433
156.855909,33,52.671591
189.39559,37,53.364845
414.159803,82,54.812584
115.6313,23,54.861351
234.081957,54,55.661242
253.868817,49,56.428994
220.694803,45,57.141961
251.246143,51,57.832079
171.180952,34,58.482153
329.114755,61,59.20008
172.364734,36,59.858843
443.074009,91,60.630299
219.797631,51,61.322855
339.007659,64,62.619834
360.508038,69,63.347106
121.482093,29,63.987812
226.656189,46,64.664972
85.990804,18,64.70067
258.796312,49,65.760799
288.395404,57,66.468659
111.396567,26,67.102121
177.931233,35,67.17465
173.81761,36,67.830276
189.035568,38,68.490288
287.701889,55,69.18781
170.545756,38,69.845872
299.565631,56,70.542834
317.222463,63,71.26336
178.841915,37,71.926452
215.874339,44,72.61613
228.948591,45,73.288515
171.398314,37,73.367772
213.957333,42,74.070141
476.10952,92,75.442473
258.841049,59,76.149735
225.31913,43,76.837272
331.617575,65,77.634314
378.508444,76,79.098916
193.555788,41,80.222116
268.02484,53,80.916673
261.018814,52,81.616277
178.535894,38,81.697154
258.213506,50,82.387492
307.387708,64,83.673694
139.294803,31,83.736415
737.183085,147,85.798166
541.593929,107,87.199022
351.307483,68,88.503911
173.320775,36,89.163249
194.643095,41,89.248494
286.457012,56,89.944057
227.041681,48,90.635665
373.258117,73,91.957395
153.123215,31,92.593788
326.867831,74,93.333692
200.286347,44,94.408811
322.956903,75,95.14686
162.605248,33,95.791648
366.692446,73,96.520197
226.597335,54,97.795755
160.715512,34,97.864725
276.055201,66,99.180348
370.532269,71,99.907696
339.171369,81,101.250967
304.496302,74,101.986988
91.11452,20,102.030358
242.734084,57,103.319044
516.85776,109,104.709778
291.070618,64,105.417454
191.601382,44,106.088251
100.137251,22,106.134983
213.04488,50,106.814902
178.410865,39,107.474728
317.489474,73,109.259662
85.740074,19,109.299203
81.486196,18,109.335177
538.330653,106,111.301821
178.201793,41,111.38591
233.459885,52,112.072549
310.655128,67,113.366109
206.176387,49,114.055302
210.434132,45,114.72745
220.680108,50,115.409928
228.819085,44,115.500492
79.763423,17,116.114583
135.37626,34,116.193727
190.570837,42,116.858386
156.747905,36,117.513363
187.922855,42,118.175662
82.199882,17,118.207128
245.057613,57,118.908871
159.143617,36,119.560808
135.931951,32,120.207173
84.803142,18,120.242615
174.757757,40,120.899065
78.866156,17,120.932128
87.215895,19,121.549894
215.209529,52,122.592227
329.810832,65,123.310633
335.963499,74,124.046679
232.2455,50,124.727046
302.402135,65,126.022594
346.66527,75,126.772175
85.563668,20,127.392665
256.893996,56,128.081725
563.969486,120,129.505565
199.049239,49,130.186532
311.266088,70,131.487537
220.467886,56,132.184891
421.080365,84,132.939025
258.15205,66,134.238659
353.618812,83,134.995209
531.266685,110,137.68495
388.065895,80,138.441417
118.018876,23,139.069814
300.135542,58,139.768939
346.681276,66,140.5606
262.030926,58,141.309178
463.442668,89,142.679482
233.957125,49,143.378601
314.0817,59,144.094661
325.198855,66,144.811077
494.957229,98,146.19156
311.239619,61,147.491549
252.926292,57,148.197612
308.074982,58,148.907441
361.457091,69,149.632254
344.896531,67,151.579746
308.063288,62,152.329507
374.41866,74,153.073156
291.221236,56,154.358726
350.462699,78,155.100099
232.264003,44,155.789074
360.295348,84,157.178668
409.778598,95,158.557034
317.818608,68,159.285594
492.254218,110,160.770433
326.823132,75,162.154483
356.101888,81,162.965002
278.667353,62,163.686108
236.98468,51,164.405541
241.337408,55,166.272451
317.584555,74,167.03793
288.061668,63,167.797266
437.336997,90,169.241821
432.381367,89,170.685189
257.492142,58,171.424636
374.560361,81,172.773768
543.501866,117,174.245578
357.809248,65,174.972056
484.86933,96,176.353678
301.010771,67,177.66821
242.571774,57,178.384408
206.005045,49,179.069505
474.213191,102,180.830516
216.097,51,181.517398
212.532641,50,182.208191
378.861293,73,182.940928
307.237228,72,184.292247
228.765753,52,185.016796
265.227065,60,185.746889
342.358789,76,186.488834
242.003175,55,187.802442
223.351669,51,188.493573
388.346561,87,189.276323
275.512123,66,190.569973
437.422737,82,191.324733
228.33604,46,192.00062
224.830945,52,192.689273
621.187603,122,195.220135
227.835552,54,195.918008
238.415923,58,196.635463
284.602015,65,197.353168
277.227075,70,198.677437
275.027017,67,199.400655
227.119878,52,200.090353
319.797195,75,200.853124
238.55878,57,202.151099
247.201149,58,202.850971
242.53262,56,203.543548
431.09166,88,204.9043
233.787315,56,205.596703
325.566233,69,206.323181
536.182159,115,207.732111
285.826747,55,209.716211
390.841972,84,210.48296
365.597251,71,211.793558
340.318334,78,212.540657
467.858707,93,213.905295
274.490893,64,214.622652
399.256224,77,215.968473
281.810517,59,216.677616
212.018124,50,217.365061
413.978197,89,218.713435
234.245024,46,219.404763
531.901071,120,220.827919
272.93828,52,221.513888
