#{"t_start": 1521399228.4374537, "env_id": "Humanoid-v2"}
r,l,t
67.942641,14,4.013975
75.832467,16,4.043253
131.718899,28,4.872066
131.157703,28,4.921172
88.955585,18,5.405655
73.949203,16,5.434514
79.646219,17,5.463338
82.463908,17,6.064784
223.486218,46,6.153315
87.750483,19,6.647106
125.884114,25,6.692867
77.545836,16,7.18795
63.575574,13,7.211431
74.55628,16,7.239453
81.550943,17,7.731063
103.84496,21,7.769327
76.690564,16,7.798378
241.645242,47,8.345657
87.741824,18,8.840419
115.716998,24,8.883337
105.726313,24,9.390298
105.211275,21,9.427532
66.440101,14,9.45278
83.924433,17,9.947744
132.405658,27,9.997024
70.739947,15,10.023633
300.656987,57,11.04874
73.608377,16,11.07893
100.306833,21,11.119734
83.802088,17,11.611909
79.316992,17,11.641048
101.614133,25,12.148147
82.931118,17,12.179663
219.255054,42,12.71596
313.028354,58,13.329091
136.000446,29,13.39221
82.113076,17,13.927308
203.178706,39,14.479475
207.252699,45,14.565356
210.184812,48,15.116578
109.680508,22,16.15356
136.366572,27,16.205027
119.153549,24,16.711564
272.08783,50,17.277387
243.422295,49,17.836735
308.502165,57,18.417076
330.363238,74,19.494049
353.834474,67,20.083673
94.943899,19,20.115072
103.351072,23,20.617888
291.903638,55,21.190493
73.100276,15,21.216933
315.636518,60,21.802396
397.456128,76,22.875424
342.798608,78,23.49456
92.228037,20,23.996263
75.705418,16,24.024916
126.459221,27,24.537845
106.033604,22,24.575178
312.064342,61,25.156091
117.315461,25,25.66759
119.317686,24,25.711565
212.159999,45,26.260705
291.228058,55,26.83478
117.661911,26,27.681226
230.00083,50,28.244459
78.626296,16,28.273905
177.057583,35,28.808708
281.417598,58,29.38045
166.27513,36,29.910093
328.326182,63,30.497003
216.301272,43,31.043265
259.344631,49,31.603542
76.775757,16,31.632836
123.032363,25,32.144751
76.347489,16,32.172192
365.169873,67,32.76532
232.720791,52,33.3274
296.245436,56,33.901475
152.104035,31,34.418253
72.142718,15,34.443485
73.664685,15,34.938956
94.693424,19,34.975631
82.1058,18,35.007712
308.016045,57,36.050192
100.607471,20,36.086952
91.953241,19,36.119431
217.571415,43,36.660524
208.486647,47,37.210853
260.193857,51,37.770343
83.613625,17,37.802069
83.719241,17,38.303434
106.747564,22,38.344918
242.208372,45,39.00872
275.897929,52,39.582615
79.202325,16,40.078112
80.716017,17,40.109472
78.989613,16,40.136728
75.811493,16,40.164135
235.935353,50,40.726526
250.758629,51,41.760979
248.894562,54,42.329839
176.324508,37,42.39742
254.990635,50,42.962891
128.884351,28,43.485741
76.762503,16,43.514837
257.557168,50,44.078095
99.050174,20,44.583864
290.079003,57,45.163543
303.263872,66,45.751246
82.502839,17,45.782462
78.588263,16,46.27973
77.464299,16,46.309167
224.650578,48,46.863615
464.752459,90,47.97768
134.162089,27,48.028402
282.578517,56,48.611822
212.363492,49,49.181113
281.436743,54,50.35879
283.151039,55,50.931487
249.698134,47,51.490201
103.069864,21,51.528999
258.668057,53,52.092598
153.716218,31,52.615343
275.87494,52,53.190069
347.505965,66,53.795337
266.927861,50,54.356634
371.312816,82,55.450714
222.602429,42,56.00164
230.901435,46,56.090697
260.713351,49,56.649544
238.356528,48,57.210359
248.086245,50,57.77253
293.651136,56,58.347054
193.582592,40,58.884911
233.958514,54,59.459547
290.385842,55,60.034098
106.783974,25,60.541582
240.679837,45,61.096517
223.900779,44,62.072021
200.068913,41,62.620146
267.783207,50,63.185097
260.03908,48,63.737399
310.730002,60,64.316783
116.798773,26,64.361556
385.518649,89,65.464953
233.343272,46,66.017439
92.081097,21,66.053679
279.736911,53,66.618962
213.783115,42,67.163513
138.30506,26,67.679225
290.605323,54,68.246705
167.244284,34,68.766068
105.759834,25,68.810961
174.40732,33,69.337854
130.688133,26,69.384428
150.837163,30,69.907651
150.593859,29,69.962717
265.795885,51,70.526051
245.609714,46,71.080545
320.153399,59,72.128077
310.36011,58,72.703694
361.723049,79,73.812788
277.051867,52,74.386433
307.710363,58,74.96495
242.015149,46,75.520356
279.454148,53,76.093459
223.822053,43,76.642458
176.758315,36,77.182066
282.111347,55,77.759667
215.205203,46,78.320914
255.349857,50,78.881718
193.222188,38,79.416405
196.630868,39,79.965585
196.630016,40,80.040754
248.150633,49,80.600165
244.364508,47,81.158478
171.40833,35,81.691439
357.350046,80,82.780463
272.943144,54,83.355234
263.286462,49,83.916754
199.185097,40,83.99237
201.551569,41,84.538951
255.496991,49,85.376459
226.195946,46,85.930503
227.235133,46,86.489619
225.376021,45,87.036683
220.005764,44,87.584064
229.074053,50,88.144919
223.697261,46,88.700035
113.8657,24,88.74045
114.641834,25,89.252425
252.42,51,89.817581
215.932724,44,90.366797
208.890098,45,90.918549
190.735259,40,90.994414
127.291688,27,91.512519
215.318785,42,92.064236
222.171801,43,92.609541
267.57486,55,93.185345
219.073658,43,93.736456
220.915587,43,93.823105
272.844239,53,94.854941
251.218261,48,94.951907
275.635478,54,96.003083
301.307463,58,96.957067
372.142121,86,97.586756
298.290112,64,98.648086
310.13283,63,99.23453
262.796168,52,99.80337
225.469175,46,100.365235
228.273615,46,100.919465
301.250771,60,101.498374
239.416288,48,102.058571
297.251371,57,102.634551
277.955123,57,103.213786
437.86767,83,104.307192
183.469592,36,104.839467
266.729615,50,105.404216
202.853839,40,105.474061
328.539302,64,106.529435
311.313362,59,107.106201
191.302417,38,107.642788
169.950854,38,107.716365
292.04108,55,109.030689
457.831363,90,109.668005
285.465317,54,110.240926
141.444743,27,110.757529
206.532025,41,111.302861
222.054339,44,111.849954
221.145041,43,112.399398
202.065026,39,112.469416
149.263405,31,112.989773
260.241807,57,113.559666
116.647177,24,114.070689
257.557109,51,114.630712
186.018801,37,114.694659
223.728133,47,115.244135
296.18886,56,115.81942
294.733145,53,116.387758
226.288336,46,116.943941
