#{"env_id": "Walker2d-v2", "t_start": 1521243770.7298512}
r,l,t
-0.87242,51,2.879665
-19.956166,12,2.895204
-0.237859,27,2.923983
-6.678981,9,2.934452
-3.49427,29,3.407865
-9.982449,17,3.426171
-0.505421,10,3.949262
-1.232655,8,3.959517
6.835239,23,3.985166
-2.055272,10,3.996812
-7.078438,7,4.453965
-30.946425,81,4.990217
-10.015272,65,5.506896
-13.227201,40,5.995152
7.254399,35,6.486795
-2.765597,24,6.512895
95.030726,208,8.975235
-1.817125,7,8.984244
6.474855,19,9.005956
67.221161,180,10.993234
69.669548,182,13.39617
54.650821,167,15.368837
52.797962,164,16.893297
86.522762,199,18.904234
26.679751,150,20.417227
7.463381,171,21.946962
-34.974436,82,22.937426
1.746094,12,22.951322
67.520456,182,26.036949
93.333252,208,28.058341
51.297578,162,29.585985
49.41683,185,31.576078
68.116775,180,33.568445
65.267447,178,35.600001
59.356059,172,37.584229
85.801714,201,39.597588
86.552256,202,41.609024
-23.360673,104,42.624921
71.266697,184,44.172323
76.022629,189,46.78243
72.536238,186,48.779268
968.302123,1000,59.13032
-19.13171,92,60.128412
76.566889,190,62.129107
60.609467,173,63.669492
70.641156,184,65.67703
44.869863,168,67.91207
56.090941,208,69.936299
56.259174,170,71.918197
332.759396,238,73.977673
-1.124766,56,74.936358
312.17062,189,76.496033
2.178224,123,78.144336
187.028636,261,80.678498
367.878225,244,83.19686
368.689049,247,85.70638
12.735058,27,85.736256
6.089092,23,86.212856
13.085774,28,86.244252
12.585483,29,86.729384
4.1317,21,86.752257
17.97883,34,87.322335
20.935234,33,87.809338
50.204146,105,88.819259
88.713703,162,90.342315
979.54964,1000,100.770404
243.212616,209,102.786025
474.74767,342,106.296692
35.361041,109,107.321124
64.22525,109,108.942262
115.74534,64,109.910812
222.903123,191,111.909643
179.314481,91,112.463984
263.776899,144,113.970822
-17.174521,60,114.485893
174.655757,87,115.477472
273.320504,149,116.985731
249.119213,134,119.34343
237.915232,124,120.375064
204.880393,220,122.866405
45.734153,142,124.373441
231.128499,120,125.412274
249.698833,134,126.909726
239.880368,125,127.950103
310.983095,181,130.793971
295.896821,176,132.440001
192.194395,331,135.94235
103.739018,221,137.981795
311.416685,192,139.988412
100.377714,215,142.639043
236.313154,136,144.127987
269.344072,149,145.639008
277.169597,160,147.164357
250.082081,149,148.668924
177.851799,120,150.140021
310.824866,199,152.74533
264.353482,148,154.247881
188.647947,102,155.256425
253.911714,144,156.757987
-48.926619,244,158.811679
221.915525,188,160.819982
-41.951506,90,162.17725
338.346764,212,164.203243
378.036043,237,166.713701
-42.856748,120,167.73832
-1.048003,108,169.199998
31.628701,136,170.246397
-48.603234,136,171.738983
34.407842,128,173.660593
-17.055082,71,174.187557
63.784521,64,174.706165
-46.373286,167,176.686374
281.829361,283,179.241973
59.099486,250,181.761389
266.07721,143,183.906134
30.317171,102,184.917695
-49.818943,109,185.9288
31.787677,37,186.421376
172.18086,108,187.43387
86.690319,376,191.433364
277.511842,156,192.947089
282.966409,160,194.893681
164.931094,108,195.910183
243.773406,163,197.435062
121.684025,84,198.423438
29.457717,149,199.928229
286.143195,164,201.449278
235.160676,116,202.922912
878.577142,1000,214.63539
343.01321,181,216.735595
998.908532,1000,227.355384
996.802811,1000,238.01323
10.843499,123,239.490987
267.36932,123,240.520725
229.230875,145,242.019157
210.700224,105,243.035356
307.917437,187,245.036277
235.965882,109,246.049238
372.559962,214,248.469132
235.309877,164,250.442476
251.917472,149,251.956069
275.369736,152,253.462713
1.593764,288,256.463382
316.185451,231,259.375048
236.923273,117,260.846568
335.888957,163,262.366436
389.062037,204,264.382511
314.147042,217,266.411223
224.725287,122,267.88729
245.800703,126,269.560275
344.673001,184,271.555465
278.05021,133,272.594138
273.462566,155,274.558339
385.106421,248,277.065079
212.855688,109,278.081554
32.372933,161,280.023216
247.270049,177,281.568162
1010.972078,1000,292.190072
346.432873,164,294.164562
398.305941,218,296.199594
335.786313,161,297.720129
369.272603,182,299.716092
150.502095,109,302.065842
331.843776,230,304.556436
302.323233,168,306.078859
15.701442,131,307.566981
