#{"t_start": 1521255796.0421972, "env_id": "Walker2d-v2"}
r,l,t
-6.108842,12,2.303948
-5.810094,6,2.312298
-5.957053,16,2.330941
-1.155031,8,2.3415
-4.16383,7,2.351068
-3.698421,6,3.130833
-19.311565,15,3.151162
-11.683594,18,3.174925
-4.711135,6,3.18443
-6.365367,6,3.193816
11.554109,84,4.343568
-6.817982,66,4.910878
-0.505485,123,6.524007
-3.400302,8,6.535177
346.144149,225,9.252349
-9.643525,74,9.853782
204.687321,322,14.677345
76.577188,189,16.444242
68.686618,181,18.626658
127.757683,242,21.363179
101.397844,215,23.581913
128.882962,243,28.853601
261.611003,145,30.574375
-21.964377,75,31.195555
382.061256,260,34.515948
-17.001683,79,35.098179
969.636586,1000,47.410432
342.115426,181,49.663918
33.975939,161,51.323901
997.483737,1000,63.735133
275.475209,170,66.775736
58.504388,157,68.435951
-4.043044,148,70.07133
13.746944,128,71.695789
396.016115,220,73.911246
-62.160476,136,75.579456
-24.204387,68,76.177111
479.439729,336,80.75965
291.70382,167,82.916249
324.600873,203,85.11205
51.661461,157,86.75852
-1.218643,106,87.864454
-30.412573,110,89.529466
29.571572,134,91.180339
189.3017,104,92.338593
-85.261005,127,93.523871
144.433133,239,96.397339
291.042407,171,98.568342
1600.758923,1000,110.80125
26.94607,248,114.009259
-1.009385,47,114.067188
404.035763,214,116.765795
397.973778,195,118.953618
409.941634,212,121.162604
343.017505,219,123.458802
110.540722,139,125.970437
-24.682561,89,127.10521
23.450129,94,128.293741
-48.767527,124,129.423432
325.107867,158,131.080854
-10.061489,91,132.166321
232.273614,129,133.78646
297.146419,154,135.441293
273.326476,186,138.145399
382.919387,190,139.910967
147.940821,102,141.063906
24.153294,133,142.771364
1.860734,110,143.968722
17.061512,115,145.636549
470.396191,295,149.137948
349.546161,211,151.836039
286.948283,388,155.781315
433.298615,218,158.633226
375.312657,179,161.058158
130.171087,320,164.876
272.992314,134,166.024091
199.031858,110,167.645582
12.184638,59,168.207945
341.522529,199,170.404
284.619427,159,172.649796
314.117386,146,174.368501
1.443841,115,175.532905
190.849168,107,176.680269
320.024931,147,178.425033
137.700895,102,179.532388
438.372915,238,182.273571
-0.74584,112,183.779368
165.582999,87,184.86444
-16.839863,75,185.931865
82.727829,75,186.508594
119.715271,253,189.318022
-20.645686,115,190.492456
-52.011134,112,192.183403
1.601007,77,192.797154
46.692902,219,195.79794
914.817098,1000,207.367105
54.693696,144,208.576043
14.105137,179,210.894839
332.214674,131,212.528525
1.161564,82,213.118406
54.945878,95,214.209648
36.576679,92,215.298592
-5.496907,185,217.483407
-7.736564,160,219.662544
16.659485,116,220.77533
168.523917,96,221.919086
55.426714,161,223.662932
380.367323,165,225.919076
151.203559,236,228.268625
30.620392,71,229.337326
-26.27159,152,231.415451
170.692092,222,233.642187
164.212643,268,236.901176
129.557788,107,238.047913
151.305158,128,239.23789
119.585105,104,240.39777
115.666877,123,242.484535
270.021734,144,244.247199
220.451682,145,245.894287
223.074868,149,247.528633
75.971177,81,248.111817
26.571892,194,250.31254
329.513238,183,252.477948
67.195737,127,253.947352
158.821169,100,255.101351
294.214114,150,256.836196
58.866403,183,259.130881
315.965056,168,260.878047
82.876054,114,262.48707
167.272092,95,263.581398
955.407481,1000,275.246985
81.779702,70,275.866771
132.451338,75,276.8851
214.481175,120,278.507231
109.250702,89,279.598925
34.291116,62,280.160903
138.478869,82,281.232384
139.764335,100,282.324169
66.258339,78,282.904392
143.424386,79,283.97277
146.066947,63,284.535256
217.767249,122,285.663368
160.556484,80,286.741678
144.012072,92,288.355751
246.308582,128,289.547411
128.190336,76,290.671832
172.846294,108,291.837038
99.949343,74,293.023007
104.541136,76,293.6089
142.012544,72,294.67646
90.274195,72,295.25219
206.895924,173,296.918746
102.395311,86,298.000257
98.696061,83,299.079385
152.929868,96,300.500911
227.981455,174,302.163481
133.981734,88,303.248364
