total/epochs,total/episodes,train/loss_actor,eval/episodes,obs_rms_mean,reference_actor_Q_std,rollout/episode_steps,reference_actor_Q_mean,total/duration,total/steps_per_second,rollout/return,rollout/Q_mean,rollout/return_history,rollout/actions_mean,obs_rms_std,total/steps,eval/return_history,train/param_noise_distance,train/loss_critic,rollout/actions_std,reference_action_mean,ret_rms_std,ret_rms_mean,reference_perturbed_action_std,param_noise_stddev,reference_action_std,eval/Q,reference_Q_std,rollout/episodes,reference_Q_mean,eval/return,reference_perturbed_action_mean
1,25.0,-0.9307267665863037,1.0,-0.40037378668785095,2.879671335220337,39.04,0.8274198174476624,11.623862981796265,86.02991979224686,0.2488174729571705,0.2635352313518524,0.2488174729571705,0.4936644732952118,1.8020625114440918,1000,151.2072098468974,0.48930823802948,0.10140984505414963,0.5658630132675171,0.9376039505004883,1.0,0.0,0.42496708035469055,0.17056425244126316,0.014549916610121727,2.5136187076568604,3.117166757583618,25.0,0.2411477118730545,151.2072098468974,0.5114507079124451
2,31.0,-3.2887139320373535,2.0,-0.17433804273605347,5.463454723358154,62.41935483870968,3.0666136741638184,22.78739833831787,87.76780790446466,10.73858404721071,1.3647778034210205,10.73858404721071,0.6602351665496826,1.3752460479736328,2000,115.4197361277039,0.09746792912483215,0.15326035022735596,0.47209784388542175,0.9820502400398254,1.0,0.0,0.09778667986392975,0.15440959267203633,0.004221775569021702,3.619431972503662,5.603132724761963,31.0,2.2509727478027344,79.6322624085104,0.8960469365119934
3,36.0,-5.468575477600098,3.0,-0.07925188541412354,7.888964653015137,79.38888888888889,5.243271827697754,34.473594665527344,87.02312680493161,24.437276825963426,2.6646230220794678,24.437276825963426,0.7065979838371277,1.194276213645935,3000,223.64522225307363,0.5595248937606812,0.17814256250858307,0.4241941571235657,0.7857287526130676,1.0,0.0,0.12664997577667236,0.14259466822295333,0.4178336560726166,13.935834884643555,7.812566757202148,36.0,4.055336952209473,440.0961945038131,0.9070506691932678
4,44.0,-8.141674041748047,4.0,-0.03652292862534523,10.733182907104492,89.61363636363636,7.364044189453125,45.80744433403015,87.32205121141014,37.07284383335238,4.188249111175537,37.07284383335238,0.7147120833396912,1.1185388565063477,4000,236.93396214640512,0.4991714656352997,0.6017666459083557,0.4091886579990387,0.7641386985778809,1.0,0.0,0.19731763005256653,0.11686267184170265,0.5357018709182739,15.984567642211914,10.558379173278809,44.0,6.261445045471191,276.80018182639964,0.8447148203849792
5,47.0,-11.149260520935059,5.0,0.0019004354253411293,13.548012733459473,100.97872340425532,8.483546257019043,57.074405908584595,87.60494166173962,54.64500627915699,7.33469820022583,54.64500627915699,0.7060887813568115,1.0488262176513672,5000,241.19254968839542,0.46894723176956177,0.6086968779563904,0.4005337357521057,0.779848575592041,1.0,0.0,0.36658740043640137,0.09577415649670935,0.4394923150539398,19.080121994018555,13.224424362182617,47.0,7.133790493011475,258.2268998563567,0.7317330241203308
6,49.0,-16.41086196899414,6.0,0.02560720592737198,16.702878952026367,121.6938775510204,10.570756912231445,67.62142872810364,88.72926989054262,75.12287903721027,9.905529022216797,75.12287903721027,0.7049448490142822,0.9717745780944824,6000,200.52776045140592,0.4580792188644409,1.666413426399231,0.3960411250591278,0.6884121298789978,1.0,0.0,0.41547149419784546,0.07849118035809692,0.5298246741294861,19.126306533813477,16.26495933532715,49.0,9.017333984375,-2.796185733541478,0.7159790396690369
7,56.0,-20.61562728881836,7.0,0.02201150543987751,18.174339294433594,122.28571428571429,12.026439666748047,78.29941987991333,89.400406934506,79.14797242190077,12.321732521057129,79.14797242190077,0.6861116886138916,1.0602933168411255,7000,182.9648710030551,0.47324612736701965,1.7226994037628174,0.4105164110660553,0.38276776671409607,1.0,0.0,0.47859713435173035,0.06432701283272566,0.746311366558075,36.28500747680664,17.851011276245117,56.0,10.343670845031738,77.58753431295007,0.6276094317436218
8,61.0,-25.626996994018555,8.0,0.016753392294049263,21.581832885742188,129.59016393442624,14.391417503356934,89.06246829032898,89.82459338451432,85.70430968131845,14.139307022094727,85.70430968131845,0.667824387550354,1.1030522584915161,8000,164.53942712427647,0.32521653175354004,1.9733967781066895,0.4222775995731354,0.5255770087242126,1.0,0.0,0.5658900141716003,0.052718847660376544,0.6335386037826538,9.515494346618652,20.986379623413086,61.0,12.316556930541992,35.56131997282601,0.5453266501426697
9,65.0,-33.38396453857422,9.0,0.023893490433692932,24.776485443115234,135.8923076923077,19.388124465942383,99.78031182289124,90.1981546818062,94.81330424014513,17.358205795288086,94.81330424014513,0.6527199745178223,1.0970726013183594,9000,143.4809991597459,0.3553183674812317,2.8334107398986816,0.42974188923835754,0.40679216384887695,1.0,0.0,0.5912107825279236,0.04320544008261588,0.6941205263137817,16.551925659179688,23.693662643432617,65.0,16.576915740966797,-24.98642455649876,0.5933257937431335
10,70.0,-42.409812927246094,10.0,0.018108781427145004,29.205724716186523,141.68571428571428,24.7570858001709,110.92778253555298,90.14874156341261,104.0636927070756,20.188634872436523,104.0636927070756,0.6364696025848389,1.1451436281204224,10000,135.02650985411003,0.2654156982898712,7.097647190093994,0.4424620568752289,0.4343186318874359,1.0,0.0,0.5842939615249634,0.03540877950819716,0.6727988123893738,22.611026763916016,28.360107421875,70.0,21.87409019470215,58.93610610338736,0.6064944267272949
11,71.0,-50.30962371826172,11.0,0.025444084778428078,33.017486572265625,143.25352112676057,31.827667236328125,122.17440700531006,90.03522316684466,104.02149766792074,23.251331329345703,104.02149766792074,0.6314957141876221,1.1520462036132812,11000,156.49780259490237,0.21746762096881866,5.948040008544922,0.4426710605621338,0.5049973130226135,1.0,0.0,0.6648979783058167,0.03019736003336582,0.631027102470398,71.50469970703125,32.2767333984375,71.0,27.795644760131836,371.21073000282587,0.47076651453971863
12,76.0,-57.674652099609375,12.0,0.028776468709111214,37.27205276489258,157.47368421052633,37.412147521972656,133.15665698051453,90.11941477139982,118.73709429755775,26.416776657104492,118.73709429755775,0.6284614205360413,1.1625994443893433,12000,147.7871257547665,0.23830589652061462,7.503932476043701,0.44364213943481445,0.4185664653778076,1.0,0.0,0.6446301341056824,0.027886755354071244,0.6706310510635376,56.99842834472656,36.21159362792969,76.0,33.491207122802734,51.96968051327175,0.4146368205547333
13,81.0,-63.038604736328125,13.0,0.02287861332297325,40.00595474243164,156.59259259259258,39.84331512451172,143.8636577129364,90.36333572124256,121.81022647866942,30.262845993041992,121.81022647866942,0.6160869598388672,1.1690044403076172,13000,136.5863726240859,0.23303259909152985,5.348011493682861,0.45044443011283875,0.33165043592453003,1.0,0.0,0.6525074243545532,0.02575295069895359,0.7046012878417969,49.679771423339844,39.43876266479492,81.0,36.429664611816406,2.1773350559187197,0.40421175956726074
14,86.0,-71.6174087524414,14.0,0.0254011582583189,42.013671875,161.82558139534885,44.54212188720703,155.44810128211975,90.06221294779067,130.83247777317453,33.93830871582031,130.83247777317453,0.6093534827232361,1.1855182647705078,14000,160.03523282636948,0.20492222905158997,12.019373893737793,0.4508194327354431,0.3567783832550049,1.0,0.0,0.6685016751289368,0.02426044449968572,0.7184897065162659,93.34908294677734,40.9760627746582,86.0,40.40214538574219,464.870415456056,0.43045148253440857
15,91.0,-76.52465057373047,15.0,0.024773942306637764,46.1894416809082,164.16483516483515,47.6123046875,167.65982913970947,89.4668691777124,135.73235267725178,37.23895263671875,135.73235267725178,0.60073322057724,1.1829888820648193,15000,179.59529287781157,0.14829464256763458,9.472648620605469,0.45214080810546875,0.4597860872745514,1.0,0.0,0.6173338890075684,0.02426044449968572,0.6336209774017334,53.037899017333984,44.86314010620117,91.0,43.81342697143555,453.436133598001,0.5581828951835632
16,97.0,-82.60448455810547,16.0,0.02360132895410061,50.79955291748047,164.18556701030928,50.7679443359375,178.90193462371826,89.43447164868596,131.38375473819062,38.5482177734375,131.38375473819062,0.5953285098075867,1.2040282487869263,16000,190.09428435122683,0.19150683283805847,13.008431434631348,0.45858925580978394,0.5381864309310913,1.0,0.0,0.5360978245735168,0.024748079434129402,0.610578715801239,98.1447982788086,49.48165512084961,97.0,47.341651916503906,347.57915645245566,0.6081283092498779
17,102.0,-87.28551483154297,17.0,0.025780705735087395,53.4194450378418,165.99019607843138,55.10906982421875,190.33312034606934,89.31708768862768,135.48421980930166,41.627410888671875,138.2756345385146,0.5941898226737976,1.2006858587265015,17000,193.46772317775017,0.22107291221618652,16.126617431640625,0.45759013295173645,0.5927209258079529,1.0,0.0,0.5740087628364563,0.025245515830755405,0.5904451012611389,93.86348724365234,52.16676330566406,102.0,50.673912048339844,247.44274440212342,0.6123958230018616
18,106.0,-91.94339752197266,18.0,0.02697017602622509,54.82004928588867,169.33962264150944,59.245662689208984,201.84777522087097,89.1761129410695,139.4126768761721,44.989410400390625,148.0641297801074,0.5997427701950073,1.2000467777252197,18000,200.7060547018147,0.20201271772384644,13.834449768066406,0.45479848980903625,0.6003604531288147,1.0,0.0,0.6731172204017639,0.026270585008002556,0.5984236598014832,101.44615173339844,54.046207427978516,106.0,54.74378967285156,323.7576906109122,0.5420519113540649
19,112.0,-98.43783569335938,19.0,0.02548455074429512,56.36494445800781,166.98214285714286,60.90459442138672,212.99589943885803,89.20359523378563,138.29518516676578,48.44597244262695,155.76724784587515,0.5982754826545715,1.240351676940918,19000,202.5715923070162,0.1976822465658188,23.844533920288086,0.45441797375679016,0.6831743121147156,1.0,0.0,0.5146235823631287,0.026798623766663407,0.520296037197113,124.79070281982422,55.69084167480469,112.0,56.62518310546875,236.1512692006433,0.6821685433387756
20,118.0,-103.42902374267578,20.0,0.021353697404265404,58.08723831176758,168.38135593220338,63.171966552734375,224.300843000412,89.16596002255446,139.2117205892431,50.84749221801758,165.53469674460038,0.6002331972122192,1.276281714439392,20000,207.1209676563589,0.15269513428211212,26.306196212768555,0.4554499387741089,0.6161234974861145,1.0,0.0,0.5346789956092834,0.026270585008002556,0.5702700018882751,133.757080078125,57.34181213378906,118.0,57.202301025390625,293.55909929387013,0.6000834107398987
21,124.0,-105.83073425292969,21.0,0.025360405445098877,58.39695358276367,168.95967741935485,67.7264175415039,235.57141780853271,89.14494039794054,145.87633592030645,54.641963958740234,180.43087701668045,0.5991931557655334,1.276185393333435,21000,214.45173167801312,0.1994304209947586,24.1474609375,0.4557821750640869,0.5485878586769104,1.0,0.0,0.6401241421699524,0.027886755354071244,0.6098532676696777,145.20472717285156,58.44764709472656,124.0,62.279518127441406,361.06701211109714,0.5135817527770996
22,129.0,-112.67396545410156,22.0,0.033440664410591125,59.67045593261719,169.5503875968992,67.76166534423828,246.89151191711426,89.10796417896205,154.03154475034805,58.821964263916016,196.06984803567985,0.5973377823829651,1.2647132873535156,22000,221.6083725034702,0.21631713211536407,21.299365997314453,0.45492318272590637,0.5308318734169006,1.0,0.0,0.5828572511672974,0.02733727610437334,0.6028258800506592,149.1672821044922,59.853050231933594,129.0,62.572837829589844,371.897829838069,0.5884857773780823
23,135.0,-119.01554870605469,23.0,0.038356225937604904,62.572364807128906,170.2888888888889,70.79605102539062,257.8955171108246,89.18340364216678,162.17077495917923,62.50241470336914,212.33180961820315,0.5943596959114075,1.2667332887649536,23000,218.10334690367037,0.16157032549381256,30.826513290405273,0.4561772048473358,0.57270747423172,1.0,0.0,0.5470276474952698,0.02575295069895359,0.5966551303863525,142.052001953125,61.9476203918457,135.0,65.1575927734375,140.99278370807403,0.6162546277046204
24,146.0,-125.43562316894531,24.0,0.03915272280573845,67.08557891845703,163.86301369863014,72.9599609375,268.95304679870605,89.2349065595916,160.13180507939387,65.87349700927734,209.22185275882933,0.5929168462753296,1.3033145666122437,24000,217.04673970125214,0.18171334266662598,26.69829559326172,0.4612298011779785,0.5590909719467163,1.0,0.0,0.5666097402572632,0.02575295069895359,0.5858007669448853,151.08673095703125,66.41028594970703,146.0,67.04019165039062,192.74477404563282,0.5549042820930481
25,153.0,-132.09719848632812,25.0,0.038780517876148224,68.8869400024414,163.12418300653596,76.7757797241211,281.28272461891174,88.87854749654666,159.99490943566187,68.32798767089844,201.6883609712239,0.5947511196136475,1.324012279510498,25000,221.72444055654358,0.24954035878181458,30.02887725830078,0.46303579211235046,0.6095102429389954,1.0,0.0,0.5552769303321838,0.024748079434129402,0.5058097243309021,142.78489685058594,68.1526107788086,153.0,70.84293365478516,333.98926108353885,0.5723274350166321
26,157.0,-137.45945739746094,26.0,0.037398889660835266,72.2451171875,165.52229299363057,81.65608215332031,292.46716475486755,88.89886843123739,162.99163409415428,71.20362854003906,208.8161651849255,0.5961490869522095,1.3444041013717651,26000,222.6414895136789,0.2668589651584625,31.4324951171875,0.46391555666923523,0.5437960624694824,1.0,0.0,0.44692689180374146,0.022854436146078055,0.5502184629440308,156.8407745361328,71.50502014160156,157.0,75.44343566894531,245.56771344206163,0.6853561401367188
27,164.0,-145.1038360595703,27.0,0.035585254430770874,74.18180084228516,164.22560975609755,87.88278198242188,303.540700674057,88.9501801242552,164.02257706655323,74.1343765258789,210.36744741046567,0.5935710072517395,1.3832082748413086,27000,222.0317856118221,0.19675101339817047,34.74870300292969,0.46573835611343384,0.5135381817817688,1.0,0.0,0.5591180920600891,0.02240411346542305,0.6146407127380371,161.6664276123047,73.9105453491211,164.0,80.92901611328125,206.17948416354548,0.6081971526145935
28,172.0,-150.40103149414062,28.0,0.0310930535197258,77.6948013305664,162.2674418604651,93.20880889892578,314.2777352333069,89.09317097889212,161.7792189384757,77.20526885986328,196.18441835334252,0.5906009674072266,1.4025417566299438,28000,214.2705845413454,0.23840302228927612,45.91690444946289,0.4683278799057007,0.44231972098350525,1.0,0.0,0.49943652749061584,0.023313810312614227,0.6420325636863708,180.2506561279297,78.12510681152344,172.0,87.31287384033203,4.718155638474923,0.6448912620544434
29,181.0,-157.2716522216797,29.0,0.0258791483938694,81.25888061523438,159.72375690607734,95.5519790649414,325.0073301792145,89.22875672991411,158.95834100048774,79.83087921142578,189.04831376316062,0.5884456038475037,1.423926830291748,29000,206.99589321383993,0.1941641867160797,40.087215423583984,0.4707006812095642,0.5464993119239807,1.0,0.0,0.5825008153915405,0.023313810312614227,0.6210986971855164,179.31500244140625,81.34674835205078,181.0,89.06241607666016,3.304536043686737,0.5588019490242004
30,186.0,-159.9199676513672,30.0,0.02444804459810257,83.18579864501953,160.82258064516128,98.44160461425781,336.4413352012634,89.16859155268072,160.68701375345606,82.1071548461914,186.36191469649813,0.5876139402389526,1.437218427658081,30000,207.06747657917728,0.2071518898010254,36.56515121459961,0.47316691279411316,0.5533204078674316,1.0,0.0,0.5794927477836609,0.023313810312614227,0.5771116018295288,142.25735473632812,83.62665557861328,186.0,92.15946960449219,209.1433941739603,0.5470502972602844
31,192.0,-166.70603942871094,31.0,0.024208249524235725,85.52842712402344,161.39583333333334,102.79202270507812,347.7641718387604,89.14086760603114,162.864323476568,84.88343048095703,189.3389743601001,0.5852416157722473,1.4521647691726685,31000,209.90702340977657,0.15816573798656464,46.4901008605957,0.475943386554718,0.627068281173706,1.0,0.0,0.5736320614814758,0.023782417899897774,0.5342121720314026,189.7269744873047,85.81011199951172,192.0,95.980224609375,295.093428327756,0.5947606563568115
32,194.0,-170.58383178710938,32.0,0.02419159561395645,87.91354370117188,161.88144329896906,108.70381164550781,361.02526450157166,88.63645607788398,161.9473913531757,87.79612731933594,186.16494177157216,0.5870551466941833,1.4430409669876099,32000,222.44912231964923,0.2551501393318176,40.144195556640625,0.47535696625709534,0.6123647093772888,1.0,0.0,0.5214904546737671,0.023313810312614227,0.5131179094314575,196.82730102539062,88.2496337890625,194.0,101.44209289550781,611.2541885256994,0.6162577271461487
33,198.0,-177.0673065185547,33.0,0.021431714296340942,87.51774597167969,166.15656565656565,113.49149322509766,372.09374237060547,88.68732860100612,165.6372781473776,91.11964416503906,199.402456995778,0.584015965461731,1.451009750366211,33000,223.11816816464722,0.19692271947860718,41.83665466308594,0.47856882214546204,0.33562174439430237,1.0,0.0,0.6320501565933228,0.022854436146078055,0.659673273563385,174.81497192382812,88.64768981933594,198.0,106.5934066772461,244.52763520458316,0.38054099678993225
34,205.0,-182.28382873535156,34.0,0.014141845516860485,90.58692169189453,165.71219512195123,111.19662475585938,383.23021721839905,88.71951759645232,163.56268671935342,93.2002944946289,188.81247988970333,0.5791176557540894,1.473499059677124,34000,219.3908455010807,0.17659686505794525,56.72145080566406,0.48434901237487793,0.35922470688819885,1.0,0.0,0.650700032711029,0.021962663920618616,0.6728757619857788,145.4612579345703,91.16999816894531,205.0,104.45076751708984,96.38919760338493,0.37599244713783264
35,212.0,-186.1076202392578,35.0,0.007176793646067381,91.74809265136719,164.91981132075472,119.75325012207031,394.51580476760864,88.71634438224069,158.98992239015698,94.62671661376953,182.16802808035516,0.5768693685531616,1.495551586151123,35000,218.71838749544,0.18665313720703125,80.41618347167969,0.4882623851299286,0.39967966079711914,1.0,0.0,0.6127328276634216,0.020689822899908242,0.6428853869438171,171.94610595703125,92.37584686279297,212.0,112.77897644042969,195.8548153036566,0.4604727327823639
36,216.0,-190.5038299560547,36.0,0.0026119675021618605,91.80419921875,166.00925925925927,124.84562683105469,405.9584949016571,88.67901633323612,158.2151200543308,96.87236785888672,178.2459857940477,0.574883222579956,1.5092082023620605,36000,218.4785937734368,0.2273864448070526,47.989471435546875,0.49024853110313416,0.53972989320755,1.0,0.0,0.5176693797111511,0.021962663920618616,0.5739098787307739,191.99368286132812,92.82854461669922,216.0,117.840576171875,210.08581350332628,0.5907650589942932
37,222.0,-196.70376586914062,37.0,0.0014207810163497925,95.25593566894531,166.3108108108108,125.9425277709961,417.65404319763184,88.59006779084808,160.88199094311852,99.33992767333984,179.83993443517468,0.5716666579246521,1.5269615650177002,37000,222.2751504967914,0.17532923817634583,57.7629280090332,0.49387064576148987,0.6375467777252197,1.0,0.0,0.494477242231369,0.02240411346542305,0.5107941627502441,197.78579711914062,95.977294921875,222.0,119.1769790649414,358.95119253755666,0.647519052028656
38,224.0,-202.43324279785156,38.0,0.001188589376397431,97.6537857055664,169.08928571428572,128.79234313964844,428.40400409698486,88.70131846712925,163.62084878324973,102.04843139648438,185.62404473329948,0.5707392692565918,1.5250589847564697,38000,218.5532480407763,0.21150775253772736,58.8971061706543,0.49451789259910583,0.6244528889656067,1.0,0.0,0.48427167534828186,0.02152991267583435,0.5157846212387085,244.39450073242188,98.69947052001953,224.0,121.12580871582031,80.84285716821748,0.684060275554657
39,230.0,-207.52691650390625,39.0,-0.0004530023143161088,101.33082580566406,168.37391304347827,127.58521270751953,440.13292169570923,88.60959514172194,164.7001659886919,105.5956802368164,175.62520387321413,0.5674654841423035,1.5330055952072144,39000,222.8635476875577,0.21785031259059906,54.51316833496094,0.49604126811027527,0.6506938338279724,1.0,0.0,0.436194509267807,0.022854436146078055,0.4911339282989502,234.3020477294922,101.79495239257812,230.0,120.83067321777344,386.65493426525103,0.6815899014472961
40,233.0,-214.8413848876953,40.0,-0.0004167723236605525,105.0618896484375,170.91416309012877,129.57864379882812,451.2241816520691,88.64773127527835,169.17772538507165,108.65264892578125,178.21777613719314,0.5647621154785156,1.5367761850357056,40000,224.11505242597713,0.21267327666282654,124.62110137939453,0.497448593378067,0.49400171637535095,1.0,0.0,0.5240288972854614,0.021962663920618616,0.5852323770523071,217.55662536621094,104.96389770507812,233.0,122.87823486328125,272.92373722433405,0.5972480773925781
41,234.0,-218.06973266601562,41.0,0.00027156926807947457,105.3521499633789,173.27777777777777,132.20004272460938,462.56839084625244,88.6355419249291,173.1816246925227,111.76447296142578,187.6138620938176,0.5641905665397644,1.531866192817688,41000,227.1022007150887,0.2513677775859833,71.51168060302734,0.49625900387763977,0.41718706488609314,1.0,0.0,0.5979771614074707,0.02240411346542305,0.6269587278366089,237.03228759765625,105.20869445800781,234.0,124.48860168457031,346.58813227955255,0.4908943176269531
42,237.0,-222.22801208496094,42.0,0.0004301781300455332,108.39530944824219,176.39240506329114,140.33934020996094,473.99011278152466,88.60944325089535,176.43160181217587,114.58248901367188,196.15014981357507,0.5647482872009277,1.526102066040039,42000,233.74819954785613,0.21681305766105652,72.51283264160156,0.49507907032966614,0.4497176706790924,1.0,0.0,0.6525930166244507,0.021962663920618616,0.5965282320976257,238.3092498779297,108.36710357666016,237.0,130.96383666992188,506.23415169131965,0.3876892030239105
43,239.0,-225.00332641601562,43.0,0.0006957185687497258,111.20829772949219,176.67782426778243,143.7613525390625,485.04722785949707,88.65116122765626,176.41869396157162,117.9328842163086,197.1978951152448,0.5671717524528503,1.5205062627792358,43000,235.32797148777917,0.20043249428272247,80.52474975585938,0.49419018626213074,0.45797157287597656,1.0,0.0,0.5840727090835571,0.021962663920618616,0.607997715473175,247.75167846679688,110.26903533935547,239.0,134.96035766601562,301.6783929645455,0.4819001257419586
44,245.0,-232.17349243164062,44.0,-0.0009210451389662921,113.8427734375,179.44489795918366,149.11090087890625,496.19549536705017,88.67472681800935,180.21173005307216,121.15788269042969,209.2133372408998,0.566001296043396,1.526240348815918,44000,238.71073126790404,0.21449632942676544,102.54194641113281,0.49518883228302,0.41135597229003906,1.0,0.0,0.5380462408065796,0.021962663920618616,0.6093758344650269,252.21141052246094,113.9347915649414,245.0,140.4625701904297,384.16940181327254,0.5014981627464294
45,250.0,-235.77268981933594,45.0,-0.002768914448097348,116.25142669677734,179.56,144.80929565429688,507.40360260009766,88.68679640705282,183.36253058971363,124.29122161865234,218.08215307640884,0.562270998954773,1.5323323011398315,45000,241.3171497795036,0.20197109878063202,89.27308654785156,0.49880343675613403,0.4189235270023346,1.0,0.0,0.60699462890625,0.0211056883401964,0.6327373385429382,259.54718017578125,116.30025482177734,250.0,136.35975646972656,355.99956428988474,0.43495944142341614
