#{"env_id": "Walker2d-v2", "t_start": 1521158564.8856883}
r,l,t
-14.955024,12,1.815343
-4.733543,8,1.826436
-14.558746,15,1.846935
-20.095222,20,2.439473
-3.6565,6,2.447707
-11.382964,37,2.489557
-8.949843,19,2.872723
-2.689255,10,2.885928
-2.829888,7,2.895311
-17.140891,12,2.910633
-1.44081,25,3.361424
-4.619665,6,3.369529
-3.785318,7,3.378354
-7.984625,52,3.799602
-1.792934,7,3.807642
-20.212378,19,4.191426
55.910335,183,5.488055
-17.993072,35,5.890373
89.720694,158,7.15973
-23.499212,79,7.975501
2.685386,143,9.23094
0.705594,10,9.242797
-8.441312,21,9.265381
-10.339559,105,10.11586
122.521554,178,12.527373
83.019831,198,14.201763
129.811346,244,16.317705
-3.389683,6,16.326759
75.989007,187,18.077487
425.540395,302,21.288387
129.573,243,23.375383
18.116603,43,23.426461
262.04831,381,26.768485
74.985324,188,28.438273
43.133392,176,30.413417
274.237481,418,34.177064
189.136707,303,36.696974
383.219086,1000,45.782032
86.013935,201,51.11792
70.687834,183,52.427358
999.751954,1000,61.987924
12.068706,134,63.234722
108.402805,229,65.313477
-6.590737,79,65.763704
-62.050944,136,67.010297
-11.515733,84,67.830808
-22.659849,79,68.281689
-35.59155,85,69.411473
-26.066298,80,70.221099
85.957004,104,71.061779
-4.454685,73,71.506373
52.09433,241,73.585334
-51.340016,90,74.419902
-41.601023,121,75.285454
-9.17322,67,75.722437
-45.37512,103,76.95168
-24.361861,127,78.208818
346.764756,278,80.754741
94.831743,213,82.498038
-37.85617,116,83.383676
322.76432,253,85.536365
9.516031,234,88.445939
278.279646,156,89.740131
444.610865,453,93.611672
115.057486,233,97.018786
3.89807,99,97.881633
338.770208,215,99.610386
231.522171,395,103.020467
103.476009,211,104.751821
308.274863,185,107.121464
377.803503,265,109.299389
69.785112,160,110.592185
79.099279,176,112.29073
337.812143,216,114.010371
285.359813,168,116.570428
77.650878,167,117.88145
332.179065,430,121.724427
975.751024,1000,132.734799
7.483297,94,133.225046
35.012295,156,134.878678
370.24941,434,138.747447
623.741431,1000,147.724118
-9.579525,99,148.588851
7.300509,136,149.843917
7.981144,105,150.714023
30.807567,169,152.011954
-0.98185,161,154.445924
226.243122,148,155.703708
349.756224,321,158.272632
245.896647,143,159.529948
213.081954,129,160.401582
209.007815,137,161.64661
34.725772,98,163.137467
314.338007,212,164.833124
227.868486,146,166.095427
300.502531,202,167.773466
51.275736,265,170.270758
-24.613017,134,171.150721
263.979524,149,173.011523
98.569927,349,175.960421
275.799211,189,177.637763
3.426867,69,178.076597
12.774787,98,178.915318
289.411389,261,182.064859
243.08575,164,183.340384
957.338787,1000,195.371839
397.829088,276,197.603228
963.597196,1000,206.683393
192.342394,115,207.902522
239.819741,136,208.788637
401.743763,278,213.972443
5.429153,85,214.799916
283.859279,383,217.773667
25.10807,125,219.016958
283.829443,169,220.303737
209.960162,150,221.572237
692.866859,617,227.552325
504.259501,556,233.242469
244.955925,145,234.48631
343.671252,183,235.784367
791.71921,764,243.452389
433.356779,371,246.420368
905.207417,1000,255.806722
1100.857938,989,267.274109
564.86731,539,273.273706
238.581685,148,274.171451
131.15668,260,276.660401
445.592265,363,279.614025
1053.332906,1000,290.008051
392.745785,350,294.559768
792.044216,1000,304.722405
476.561719,472,308.532773
342.231448,332,312.718263
370.289225,407,316.079007
498.20991,407,319.440769
305.124516,206,322.383348
546.407937,1000,333.485663
257.610649,190,335.172399
95.287415,234,337.259066
926.09916,1000,349.263713
785.275124,1000,360.58147
744.209127,1000,369.373854
529.166776,573,374.59692
294.812212,171,376.237269
444.316828,339,379.251036
308.228661,186,380.550997
401.86705,277,384.375666
510.131642,412,387.732281
519.79452,453,391.515449
505.634916,1000,402.420242
239.246708,197,406.482331
264.398527,196,408.151464
977.812511,1000,417.198803
388.395695,418,420.56968
813.917143,1000,431.920284
190.716899,169,433.564773
631.070208,533,439.289423
253.633305,251,441.381593
-12.116069,82,442.199195
463.190351,1000,454.30749
608.312919,1000,463.381846
1003.413997,1000,472.574045
-18.040754,77,473.38999
754.989339,641,479.029512
394.515172,207,481.071979
127.266549,320,487.261353
548.502708,1000,497.021732
1029.555259,1000,509.081495
110.293166,88,509.90744
613.170199,415,513.275818
112.265744,370,516.263693
916.380675,1000,527.453107
373.895242,485,533.578456
392.131153,313,536.127724
303.252323,232,538.224337
326.986867,214,541.277435
26.787547,169,542.924051
250.953444,151,544.193533
129.897472,458,547.993854
145.391634,92,550.076973
931.180297,1000,560.410326
313.963217,221,562.1183
4.145839,128,563.350935
213.756536,408,566.714664
822.938899,1000,578.191475
843.539264,1000,590.309128
514.410499,1000,599.531278
-16.169438,96,600.361991
871.223715,1000,612.656503
404.094444,276,618.581327
944.868368,1000,629.803625
8.117408,152,631.081638
998.229531,1000,643.044017
198.75174,310,645.651311
97.595673,293,648.231282
85.119771,237,652.390399
-35.140428,177,654.072529
146.977192,291,656.274692
389.026073,300,658.824245
94.278533,232,662.004481
766.011881,1000,673.480356
58.765061,237,675.598471
49.432993,135,676.852703
37.369833,179,678.177631
127.765977,272,680.694916
573.120287,472,685.440099
18.667046,120,686.297624
209.154212,466,693.488272
851.255356,1000,705.625987
260.124532,191,707.291762
42.41898,229,709.004343
145.949828,435,712.760733
389.490698,269,717.610399
197.298592,332,720.5296
633.278805,482,724.333679
97.832511,289,730.559818
189.284673,382,733.898399
984.869071,1000,745.564515
477.918784,797,754.99213
221.087693,1000,766.856674
658.104351,536,771.473904
21.915343,637,779.529497
262.945965,337,782.471663
386.437113,614,790.876469
1001.540115,1000,802.960995
87.254566,296,805.482437
914.192769,757,813.999435
72.296403,83,814.832911
525.634522,331,819.057289
849.987176,598,824.12623
451.922863,284,826.280384
3.057546,423,831.401831
841.745584,1000,842.594994
100.19788,224,844.32245
862.626474,1000,855.490008
892.310468,1000,865.571483
986.140645,1000,875.879937
523.384985,462,879.679673
1018.192177,1000,890.100728
1071.229112,1000,901.214953
95.450535,205,906.00992
1001.131517,1000,917.286445
731.609065,933,928.060432
519.564047,450,931.845361
1154.793584,1000,942.46337
181.476968,166,944.103744
384.852545,199,945.779859
135.002705,85,948.649523
291.566206,195,950.328617
1032.228135,705,956.316872
667.415113,646,964.241349
33.495176,168,965.903424
331.370948,1000,977.150603
127.086987,94,977.618436
1046.256728,1000,989.451901
1141.971922,1000,1001.107129
966.199487,1000,1013.075413
906.409091,1000,1025.434413
234.333957,176,1029.990121
1015.730281,1000,1041.657805
1308.379546,1000,1053.74575
318.28464,194,1055.425336
